datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,21.46,21.59,20.9,21.14,5415358,13819445760,0
2020-01-10,20.87,21.76,20.68,21.29,9978275,25357035424,0
2020-01-17,21.21,21.81,20.84,21.13,7130834,18191498144,0
2020-01-24,21.11,21.49,19.61,19.86,7588747,18919329232,0
2020-02-07,17.78,18.89,17.14,18.67,10981391,24121463264,0
2020-02-14,18.38,19.29,18.38,19.06,8566195,19512291648,0
2020-02-21,19.73,21.67,19.42,20.97,14643172,35930677248,0
2020-02-28,20.81,21.24,19.32,19.42,13582989,33512815872,0
2020-03-06,19.77,21.97,19.61,20.91,14982404,37676499712,0
2020-03-13,20.2,20.98,18.78,19.89,11139895,27045159872,0
2020-03-20,19.85,19.86,17.69,18.78,8528374,19384691760,0
2020-03-27,18.03,19.07,17.99,18.7,5190409,11654889168,0
2020-04-03,18.47,18.71,18.21,18.32,3466189,7704333648,0
2020-04-10,18.68,19.06,18.55,18.63,4004236,9060058752,0
2020-04-17,18.55,19.94,18.38,19.41,7843800,18266292320,0
2020-04-24,19.49,19.54,18.68,18.81,3640670,8412534800,0
2020-05-01,18.86,19.84,18.82,19.68,4098435,9571123184,0
2020-05-08,19.23,19.97,19.17,19.79,3492532,8243399168,0
2020-05-15,19.82,19.93,19.42,19.46,3452569,8149167664,0
2020-05-22,19.42,19.45,18.47,18.47,3651231,8407347776,0
2020-05-29,18.47,18.86,18.27,18.44,2757540,6162648768,0
2020-06-05,18.91,19.36,18.72,18.94,4595566,10547987952,0
2020-06-12,19.06,19.49,18.55,18.74,4245532,9763639904,0
2020-06-19,18.74,19.94,18.7,19.81,6035343,14015450416,0
2020-06-26,19.82,20.81,19.71,20.16,5559748,13484901936,0
2020-07-03,19.77,24.01,19.43,24.01,16850421,43674349408,0
2020-07-10,24.99,28.85,24.61,26.7,32365805,103450955008,0
2020-07-17,26.68,28.21,23.42,23.96,21551681,67554087680,0
2020-07-24,24.53,26.69,23.69,23.86,15730870,47364053760,0
2020-07-31,23.98,25.69,23.34,25.13,10281215,30095438816,0
2020-08-07,25.43,28.59,24.72,26.87,14284671,44109875456,0
2020-08-14,26.31,28.94,25.54,26.35,14941956,47982711808,0
2020-08-21,26.91,28.73,26.66,27.27,11256062,36895860288,0
2020-08-28,27.38,27.73,26.03,27.33,7330654,23063202976,0
2020-09-04,27.6,28.13,26.21,26.5,7147664,22796894320,0
2020-09-11,26.49,26.6,25.38,25.67,5954625,18040579280,0
2020-09-18,25.67,26.55,24.97,26.38,5395768,16289168464,0
2020-09-25,27.12,27.25,25.54,25.77,5211040,16017971888,0
2020-10-02,25.66,26.17,25.5,25.62,2059876,6240417376,0
2020-10-09,26.03,26.14,25.88,26.12,817139,2494231712,0
2020-10-16,26.38,27.21,26.28,26.54,4588790,14352123232,0
2020-10-23,26.81,27.03,25.68,25.68,4057999,12430332304,0
2020-10-30,25.54,25.6,24.34,24.41,5111086,14905286160,0
2020-11-06,24.25,25.21,23.53,24.94,4855011,13977711504,0
2020-11-13,25.18,26.16,24.29,24.47,5002449,14822814496,0
2020-11-20,24.66,25.19,24.4,25.09,3414843,9935167888,0
2020-11-27,25.08,25.81,24.73,25.58,4978040,14759673648,0
2020-12-04,25.86,27.03,25.64,25.86,9029051,27893833840,0
2020-12-11,25.87,26.02,24.32,24.51,4806999,14208203408,0
2020-12-18,24.55,24.96,24.21,24.56,3517722,10137367408,0
2020-12-25,24.47,24.82,23.6,23.87,4040756,11442263120,0
2021-01-01,23.77,25.39,23.66,25.07,4774553,13694986784,0
2021-01-08,25.11,26.06,24.41,25.65,9595529,28298647552,0
2021-01-15,25.85,27.52,24.55,25.75,14229519,43820604160,0
2021-01-22,25.61,27.15,25.47,25.88,10393218,32039844096,0
2021-01-29,25.74,25.83,23.86,24.16,7336156,21316117328,0
2021-02-05,24.28,24.32,22.61,23.01,6003487,16646944032,0
2021-02-12,23.01,23.94,22.96,23.74,3479562,9601535600,0
2021-02-19,24.03,24.44,23.53,24.4,2703527,7589798848,0
2021-02-26,24.51,24.51,23.1,23.21,6098505,16973129728,0
2021-03-05,22.38,22.38,20.85,21.29,7701314,19492028112,0
2021-03-12,21.39,21.53,19.85,20.19,5335289,12878144768,0
2021-03-19,19.99,20.37,19.64,20.36,4150131,9757110592,0
2021-03-26,20.27,20.82,20.12,20.36,3759526,9052529120,0
2021-04-02,20.34,20.86,20.17,20.49,3079224,7437360864,0
2021-04-09,20.81,20.88,20.03,20.03,2616195,6291613120,0
2021-04-16,20.03,20.17,19.68,20.09,2557370,6005190320,0
2021-04-23,20.03,20.51,19.8,19.86,2923023,6933614000,0
2021-04-30,19.85,20.45,19.15,20.25,4568314,10694413952,0
2021-05-07,20.48,20.72,19.79,19.89,1818944,4346375472,0
2021-05-14,19.97,21.84,19.74,21.63,5796475,14120356368,0
2021-05-21,21.25,21.48,20.88,20.91,5797339,14408695712,0
2021-05-28,21.07,22.61,21.05,22.27,8764812,22744850352,0
2021-06-04,22.27,22.51,21.25,21.72,5097480,13057619072,0
2021-06-11,21.92,22.64,21.08,21.2,5293131,13654519504,0
2021-06-18,21.16,21.23,20.69,20.94,2788871,6861984144,0
2021-06-25,20.99,22.0,20.78,21.69,4621355,11561483296,0
2021-07-02,21.76,21.76,20.04,20.07,4756599,11744503520,0
2021-07-09,20.07,20.26,19.75,19.95,3173530,7482670112,0
2021-07-16,20.22,20.45,19.69,20.23,4105806,9729859792,0
2021-07-23,20.1,21.11,19.86,20.59,4374932,10490284992,0
2021-07-30,20.56,20.71,19.05,19.15,4832735,11219318224,0
2021-08-06,19.14,20.21,18.7,19.58,4674513,10806325680,0
2021-08-13,19.51,20.51,19.47,20.47,5057642,12001928832,0
2021-08-20,20.48,21.6,20.22,20.94,9559974,23480488128,0
2021-08-27,21.07,22.01,20.94,21.36,6810058,16923633760,0
2021-09-03,21.73,24.41,20.89,22.98,14254378,37569191168,0
2021-09-10,23.01,24.19,22.73,23.57,8815140,23835840496,0
2021-09-17,23.55,23.85,21.87,22.42,6332448,16734195952,0
2021-09-24,22.04,22.86,21.86,22.5,2752681,7141798416,0
2021-10-01,22.48,22.68,21.66,21.84,3441829,8815292592,0
2021-10-08,21.94,22.34,21.94,22.25,751306,1928003136,0
2021-10-15,22.34,22.59,21.08,21.56,3429341,8594298544,0
2021-10-22,21.56,22.09,21.42,22.0,2826503,7103270352,0
2021-10-29,22.0,22.59,21.21,22.36,4510114,11423113408,0
2021-11-05,22.29,22.55,21.8,21.91,3624331,9282446192,0
2021-11-12,21.83,22.41,21.4,21.89,4733395,12002685984,0
2021-11-19,21.93,22.03,20.47,20.99,5183414,12621704880,0
2021-11-26,20.97,21.18,20.65,20.66,2781614,6734956704,0
2021-12-03,20.47,21.51,20.4,21.41,3878927,9398462176,0
2021-12-10,21.61,23.54,21.61,22.85,9529109,25071739792,0
2021-12-17,23.34,23.57,22.65,22.72,4392733,11699438272,0
2021-12-24,22.73,22.9,22.19,22.2,2626564,6826017136,0
2021-12-31,22.3,23.07,22.15,22.82,2938888,7700251408,0
2022-01-07,22.82,22.98,21.93,22.22,3059751,7920623152,0
2022-01-14,22.42,23.2,21.61,21.62,4718804,12226651264,0
2022-01-21,21.49,22.55,21.41,22.21,2929896,7521171696,0
2022-01-28,22.79,23.34,21.86,22.58,4048007,9911579648,0
2022-02-11,22.94,24.15,22.77,23.67,4613474,11703587856,0
2022-02-18,23.38,23.56,22.2,22.62,3624847,8944393312,0
2022-02-25,22.78,22.83,21.21,21.3,4524399,10800499760,0
2022-03-04,21.23,21.44,20.64,20.71,3439520,7944507376,0
2022-03-11,20.56,20.56,17.93,18.88,6766665,14284748816,0
2022-03-18,18.48,19.43,17.36,19.43,7769812,15997862432,0
2022-03-25,19.06,19.09,18.31,18.35,3553930,7388267200,0
2022-04-01,18.16,19.29,18.04,19.1,4211229,8751839824,0
2022-04-08,18.89,19.16,18.55,19.06,2342860,4904607632,0
2022-04-15,18.96,19.38,18.37,18.86,4738181,9887414880,0
2022-04-22,18.64,18.64,17.61,17.86,3787436,7612533088,0
2022-04-29,17.47,17.93,15.99,17.67,5901646,11249149296,0
2022-05-06,17.45,17.65,16.78,16.78,1488055,2861781584,0
2022-05-13,16.73,17.5,16.46,17.27,3188877,6088184480,0
2022-05-20,17.41,17.84,16.97,17.73,3373994,6550894816,0
2022-05-27,17.64,17.78,17.19,17.59,2850360,5566519808,0
2022-06-03,17.66,17.88,17.32,17.66,2571215,5046707744,0
2022-06-10,17.58,18.91,17.46,18.77,5912375,11975089360,0
2022-06-17,18.46,20.73,17.59,18.8,11045960,23383474736,0
2022-06-24,18.77,20.28,18.55,19.61,7057202,14972129072,0
2022-07-01,19.73,20.01,19.23,19.32,5293089,11454162048,0
2022-07-08,19.32,19.63,18.61,18.65,4009795,8436722304,0
2022-07-15,18.5,18.56,17.55,17.55,3702382,7466510183,0
2022-07-22,17.63,18.07,17.63,17.86,2559468,5092576308,0
2022-07-29,17.85,18.1,17.57,17.58,2311858,4581980381,0
2022-08-05,17.53,17.54,16.58,17.28,3401577,6454981874,0
2022-08-12,17.2,18.23,17.17,18.04,3602691,7127983511,0
2022-08-19,17.94,18.26,17.79,17.96,2394508,4805120596,0
2022-08-26,17.9,18.26,17.48,17.92,3256295,6455035680,0
2022-09-02,17.8,18.28,17.52,17.76,2874539,5558474133,0
2022-09-09,17.68,18.44,17.6,18.3,2731707,5318254032,0
2022-09-16,18.38,18.52,16.88,16.94,3680459,7041253080,0
2022-09-23,16.87,17.09,16.76,16.88,2291499,4218078615,0
2022-09-30,16.76,16.83,15.84,15.94,2599294,4628752601,0
2022-10-14,15.8,16.72,15.77,16.59,2436334,4303887376,0
2022-10-21,16.52,17.02,16.48,16.72,2371359,4317413702,0
