datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,14.77,15.43,14.77,15.43,1252622,2220357984,0
2020-01-03,15.36,15.4,15.15,15.23,574811,1020558928,0
2020-01-06,15.18,15.34,14.32,14.65,1190170,2064200048,0
2020-01-07,14.68,14.89,14.46,14.67,912931,1566121312,0
2020-01-08,14.58,14.67,14.34,14.37,705016,1196593120,0
2020-01-09,14.66,14.72,14.23,14.56,728315,1236250784,0
2020-01-10,14.59,14.86,14.38,14.76,655437,1123808368,0
2020-01-13,14.76,14.76,14.28,14.53,855088,1446436400,0
2020-01-14,14.48,14.72,14.41,14.45,618437,1055742352,0
2020-01-15,14.44,14.54,14.24,14.41,482491,814800800,0
2020-01-16,14.36,14.58,14.33,14.46,444745,754533440,0
2020-01-17,14.46,14.54,14.26,14.36,549844,927564704,0
2020-01-20,14.58,14.8,14.38,14.73,751435,1289490608,0
2020-01-21,14.76,14.85,13.37,14.0,1463486,2414249536,0
2020-01-22,13.78,14.44,13.56,14.38,891455,1484040048,0
2020-01-23,14.2,14.33,13.31,13.51,1009767,1645595968,0
2020-02-03,11.91,12.35,11.91,11.91,1624903,2353056256,0
2020-02-04,11.87,12.94,11.87,12.88,1492090,2255373904,0
2020-02-05,13.25,13.56,12.98,13.07,1094287,1732373664,0
2020-02-06,13.38,13.52,12.96,13.48,865674,1373806720,0
2020-02-07,13.36,13.5,13.0,13.27,883301,1387784944,0
2020-02-10,13.14,13.98,12.91,13.93,1360783,2193870016,0
2020-02-11,13.81,14.33,13.75,14.03,902552,1497726304,0
2020-02-12,14.03,14.18,13.89,14.07,756440,1251331040,0
2020-02-13,14.11,14.31,14.0,14.27,772920,1292133296,0
2020-02-14,14.18,14.38,14.05,14.28,564026,943306464,0
2020-02-17,14.23,14.67,14.18,14.66,719905,1226010464,0
2020-02-18,14.68,14.69,14.25,14.46,669850,1134502944,0
2020-02-19,14.4,14.43,14.21,14.22,511877,860772832,0
2020-02-20,14.21,14.48,14.0,14.48,830469,1392474720,0
2020-02-21,14.43,14.81,14.31,14.7,856679,1470712912,0
2020-02-24,14.78,15.03,14.59,14.76,802053,1388759040,0
2020-02-25,14.38,14.55,13.92,14.31,952158,1602303232,0
2020-02-26,14.08,14.81,13.81,14.38,1027939,1739253344,0
2020-02-27,14.54,15.3,14.49,15.18,1419387,2497109136,0
2020-02-28,14.85,15.57,14.57,14.91,1416579,2495606096,0
2020-03-02,15.0,16.58,15.0,16.42,1987411,3704875104,0
2020-03-03,16.78,16.9,15.53,15.96,1882704,3501917744,0
2020-03-04,15.79,16.38,15.65,16.3,1103691,2048768992,0
2020-03-05,16.35,16.76,16.06,16.33,1016022,1918408688,0
2020-03-06,16.03,16.08,15.58,15.73,847608,1548199488,0
2020-03-09,15.38,15.72,15.0,15.02,842669,1496449792,0
2020-03-10,14.73,15.58,14.72,15.37,734369,1303292400,0
2020-03-11,15.48,15.52,14.85,14.89,621752,1095904128,0
2020-03-12,14.58,14.87,14.3,14.48,687928,1173754928,0
2020-03-13,13.66,14.78,13.52,14.24,1118069,1855260000,0
2020-03-16,14.48,14.51,12.87,13.04,1365812,2191215664,0
2020-03-17,12.99,13.61,12.55,13.4,1294079,2043349792,0
2020-03-18,13.53,14.04,12.83,12.87,1268343,2019145520,0
2020-03-19,12.87,13.27,12.07,12.5,1857022,2795031856,0
2020-03-20,12.75,13.58,12.59,13.38,1621515,2535009088,0
2020-03-23,12.86,13.74,12.66,13.45,1433476,2276282576,0
2020-03-24,13.85,14.25,13.79,14.2,1236428,2052011008,0
2020-03-25,14.83,14.88,14.09,14.48,1090488,1855915840,0
2020-03-26,14.28,14.78,14.12,14.28,553463,938225856,0
2020-03-27,14.53,15.03,14.41,14.73,869676,1504500992,0
2020-03-30,14.58,15.21,14.49,15.09,946335,1656740880,0
2020-03-31,15.31,15.47,14.74,14.78,726172,1271369232,0
2020-04-01,14.83,15.18,14.57,14.98,677165,1183142304,0
2020-04-02,14.78,15.03,14.51,15.01,648220,1121373616,0
2020-04-03,15.08,15.48,15.01,15.36,684121,1220986656,0
2020-04-07,16.25,16.57,15.9,16.48,1468799,2766888336,0
2020-04-08,16.43,16.64,16.18,16.38,578733,1094332576,0
2020-04-09,16.48,16.58,16.06,16.36,492734,927829200,0
2020-04-10,16.48,17.09,16.43,16.55,818170,1577423088,0
2020-04-13,17.05,17.78,16.66,17.3,1249240,2462941168,0
2020-04-14,17.48,17.52,16.98,17.3,873913,1721615808,0
2020-04-15,17.32,17.36,16.49,16.69,925896,1783508368,0
2020-04-16,16.51,16.92,16.3,16.64,693147,1324759920,0
2020-04-17,16.84,17.4,16.66,17.08,787245,1544122560,0
2020-04-20,17.28,17.76,16.91,17.11,783297,1551277840,0
2020-04-21,16.94,17.14,16.71,16.98,458672,889652960,0
2020-04-22,16.78,17.06,16.63,16.98,491439,951583952,0
2020-04-23,17.08,17.08,16.58,16.59,575562,1109009760,0
2020-04-24,16.75,17.08,16.59,16.68,529127,1021897392,0
2020-04-27,16.98,17.03,16.4,16.85,607375,1174505648,0
2020-04-28,16.96,17.29,16.68,17.26,671563,1317003632,0
2020-04-29,16.38,17.06,16.23,16.95,720573,1392910784,0
2020-04-30,16.93,17.34,16.93,17.13,489739,964074608,0
2020-05-06,17.08,17.86,16.98,17.7,711132,1426986800,0
2020-05-07,17.63,17.83,17.53,17.77,435899,880804784,0
2020-05-08,17.82,18.31,17.68,17.87,668443,1367396032,0
2020-05-11,17.94,18.42,17.86,18.0,592394,1224527472,0
2020-05-12,18.04,18.51,17.82,18.04,579586,1196492608,0
2020-05-13,17.58,17.81,17.36,17.79,701477,1410207360,0
2020-05-14,17.61,17.68,17.39,17.51,379912,761073904,0
2020-05-15,17.54,17.63,16.61,16.79,1051721,2044917680,0
2020-05-18,17.16,17.36,16.88,17.3,610027,1201179648,0
2020-05-19,17.31,17.76,17.29,17.49,559684,1123267392,0
2020-05-20,17.58,17.63,16.81,17.0,718738,1412760880,0
2020-05-21,17.23,17.23,16.28,16.44,813759,1551045824,0
2020-05-22,16.28,16.41,15.83,16.2,686736,1282126960,0
2020-05-25,16.32,16.62,15.89,16.62,663496,1253410560,0
2020-05-26,16.64,16.91,16.29,16.58,590264,1126321504,0
2020-05-27,16.59,16.6,15.77,15.89,788032,1458537408,0
2020-05-28,15.71,16.13,15.65,15.83,567018,1042169776,0
2020-05-29,15.82,16.02,15.69,15.81,493770,907056880,0
2020-06-01,16.13,16.45,15.91,16.31,713878,1336487344,0
2020-06-02,16.35,16.46,16.04,16.11,679616,1269322672,0
2020-06-03,16.12,16.83,16.12,16.39,962965,1839549616,0
2020-06-04,16.51,16.59,16.19,16.46,465080,879278656,0
2020-06-05,16.48,16.53,15.92,16.27,647325,1211333440,0
2020-06-08,16.53,16.84,16.35,16.44,647520,1235425712,0
2020-06-09,16.63,16.83,16.29,16.72,679350,1302477296,0
2020-06-10,16.65,16.92,16.55,16.83,613612,1182146624,0
2020-06-11,16.83,17.44,16.65,17.18,979883,1933445104,0
2020-06-12,16.82,17.04,16.68,16.98,658810,1276500672,0
2020-06-15,16.78,17.28,16.68,16.84,658140,1284394800,0
2020-06-16,16.99,17.33,16.96,17.07,558843,1097883504,0
2020-06-17,16.98,17.03,16.51,16.72,714692,1371020672,0
2020-06-18,16.68,16.82,16.46,16.73,601030,1152938112,0
2020-06-19,16.53,16.79,16.49,16.68,740994,1420667520,0
2020-06-22,16.63,16.63,15.93,16.08,1335199,2489601872,0
2020-06-23,16.09,16.09,15.66,15.91,1044211,1924379584,0
2020-06-24,15.98,16.2,15.93,16.01,814086,1513971856,0
2020-06-29,15.87,16.17,15.65,16.12,863324,1595914976,0
2020-06-30,16.23,16.38,16.18,16.24,496290,933356192,0
2020-07-01,16.25,17.02,16.25,16.86,1061603,2046748928,0
2020-07-02,16.86,17.78,16.82,17.7,1562526,3130163056,0
2020-07-03,17.85,18.36,17.6,17.91,1175785,2407758160,0
2020-07-06,18.04,19.29,18.04,18.58,1350595,2854308016,0
2020-07-07,18.98,19.27,18.22,18.33,1280994,2699792080,0
2020-07-08,18.31,18.33,17.83,18.12,1196256,2458884480,0
2020-07-09,18.18,18.44,17.79,18.44,1301956,2682957904,0
2020-07-10,18.4,18.64,17.82,17.92,1039102,2152925680,0
2020-07-13,17.98,19.08,17.95,19.08,1506125,3192356768,0
2020-07-14,19.08,19.08,18.14,18.5,1109439,2335220656,0
2020-07-15,18.98,19.54,18.78,18.95,1446882,3136147984,0
2020-07-16,18.98,19.46,17.88,17.93,1139628,2412129056,0
2020-07-17,17.97,18.63,17.78,18.33,814126,1699080320,0
2020-07-20,18.63,20.32,18.48,20.23,1759486,3888774528,0
2020-07-21,20.27,20.47,19.71,20.34,1030077,2328986176,0
2020-07-22,20.35,20.45,19.51,19.69,1350300,2967048960,0
2020-07-23,19.48,19.87,18.9,19.7,946981,2039145744,0
2020-07-24,20.02,20.08,18.57,19.0,1056436,2259425520,0
2020-07-27,19.0,19.5,18.8,19.03,599077,1271631600,0
2020-07-28,19.2,19.27,18.7,18.92,661063,1392758928,0
2020-07-29,18.9,19.33,18.5,19.32,675959,1428657104,0
2020-07-30,19.31,19.89,19.14,19.21,658904,1421010688,0
2020-07-31,18.95,19.49,18.75,19.01,864492,1825436656,0
2020-08-03,19.0,19.66,18.95,19.4,1082578,2316662016,0
2020-08-04,19.4,19.75,19.26,19.71,865797,1873451728,0
2020-08-05,19.71,19.74,18.91,19.21,1026937,2184380816,0
2020-08-06,19.21,19.26,18.59,18.87,815159,1709106816,0
2020-08-07,18.9,19.34,18.82,19.07,719796,1523748224,0
2020-08-10,18.96,19.2,18.63,18.95,597944,1258735824,0
2020-08-11,19.06,19.35,18.76,18.76,610290,1290646176,0
2020-08-12,18.8,18.8,17.75,18.21,915424,1849286464,0
2020-08-13,18.3,18.36,18.06,18.13,376900,765182448,0
2020-08-14,18.1,18.35,17.8,18.3,614042,1238508432,0
2020-08-17,18.35,19.3,18.35,19.2,952736,2006173248,0
2020-08-18,19.2,19.24,18.96,19.09,387062,820800192,0
2020-08-19,19.09,19.65,19.07,19.16,728041,1563829648,0
2020-08-20,19.1,19.74,18.97,19.21,596337,1278795744,0
2020-08-21,19.35,19.44,18.75,19.0,467556,986358128,0
2020-08-24,19.01,20.09,18.89,19.88,1295135,2840129872,0
2020-08-25,20.1,20.49,19.78,20.32,859928,1920986848,0
2020-08-26,20.32,20.75,19.9,20.15,740500,1657908992,0
2020-08-27,20.46,20.8,20.2,20.58,871875,1976006016,0
