datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,20.4,21.04,20.4,20.85,263575,549370867,0
2025-11-26 11:30:00,20.85,21.04,20.83,20.99,136145,285356836,0
2025-11-26 14:00:00,21.0,21.02,20.92,20.94,100237,210129683,0
2025-11-26 15:00:00,20.95,20.95,20.88,20.88,115939,242436901,0
2025-11-27 10:30:00,20.8,20.83,20.37,20.42,277596,569010020,0
2025-11-27 11:30:00,20.41,20.42,20.22,20.25,175880,357258742,0
2025-11-27 14:00:00,20.25,20.31,20.2,20.26,113553,229830409,0
2025-11-27 15:00:00,20.27,20.28,20.1,20.13,199975,403523738,0
2025-11-28 10:30:00,20.06,20.27,19.95,20.23,164294,331277794,0
2025-11-28 11:30:00,20.24,20.33,20.2,20.3,73282,148481831,0
2025-11-28 14:00:00,20.3,20.3,20.22,20.23,57802,117116673,0
2025-11-28 15:00:00,20.23,20.36,20.23,20.32,127048,258000455,0
2025-12-01 10:30:00,20.38,20.38,19.96,19.99,260205,522612763,0
2025-12-01 11:30:00,20.0,20.06,19.99,20.04,96788,193762534,0
2025-12-01 14:00:00,20.04,20.05,19.96,20.0,144609,289153975,0
2025-12-01 15:00:00,19.99,20.13,19.99,20.12,161660,324411779,0
2025-12-02 10:30:00,20.11,20.21,19.99,20.18,190634,383095963,0
2025-12-02 11:30:00,20.19,20.26,20.14,20.16,127971,258636551,0
2025-12-02 14:00:00,20.16,20.2,20.05,20.18,86524,174054536,0
2025-12-02 15:00:00,20.18,20.19,20.11,20.16,102799,207104943,0
2025-12-03 10:30:00,20.23,20.5,20.1,20.32,210888,428538440,0
2025-12-03 11:30:00,20.32,20.5,20.26,20.48,115984,236484210,0
2025-12-03 14:00:00,20.47,20.64,20.37,20.44,179788,368665767,0
2025-12-03 15:00:00,20.45,20.47,20.33,20.4,126771,258502316,0
2025-12-04 10:30:00,20.41,20.59,20.34,20.57,127646,260866191,0
2025-12-04 11:30:00,20.58,20.8,20.57,20.74,221158,457870141,0
2025-12-04 14:00:00,20.76,20.99,20.75,20.85,274200,572255167,0
2025-12-04 15:00:00,20.85,20.99,20.84,20.97,214908,449972274,0
2025-12-05 10:30:00,20.94,21.3,20.9,21.06,324177,685523717,0
2025-12-05 11:30:00,21.07,21.14,21.0,21.1,130447,274632631,0
2025-12-05 14:00:00,21.1,21.3,21.09,21.27,135122,286521754,0
2025-12-05 15:00:00,21.27,21.35,21.26,21.3,229513,488900466,0
2025-12-08 10:30:00,21.43,21.63,21.03,21.28,354884,753923411,0
2025-12-08 11:30:00,21.29,21.32,21.21,21.23,82196,174738633,0
2025-12-08 14:00:00,21.23,21.3,21.21,21.23,90872,193078237,0
2025-12-08 15:00:00,21.23,21.26,21.22,21.23,124947,265351172,0
2025-12-09 10:30:00,21.15,21.43,21.04,21.23,198050,421134931,0
2025-12-09 11:30:00,21.23,21.32,21.2,21.26,68615,145787896,0
2025-12-09 14:00:00,21.26,21.28,21.13,21.13,69115,146562983,0
2025-12-09 15:00:00,21.15,21.2,21.12,21.18,78901,166996820,0
2025-12-10 10:30:00,21.17,21.55,21.03,21.28,247607,528772660,0
2025-12-10 11:30:00,21.28,21.31,21.21,21.22,75713,160797529,0
2025-12-10 14:00:00,21.22,21.38,21.16,21.31,85344,181263129,0
2025-12-10 15:00:00,21.31,21.48,21.31,21.47,107868,231137645,0
2025-12-11 10:30:00,21.45,21.61,21.28,21.32,159611,342047390,0
2025-12-11 11:30:00,21.32,21.32,21.22,21.22,74798,159136484,0
2025-12-11 14:00:00,21.23,21.23,21.12,21.17,101216,214352269,0
2025-12-11 15:00:00,21.17,21.2,21.03,21.09,165815,349913589,0
2025-12-12 10:30:00,21.19,21.27,21.09,21.18,160339,339491770,0
2025-12-12 11:30:00,21.18,21.39,21.16,21.3,114000,242769389,0
2025-12-12 14:00:00,21.31,21.39,21.25,21.27,118772,253144238,0
2025-12-12 15:00:00,21.27,21.32,21.24,21.32,140191,298303475,0
2025-12-15 10:30:00,21.31,21.57,21.15,21.44,200140,429068961,0
2025-12-15 11:30:00,21.45,21.52,21.33,21.34,68480,146803101,0
2025-12-15 14:00:00,21.34,21.41,21.19,21.2,68625,146022360,0
2025-12-15 15:00:00,21.21,21.22,21.06,21.07,109527,231456758,0
2025-12-16 10:30:00,21.04,21.04,20.67,20.82,154235,320898602,0
2025-12-16 11:30:00,20.81,20.82,20.65,20.66,65061,134680302,0
2025-12-16 14:00:00,20.66,20.79,20.62,20.73,96791,200277104,0
2025-12-16 15:00:00,20.73,20.82,20.68,20.76,104010,215806041,0
2025-12-17 10:30:00,20.79,20.8,20.63,20.69,98474,203853168,0
2025-12-17 11:30:00,20.7,20.8,20.65,20.78,78654,163012469,0
2025-12-17 14:00:00,20.79,21.19,20.77,21.15,159189,333665191,0
2025-12-17 15:00:00,21.15,21.19,21.02,21.07,146271,308956833,0
2025-12-18 10:30:00,20.9,21.18,20.7,20.95,162427,338443640,0
2025-12-18 11:30:00,20.95,21.07,20.86,21.05,62474,130951406,0
2025-12-18 14:00:00,21.04,21.16,21.0,21.09,78680,166020362,0
2025-12-18 15:00:00,21.09,21.13,21.0,21.0,84949,178863278,0
2025-12-19 10:30:00,20.99,21.47,20.95,21.46,207187,440807917,0
2025-12-19 11:30:00,21.46,21.5,21.29,21.33,119020,254912104,0
2025-12-19 14:00:00,21.34,21.35,21.2,21.2,84739,180134391,0
2025-12-19 15:00:00,21.2,21.29,21.19,21.24,111428,236684158,0
2025-12-22 10:30:00,21.3,21.38,20.86,20.99,219384,461819074,0
2025-12-22 11:30:00,21.0,21.04,20.92,20.96,96808,203048307,0
2025-12-22 14:00:00,20.96,20.96,20.88,20.89,120290,251552995,0
2025-12-22 15:00:00,20.89,20.95,20.87,20.89,144117,301193962,0
2025-12-23 10:30:00,20.85,20.93,20.44,20.62,247722,510509991,0
2025-12-23 11:30:00,20.62,20.75,20.55,20.72,105394,217661278,0
2025-12-23 14:00:00,20.72,20.75,20.59,20.6,72725,150428435,0
2025-12-23 15:00:00,20.6,20.69,20.57,20.68,94288,194499825,0
2025-12-24 10:30:00,20.69,20.79,20.56,20.72,98474,203644455,0
2025-12-24 11:30:00,20.74,20.84,20.7,20.8,70800,147024432,0
2025-12-24 14:00:00,20.8,20.9,20.72,20.85,79714,165928572,0
2025-12-24 15:00:00,20.84,20.85,20.76,20.8,67334,139961991,0
2025-12-25 10:30:00,20.8,20.86,20.65,20.66,75701,156827141,0
2025-12-25 11:30:00,20.66,20.74,20.65,20.68,54777,113331963,0
2025-12-25 14:00:00,20.69,20.74,20.62,20.71,95993,198529949,0
2025-12-25 15:00:00,20.71,20.75,20.64,20.67,98910,204472021,0
2025-12-26 10:30:00,20.63,21.24,20.6,21.12,305238,641928003,0
2025-12-26 11:30:00,21.11,21.28,20.99,21.03,149558,316613202,0
2025-12-26 14:00:00,21.03,21.2,21.0,21.19,85904,181275636,0
2025-12-26 15:00:00,21.19,21.22,21.14,21.17,175101,370900235,0
2025-12-29 10:30:00,21.18,21.2,20.77,21.13,214134,449372731,0
2025-12-29 11:30:00,21.1,21.18,20.93,20.93,117918,247919018,0
2025-12-29 14:00:00,20.94,20.95,20.76,20.76,145060,302412277,0
2025-12-29 15:00:00,20.76,20.77,20.65,20.72,173840,359961222,0
2025-12-30 10:30:00,20.67,21.05,20.67,20.89,179246,373889047,0
2025-12-30 11:30:00,20.9,21.35,20.83,21.14,269643,569234047,0
2025-12-30 14:00:00,21.17,21.26,21.03,21.04,157065,331667129,0
2025-12-30 15:00:00,21.04,21.13,21.01,21.04,144401,304219278,0
2025-12-31 10:30:00,21.11,21.25,20.93,21.19,157407,332585332,0
2025-12-31 11:30:00,21.2,21.21,21.09,21.12,72127,152602133,0
2025-12-31 14:00:00,21.1,21.19,21.01,21.11,83211,175628768,0
2025-12-31 15:00:00,21.1,21.14,21.08,21.13,90852,191832338,0
2026-01-05 10:30:00,21.11,21.32,21.01,21.25,269826,571357740,0
2026-01-05 11:30:00,21.26,21.35,21.17,21.2,201977,429469740,0
2026-01-05 14:00:00,21.19,21.29,21.13,21.21,150035,317734513,0
2026-01-05 15:00:00,21.21,21.26,21.17,21.26,153554,325732327,0
2026-01-06 10:30:00,21.25,21.99,21.21,21.99,440929,953831578,0
2026-01-06 11:30:00,21.98,22.0,21.8,21.98,183580,402005069,0
2026-01-06 14:00:00,21.98,21.98,21.74,21.81,109293,238762978,0
2026-01-06 15:00:00,21.81,21.92,21.75,21.88,143471,313732348,0
2026-01-07 10:30:00,21.88,21.95,21.65,21.7,254456,553471285,0
2026-01-07 11:30:00,21.7,21.79,21.69,21.75,81627,177421811,0
2026-01-07 14:00:00,21.74,21.79,21.62,21.7,127586,276840163,0
2026-01-07 15:00:00,21.7,21.77,21.67,21.73,121611,264094154,0
2026-01-08 10:30:00,21.72,21.83,21.36,21.38,240396,517794932,0
