datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,14.77,15.43,13.31,13.51,13086050,22260344400,0
2020-02-29,11.91,15.57,11.87,14.91,19523872,32088267328,0
2020-03-31,15.0,16.9,12.07,14.78,25105032,42785629568,0
2020-04-30,14.83,17.78,14.51,17.13,15224730,29100840176,0
2020-05-31,17.08,18.51,15.65,15.81,11612088,22670283472,0
2020-06-30,16.13,17.44,15.65,16.24,14874848,28250096224,0
2020-07-31,16.25,20.47,16.25,19.01,25587792,54031348992,0
2020-08-31,19.0,21.05,17.75,20.04,16503428,35469264208,0
2020-09-30,20.23,23.66,19.85,22.79,15022450,35787529056,0
2020-10-31,23.42,26.24,21.6,23.85,10910590,28688501280,0
2020-11-30,24.62,29.59,22.88,28.61,15367677,43377377376,0
2020-12-31,28.73,33.06,28.45,32.88,15543967,49985214592,0
2021-01-31,33.15,46.8,32.2,38.36,28330860,116482834832,0
2021-02-28,38.0,48.2,37.28,39.01,19691935,86895204048,0
2021-03-31,39.7,43.26,31.08,32.05,26495065,99802801216,0
2021-04-30,31.62,33.78,28.26,28.78,22324246,72416287840,0
2021-05-31,29.18,29.2,25.31,28.19,28562223,84517058256,0
2021-06-30,28.02,30.15,24.88,27.57,30113887,87317517584,0
2021-07-31,27.73,28.01,22.51,23.32,36454368,95348690240,0
2021-08-31,23.34,31.57,22.95,24.73,53940935,155960764256,0
2021-09-30,24.75,28.43,23.45,23.94,34059453,93550924992,0
2021-10-31,24.08,24.88,20.94,21.46,16703827,41239726928,0
2021-11-30,21.38,21.8,19.91,20.4,24659187,55094269552,0
2021-12-31,20.39,23.22,20.25,21.3,30602278,71926720160,0
2022-01-31,21.29,23.81,18.52,18.64,26412917,61992244176,0
2022-02-28,19.04,19.88,18.02,18.11,12138433,24969075344,0
2022-03-31,18.1,18.26,14.7,16.02,22717393,40350247936,0
2022-04-30,15.88,17.93,13.08,15.0,23177140,40490639856,0
2022-05-31,15.0,15.8,13.97,15.45,18958020,31139215440,0
2022-06-30,15.36,18.14,15.16,18.01,23952554,43010376352,0
2022-07-31,18.25,19.33,15.87,15.99,19013570,35532854868,0
2022-08-31,15.95,16.04,14.16,14.7,12806369,20736177543,0
2022-09-30,14.7,15.41,12.66,12.83,12051529,18360415756,0
2022-10-31,12.83,14.03,12.25,12.45,9422190,13543291428,0
2022-11-30,12.49,15.4,12.38,14.86,18216063,28209011685,0
2022-12-31,15.25,16.02,14.45,14.75,15019343,24473211643,0
2023-01-31,14.75,16.54,14.46,16.47,10249770,17271290327,0
2023-02-28,16.49,18.68,15.35,17.68,22078767,40005640000,0
2023-03-31,17.71,18.4,15.49,16.04,16022403,28566880652,0
2023-04-30,16.08,16.8,14.77,15.44,11966455,20311776098,0
2023-05-31,15.39,15.53,13.66,13.79,8828165,13937958752,0
2023-06-30,13.79,16.44,13.79,15.74,12129578,19656077801,0
2023-07-31,15.9,17.14,15.48,16.86,10572468,18153755585,0
2023-08-31,16.76,16.99,14.14,14.6,11507306,18663065278,0
2023-09-30,14.66,16.26,14.66,15.0,9540730,15693226831,0
2023-10-31,14.98,15.2,13.2,13.58,7878459,11752851077,0
2023-11-30,13.59,13.63,12.68,12.76,9400970,13314616795,0
2023-12-31,12.79,12.95,11.71,12.88,8460657,11135721211,0
2024-01-31,12.9,12.96,11.77,12.18,9040214,12004306988,0
2024-02-29,12.27,13.48,11.81,13.05,9479837,13079248468,0
2024-03-31,13.04,14.03,12.77,13.69,15013713,21336802030,0
2024-04-30,13.76,15.6,13.72,15.42,17613128,27378955140,0
2024-05-31,15.65,16.68,15.2,15.29,12577693,21240479044,0
2024-06-30,15.29,15.95,14.53,15.83,10633331,17044810925,0
2024-07-31,15.79,15.93,14.21,15.48,9499021,15092529782,0
2024-08-31,15.42,15.58,14.18,15.45,6792913,10630778576,0
2024-09-30,15.49,18.53,14.4,18.21,11588085,19400470386,0
2024-10-31,20.09,20.09,16.59,17.58,18073813,33105414103,0
2024-11-30,17.54,18.45,16.3,16.81,14937391,27296239971,0
2024-12-31,16.9,16.91,15.41,15.81,12178891,20381649895,0
2025-01-31,15.81,15.81,14.56,15.43,9278933,14636000562,0
2025-02-28,15.43,17.83,14.91,17.53,14322996,24787915671,0
2025-03-31,17.58,20.08,17.58,18.4,20550970,40817978562,0
2025-04-30,18.48,18.98,16.82,18.22,12180830,22970667856,0
2025-05-31,18.51,19.52,17.74,18.16,8768920,16911597031,0
2025-06-30,18.46,18.46,17.01,17.64,7771138,14010979331,0
2025-07-31,17.64,21.16,17.33,19.63,20867874,41158288107,0
2025-08-31,19.54,21.69,19.25,20.72,16567835,34558004398,0
2025-09-30,20.89,23.17,19.69,22.93,15816113,33914968989,0
2025-10-31,22.7,23.97,21.57,22.14,13472681,30726161901,0
2025-11-30,22.18,22.36,19.95,20.32,10829077,22770018119,0
2025-12-31,20.38,21.63,19.96,21.13,12604140,26374062701,0
2026-01-31,21.11,22.38,21.01,22.28,3859860,8380392964,0
