datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,10.48,10.48,10.48,10.48,20751,22411609,0
2020-01-03,11.56,11.56,10.62,10.63,1238945,1419836320,0
2020-01-06,10.13,10.71,9.88,10.19,767277,810459360,0
2020-01-07,10.02,10.64,9.98,10.43,626457,669784592,0
2020-01-08,10.09,10.27,9.6,9.65,600605,614500608,0
2020-01-09,9.81,9.88,9.37,9.52,445615,441977888,0
2020-01-10,9.58,9.58,9.27,9.35,298047,290084224,0
2020-01-13,9.31,9.48,9.11,9.48,275176,265313870,0
2020-01-14,9.63,9.63,9.29,9.31,289176,282398528,0
2020-01-15,9.26,9.59,9.26,9.46,261815,256474427,0
2020-01-16,9.46,9.52,9.33,9.36,158190,153579659,0
2020-01-17,9.38,9.55,9.36,9.41,173440,169526841,0
2020-01-20,9.39,9.4,9.06,9.24,182492,173891542,0
2020-01-21,9.26,9.63,9.08,9.41,244635,237181881,0
2020-01-22,9.34,9.83,9.29,9.8,315555,314525664,0
2020-01-23,9.58,9.75,8.97,9.23,254087,247795995,0
2020-02-03,8.28,8.28,8.28,8.28,15084,12972240,0
2020-02-04,7.42,7.93,7.42,7.73,355278,283707328,0
2020-02-05,7.74,8.26,7.62,7.89,289652,239772125,0
2020-02-06,7.87,8.36,7.74,8.28,344861,291186704,0
2020-02-07,8.24,8.62,8.16,8.37,266300,231415057,0
2020-02-10,8.2,8.63,8.19,8.57,251914,221989596,0
2020-02-11,8.66,8.77,8.38,8.4,223375,197792011,0
2020-02-12,8.37,8.61,8.26,8.58,223242,196171711,0
2020-02-13,8.49,8.62,8.32,8.34,197261,172760964,0
2020-02-14,8.32,8.64,8.25,8.51,259997,228819759,0
2020-02-17,8.67,9.35,8.53,9.13,415529,383154384,0
2020-02-18,9.05,9.25,8.88,9.09,322617,302127680,0
2020-02-19,9.01,9.43,8.94,9.14,352408,336632944,0
2020-02-20,9.32,10.04,9.21,9.83,546272,543006464,0
2020-02-21,9.68,10.12,9.48,9.64,503544,505073232,0
2020-02-24,9.45,9.58,9.25,9.45,330267,322033952,0
2020-02-25,9.08,9.37,8.86,9.3,329889,312556752,0
2020-02-26,9.1,9.48,8.94,9.07,271471,260095675,0
2020-02-27,9.12,9.3,9.05,9.08,198784,188711579,0
2020-02-28,8.68,8.88,8.18,8.24,271264,239804572,0
2020-03-02,8.39,9.1,8.39,9.04,331259,303917408,0
2020-03-03,9.17,9.53,9.03,9.21,326622,313823696,0
2020-03-04,9.24,9.79,9.22,9.74,385452,379792480,0
2020-03-05,9.74,10.75,9.59,10.4,772247,820934304,0
2020-03-06,9.93,10.13,9.58,9.58,576658,584164928,0
2020-03-09,9.33,9.53,8.96,9.06,350423,334431264,0
2020-03-10,8.92,9.48,8.91,9.42,337397,322273024,0
2020-03-11,9.36,9.46,9.04,9.04,239081,228905947,0
2020-03-12,8.98,9.17,8.88,9.05,186527,174526540,0
2020-03-13,8.62,9.11,8.44,8.95,244716,221910719,0
2020-03-16,9.01,9.28,8.4,8.47,243194,224071893,0
2020-03-17,8.64,8.98,8.23,8.97,212086,189080279,0
2020-03-18,8.92,9.21,8.8,8.98,257329,240515643,0
2020-03-19,8.95,9.32,8.82,9.31,236865,221937819,0
2020-03-20,9.38,9.66,9.03,9.56,292081,283643040,0
2020-03-23,9.28,9.46,8.95,8.97,215403,206154393,0
2020-03-24,9.18,9.27,8.59,9.04,193200,179150359,0
2020-03-25,9.27,9.34,9.06,9.25,168713,160700561,0
2020-03-26,9.12,9.46,8.97,9.28,206440,197517171,0
2020-03-27,9.35,9.6,9.28,9.32,247389,241094086,0
2020-03-30,9.35,10.06,9.35,9.87,399570,398187056,0
2020-03-31,9.79,10.22,9.62,9.96,392636,404262816,0
2020-04-01,9.81,10.03,8.93,8.93,413946,404985888,0
2020-04-02,8.5,8.83,8.4,8.8,257709,230955225,0
2020-04-03,8.8,9.71,8.74,9.71,449148,437776608,0
2020-04-07,9.92,10.56,9.75,10.27,680394,717365328,0
2020-04-08,10.24,10.64,10.0,10.03,510158,542201392,0
2020-04-09,10.26,10.63,10.09,10.18,439163,467750816,0
2020-04-10,10.27,10.36,9.48,9.59,385304,392030864,0
2020-04-13,9.68,9.76,9.09,9.14,245283,235656581,0
2020-04-14,9.19,9.39,9.02,9.38,272125,260005748,0
2020-04-15,9.32,9.33,9.05,9.08,229411,217502288,0
2020-04-16,9.03,9.3,8.89,9.19,197716,187628878,0
2020-04-17,9.13,9.23,9.04,9.04,193570,182517861,0
2020-04-20,9.03,9.26,8.92,9.21,163799,154930927,0
2020-04-21,9.13,9.61,9.09,9.51,278847,270749360,0
2020-04-22,9.36,9.83,9.2,9.79,369800,367044176,0
2020-04-23,9.68,9.91,9.48,9.54,324289,324188640,0
2020-04-24,9.38,9.47,8.98,9.09,245972,233848711,0
2020-04-27,9.09,9.22,9.0,9.01,115869,108998877,0
2020-04-28,9.12,9.14,8.18,9.05,184340,168726576,0
2020-04-29,8.88,9.03,8.74,8.75,123861,113648424,0
2020-04-30,8.75,9.02,8.75,8.98,121773,112631566,0
2020-05-06,8.88,9.13,8.8,9.09,109817,102505625,0
2020-05-07,9.07,9.17,8.9,8.93,123741,115819536,0
2020-05-08,8.96,9.16,8.87,9.03,146281,136629814,0
2020-05-11,9.05,9.25,9.04,9.12,136827,129306492,0
2020-05-12,9.17,9.17,8.89,9.0,106201,98981522,0
2020-05-13,8.95,9.16,8.89,9.15,120056,112463481,0
2020-05-14,9.06,9.07,8.9,8.9,99511,92585314,0
2020-05-15,9.48,9.82,9.3,9.82,246475,244487022,0
2020-05-18,10.16,10.18,9.58,9.88,423355,433426928,0
2020-05-19,9.96,10.56,9.78,10.27,339824,355388256,0
2020-05-20,10.26,11.28,10.16,10.97,456376,509653792,0
2020-05-22,11.26,12.02,10.03,10.1,789585,900316224,0
2020-05-25,9.88,10.47,9.61,9.66,451875,463971968,0
2020-05-26,9.65,10.02,9.51,9.81,325412,328784656,0
2020-05-27,9.68,9.83,9.39,9.42,308820,304904240,0
2020-05-28,9.43,9.75,9.2,9.43,321359,314841440,0
2020-05-29,9.2,9.38,9.14,9.2,223013,213069373,0
2020-06-01,9.49,10.15,9.31,10.03,497410,505012320,0
2020-06-02,9.99,10.24,9.89,9.96,361946,374139872,0
2020-06-03,10.08,10.41,9.97,10.0,346775,362281280,0
2020-06-04,10.0,10.14,9.82,9.82,229347,236042536,0
2020-06-05,9.82,9.93,9.55,9.77,240310,241141771,0
2020-06-08,9.89,10.05,9.66,9.72,184316,186974994,0
2020-06-09,9.76,10.04,9.62,9.89,217793,221301320,0
2020-06-10,9.78,9.92,9.72,9.75,150074,151607761,0
2020-06-11,9.77,9.94,9.59,9.59,189324,189654637,0
2020-06-12,9.54,10.58,9.44,10.58,794383,852767808,0
2020-06-15,10.58,10.87,10.3,10.48,690380,754423824,0
2020-06-16,10.7,10.76,10.27,10.45,398987,429523408,0
2020-06-17,10.41,10.49,9.98,10.14,317699,333726960,0
2020-06-18,10.17,10.39,9.99,10.16,288803,302794400,0
2020-06-19,10.12,10.53,10.06,10.34,361530,383971008,0
2020-06-22,10.28,11.19,10.2,10.68,562319,620093296,0
2020-06-23,10.58,11.02,10.58,10.74,415422,460577072,0
2020-06-24,10.84,10.86,10.19,10.37,352811,382310608,0
2020-06-29,10.17,10.21,9.71,9.73,331447,337894032,0
2020-06-30,9.8,10.05,9.69,9.85,253445,257437031,0
2020-07-01,9.82,9.96,9.77,9.93,217441,221025182,0
2020-07-02,9.86,10.76,9.81,10.61,558480,595044928,0
2020-07-03,10.65,11.65,10.59,11.41,909259,1040299568,0
2020-07-06,11.89,12.58,11.67,12.42,909911,1128936656,0
2020-07-07,12.19,12.19,11.58,11.84,772272,944832656,0
2020-07-08,11.68,12.99,11.64,12.59,782245,999867632,0
2020-07-09,12.19,13.53,12.14,13.04,805114,1052244464,0
2020-07-10,12.83,14.38,12.76,14.38,207652,293029824,0
2020-07-13,15.85,15.85,14.6,15.85,644879,1013071520,0
2020-07-14,15.99,16.99,15.08,15.1,1089796,1775024656,0
2020-07-15,14.88,15.37,13.72,13.95,711460,1048066528,0
2020-07-16,14.02,14.27,12.68,12.88,525726,729102336,0
2020-07-17,13.1,13.25,12.37,12.71,371284,487287232,0
2020-07-20,12.99,13.48,12.76,13.27,376067,504710208,0
2020-07-21,13.27,13.42,12.79,12.91,292943,391853264,0
2020-07-22,12.9,13.49,12.78,13.06,362424,489230048,0
2020-07-23,12.75,13.35,12.49,13.27,356905,474105984,0
2020-07-24,13.09,13.11,12.02,12.19,372969,480837616,0
2020-07-27,12.22,12.5,12.03,12.31,196658,247944109,0
2020-07-28,13.19,13.57,12.97,13.57,838590,1154827168,0
2020-07-29,13.19,14.96,13.09,14.96,978583,1441150720,0
2020-07-30,14.95,16.29,14.68,14.88,1230412,1933839552,0
2020-07-31,14.68,16.4,14.68,16.4,1175028,1889755584,0
2020-08-03,16.99,17.13,15.5,15.82,1106102,1793969520,0
2020-08-04,15.6,15.69,14.69,14.82,750729,1156012592,0
2020-08-05,14.55,15.34,14.42,15.08,521968,801826560,0
2020-08-06,14.94,15.48,14.49,15.3,517812,786935904,0
2020-08-07,14.69,14.89,14.16,14.49,429400,637796816,0
