datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,11.22,11.27,11.11,11.2,89021,99579950,0
2025-11-26 11:30:00,11.2,11.24,11.17,11.21,38097,42669699,0
2025-11-26 14:00:00,11.21,11.25,11.17,11.17,36544,40932556,0
2025-11-26 15:00:00,11.17,11.19,11.14,11.16,56107,62603928,0
2025-11-27 10:30:00,11.09,11.26,11.09,11.18,81731,91598668,0
2025-11-27 11:30:00,11.18,11.2,11.15,11.16,27337,30536922,0
2025-11-27 14:00:00,11.15,11.18,11.14,11.17,33974,37907937,0
2025-11-27 15:00:00,11.16,11.16,11.06,11.1,72663,80673955,0
2025-11-28 10:30:00,11.1,11.34,11.03,11.23,187375,210180286,0
2025-11-28 11:30:00,11.24,11.25,11.19,11.2,30515,34224887,0
2025-11-28 14:00:00,11.2,11.24,11.17,11.22,34116,38197718,0
2025-11-28 15:00:00,11.21,11.27,11.19,11.27,73233,82307373,0
2025-12-01 10:30:00,11.27,11.38,11.24,11.3,128659,145394163,0
2025-12-01 11:30:00,11.3,11.31,11.28,11.3,29631,33465176,0
2025-12-01 14:00:00,11.31,11.31,11.26,11.27,41745,47091673,0
2025-12-01 15:00:00,11.28,11.3,11.26,11.3,48715,54946091,0
2025-12-02 10:30:00,11.28,11.28,11.18,11.19,67635,75795512,0
2025-12-02 11:30:00,11.2,11.23,11.16,11.19,35174,39346782,0
2025-12-02 14:00:00,11.19,11.21,11.17,11.18,26426,29562900,0
2025-12-02 15:00:00,11.18,11.19,11.15,11.17,43819,48944311,0
2025-12-03 10:30:00,11.25,11.29,11.07,11.07,85988,96026325,0
2025-12-03 11:30:00,11.07,11.08,11.03,11.07,43241,47799564,0
2025-12-03 14:00:00,11.06,11.08,10.97,10.98,51401,56701857,0
2025-12-03 15:00:00,10.99,11.05,10.96,11.0,78544,86278989,0
2025-12-04 10:30:00,11.02,11.12,10.93,11.09,123679,136433372,0
2025-12-04 11:30:00,11.1,11.24,11.09,11.18,81794,91360851,0
2025-12-04 14:00:00,11.18,11.22,11.13,11.19,41360,46211088,0
2025-12-04 15:00:00,11.19,11.22,11.18,11.19,61973,69375830,0
2025-12-05 10:30:00,11.2,11.4,11.16,11.21,146936,165720686,0
2025-12-05 11:30:00,11.21,11.27,11.2,11.25,32607,36647974,0
