datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,10.48,11.56,10.48,10.63,1259696,1442247929,0
2020-01-10,10.13,10.71,9.27,9.35,2738001,2826806672,0
2020-01-17,9.31,9.63,9.11,9.41,1157797,1127293325,0
2020-01-24,9.39,9.83,8.97,9.23,996769,973395082,0
2020-02-07,8.28,8.62,7.42,8.37,1271175,1059053454,0
2020-02-14,8.2,8.77,8.19,8.51,1155789,1017534041,0
2020-02-21,8.67,10.12,8.53,9.64,2140370,2069994704,0
2020-02-28,9.45,9.58,8.18,8.24,1401675,1323202530,0
2020-03-06,8.39,10.75,8.39,9.58,2392238,2402632816,0
2020-03-13,9.33,9.53,8.44,8.95,1358144,1282047494,0
2020-03-20,9.01,9.66,8.23,9.56,1241555,1159248674,0
2020-03-27,9.28,9.6,8.59,9.32,1031145,984616570,0
2020-04-03,9.35,10.22,8.4,9.71,1913009,1876167593,0
2020-04-10,9.92,10.64,9.48,9.59,2015019,2119348400,0
2020-04-17,9.68,9.76,8.89,9.04,1138105,1083311356,0
2020-04-24,9.03,9.91,8.92,9.09,1382707,1350761814,0
2020-05-01,9.09,9.22,8.18,8.98,545843,504005443,0
2020-05-08,8.88,9.17,8.8,9.03,379839,354954975,0
2020-05-15,9.05,9.82,8.89,9.82,709070,677823831,0
2020-05-22,10.16,12.02,9.58,10.1,2009140,2198785200,0
2020-05-29,9.88,10.47,9.14,9.2,1630479,1625571677,0
2020-06-05,9.49,10.41,9.31,9.77,1675788,1718617779,0
2020-06-12,9.89,10.58,9.44,10.58,1535890,1602306520,0
2020-06-19,10.58,10.87,9.98,10.34,2057399,2204439600,0
2020-06-26,10.28,11.19,10.19,10.37,1330552,1462980976,0
2020-07-03,10.17,11.65,9.69,11.41,2270072,2451700741,0
2020-07-10,11.89,14.38,11.58,14.38,3477194,4418911232,0
2020-07-17,15.85,16.99,12.37,12.71,3343145,5052552272,0
2020-07-24,12.99,13.49,12.02,12.19,1761308,2340737120,0
2020-07-31,12.22,16.4,12.03,16.4,4419271,6667517133,0
2020-08-07,16.99,17.13,14.16,14.49,3326011,5176541392,0
2020-08-14,14.54,15.09,14.07,14.7,1454309,2167655312,0
2020-08-21,16.2,19.82,15.89,16.79,4739929,8680522800,0
2020-08-28,16.44,17.08,15.07,16.53,2451840,4009995616,0
2020-09-04,16.37,17.09,15.71,16.07,1966003,3291811264,0
2020-09-11,15.99,16.13,13.79,14.18,1283008,1941186084,0
2020-09-18,14.21,15.86,14.01,15.86,1334663,2022586224,0
2020-09-25,17.44,17.47,15.72,16.78,2674856,4503467232,0
2020-10-02,16.64,17.15,15.43,15.75,1199237,2019742800,0
2020-10-09,15.95,15.95,15.08,15.57,405599,635159024,0
2020-10-16,15.45,16.25,14.51,14.7,1359584,2123740084,0
2020-10-23,14.77,15.06,13.8,13.85,742183,1096571771,0
