datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,10.09,10.33,10.06,10.28,575613,632313184,0
2020-01-03,10.3,10.44,10.21,10.27,584166,648384736,0
2020-01-06,10.22,10.56,10.16,10.48,830794,931187552,0
2020-01-07,10.44,10.53,10.25,10.39,573612,639459888,0
2020-01-08,10.38,10.44,10.1,10.11,503160,555180960,0
2020-01-09,10.19,10.26,10.09,10.17,313105,343039248,0
2020-01-10,10.19,10.24,10.12,10.16,244123,267785942,0
2020-01-13,10.16,10.27,10.01,10.26,289126,316311328,0
2020-01-14,10.26,10.45,10.25,10.29,391675,436835952,0
2020-01-15,10.28,10.28,10.05,10.06,275403,300158384,0
2020-01-16,10.09,10.24,9.95,10.0,228982,248781424,0
2020-01-17,10.01,10.07,9.88,9.91,218441,234464368,0
2020-01-20,9.93,10.16,9.87,10.09,249759,270670288,0
2020-01-21,10.07,10.08,9.76,9.78,271213,289181808,0
2020-01-22,9.76,9.85,9.55,9.77,238961,250614657,0
2020-01-23,9.71,9.75,9.26,9.35,338821,347705776,0
2020-02-03,8.34,8.34,8.34,8.34,133646,122018798,0
2020-02-04,7.49,8.26,7.49,8.11,602749,530583808,0
2020-02-05,8.17,8.63,8.17,8.49,478856,443409232,0
2020-02-06,8.6,8.63,8.42,8.57,334569,311763072,0
2020-02-07,8.49,8.7,8.41,8.61,332065,310330032,0
2020-02-10,8.58,8.82,8.51,8.79,328763,312238208,0
2020-02-11,8.89,8.9,8.73,8.76,262054,251605776,0
2020-02-12,8.76,9.07,8.72,9.04,424940,413534240,0
2020-02-13,9.04,9.25,8.87,9.0,434579,427355424,0
2020-02-14,8.96,9.18,8.9,9.02,357238,351273632,0
2020-02-17,9.09,9.26,9.05,9.22,644511,641002560,0
2020-02-18,9.39,9.68,9.25,9.48,874174,898024784,0
2020-02-19,9.41,9.41,9.18,9.21,650767,653481792,0
2020-02-20,9.25,9.34,9.04,9.32,524612,524127824,0
2020-02-21,9.28,9.49,9.22,9.41,635972,647177520,0
2020-02-24,9.35,9.35,9.14,9.25,661423,662383408,0
2020-02-25,9.02,9.14,8.71,9.0,769898,748927600,0
2020-02-26,8.87,9.13,8.76,8.89,529856,516655648,0
2020-02-27,8.93,8.99,8.82,8.88,290538,281382304,0
2020-02-28,8.65,8.71,8.27,8.31,643784,596621520,0
2020-03-02,8.29,8.65,8.29,8.61,361218,337604736,0
2020-03-03,8.73,8.87,8.61,8.69,374738,357951392,0
2020-03-04,8.67,8.84,8.66,8.81,298321,285026624,0
2020-03-05,8.89,9.04,8.8,9.03,538154,523465376,0
2020-03-06,8.91,8.97,8.81,8.87,364695,352740000,0
2020-03-09,8.72,8.73,8.46,8.5,424726,397056736,0
2020-03-10,8.35,8.61,8.28,8.58,378131,349762208,0
2020-03-11,8.6,8.65,8.48,8.48,259667,242990061,0
2020-03-12,8.35,8.39,8.3,8.34,256386,233853658,0
