datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,44.9,44.9,44.36,44.69,198582,886312083,0
2025-11-26 11:30:00,44.69,45.0,44.62,44.92,92424,413975952,0
2025-11-26 14:00:00,44.91,45.1,44.64,44.67,84982,381261919,0
2025-11-26 15:00:00,44.68,44.7,44.45,44.55,132092,588756104,0
2025-11-27 10:30:00,44.7,45.44,44.6,45.14,310284,1401678391,0
2025-11-27 11:30:00,45.14,45.25,44.78,44.79,92954,418139303,0
2025-11-27 14:00:00,44.79,44.95,44.68,44.85,77175,345716122,0
2025-11-27 15:00:00,44.84,44.84,44.34,44.43,148077,659934532,0
2025-11-28 10:30:00,44.44,44.7,44.04,44.48,188146,834431455,0
2025-11-28 11:30:00,44.48,44.65,44.43,44.59,66744,297358724,0
2025-11-28 14:00:00,44.58,44.9,44.58,44.83,110478,494417185,0
2025-11-28 15:00:00,44.83,45.07,44.72,45.0,194850,875496718,0
2025-12-01 10:30:00,45.9,47.5,45.9,46.82,908170,4263153486,0
2025-12-01 11:30:00,46.82,47.58,46.7,47.42,281115,1327082381,0
2025-12-01 14:00:00,47.42,47.48,47.04,47.4,168766,797577265,0
2025-12-01 15:00:00,47.4,47.59,47.23,47.57,327023,1551338423,0
2025-12-02 10:30:00,47.5,47.5,46.37,46.42,453772,2119976494,0
2025-12-02 11:30:00,46.43,46.54,46.21,46.28,145889,676532885,0
2025-12-02 14:00:00,46.28,46.3,46.04,46.22,128449,593021885,0
2025-12-02 15:00:00,46.22,46.41,46.16,46.4,127136,588687937,0
2025-12-03 10:30:00,46.63,48.66,46.46,47.83,876665,4173432606,0
2025-12-03 11:30:00,47.8,48.0,47.55,47.9,175153,837568412,0
2025-12-03 14:00:00,47.89,47.9,47.25,47.35,155665,740552215,0
2025-12-03 15:00:00,47.34,47.48,47.11,47.22,233082,1101490417,0
2025-12-04 10:30:00,46.81,46.92,46.01,46.31,442905,2048108518,0
2025-12-04 11:30:00,46.31,46.81,46.3,46.73,118332,550971966,0
2025-12-04 14:00:00,46.73,46.83,46.51,46.58,70843,330405497,0
2025-12-04 15:00:00,46.57,46.74,46.56,46.66,129294,603256074,0
2025-12-05 10:30:00,46.93,47.08,46.28,46.5,238470,1111801461,0
2025-12-05 11:30:00,46.49,46.93,46.47,46.78,89352,417420507,0
2025-12-05 14:00:00,46.78,47.0,46.64,46.95,105426,493464968,0
2025-12-05 15:00:00,46.95,47.85,46.91,47.33,462860,2194232558,0
2025-12-08 10:30:00,47.33,47.33,46.58,46.91,407311,1910657586,0
2025-12-08 11:30:00,46.92,47.1,46.88,47.03,94099,442020869,0
2025-12-08 14:00:00,47.04,47.53,46.92,47.15,181826,858848598,0
2025-12-08 15:00:00,47.15,47.3,47.11,47.18,144723,682974503,0
2025-12-09 10:30:00,47.0,47.45,46.49,46.84,292984,1375211722,0
2025-12-09 11:30:00,46.83,46.97,46.68,46.85,89334,418208090,0
2025-12-09 14:00:00,46.84,46.85,46.55,46.56,102577,478353414,0
2025-12-09 15:00:00,46.56,47.0,46.51,46.86,146868,687540794,0
2025-12-10 10:30:00,46.88,46.88,45.81,45.98,299183,1381321941,0
2025-12-10 11:30:00,45.98,46.25,45.91,45.95,81192,373832603,0
2025-12-10 14:00:00,45.95,46.2,45.9,46.12,74849,344500034,0
2025-12-10 15:00:00,46.12,46.58,46.12,46.4,146676,680777283,0
2025-12-11 10:30:00,46.41,46.53,46.02,46.45,190477,880035316,0
2025-12-11 11:30:00,46.45,46.67,46.16,46.17,98205,455582589,0
2025-12-11 14:00:00,46.17,46.17,46.05,46.08,99452,458476635,0
2025-12-11 15:00:00,46.07,46.16,45.66,45.8,193610,888835423,0
2025-12-12 10:30:00,45.9,46.03,45.09,45.31,252141,1146182906,0
2025-12-12 11:30:00,45.31,45.85,45.26,45.58,127320,580299903,0
2025-12-12 14:00:00,45.6,45.74,45.35,45.64,126200,574640704,0
2025-12-12 15:00:00,45.64,46.59,45.47,46.59,243866,1120346078,0
2025-12-15 10:30:00,45.75,46.08,45.45,45.62,227134,1037432856,0
2025-12-15 11:30:00,45.62,46.0,45.5,45.57,100457,459124192,0
2025-12-15 14:00:00,45.58,45.6,45.4,45.53,86933,395365568,0
2025-12-15 15:00:00,45.54,45.58,45.19,45.23,129961,589151165,0
2025-12-16 10:30:00,44.92,44.92,43.52,43.91,367776,1616712982,0
2025-12-16 11:30:00,43.91,43.91,43.65,43.74,94912,415355968,0
2025-12-16 14:00:00,43.73,44.49,43.7,44.27,128021,564410524,0
2025-12-16 15:00:00,44.28,44.68,44.21,44.38,137577,611470969,0
2025-12-17 10:30:00,44.09,44.33,43.75,44.02,173716,764950830,0
2025-12-17 11:30:00,44.02,44.24,43.87,44.1,65849,290088556,0
2025-12-17 14:00:00,44.1,44.72,43.88,44.7,115538,511692577,0
2025-12-17 15:00:00,44.72,44.94,44.63,44.75,179389,803237035,0
2025-12-18 10:30:00,44.38,45.42,44.3,44.77,229232,1031305342,0
2025-12-18 11:30:00,44.76,44.8,44.5,44.6,65545,292407462,0
2025-12-18 14:00:00,44.59,44.6,44.21,44.22,87673,389144924,0
2025-12-18 15:00:00,44.22,44.32,44.11,44.11,98252,434161658,0
2025-12-19 10:30:00,44.13,45.11,44.13,44.83,259357,1160791841,0
2025-12-19 11:30:00,44.82,44.94,44.71,44.89,97116,435461909,0
2025-12-19 14:00:00,44.9,45.08,44.86,44.96,141493,636673549,0
2025-12-19 15:00:00,44.96,45.5,44.89,45.5,313865,1418964446,0
2025-12-22 10:30:00,45.25,45.63,45.05,45.5,249255,1132019538,0
2025-12-22 11:30:00,45.49,45.73,45.41,45.71,106493,485762699,0
2025-12-22 14:00:00,45.71,45.73,45.47,45.51,99597,454108987,0
2025-12-22 15:00:00,45.51,45.63,45.48,45.55,119390,543650619,0
2025-12-23 10:30:00,45.8,45.8,45.11,45.52,159880,725772692,0
2025-12-23 11:30:00,45.53,45.99,45.49,45.78,175126,801851420,0
2025-12-23 14:00:00,45.79,45.8,45.52,45.53,85142,388529370,0
2025-12-23 15:00:00,45.53,45.62,45.25,45.46,121326,551052787,0
2025-12-24 10:30:00,45.58,45.73,45.26,45.35,159076,723688389,0
2025-12-24 11:30:00,45.35,45.5,45.3,45.48,60888,276479243,0
2025-12-24 14:00:00,45.48,45.67,45.46,45.57,86803,395541258,0
2025-12-24 15:00:00,45.57,45.68,45.54,45.62,111554,508820075,0
2025-12-25 10:30:00,45.5,45.75,45.15,45.38,221680,1004914201,0
2025-12-25 11:30:00,45.38,45.86,45.37,45.74,124931,571041985,0
2025-12-25 14:00:00,45.73,45.96,45.64,45.92,121067,555242209,0
2025-12-25 15:00:00,45.91,46.18,45.91,46.03,186521,858841482,0
2025-12-26 10:30:00,46.0,46.42,45.86,46.31,233080,1076151712,0
2025-12-26 11:30:00,46.3,46.39,45.68,45.84,163615,753845531,0
2025-12-26 14:00:00,45.84,46.35,45.63,46.31,136744,629754103,0
2025-12-26 15:00:00,46.3,46.35,46.0,46.11,115116,531088305,0
2025-12-29 10:30:00,46.26,46.9,45.77,46.22,310441,1436701702,0
2025-12-29 11:30:00,46.23,46.39,46.08,46.13,84271,389217645,0
