datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,10.09,10.56,9.26,9.35,6126954,6712075495,0
2020-02-29,8.34,9.68,7.49,8.31,9914994,9643897182,0
2020-03-31,8.29,9.04,7.57,8.2,6822773,6203716646,0
2020-04-30,8.21,8.53,7.68,8.24,6050885,5476986408,0
2020-05-31,8.24,9.54,8.24,9.36,12733930,12429211283,0
2020-06-30,9.19,9.34,8.41,8.53,7528146,7299764590,0
2020-07-31,8.53,13.09,8.51,11.62,36224020,44377364656,0
2020-08-31,11.62,14.09,11.21,11.56,29489697,39913553680,0
2020-09-30,11.49,11.8,9.89,9.95,8869844,10272440809,0
2020-10-31,10.08,10.74,9.27,9.28,4562373,4996111729,0
2020-11-30,9.27,13.78,9.15,12.75,28140268,35872529638,0
2020-12-31,12.78,13.16,10.74,12.3,24552393,31284876576,0
2021-01-31,12.22,18.75,12.21,17.01,45814228,74323831376,0
2021-02-28,16.46,21.7,14.88,19.9,33722451,64857205056,0
2021-03-31,20.01,23.97,16.59,18.33,48931025,103598458768,0
2021-04-30,18.26,20.61,17.41,19.56,24428699,49030444256,0
2021-05-31,19.51,21.7,18.06,21.18,22142883,45884963824,0
2021-06-30,20.92,22.64,17.76,19.98,22091187,46312275072,0
2021-07-31,20.18,46.98,19.1,46.98,57546525,189464253952,0
2021-08-31,49.4,57.31,37.5,57.31,52277427,240286877696,0
2021-09-30,58.78,61.38,40.2,43.55,35459936,186751674880,0
2021-10-31,45.31,54.28,40.44,49.88,22868602,109668359728,0
2021-11-30,49.61,56.62,42.82,53.1,33791186,167796801696,0
2021-12-31,52.68,55.73,41.96,45.08,23131305,114897718272,0
2022-01-31,45.67,45.86,36.35,36.46,14209308,59376795488,0
2022-02-28,37.82,48.58,37.46,48.49,18521273,83771675808,0
2022-03-31,48.49,48.51,37.18,38.01,17006613,71900785696,0
2022-04-30,37.59,38.58,26.78,30.96,13478913,44666424752,0
2022-05-31,30.48,35.73,29.08,34.11,15950604,53547954336,0
2022-06-30,33.91,41.57,32.58,34.89,25915268,96979674688,0
2022-07-31,34.88,35.28,30.44,31.11,14435937,47437620952,0
2022-08-31,30.76,33.58,29.23,29.87,12935522,41226330495,0
2022-09-30,29.88,31.34,26.27,26.29,8836167,26110964295,0
2022-10-31,26.29,27.18,23.36,23.93,7050042,18401712441,0
2022-11-30,24.02,29.33,24.02,25.9,15128142,40815445758,0
2022-12-31,26.09,27.56,24.18,24.78,9460451,24899465321,0
2023-01-31,24.84,29.46,24.84,28.76,8445119,23142266827,0
2023-02-28,28.92,31.02,27.33,28.78,11858309,34759623500,0
2023-03-31,28.71,29.08,25.23,25.82,7893342,21252540604,0
2023-04-30,25.72,27.23,24.37,24.89,6748513,17826285287,0
2023-05-31,24.58,25.21,22.87,23.59,4398776,10755543883,0
2023-06-30,23.61,24.11,22.99,23.88,3690159,8809831543,0
2023-07-31,23.87,26.58,23.51,24.58,7969287,19857188015,0
2023-08-31,24.55,25.4,21.31,21.98,5010127,11868931230,0
2023-09-30,22.0,23.04,21.36,21.69,3324410,7420747543,0
2023-10-31,21.69,22.14,19.22,20.8,3623105,7589247164,0
2023-11-30,20.88,21.64,19.62,19.74,3738256,7849337545,0
2023-12-31,19.74,20.04,17.46,19.24,4333226,8236608585,0
2024-01-31,19.35,19.44,16.72,16.78,4336191,7781054157,0
2024-02-29,16.71,19.67,14.98,18.75,6581089,11966486675,0
2024-03-31,18.8,21.05,18.59,19.27,8876882,17445491247,0
2024-04-30,19.38,21.7,18.75,19.2,9777935,19918808974,0
2024-05-31,19.37,20.72,18.77,18.8,5973427,11895050014,0
2024-06-30,18.76,18.79,16.63,17.17,4101963,7300481467,0
2024-07-31,18.03,18.27,16.66,17.45,5160868,8938083939,0
2024-08-31,17.48,17.7,16.13,16.79,3004693,5090160885,0
2024-09-30,16.73,20.6,15.94,20.6,4694057,8452510755,0
2024-10-31,22.66,22.66,18.57,21.43,12882982,26708034543,0
2024-11-30,21.58,27.82,21.58,22.82,26989847,66774553312,0
2024-12-31,22.67,24.12,21.19,21.19,7754670,17608231869,0
2025-01-31,21.2,22.17,20.22,21.02,7462157,15939839939,0
2025-02-28,21.43,23.82,21.24,22.34,9603197,21991137296,0
2025-03-31,22.83,24.04,22.32,22.63,10045592,23342062181,0
2025-04-30,22.57,25.73,21.17,23.26,15347601,36763148800,0
2025-05-31,23.7,25.22,22.98,23.24,10027444,24247713868,0
2025-06-30,23.24,25.85,23.24,24.9,14079834,34840743124,0
2025-07-31,24.9,40.42,24.3,37.5,57096846,191124698492,0
2025-08-31,37.3,58.83,35.53,56.81,65254293,293725293377,0
2025-09-30,56.83,58.01,45.05,48.3,45723974,231156993894,0
2025-10-31,49.85,61.69,48.57,50.81,37593909,201297900507,0
2025-11-30,50.78,50.79,43.5,45.0,16867099,78866307499,0
2025-12-31,45.9,48.66,43.52,46.12,16975840,78343329488,0
2026-01-31,46.12,51.15,46.12,49.41,8010396,39244853315,0
