datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,10.09,10.44,10.06,10.27,1159779,1280697920,0
2020-01-10,10.22,10.56,10.09,10.16,2464794,2736653590,0
2020-01-17,10.16,10.45,9.88,9.91,1403627,1536551456,0
2020-01-24,9.93,10.16,9.26,9.35,1098754,1158172529,0
2020-02-07,8.34,8.7,7.49,8.61,1881885,1718104942,0
2020-02-14,8.58,9.25,8.51,9.02,1807574,1756007280,0
2020-02-21,9.09,9.68,9.04,9.41,3330036,3363814480,0
2020-02-28,9.35,9.35,8.27,8.31,2895499,2805970480,0
2020-03-06,8.29,9.04,8.29,8.87,1937126,1856788128,0
2020-03-13,8.72,8.73,7.91,8.24,1677984,1542622887,0
2020-03-20,8.31,8.38,7.63,7.94,1237349,1081780301,0
2020-03-27,7.72,8.21,7.57,7.93,1271909,1108010493,0
2020-04-03,7.85,8.45,7.67,8.25,1812158,1621306616,0
2020-04-10,8.31,8.53,8.25,8.32,1359103,1245062100,0
2020-04-17,8.28,8.51,8.19,8.29,1433678,1311667019,0
2020-04-24,8.29,8.43,7.99,8.1,1253708,1129108957,0
2020-05-01,8.09,8.3,7.68,8.24,890643,784356553,0
2020-05-08,8.24,9.01,8.24,8.54,1903602,1788519040,0
2020-05-15,8.54,8.75,8.29,8.6,1901000,1773424067,0
2020-05-22,8.86,9.47,8.71,9.23,4858570,4789499328,0
2020-05-29,9.3,9.54,8.93,9.36,4070758,4077768848,0
2020-06-05,9.19,9.34,8.78,8.89,2851113,2824104352,0
2020-06-12,8.89,9.1,8.79,8.9,1796416,1745129254,0
2020-06-19,8.83,8.84,8.57,8.76,1483715,1407463812,0
2020-06-26,8.76,8.92,8.61,8.62,919586,879565072,0
2020-07-03,8.6,9.2,8.41,9.07,1997465,1910252868,0
2020-07-10,9.12,12.49,9.1,11.85,10241847,11924640704,0
2020-07-17,11.88,12.71,10.57,10.93,8939547,11251436256,0
2020-07-24,11.04,13.09,11.0,11.55,9732698,12501531024,0
2020-07-31,11.54,12.18,11.07,11.62,5789779,7233005904,0
2020-08-07,11.62,14.09,11.56,13.82,12249285,16841591040,0
2020-08-14,13.56,13.59,12.28,12.68,6734461,9220811728,0
2020-08-21,12.69,13.7,11.91,12.14,6019420,8226302352,0
2020-08-28,12.16,12.4,11.21,11.68,3810611,4777092336,0
2020-09-04,11.7,11.98,11.02,11.16,2705293,3322238496,0
2020-09-11,11.13,11.39,10.36,10.64,2476818,2867423408,0
2020-09-18,10.65,10.98,10.44,10.9,1907767,2191342720,0
2020-09-25,10.88,10.99,9.97,10.02,1840748,2075568320,0
2020-10-02,10.04,10.1,9.89,9.95,615138,663624089,0
2020-10-09,10.08,10.34,10.06,10.29,343857,379306768,0
2020-10-16,10.36,10.74,10.28,10.34,1518949,1719324829,0
2020-10-23,10.35,10.58,9.9,9.99,1057866,1163849054,0
2020-10-30,9.91,10.15,9.27,9.28,1641701,1733631078,0
2020-11-06,9.27,10.64,9.15,10.42,3706747,4053751430,0
2020-11-13,10.54,11.29,10.36,10.94,4227176,4886333936,0
2020-11-20,10.86,11.77,10.79,11.62,5277000,6424799760,0
2020-11-27,11.63,13.78,11.46,12.96,12942031,17754187104,0
2020-12-04,12.87,13.39,12.08,12.54,7434471,10068405632,0
2020-12-11,12.46,12.81,10.92,11.11,5029906,6408578512,0
2020-12-18,11.11,11.99,10.74,11.65,4297121,5184848032,0
2020-12-25,11.6,12.6,10.97,12.47,5652675,7099624192,0
2021-01-01,12.38,12.52,11.49,12.3,4125534,5276877616,0
2021-01-08,12.22,13.45,12.21,13.02,7007872,9501153488,0
2021-01-15,13.06,14.96,12.94,13.05,10778168,15895624432,0
2021-01-22,14.21,18.41,13.44,17.51,13263416,21984006816,0
2021-01-29,17.81,18.75,16.21,17.01,14764772,26943046640,0
2021-02-05,16.46,19.16,15.46,15.53,11377569,20426350240,0
2021-02-12,15.53,18.4,14.88,17.98,5449960,9656284496,0
2021-02-19,19.4,19.69,18.09,18.9,4505771,8913045536,0
2021-02-26,19.59,21.7,18.18,19.9,12389151,25861524784,0
2021-03-05,20.01,23.97,19.35,20.8,16354461,37217213184,0
2021-03-12,21.92,22.59,18.49,21.59,12370107,26631117936,0
2021-03-19,20.94,22.14,18.59,19.08,7979278,16804630000,0
2021-03-26,19.16,19.57,16.59,17.93,7856918,14552513680,0
2021-04-02,17.91,19.58,17.43,18.2,6057778,11629554272,0
2021-04-09,18.2,19.89,17.85,19.53,5025588,9992682144,0
2021-04-16,19.34,20.01,17.41,18.26,4859364,9327736800,0
2021-04-23,18.16,20.61,17.86,19.9,6855559,14056255104,0
2021-04-30,19.89,20.57,19.22,19.56,6000671,12417199904,0
2021-05-07,19.51,21.36,18.89,20.83,3742215,7849888672,0
2021-05-14,20.95,21.7,18.72,19.36,6190077,13097589984,0
2021-05-21,19.3,20.29,19.06,19.11,4655258,9499423888,0
2021-05-28,18.98,20.15,18.06,19.65,5388317,10720243424,0
2021-06-04,19.91,22.64,19.89,21.71,8322584,18455460672,0
2021-06-11,21.64,22.0,19.51,20.06,4195820,9068378400,0
2021-06-18,20.12,20.34,17.76,18.72,3992540,7817982672,0
2021-06-25,18.5,20.19,18.34,19.62,4967057,10021145936,0
2021-07-02,19.49,20.74,19.1,19.9,5235419,10747676160,0
2021-07-09,20.08,28.98,20.07,28.98,16617939,41800668160,0
2021-07-16,31.08,35.48,29.79,33.18,15622204,51748688640,0
2021-07-23,32.78,40.97,32.58,38.68,11698345,44127113472,0
2021-07-30,38.35,46.98,36.48,46.98,11152820,46707232768,0
2021-08-06,49.4,50.74,42.83,47.25,13132083,62257828608,0
2021-08-13,45.78,46.89,42.38,44.45,11065575,50199189248,0
2021-08-20,41.68,43.23,37.5,42.18,12280890,50131406848,0
2021-08-27,42.37,50.68,40.87,48.35,11400034,54220399104,0
2021-09-03,48.16,60.77,47.95,50.71,11758447,63670834688,0
2021-09-10,50.08,60.68,47.38,60.29,9245018,51557225216,0
2021-09-17,59.75,61.38,47.12,49.07,7766833,42850131200,0
2021-09-24,49.03,53.28,47.67,48.39,4902093,24975682048,0
2021-10-01,47.18,47.23,40.2,43.55,6186390,27175855616,0
2021-10-08,45.31,45.68,43.18,43.51,1116025,5012639744,0
2021-10-15,43.53,45.2,40.44,44.45,4985856,21862537520,0
2021-10-22,44.78,49.78,41.78,47.2,8205054,38277915136,0
2021-10-29,47.84,54.28,46.49,49.88,8561667,44515267328,0
2021-11-05,49.61,49.86,42.82,45.77,8491262,39234721024,0
2021-11-12,45.78,50.43,45.18,47.88,6805509,33447813120,0
2021-11-19,47.28,49.06,44.26,46.77,5834033,27402986912,0
2021-11-26,46.28,56.62,46.28,55.74,9937994,52736280576,0
2021-12-03,54.58,55.77,51.57,53.24,6443325,35048306432,0
2021-12-10,52.42,53.67,49.09,51.53,4504582,23570331168,0
2021-12-17,51.58,52.77,47.4,47.53,5603365,28229297920,0
2021-12-24,48.26,49.71,42.98,43.48,5028474,23649574592,0
2021-12-31,43.45,46.23,41.96,45.08,4273947,19375208224,0
2022-01-07,45.67,45.86,40.28,41.28,3112659,13464694368,0
2022-01-14,41.28,43.98,40.29,43.19,4664098,19793810224,0
2022-01-21,42.85,42.88,37.95,39.13,3412589,14096750384,0
2022-01-28,38.68,41.01,36.35,36.46,3019962,12021540512,0
2022-02-11,37.82,43.34,37.46,42.05,5900453,24660839680,0
2022-02-18,42.05,47.39,42.05,46.79,5856868,26948367680,0
2022-02-25,46.78,48.29,44.61,47.2,5607972,26551626336,0
2022-03-04,47.35,48.58,43.81,44.28,4745460,22402904160,0
2022-03-11,42.02,43.38,38.24,41.08,4431801,18661513472,0
2022-03-18,40.41,42.47,37.18,40.57,3980156,16309276528,0
2022-03-25,40.48,42.04,39.06,39.5,2586847,10695000544,0
2022-04-01,39.1,39.26,37.28,37.9,2858191,11148148736,0
2022-04-08,37.87,38.45,36.39,37.3,1408734,5368925552,0
2022-04-15,37.02,37.05,33.74,34.0,2977863,10587732896,0
2022-04-22,33.78,35.43,30.64,30.76,3115620,10542731808,0
2022-04-29,29.78,31.34,26.78,30.96,5536834,16461818864,0
2022-05-06,30.48,31.77,29.28,29.38,1600864,4987698288,0
2022-05-13,29.18,34.38,29.08,32.59,4920942,16172945504,0
2022-05-20,32.82,34.03,31.74,33.9,3828927,12929403328,0
2022-05-27,33.96,35.73,32.44,33.34,4341395,15140346144,0
2022-06-03,33.54,35.76,32.78,35.14,3127137,10907681472,0
2022-06-10,35.0,39.27,34.95,38.87,5979982,22873736800,0
2022-06-17,38.28,41.57,38.13,40.21,5124312,21008705664,0
2022-06-24,40.18,40.98,32.58,34.49,8545998,31014905264,0
2022-07-01,34.76,35.92,33.7,34.73,5128310,18055398416,0
2022-07-08,34.55,35.09,32.29,33.75,5028999,17084701760,0
2022-07-15,33.88,34.05,30.84,31.0,3326293,10678697340,0
