datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,7.63,8.11,7.47,7.91,432795,381760896,0
2020-01-03,7.97,8.5,7.81,8.2,580949,532745264,0
2020-01-06,8.29,8.78,8.09,8.36,648387,609339616,0
2020-01-07,8.4,8.48,8.12,8.29,405709,375744576,0
2020-01-08,8.29,9.22,8.19,9.22,952808,950644496,0
2020-01-09,9.29,9.68,8.7,9.35,712551,729898048,0
2020-01-10,9.77,9.87,9.03,9.12,553382,575821104,0
2020-01-13,9.1,9.48,8.94,9.22,437870,446878736,0
2020-01-14,9.65,10.2,9.3,9.38,653620,704768112,0
2020-01-15,10.42,10.42,10.42,10.42,62010,70815785,0
2020-01-16,11.56,11.56,11.56,11.56,35146,44143778,0
2020-01-17,12.82,12.82,11.71,12.38,1152936,1532194848,0
2020-01-20,12.27,13.25,11.85,12.51,934444,1278886192,0
2020-01-21,11.96,12.09,11.16,11.16,847520,1050898048,0
2020-01-22,10.9,11.49,10.75,11.36,532622,654258976,0
2020-01-23,11.0,11.73,10.44,10.86,504075,609544720,0
2020-02-03,9.67,9.67,9.67,9.67,34007,36285469,0
2020-02-04,9.2,10.58,9.2,10.45,528939,585733200,0
2020-02-05,10.65,11.5,10.55,11.21,644670,776676672,0
2020-02-06,10.7,11.43,10.7,11.43,613332,743761040,0
2020-02-07,11.7,11.93,11.0,11.16,543473,674685088,0
2020-02-10,10.99,12.02,10.71,12.02,635519,793949744,0
2020-02-11,12.1,12.12,11.32,11.58,422781,536588176,0
2020-02-12,11.6,12.08,11.5,11.82,469537,605056416,0
2020-02-13,11.59,11.98,11.35,11.37,437558,550083968,0
2020-02-14,11.48,11.75,11.15,11.67,367495,457631168,0
2020-02-17,12.0,12.66,11.56,12.46,618048,809795952,0
2020-02-18,12.51,13.58,12.32,13.23,596548,841659552,0
2020-02-19,13.01,14.26,13.01,13.8,599426,880353728,0
2020-02-20,13.7,14.4,13.04,13.94,701666,1038989168,0
2020-02-21,14.2,14.8,13.8,14.32,698407,1072255296,0
2020-02-24,14.03,14.44,13.45,14.15,693523,1035259936,0
2020-02-25,13.8,14.07,12.73,13.3,810383,1163824832,0
2020-02-26,13.05,13.99,12.79,12.8,534756,770648240,0
2020-02-27,13.0,13.2,12.26,12.49,355911,487089200,0
2020-02-28,11.67,12.13,11.2,11.31,444139,560622336,0
2020-03-02,11.5,12.16,11.33,12.03,331121,423198464,0
2020-03-03,12.29,12.88,12.12,12.2,332453,448554448,0
2020-03-04,12.0,12.27,11.51,12.08,213977,276518784,0
2020-03-05,12.33,12.4,11.65,11.78,272740,351703776,0
2020-03-06,11.5,11.95,11.38,11.73,169372,216228412,0
2020-03-09,11.31,11.39,10.46,10.46,349741,414137680,0
2020-03-10,10.4,11.18,10.23,11.11,242495,284705456,0
2020-03-11,11.13,11.42,10.76,10.86,206861,251024986,0
2020-03-12,10.52,10.7,10.31,10.43,216372,248560690,0
2020-03-13,9.6,10.2,9.35,9.93,293034,313784112,0
2020-03-16,10.0,10.24,8.99,9.06,326184,343786064,0
