datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,26.92,27.45,26.68,27.38,47694,129402957,0
2025-11-26 11:30:00,27.37,27.67,27.3,27.45,34575,95012043,0
2025-11-26 14:00:00,27.46,27.51,27.18,27.18,22555,61722550,0
2025-11-26 15:00:00,27.18,27.29,27.11,27.16,21634,58803199,0
2025-11-27 10:30:00,27.17,27.69,27.14,27.42,46674,128371870,0
2025-11-27 11:30:00,27.42,27.49,27.27,27.32,17105,46803131,0
2025-11-27 14:00:00,27.32,27.36,27.2,27.27,14060,38347471,0
2025-11-27 15:00:00,27.27,27.29,27.16,27.18,32681,88969894,0
2025-11-28 10:30:00,27.17,27.48,26.97,27.36,33690,91700613,0
2025-11-28 11:30:00,27.36,27.65,27.2,27.59,60187,165344874,0
2025-11-28 14:00:00,27.59,27.73,27.54,27.58,31755,87790929,0
2025-11-28 15:00:00,27.59,27.85,27.55,27.74,32570,90259980,0
2025-12-01 10:30:00,27.65,28.1,27.59,27.79,61426,170832434,0
2025-12-01 11:30:00,27.78,27.94,27.74,27.86,22258,61966541,0
2025-12-01 14:00:00,27.87,28.22,27.77,28.13,38012,106509553,0
2025-12-01 15:00:00,28.13,28.3,28.13,28.27,44931,126842927,0
2025-12-02 10:30:00,28.18,28.2,27.57,27.63,56242,156656090,0
2025-12-02 11:30:00,27.62,27.85,27.58,27.67,18999,52578355,0
2025-12-02 14:00:00,27.69,27.83,27.62,27.7,13147,36422909,0
2025-12-02 15:00:00,27.7,27.79,27.66,27.71,16193,44889048,0
2025-12-03 10:30:00,27.75,27.95,27.55,27.57,28558,78982615,0
2025-12-03 11:30:00,27.58,27.72,27.52,27.68,12624,34845801,0
2025-12-03 14:00:00,27.68,28.34,27.66,27.95,58463,163959816,0
2025-12-03 15:00:00,27.95,28.01,27.82,27.91,31113,86888474,0
2025-12-04 10:30:00,28.11,28.24,27.39,27.67,49923,137896052,0
2025-12-04 11:30:00,27.68,27.85,27.5,27.7,41823,115730438,0
2025-12-04 14:00:00,27.7,27.74,27.38,27.43,41208,113333366,0
2025-12-04 15:00:00,27.42,27.55,27.4,27.46,18132,49804330,0
2025-12-05 10:30:00,27.45,28.44,27.28,28.4,88431,247196411,0
2025-12-05 11:30:00,28.36,29.07,28.34,28.73,85873,246441196,0
2025-12-05 14:00:00,28.74,28.88,28.61,28.88,28780,82718872,0
2025-12-05 15:00:00,28.88,28.98,28.82,28.91,42825,123792355,0
2025-12-08 10:30:00,28.95,29.28,28.85,28.92,58918,170943621,0
2025-12-08 11:30:00,28.92,28.97,28.75,28.87,29622,85502514,0
2025-12-08 14:00:00,28.88,29.27,28.8,29.03,34089,99038953,0
2025-12-08 15:00:00,29.02,29.05,28.9,28.96,21313,61726903,0
2025-12-09 10:30:00,28.88,29.35,28.72,29.07,43981,128148928,0
2025-12-09 11:30:00,29.07,29.45,29.06,29.39,30176,88267317,0
2025-12-09 14:00:00,29.39,29.39,29.1,29.13,24561,71933252,0
2025-12-09 15:00:00,29.12,29.25,29.05,29.18,23763,69269536,0
2025-12-10 10:30:00,29.1,29.74,29.05,29.49,66201,195025301,0
2025-12-10 11:30:00,29.49,30.18,29.45,30.01,61032,182686819,0
2025-12-10 14:00:00,30.01,30.13,29.85,29.95,25200,75502139,0
2025-12-10 15:00:00,29.95,30.3,29.91,30.12,46778,140951344,0
2025-12-11 10:30:00,30.18,30.26,29.79,30.17,61030,183106433,0
2025-12-11 11:30:00,30.18,30.36,30.05,30.05,27759,83852527,0
2025-12-11 14:00:00,30.05,30.27,29.88,30.13,23433,70289212,0
2025-12-11 15:00:00,30.13,30.22,30.01,30.08,33823,101854149,0
2025-12-12 10:30:00,30.02,30.15,29.5,29.85,59606,177516513,0
2025-12-12 11:30:00,29.88,30.32,29.84,30.32,29608,89076955,0
2025-12-12 14:00:00,30.33,30.54,30.15,30.41,41169,125022510,0
2025-12-12 15:00:00,30.42,30.56,30.33,30.53,53415,162712654,0
2025-12-15 10:30:00,30.0,30.59,29.9,30.15,64889,195736433,0
2025-12-15 11:30:00,30.19,30.32,30.02,30.05,15983,48181937,0
2025-12-15 14:00:00,30.04,30.09,29.85,30.07,18961,56806927,0
2025-12-15 15:00:00,30.08,30.09,29.73,29.74,26777,80000838,0
2025-12-16 10:30:00,29.61,29.84,29.21,29.41,47250,139176718,0
2025-12-16 11:30:00,29.38,29.41,29.05,29.13,21816,63663779,0
2025-12-16 14:00:00,29.13,29.3,29.0,29.14,22277,64881622,0
2025-12-16 15:00:00,29.14,29.35,29.05,29.09,27144,79182808,0
2025-12-17 10:30:00,29.21,29.44,28.9,29.27,43930,128185868,0
2025-12-17 11:30:00,29.27,29.39,29.08,29.28,17639,51572044,0
