datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,7.63,13.25,7.47,10.86,9446824,10548343195,0
2020-02-29,9.67,14.8,9.2,11.31,10750118,14420949181,0
2020-03-31,11.5,12.88,7.4,7.46,5295988,5782406509,0
2020-04-30,7.58,8.95,6.98,8.33,3808601,3492184570,0
2020-05-31,8.33,9.35,7.66,7.96,3900353,3791954937,0
2020-06-30,8.02,10.05,7.97,9.58,4992789,4995276468,0
2020-07-31,9.7,11.47,8.61,9.52,5196835,5627947896,0
2020-08-31,9.55,11.89,9.35,10.26,5725352,6567695759,0
2020-09-30,10.25,10.5,8.92,9.19,1613105,1681983175,0
2020-10-31,9.3,9.59,7.74,7.85,1186362,1123662055,0
2020-11-30,7.84,9.04,7.78,8.05,1345018,1245884533,0
2020-12-31,8.07,8.13,6.77,7.0,1959459,1600105512,0
2021-01-31,7.05,7.75,6.2,7.07,2154227,1695435552,0
2021-02-28,7.04,8.39,6.6,7.74,1853504,1537049643,0
2021-03-31,7.74,8.32,6.5,6.58,1486983,1240195444,0
2021-04-30,6.58,7.07,6.47,6.9,949390,714813097,0
2021-05-31,6.88,7.29,6.67,7.15,1005860,779196959,0
2021-06-30,7.12,7.9,7.03,7.74,1699227,1385553522,0
2021-07-31,7.7,10.54,7.12,9.31,5953163,5742721452,0
2021-08-31,9.5,9.74,7.8,8.61,4190067,3978877754,0
2021-09-30,8.57,9.46,7.37,7.85,3156919,2969922944,0
2021-10-31,8.05,10.39,7.71,9.35,2873027,2891688570,0
2021-11-30,9.35,12.21,8.95,11.58,6315869,7230172835,0
2021-12-31,11.53,12.77,10.8,11.1,4329780,5365330953,0
2022-01-31,11.13,13.16,9.15,9.44,4092051,4886466630,0
2022-02-28,9.65,10.7,9.35,10.2,1665885,1778921291,0
2022-03-31,10.16,10.35,7.36,7.73,2367736,2180623767,0
2022-04-30,7.73,7.79,4.91,5.55,1802457,1267446163,0
2022-05-31,5.55,6.43,5.45,6.4,1386748,916006371,0
2022-06-30,6.5,8.29,6.4,7.38,2917668,2318878229,0
2022-07-31,7.37,9.82,7.3,9.32,2932126,2699397150,0
2022-08-31,9.31,11.28,8.86,8.95,3525180,3755025858,0
2022-09-30,8.95,9.63,7.2,7.24,1589185,1436767593,0
2022-10-31,7.26,9.05,6.99,8.48,1600091,1422825848,0
2022-11-30,8.43,9.52,7.89,8.33,1721433,1615600342,0
2022-12-31,8.35,9.39,7.67,7.9,1991904,1814675452,0
2023-01-31,7.87,9.84,7.83,9.42,1795883,1686231131,0
2023-02-28,9.44,10.36,9.28,9.44,2307876,2392490712,0
2023-03-31,9.45,10.3,8.32,8.65,2521947,2429678510,0
2023-04-30,8.64,8.71,6.99,7.03,2034995,1738898447,0
2023-05-31,6.97,7.35,6.52,7.12,1647500,1232745479,0
2023-06-30,7.14,7.58,6.57,7.12,1627068,1224306714,0
2023-07-31,7.15,8.58,7.14,7.82,3321924,2731492536,0
2023-08-31,7.66,10.46,7.46,9.71,6148669,5718166754,0
2023-09-30,9.6,11.54,9.29,11.14,9176067,10025261981,0
2023-10-31,10.9,13.59,10.57,12.39,10572858,13440940231,0
2023-11-30,12.44,14.88,12.02,13.89,7511902,10593784356,0
2023-12-31,13.89,14.99,12.35,14.99,3524572,4946777278,0
2024-01-31,15.1,15.49,10.1,10.1,3872285,5039288422,0
2024-02-29,10.05,13.91,9.9,13.68,3780369,4903361241,0
2024-03-31,13.6,15.63,12.8,14.25,5521191,8126179140,0
2024-04-30,14.26,15.19,12.68,14.98,3151172,4529005694,0
2024-05-31,15.1,15.36,13.09,14.18,2512072,3716565562,0
2024-06-30,14.39,15.07,13.02,14.09,3211042,4624837365,0
2024-07-31,14.2,15.86,12.44,15.72,5621545,8026033651,0
2024-08-31,15.63,16.41,13.6,16.07,8707868,13099554064,0
2024-09-30,15.9,16.96,12.96,15.89,8737780,13104643369,0
2024-10-31,17.48,19.85,15.57,17.03,11457340,20652355865,0
2024-11-30,16.81,18.54,14.89,15.54,7214150,12465848289,0
2024-12-31,15.8,17.9,15.67,15.87,5838982,9954682285,0
2025-01-31,15.8,17.6,14.62,16.91,4018447,6620271861,0
2025-02-28,17.37,24.63,17.13,24.42,7376795,15328427214,0
2025-03-31,23.19,23.89,18.96,20.19,5474895,11901842451,0
2025-04-30,20.14,20.7,15.73,19.72,4002375,7582613547,0
2025-05-31,19.92,21.19,18.88,18.99,3049971,6198399216,0
2025-06-30,18.99,21.02,18.19,20.34,3206058,6296329316,0
2025-07-31,20.22,25.05,19.9,23.99,4633874,10282890861,0
2025-08-31,24.07,31.02,23.3,30.81,7777946,21236556090,0
2025-09-30,30.5,36.83,27.01,33.04,6663801,20734561867,0
2025-10-31,33.22,35.0,28.4,30.08,3482925,10923978037,0
2025-11-30,30.14,30.2,25.68,27.74,2969885,8293459127,0
2025-12-31,27.65,31.68,27.28,30.55,3447282,10225364746,0
2026-01-31,30.08,32.25,30.08,31.26,910486,2821390267,0
