datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,7.63,8.5,7.47,8.2,1013744,914506160,0
2020-01-10,8.29,9.87,8.09,9.12,3272837,3241447840,0
2020-01-17,9.1,12.82,8.94,12.38,2341582,2798801259,0
2020-01-24,12.27,13.25,10.44,10.86,2818661,3593587936,0
2020-02-07,9.67,11.93,9.2,11.16,2364421,2817141469,0
2020-02-14,10.99,12.12,10.71,11.67,2332890,2943309472,0
2020-02-21,12.0,14.8,11.56,14.32,3214095,4643053696,0
2020-02-28,14.03,14.44,11.2,11.31,2838712,4017444544,0
2020-03-06,11.5,12.88,11.33,11.73,1319663,1716203884,0
2020-03-13,11.31,11.42,9.35,9.93,1308503,1512212924,0
2020-03-20,10.0,10.24,8.56,8.91,1209692,1220195603,0
2020-03-27,8.55,8.69,7.84,8.01,1108338,1033064634,0
2020-04-03,7.91,8.38,7.4,8.25,1121489,993724032,0
2020-04-10,8.51,8.95,8.18,8.42,822570,784710983,0
2020-04-17,8.27,8.94,8.02,8.26,900719,849503950,0
2020-04-24,8.26,8.38,7.49,7.53,645237,580422037,0
2020-05-01,7.58,8.33,6.98,8.33,668378,584553032,0
2020-05-08,8.33,9.34,8.19,9.19,1276354,1260392544,0
2020-05-15,9.22,9.35,8.9,9.0,966563,979333345,0
2020-05-22,8.99,9.06,7.9,7.97,997105,956620181,0
2020-05-29,7.96,8.31,7.66,7.96,660331,595608867,0
2020-06-05,8.02,8.99,7.97,8.43,988934,945651740,0
2020-06-12,8.54,10.05,8.53,8.98,1716711,1746357437,0
2020-06-19,8.84,9.78,8.61,9.32,1378038,1386649255,0
2020-06-26,9.32,9.49,9.12,9.19,475058,479534380,0
2020-07-03,9.08,9.85,8.73,9.6,1135261,1164190495,0
2020-07-10,9.66,11.14,9.66,10.63,1613770,1828648144,0
2020-07-17,10.62,11.47,9.23,9.35,1254553,1413121494,0
2020-07-24,9.51,10.03,8.91,8.95,911482,945415584,0
2020-07-31,8.94,9.62,8.61,9.52,715817,713655835,0
2020-08-07,9.55,11.1,9.35,10.34,1570830,1714924343,0
2020-08-14,10.7,11.89,10.15,11.27,2253073,2666731968,0
2020-08-21,11.28,11.73,10.23,10.36,1215984,1425742723,0
2020-08-28,10.41,10.68,9.85,10.43,579797,642466820,0
2020-09-04,10.45,10.5,9.83,10.14,466200,514782804,0
2020-09-11,10.08,10.31,8.97,9.37,456214,476183866,0
2020-09-18,9.44,9.96,9.35,9.56,345295,357509088,0
2020-09-25,9.54,9.62,8.92,9.04,268810,269915735,0
2020-10-02,9.01,9.37,8.92,9.19,182254,181421587,0
