datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,4.95,5.09,4.92,4.99,553779,277965547,0
2025-11-26 11:30:00,4.99,5.06,4.97,5.05,195352,97978989,0
2025-11-26 14:00:00,5.05,5.09,5.03,5.07,266522,134765823,0
2025-11-26 15:00:00,5.06,5.09,5.03,5.06,243164,123154309,0
2025-11-27 10:30:00,5.06,5.1,4.95,5.04,426494,213331855,0
2025-11-27 11:30:00,5.05,5.12,5.04,5.08,212677,108101741,0
2025-11-27 14:00:00,5.08,5.11,5.07,5.07,166098,84500955,0
2025-11-27 15:00:00,5.07,5.08,5.05,5.05,163366,82796697,0
2025-11-28 10:30:00,5.05,5.11,5.01,5.04,283880,143728397,0
2025-11-28 11:30:00,5.04,5.05,5.01,5.05,85922,43277251,0
2025-11-28 14:00:00,5.05,5.05,5.0,5.04,115313,57927344,0
2025-11-28 15:00:00,5.04,5.05,5.02,5.04,154169,77653720,0
2025-12-01 10:30:00,5.04,5.09,4.99,5.07,390918,197152547,0
2025-12-01 11:30:00,5.06,5.12,5.05,5.1,239357,121781150,0
2025-12-01 14:00:00,5.1,5.13,5.08,5.11,166011,84637072,0
2025-12-01 15:00:00,5.11,5.14,5.09,5.12,279214,142687387,0
2025-12-02 10:30:00,5.1,5.17,5.06,5.09,300797,154084482,0
2025-12-02 11:30:00,5.09,5.15,5.05,5.12,122107,62226356,0
2025-12-02 14:00:00,5.12,5.15,5.11,5.11,124327,63790342,0
2025-12-02 15:00:00,5.12,5.14,5.1,5.12,126903,64926806,0
2025-12-03 10:30:00,5.12,5.23,5.06,5.23,356613,184024731,0
2025-12-03 11:30:00,5.22,5.27,5.2,5.24,194720,102007648,0
2025-12-03 14:00:00,5.24,5.25,5.19,5.23,146918,76674704,0
2025-12-03 15:00:00,5.22,5.25,5.19,5.21,204306,106596440,0
2025-12-04 10:30:00,5.21,5.23,5.07,5.15,326443,167652493,0
2025-12-04 11:30:00,5.15,5.18,5.12,5.18,163889,84450785,0
2025-12-04 14:00:00,5.17,5.22,5.13,5.18,180531,93418507,0
2025-12-04 15:00:00,5.17,5.25,5.16,5.19,223273,116126167,0
2025-12-05 10:30:00,5.18,5.22,5.1,5.12,178723,92077238,0
2025-12-05 11:30:00,5.12,5.18,5.11,5.15,104076,53511443,0
2025-12-05 14:00:00,5.14,5.15,5.09,5.11,136421,69680670,0
2025-12-05 15:00:00,5.11,5.13,5.1,5.1,131653,67276839,0
2025-12-08 10:30:00,5.12,5.15,4.98,5.1,313202,158159913,0
2025-12-08 11:30:00,5.1,5.18,5.09,5.18,167770,86359459,0
2025-12-08 14:00:00,5.17,5.22,5.16,5.2,174718,90734929,0
2025-12-08 15:00:00,5.2,5.22,5.17,5.22,250032,129959695,0
2025-12-09 10:30:00,5.18,5.2,5.06,5.07,240821,123127508,0
2025-12-09 11:30:00,5.08,5.09,5.04,5.07,105785,53576188,0
2025-12-09 14:00:00,5.06,5.08,5.04,5.05,166480,84168932,0
2025-12-09 15:00:00,5.05,5.07,5.03,5.05,135706,68530725,0
2025-12-10 10:30:00,5.05,5.1,5.02,5.1,165392,83890071,0
2025-12-10 11:30:00,5.09,5.11,5.06,5.07,100076,50903215,0
2025-12-10 14:00:00,5.07,5.08,5.04,5.06,83667,42333531,0
2025-12-10 15:00:00,5.06,5.1,5.05,5.08,123871,62901969,0
2025-12-11 10:30:00,5.07,5.09,5.03,5.07,164360,83277268,0
2025-12-11 11:30:00,5.07,5.15,5.06,5.13,190268,97430188,0
2025-12-11 14:00:00,5.14,5.14,5.06,5.06,79076,40226489,0
2025-12-11 15:00:00,5.07,5.07,5.03,5.03,97425,49158741,0
2025-12-12 10:30:00,5.04,5.11,4.99,5.08,225114,113787573,0
2025-12-12 11:30:00,5.07,5.22,5.06,5.18,320419,165217902,0
2025-12-12 14:00:00,5.18,5.21,5.14,5.15,183716,94947949,0
2025-12-12 15:00:00,5.15,5.15,5.11,5.13,146305,74997121,0
2025-12-15 10:30:00,5.12,5.23,5.08,5.21,255569,131482380,0
2025-12-15 11:30:00,5.21,5.24,5.18,5.2,170665,88929894,0
2025-12-15 14:00:00,5.2,5.27,5.2,5.25,286271,150073918,0
2025-12-15 15:00:00,5.25,5.28,5.23,5.24,263473,138608708,0
2025-12-16 10:30:00,5.26,5.34,5.23,5.3,435600,230217626,0
2025-12-16 11:30:00,5.3,5.34,5.28,5.3,286628,152200879,0
2025-12-16 14:00:00,5.29,5.41,5.29,5.4,414103,221410411,0
2025-12-16 15:00:00,5.41,5.43,5.38,5.4,451764,244502918,0
2025-12-17 10:30:00,5.47,5.72,5.42,5.61,1199227,671477902,0
2025-12-17 11:30:00,5.61,5.67,5.59,5.66,257548,144937120,0
2025-12-17 14:00:00,5.65,5.71,5.62,5.7,382952,216679744,0
2025-12-17 15:00:00,5.71,5.71,5.67,5.68,274252,155922500,0
2025-12-18 10:30:00,5.61,5.71,5.58,5.7,391140,220710957,0
2025-12-18 11:30:00,5.7,5.75,5.67,5.7,266810,152274820,0
2025-12-18 14:00:00,5.7,5.79,5.69,5.72,408941,234712068,0
2025-12-18 15:00:00,5.72,5.75,5.71,5.73,220013,126047816,0
2025-12-19 10:30:00,5.71,5.75,5.59,5.7,420753,239445197,0
2025-12-19 11:30:00,5.7,5.76,5.7,5.72,160493,91908939,0
2025-12-19 14:00:00,5.72,5.73,5.67,5.71,161340,92032695,0
2025-12-19 15:00:00,5.71,5.79,5.71,5.77,376468,217113256,0
2025-12-22 10:30:00,5.77,5.81,5.66,5.7,478296,274118052,0
2025-12-22 11:30:00,5.71,5.77,5.69,5.74,156195,89586516,0
2025-12-22 14:00:00,5.73,5.8,5.73,5.74,226053,130195081,0
2025-12-22 15:00:00,5.75,5.77,5.74,5.76,192092,110594247,0
2025-12-23 10:30:00,5.75,5.75,5.58,5.63,504141,283480591,0
2025-12-23 11:30:00,5.62,5.67,5.61,5.66,209803,118254714,0
2025-12-23 14:00:00,5.65,5.67,5.61,5.62,160765,90730467,0
2025-12-23 15:00:00,5.62,5.67,5.62,5.65,218292,123263087,0
2025-12-24 10:30:00,5.65,5.65,5.53,5.55,418227,232899104,0
2025-12-24 11:30:00,5.55,5.61,5.54,5.55,297634,165669264,0
2025-12-24 14:00:00,5.55,5.64,5.55,5.6,312027,174923546,0
2025-12-24 15:00:00,5.6,5.66,5.59,5.62,223659,125594126,0
2025-12-25 10:30:00,5.62,5.62,5.56,5.58,225980,126184155,0
2025-12-25 11:30:00,5.59,5.68,5.58,5.64,284704,160650548,0
2025-12-25 14:00:00,5.64,5.67,5.58,5.58,247559,139311881,0
2025-12-25 15:00:00,5.59,5.64,5.58,5.62,308451,172936054,0
2025-12-26 10:30:00,5.59,5.62,5.52,5.58,304475,169428192,0
2025-12-26 11:30:00,5.57,5.58,5.48,5.52,260456,143923722,0
2025-12-26 14:00:00,5.52,5.56,5.5,5.54,150090,82988124,0
2025-12-26 15:00:00,5.54,5.59,5.5,5.55,375659,208259773,0
2025-12-29 10:30:00,5.54,5.8,5.52,5.71,679664,387600885,0
2025-12-29 11:30:00,5.71,5.76,5.67,5.69,219993,125609215,0
2025-12-29 14:00:00,5.69,5.7,5.64,5.67,186247,105354900,0
2025-12-29 15:00:00,5.67,5.72,5.65,5.69,347925,197565278,0
2025-12-30 10:30:00,5.66,5.7,5.54,5.58,380892,213925324,0
2025-12-30 11:30:00,5.57,5.76,5.57,5.69,372086,211784890,0
2025-12-30 14:00:00,5.69,5.7,5.64,5.68,159392,90322255,0
2025-12-30 15:00:00,5.68,5.7,5.66,5.67,159789,90722498,0
2025-12-31 10:30:00,5.67,5.87,5.66,5.82,535319,309734279,0
2025-12-31 11:30:00,5.83,5.93,5.83,5.9,350151,206254154,0
2025-12-31 14:00:00,5.89,6.03,5.87,5.97,422562,252209043,0
2025-12-31 15:00:00,5.96,6.02,5.96,6.0,299649,179786050,0
2026-01-05 10:30:00,5.99,6.04,5.89,5.97,770534,459764815,0
2026-01-05 11:30:00,5.95,6.02,5.89,5.9,280209,166855104,0
2026-01-05 14:00:00,5.9,6.0,5.88,5.95,429178,255263644,0
2026-01-05 15:00:00,5.96,6.07,5.95,6.05,312931,188502615,0
2026-01-06 10:30:00,5.98,6.17,5.8,6.12,921377,552575145,0
2026-01-06 11:30:00,6.12,6.19,6.09,6.13,471605,289538426,0
2026-01-06 14:00:00,6.12,6.19,6.04,6.1,434346,265689022,0
2026-01-06 15:00:00,6.1,6.19,6.09,6.13,432095,265593758,0
2026-01-07 10:30:00,6.11,6.27,6.08,6.14,360719,222360108,0
2026-01-07 11:30:00,6.14,6.23,6.11,6.2,163636,100948948,0
2026-01-07 14:00:00,6.2,6.21,6.12,6.14,160624,99003882,0
2026-01-07 15:00:00,6.15,6.16,6.11,6.14,188404,115566807,0
2026-01-08 10:30:00,6.1,6.14,6.06,6.08,209628,127697140,0
2026-01-08 11:30:00,6.08,6.21,6.04,6.19,196146,120093412,0
2026-01-08 14:00:00,6.18,6.25,6.16,6.22,247003,153632663,0
2026-01-08 15:00:00,6.21,6.22,6.16,6.18,175015,108177634,0
2026-01-09 10:30:00,6.14,6.14,5.86,5.91,719638,428807667,0
2026-01-09 11:30:00,5.91,6.02,5.89,5.98,205611,122584718,0
2026-01-09 14:00:00,5.98,6.03,5.96,5.98,129459,77657238,0
2026-01-09 15:00:00,5.99,6.0,5.96,5.98,248699,148806738,0
