datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,5.78,5.85,5.0,5.05,9278177,5119745774,0
2020-02-29,4.54,5.05,4.18,4.49,12596758,5960533185,0
2020-03-31,4.48,4.93,3.96,4.08,13570851,6136661931,0
2020-04-30,4.07,4.37,3.98,4.33,7155202,3019626394,0
2020-05-31,4.17,4.25,4.01,4.11,4530097,1891800329,0
2020-06-30,4.11,4.66,4.09,4.17,9181518,4011873925,0
2020-07-31,4.17,4.83,4.15,4.36,15547603,7111387222,0
2020-08-31,4.38,5.3,4.37,5.05,18922070,9244280372,0
2020-09-30,5.01,5.7,4.76,4.94,15384277,7988334902,0
2020-10-31,5.02,5.18,4.56,4.59,5520700,2709259137,0
2020-11-30,4.57,5.17,4.44,4.98,9350129,4563402248,0
2020-12-31,4.97,5.23,4.45,4.68,8361450,4009550084,0
2021-01-31,4.64,4.7,4.43,4.59,6379826,2909394512,0
2021-02-28,4.51,5.14,4.43,4.72,7838105,3764239232,0
2021-03-31,4.74,5.81,4.71,5.46,16696099,8895029907,0
2021-04-30,5.42,5.92,5.16,5.22,9653342,5338320293,0
2021-05-31,5.18,5.79,5.06,5.42,6200029,3366810032,0
2021-06-30,5.41,5.41,5.04,5.08,5579125,2906966203,0
2021-07-31,5.08,5.1,4.4,4.41,5268714,2562495296,0
2021-08-31,4.31,4.87,4.23,4.7,5530041,2513237341,0
2021-09-30,4.72,5.22,4.57,4.71,6042925,2917044681,0
2021-10-31,4.86,5.33,4.58,4.83,7541861,3727522104,0
2021-11-30,4.76,5.12,4.58,4.66,5448918,2631288743,0
2021-12-31,4.65,5.22,4.64,5.16,5954899,2904208903,0
2022-01-31,5.17,5.9,5.11,5.74,7143721,3882868792,0
2022-02-28,5.76,6.2,5.31,5.4,5790690,3354487956,0
2022-03-31,5.36,5.95,4.61,4.68,13752677,7109341998,0
2022-04-30,4.64,5.0,4.38,4.72,9284674,4395037242,0
2022-05-31,4.7,4.87,4.4,4.82,7007864,3238939699,0
2022-06-30,4.8,5.56,4.49,5.49,9966533,4844815698,0
2022-07-31,5.41,5.48,4.85,4.9,5563981,2820110421,0
2022-08-31,4.84,4.96,4.67,4.91,3942550,1895945614,0
2022-09-30,4.92,5.21,4.64,4.88,5037286,2495293614,0
2022-10-31,4.93,5.28,4.74,4.8,4588396,2272550601,0
2022-11-30,4.79,5.49,4.67,5.35,9059295,4666871480,0
2022-12-31,5.42,5.99,5.13,5.53,12360738,6891086379,0
2023-01-31,5.54,5.64,5.31,5.37,6101980,3312593223,0
2023-02-28,5.37,5.58,5.2,5.43,6040945,3251999243,0
2023-03-31,5.45,5.6,5.08,5.15,7307905,3892638694,0
2023-04-30,5.16,5.62,5.04,5.18,8828595,4702152386,0
2023-05-31,5.16,5.21,4.67,4.67,5909108,2908100656,0
2023-06-30,4.68,4.93,4.55,4.76,5802246,2741778481,0
2023-07-31,4.76,5.13,4.66,4.89,14240838,6871166048,0
2023-08-31,4.89,4.94,4.3,4.34,14017335,6494373178,0
2023-09-30,4.35,4.59,4.23,4.4,9593645,4250370017,0
2023-10-31,4.4,4.42,3.89,4.36,6724773,2826715208,0
2023-11-30,4.35,4.35,4.12,4.2,8293965,3518038585,0
2023-12-31,4.2,4.24,3.77,3.88,8963604,3571906146,0
2024-01-31,3.9,4.03,3.63,3.74,11358744,4324903253,0
2024-02-29,3.71,3.9,3.48,3.81,10357272,3893602286,0
2024-03-31,3.8,3.81,3.58,3.64,10805300,3996956012,0
2024-04-30,3.64,3.88,3.38,3.84,13650899,4914418386,0
2024-05-31,3.85,4.09,3.77,3.95,8988899,3510365172,0
2024-06-30,3.95,4.04,3.83,4.01,7542531,2979928871,0
2024-07-31,4.0,4.09,3.72,3.99,8576848,3371840134,0
2024-08-31,3.99,4.15,3.66,3.79,9100596,3521519275,0
2024-09-30,3.78,4.16,3.42,4.14,14725124,5572515660,0
2024-10-31,4.49,4.49,3.52,3.84,25628672,9778013396,0
2024-11-30,3.83,4.19,3.78,4.08,21312367,8526490779,0
2024-12-31,4.08,4.43,3.97,4.0,17549608,7284645519,0
2025-01-31,4.01,4.18,3.65,3.88,12661576,4923827165,0
2025-02-28,3.89,3.9,3.64,3.83,13057346,4919277846,0
2025-03-31,3.83,3.96,3.62,3.63,16347169,6183875667,0
2025-04-30,3.62,3.85,3.47,3.69,15481772,5747651535,0
2025-05-31,3.71,4.07,3.71,4.03,15041546,5818864877,0
2025-06-30,4.01,4.14,3.84,4.03,12345790,4941859348,0
2025-07-31,4.04,4.09,3.75,3.79,17705402,6848569849,0
2025-08-31,3.79,4.23,3.76,4.07,16536656,6631677280,0
2025-09-30,4.09,4.23,3.92,4.15,26052137,10567179805,0
2025-10-31,4.09,4.96,3.97,4.8,24899081,11350486119,0
2025-11-30,4.8,5.48,4.75,5.04,25611395,13126044362,0
2025-12-31,5.04,6.03,4.98,6.0,24283638,13273022936,0
2026-01-31,5.99,6.27,5.8,5.98,7056857,4269119484,0
