datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,14.33,14.34,13.87,13.9,429642,605759040,0
2020-01-03,13.87,14.2,13.81,13.9,266048,371747968,0
2020-01-06,13.71,14.06,13.64,13.81,282824,391612832,0
2020-01-07,13.87,14.07,13.71,13.98,243591,338371904,0
2020-01-08,13.81,13.87,13.35,13.43,223557,304645552,0
2020-01-09,13.65,13.79,13.45,13.63,182474,248414272,0
2020-01-10,13.85,13.9,13.49,13.62,170479,233404295,0
2020-01-13,13.59,13.85,13.35,13.84,181082,247016484,0
2020-01-14,13.94,14.39,13.84,14.0,456390,647081424,0
2020-01-15,13.84,14.05,13.65,13.76,217140,299930144,0
2020-01-16,13.77,13.83,13.4,13.49,178782,242523177,0
2020-01-17,13.58,13.8,13.5,13.52,150248,204625173,0
2020-01-20,13.55,13.67,13.41,13.66,137332,186370200,0
2020-01-21,13.63,13.8,13.38,13.41,181063,246161227,0
2020-01-22,13.18,13.66,13.05,13.52,179896,240588557,0
2020-01-23,13.35,13.53,12.41,12.72,219998,286210496,0
2020-02-03,11.45,11.45,11.45,11.45,50729,58084705,0
2020-02-04,10.7,11.58,10.7,11.3,261505,295034944,0
2020-02-05,11.33,12.43,11.3,12.28,388003,471880656,0
2020-02-06,12.08,12.63,12.06,12.5,388546,479689232,0
2020-02-07,12.35,12.6,12.15,12.36,310188,382916192,0
2020-02-10,12.2,12.47,12.18,12.36,209180,258050450,0
2020-02-11,12.42,12.58,12.23,12.26,179522,222349100,0
2020-02-12,12.24,12.55,12.16,12.48,195701,242782695,0
2020-02-13,12.48,12.57,12.14,12.17,159516,196266782,0
2020-02-14,12.12,13.07,12.08,12.64,332060,418771904,0
2020-02-17,12.81,13.24,12.6,13.13,379724,488818224,0
2020-02-18,13.0,13.27,12.87,13.0,253150,329592368,0
2020-02-19,12.96,13.28,12.91,12.95,264474,347580192,0
2020-02-20,12.85,13.88,12.85,13.76,475098,634927872,0
2020-02-21,13.56,14.06,13.34,13.53,489155,666465792,0
2020-02-24,13.37,13.74,13.25,13.49,335116,452193632,0
2020-02-25,13.29,13.6,12.95,13.54,359126,478509664,0
2020-02-26,13.29,13.74,13.21,13.35,332289,448975408,0
2020-02-27,13.48,13.69,13.15,13.22,237680,318552176,0
2020-02-28,12.78,12.98,12.06,12.07,275126,344515440,0
2020-03-02,12.2,13.28,12.2,13.28,260634,336274992,0
2020-03-03,14.28,14.61,13.89,14.12,1058162,1517549744,0
2020-03-04,13.88,14.53,13.75,14.4,761121,1080700656,0
2020-03-05,14.48,15.19,13.9,14.37,900684,1304479808,0
2020-03-06,14.0,14.2,13.62,13.64,500000,692456896,0
2020-03-09,13.25,13.67,13.06,13.26,362988,485222192,0
2020-03-10,14.0,14.56,13.7,14.33,708350,1001495344,0
2020-03-11,13.97,14.04,13.59,13.6,518545,717575280,0
2020-03-12,13.4,13.88,13.4,13.8,322779,440643888,0
2020-03-13,13.04,14.27,13.04,14.1,494818,679052288,0
2020-03-16,14.15,14.15,12.8,12.85,398280,539390656,0
2020-03-17,13.29,13.45,12.64,13.05,258557,337632576,0
2020-03-18,13.05,13.18,12.32,12.5,282385,362077632,0
2020-03-19,12.31,12.69,11.98,12.46,312618,385146864,0
2020-03-20,12.52,12.55,12.0,12.24,196154,240404561,0
2020-03-23,11.87,12.14,11.51,11.61,155861,184877355,0
2020-03-24,11.93,11.99,11.54,11.88,155606,183726195,0
2020-03-25,12.2,12.2,11.94,12.08,164560,198965840,0
2020-03-26,12.03,12.04,11.78,11.79,117547,139966504,0
2020-03-27,11.91,12.5,11.91,12.11,253009,308375216,0
2020-03-30,11.74,12.07,11.61,11.96,151655,179724693,0
2020-03-31,12.06,12.6,11.99,12.29,306927,380305024,0
2020-04-01,12.15,12.42,12.15,12.24,176694,217148874,0
2020-04-02,12.17,12.5,12.1,12.5,187378,231664954,0
2020-04-03,12.45,12.46,12.1,12.15,152875,187163828,0
2020-04-07,12.42,12.49,12.22,12.42,217345,268933664,0
2020-04-08,12.31,12.37,12.21,12.27,129795,159448903,0
2020-04-09,12.24,12.43,12.07,12.11,254095,311441472,0
2020-04-10,12.01,12.05,11.58,11.66,215735,253460990,0
2020-04-13,11.52,11.74,11.52,11.7,84079,97998375,0
2020-04-14,11.79,12.0,11.62,11.9,149431,176499705,0
2020-04-15,11.84,11.96,11.62,11.66,116979,137670703,0
2020-04-16,11.61,11.83,11.57,11.66,107951,126426857,0
2020-04-17,11.91,12.46,11.85,12.0,352887,427442560,0
2020-04-20,11.88,11.93,11.73,11.85,201782,238371882,0
2020-04-21,11.75,11.79,11.58,11.67,125834,146634449,0
2020-04-22,11.6,11.79,11.6,11.73,106497,124645603,0
2020-04-23,11.73,11.95,11.61,11.76,143664,169022844,0
2020-04-24,11.62,11.76,11.3,11.35,161060,185423078,0
2020-04-27,11.39,11.49,11.18,11.21,95380,108131437,0
2020-04-28,11.36,11.43,11.0,11.25,149250,167657365,0
2020-04-29,11.16,11.24,11.02,11.02,105917,117835902,0
2020-04-30,11.07,11.37,11.06,11.3,134182,150867479,0
2020-05-06,11.09,11.66,11.05,11.64,196187,224759288,0
