datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,7.03,7.06,7.01,7.02,96909,68195895,0
2025-11-26 11:30:00,7.02,7.03,6.98,6.99,57033,39963805,0
2025-11-26 14:00:00,7.0,7.01,6.96,6.98,68427,47803746,0
2025-11-26 15:00:00,6.97,6.98,6.92,6.93,89819,62384827,0
2025-11-27 10:30:00,6.94,7.04,6.91,7.0,114274,79795575,0
2025-11-27 11:30:00,7.0,7.01,6.96,6.97,32656,22814981,0
2025-11-27 14:00:00,6.98,7.03,6.97,6.99,38266,26793756,0
2025-11-27 15:00:00,7.0,7.01,6.94,6.94,59864,41714421,0
2025-11-28 10:30:00,6.94,6.99,6.92,6.97,67292,46801962,0
2025-11-28 11:30:00,6.96,6.98,6.95,6.97,29984,20870182,0
2025-11-28 14:00:00,6.97,6.97,6.93,6.95,44362,30823724,0
2025-11-28 15:00:00,6.95,6.98,6.95,6.97,54358,37842611,0
2025-12-01 10:30:00,6.94,6.99,6.94,6.97,110892,77224548,0
2025-12-01 11:30:00,6.97,6.99,6.96,6.98,58179,40571271,0
2025-12-01 14:00:00,6.98,6.98,6.92,6.93,78871,54807430,0
2025-12-01 15:00:00,6.92,6.97,6.92,6.95,109899,76261958,0
2025-12-02 10:30:00,6.94,6.95,6.86,6.87,124686,85908822,0
2025-12-02 11:30:00,6.87,6.9,6.86,6.89,33941,23354035,0
2025-12-02 14:00:00,6.89,6.94,6.88,6.93,52250,36100505,0
2025-12-02 15:00:00,6.92,6.92,6.89,6.9,39231,27091463,0
2025-12-03 10:30:00,6.91,6.92,6.84,6.84,90610,62253303,0
2025-12-03 11:30:00,6.84,6.89,6.82,6.87,44251,30329655,0
2025-12-03 14:00:00,6.87,6.88,6.83,6.84,28714,19688253,0
2025-12-03 15:00:00,6.84,6.85,6.82,6.84,55853,38148222,0
2025-12-04 10:30:00,6.83,6.85,6.76,6.81,88897,60415694,0
2025-12-04 11:30:00,6.81,6.86,6.8,6.83,50216,34319774,0
2025-12-04 14:00:00,6.84,6.84,6.81,6.82,21512,14681050,0
2025-12-04 15:00:00,6.81,6.83,6.81,6.82,28831,19655777,0
2025-12-05 10:30:00,6.81,6.84,6.79,6.8,60882,41458097,0
2025-12-05 11:30:00,6.79,6.84,6.79,6.81,28198,19213904,0
2025-12-05 14:00:00,6.82,6.97,6.8,6.96,149258,102860770,0
2025-12-05 15:00:00,6.96,6.97,6.93,6.95,123184,85575366,0
2025-12-08 10:30:00,7.0,7.13,6.97,7.08,291553,205795526,0
2025-12-08 11:30:00,7.1,7.12,7.05,7.05,55351,39213886,0
2025-12-08 14:00:00,7.06,7.08,7.04,7.04,40764,28779845,0
2025-12-08 15:00:00,7.04,7.05,6.97,6.98,82061,57471992,0
2025-12-09 10:30:00,6.94,6.95,6.89,6.9,113342,78362775,0
2025-12-09 11:30:00,6.9,6.92,6.88,6.89,39172,27025157,0
2025-12-09 14:00:00,6.9,6.91,6.87,6.88,32044,22073177,0
2025-12-09 15:00:00,6.87,6.89,6.86,6.86,42772,29381995,0
2025-12-10 10:30:00,6.86,6.86,6.82,6.85,61968,42392949,0
2025-12-10 11:30:00,6.85,6.89,6.84,6.86,45768,31432894,0
2025-12-10 14:00:00,6.86,6.93,6.85,6.89,44990,31005428,0
2025-12-10 15:00:00,6.89,6.94,6.89,6.92,39336,27220245,0
2025-12-11 10:30:00,6.92,6.92,6.84,6.87,57900,39789650,0
2025-12-11 11:30:00,6.87,6.88,6.85,6.86,42576,29232050,0
2025-12-11 14:00:00,6.85,6.86,6.81,6.82,54819,37457163,0
2025-12-11 15:00:00,6.83,6.85,6.78,6.79,75705,51564397,0
2025-12-12 10:30:00,6.81,6.9,6.77,6.9,162648,111004820,0
2025-12-12 11:30:00,6.89,6.9,6.84,6.85,87246,59929010,0
2025-12-12 14:00:00,6.86,6.9,6.85,6.87,103642,71243372,0
2025-12-12 15:00:00,6.87,6.89,6.82,6.82,241489,165409160,0
2025-12-15 10:30:00,6.8,7.02,6.8,6.96,203265,140943490,0
2025-12-15 11:30:00,6.96,6.99,6.91,6.91,71968,50041832,0
2025-12-15 14:00:00,6.91,6.94,6.87,6.88,49053,33820634,0
2025-12-15 15:00:00,6.88,6.89,6.84,6.84,81892,56161948,0
2025-12-16 10:30:00,6.85,6.88,6.77,6.86,141097,96141247,0
2025-12-16 11:30:00,6.86,6.87,6.8,6.81,45908,31312503,0
2025-12-16 14:00:00,6.81,6.83,6.78,6.79,48445,32952107,0
2025-12-16 15:00:00,6.8,6.81,6.77,6.78,57421,38949844,0
2025-12-17 10:30:00,6.77,6.8,6.7,6.74,90949,61227739,0
2025-12-17 11:30:00,6.74,6.74,6.7,6.73,33168,22297950,0
2025-12-17 14:00:00,6.72,6.83,6.68,6.81,76052,51332367,0
2025-12-17 15:00:00,6.82,6.89,6.8,6.83,104065,71168527,0
2025-12-18 10:30:00,6.81,6.82,6.78,6.8,99510,67645703,0
2025-12-18 11:30:00,6.79,6.81,6.77,6.78,38758,26298130,0
2025-12-18 14:00:00,6.79,6.82,6.77,6.77,30302,20576764,0
2025-12-18 15:00:00,6.77,6.79,6.76,6.77,35707,24207855,0
2025-12-19 10:30:00,6.77,6.85,6.76,6.83,85054,57839256,0
2025-12-19 11:30:00,6.84,6.88,6.81,6.87,54178,37053534,0
2025-12-19 14:00:00,6.87,6.87,6.83,6.84,34995,23971450,0
2025-12-19 15:00:00,6.83,6.84,6.81,6.81,59443,40574206,0
2025-12-22 10:30:00,6.79,6.85,6.77,6.84,70825,48290723,0
2025-12-22 11:30:00,6.84,6.84,6.81,6.83,25055,17105397,0
2025-12-22 14:00:00,6.82,6.83,6.8,6.81,30483,20774124,0
2025-12-22 15:00:00,6.81,6.82,6.78,6.78,44496,30253146,0
2025-12-23 10:30:00,6.77,6.8,6.74,6.75,80741,54602397,0
2025-12-23 11:30:00,6.75,6.76,6.7,6.71,72032,48441307,0
2025-12-23 14:00:00,6.71,6.72,6.57,6.58,205712,136514255,0
2025-12-23 15:00:00,6.59,6.6,6.55,6.56,141203,92796832,0
2025-12-24 10:30:00,6.52,6.58,6.49,6.57,121667,79560342,0
2025-12-24 11:30:00,6.57,6.6,6.56,6.57,45465,29927688,0
2025-12-24 14:00:00,6.58,6.63,6.57,6.61,59812,39518527,0
2025-12-24 15:00:00,6.62,6.63,6.6,6.62,43685,28889179,0
2025-12-25 10:30:00,6.6,6.66,6.59,6.63,72456,48021162,0
2025-12-25 11:30:00,6.63,6.64,6.61,6.61,33666,22307258,0
2025-12-25 14:00:00,6.62,6.65,6.61,6.63,44582,29570926,0
2025-12-25 15:00:00,6.64,6.65,6.62,6.63,39712,26358405,0
2025-12-26 10:30:00,6.64,6.73,6.62,6.72,132504,88667875,0
2025-12-26 11:30:00,6.73,6.78,6.67,6.7,98821,66487013,0
2025-12-26 14:00:00,6.69,6.71,6.67,6.69,47789,31999935,0
2025-12-26 15:00:00,6.69,6.71,6.65,6.66,86748,57869152,0
2025-12-29 10:30:00,6.67,6.68,6.63,6.65,76766,51099831,0
2025-12-29 11:30:00,6.65,6.66,6.62,6.63,35688,23688904,0
2025-12-29 14:00:00,6.62,6.64,6.61,6.63,54647,36185058,0
2025-12-29 15:00:00,6.63,6.63,6.6,6.61,58048,38374405,0
2025-12-30 10:30:00,6.6,6.63,6.58,6.61,57079,37715634,0
2025-12-30 11:30:00,6.61,6.65,6.61,6.65,35082,23265513,0
2025-12-30 14:00:00,6.65,6.72,6.63,6.67,71773,47885353,0
2025-12-30 15:00:00,6.67,6.67,6.63,6.63,41277,27453605,0
2025-12-31 10:30:00,6.63,6.67,6.61,6.67,70300,46670329,0
2025-12-31 11:30:00,6.66,6.67,6.63,6.63,31017,20638697,0
2025-12-31 14:00:00,6.63,6.66,6.62,6.63,38389,25498699,0
2025-12-31 15:00:00,6.64,6.65,6.61,6.62,53367,35368428,0
2026-01-05 10:30:00,6.64,6.66,6.61,6.65,97832,64923756,0
2026-01-05 11:30:00,6.66,6.69,6.64,6.66,81413,54265195,0
2026-01-05 14:00:00,6.66,6.69,6.66,6.68,39940,26635298,0
2026-01-05 15:00:00,6.67,6.7,6.67,6.69,66113,44196621,0
2026-01-06 10:30:00,6.69,6.89,6.68,6.85,247769,168882029,0
2026-01-06 11:30:00,6.85,6.87,6.79,6.86,108798,74358331,0
2026-01-06 14:00:00,6.87,6.88,6.82,6.85,69139,47410927,0
2026-01-06 15:00:00,6.85,6.95,6.84,6.91,144573,99704914,0
2026-01-07 10:30:00,6.89,6.93,6.82,6.84,153693,105629749,0
2026-01-07 11:30:00,6.83,6.87,6.83,6.87,45838,31410068,0
2026-01-07 14:00:00,6.86,6.87,6.8,6.82,67664,46173773,0
2026-01-07 15:00:00,6.81,6.83,6.79,6.82,64978,44248599,0
2026-01-08 10:30:00,6.78,6.82,6.76,6.81,109229,74180982,0
2026-01-08 11:30:00,6.8,6.82,6.79,6.81,48089,32745450,0
2026-01-08 14:00:00,6.81,6.83,6.81,6.83,49925,34050412,0
2026-01-08 15:00:00,6.83,6.84,6.8,6.83,86659,59099607,0
2026-01-09 10:30:00,6.83,6.9,6.81,6.87,125680,86190462,0
2026-01-09 11:30:00,6.87,6.9,6.81,6.82,87273,59873169,0
2026-01-09 14:00:00,6.82,6.83,6.8,6.83,45149,30773133,0
2026-01-09 15:00:00,6.83,6.88,6.82,6.88,67653,46369317,0
