datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,14.33,14.39,12.41,12.72,3700546,5094462745,0
2020-02-29,11.45,14.06,10.7,12.07,5875888,7535957428,0
2020-03-31,12.2,15.19,11.51,12.29,8641240,11696044204,0
2020-04-30,12.15,12.5,11.0,11.3,3368810,4003890924,0
2020-05-31,11.09,12.33,11.05,11.16,2317108,2681101965,0
2020-06-30,11.46,12.68,11.37,11.99,3648220,4348164895,0
2020-07-31,11.98,16.34,11.96,13.49,8069863,11594179661,0
2020-08-31,13.67,16.1,13.12,13.58,6367609,9092558189,0
2020-09-30,13.47,14.63,12.31,12.47,5120441,6877195814,0
2020-10-31,12.64,13.24,11.71,11.75,1657238,2087664457,0
2020-11-30,11.75,12.59,11.7,12.21,2240846,2702022221,0
2020-12-31,12.59,15.2,11.92,13.19,14296967,19060734912,0
2021-01-31,13.29,13.29,10.61,10.78,5658664,6799964588,0
2021-02-28,10.92,11.97,10.9,11.53,2809984,3220247884,0
2021-03-31,11.53,11.56,10.02,10.08,2998587,3178478568,0
2021-04-30,10.17,10.67,9.16,9.27,2436693,2442798546,0
2021-05-31,9.38,12.5,8.55,11.43,9498936,10630287604,0
2021-06-30,11.31,11.42,9.84,10.7,5532120,5854650996,0
2021-07-31,10.73,10.85,9.34,9.36,3974744,3957254079,0
2021-08-31,9.31,10.44,9.25,10.27,3914637,3908820716,0
2021-09-30,10.19,11.29,9.58,9.64,3992710,4182449788,0
2021-10-31,9.77,10.14,9.07,9.23,1405264,1352079931,0
2021-11-30,9.2,9.98,9.03,9.49,2159234,2041895481,0
2021-12-31,9.49,10.27,9.49,9.96,4112568,4057183337,0
2022-01-31,10.08,10.08,9.0,9.23,2453227,2363597267,0
2022-02-28,9.35,9.98,9.23,9.61,2318561,2234399619,0
2022-03-31,9.6,10.26,8.39,9.32,7545013,7125003919,0
2022-04-30,9.36,10.08,7.4,7.8,8671305,7965558701,0
2022-05-31,7.64,8.31,7.21,7.77,4421366,3384439265,0
2022-06-30,7.78,9.43,7.65,8.48,7738248,6561240234,0
2022-07-31,8.46,8.51,7.86,8.03,2607770,2126217039,0
2022-08-31,8.03,8.55,7.52,8.3,3142539,2567062735,0
2022-09-30,8.3,8.36,6.84,6.84,3430875,2642251947,0
2022-10-31,6.88,7.38,6.63,6.83,2071768,1455029092,0
2022-11-30,6.83,7.78,6.82,7.33,3704052,2708502238,0
2022-12-31,7.4,7.56,6.46,6.5,3753784,2658537532,0
2023-01-31,6.47,7.69,6.36,7.34,4139018,2918850212,0
2023-02-28,7.39,7.65,6.94,7.1,4361538,3157926389,0
2023-03-31,7.07,7.79,6.72,6.84,4199870,3004807330,0
2023-04-30,6.83,7.39,6.32,6.85,4424238,3070975154,0
2023-05-31,6.79,7.3,6.15,6.2,6852510,4593515691,0
2023-06-30,6.21,6.39,6.11,6.22,3874016,2428893633,0
2023-07-31,6.23,8.27,6.17,8.18,9040902,6271520898,0
2023-08-31,7.92,8.78,7.21,7.22,31257235,24920006811,0
2023-09-30,7.29,9.06,7.12,8.13,26973729,21943666730,0
2023-10-31,8.11,10.49,7.76,9.75,34148101,31662910038,0
2023-11-30,9.95,10.45,8.82,8.84,25098360,24312744499,0
2023-12-31,8.85,9.84,7.95,8.34,14128744,12862998582,0
2024-01-31,8.32,8.46,7.28,7.33,8442887,6688168861,0
2024-02-29,7.28,8.33,6.02,7.93,9661555,7172990537,0
2024-03-31,7.9,8.21,6.99,7.14,9106152,7042421912,0
2024-04-30,7.3,7.94,6.38,7.5,9009511,6381591314,0
2024-05-31,7.58,7.84,6.69,6.78,8089149,5842707500,0
2024-06-30,6.75,6.78,5.9,5.91,4430228,2848047200,0
2024-07-31,5.91,6.76,5.66,6.66,5793287,3506959484,0
2024-08-31,6.58,6.6,5.78,6.02,4679128,2906933276,0
2024-09-30,6.0,8.4,5.83,8.4,9453996,6447073970,0
2024-10-31,9.24,9.24,7.26,7.82,13560493,10830477052,0
2024-11-30,7.8,8.9,7.39,7.78,15300488,12345047945,0
2024-12-31,7.73,8.39,7.4,7.4,11112060,8818665629,0
2025-01-31,7.39,7.39,6.54,6.76,5102689,3529389479,0
2025-02-28,7.0,7.9,6.91,7.15,11848376,8902235468,0
2025-03-31,7.2,7.86,7.09,7.15,7743189,5780926360,0
2025-04-30,7.18,7.4,6.21,6.35,4930815,3309474689,0
2025-05-31,6.39,6.93,6.38,6.52,3746106,2479958063,0
2025-06-30,6.49,7.22,6.48,6.96,5128919,3490283808,0
2025-07-31,7.0,7.76,6.79,7.3,9017532,6570208522,0
2025-08-31,7.3,8.09,7.22,7.73,9191114,7090554863,0
2025-09-30,7.73,7.77,7.1,7.55,7970604,5967659670,0
2025-10-31,7.53,7.76,7.26,7.36,4185169,3130644026,0
2025-11-30,7.35,7.98,6.91,6.97,6716873,4967765485,0
2025-12-31,6.94,7.13,6.49,6.62,6655615,4532022573,0
2026-01-31,6.64,6.95,6.61,6.88,1807409,1231121792,0
