datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,14.33,14.34,13.81,13.9,695690,977507008,0
2020-01-10,13.71,14.07,13.35,13.62,1102925,1516448855,0
2020-01-17,13.59,14.39,13.35,13.52,1183642,1641176402,0
2020-01-24,13.55,13.8,12.41,12.72,718289,959330480,0
2020-02-07,11.45,12.63,10.7,12.36,1398971,1687605729,0
2020-02-14,12.2,13.07,12.08,12.64,1075979,1338220931,0
2020-02-21,12.81,14.06,12.6,13.53,1861601,2467384448,0
2020-02-28,13.37,13.74,12.06,12.07,1539337,2042746320,0
2020-03-06,12.2,15.19,12.2,13.64,3480601,4931462096,0
2020-03-13,13.25,14.56,13.04,14.1,2407480,3323988992,0
2020-03-20,14.15,14.15,11.98,12.24,1447994,1864652289,0
2020-03-27,11.87,12.5,11.51,12.11,846583,1015911110,0
2020-04-03,11.74,12.6,11.61,12.15,975529,1196007373,0
2020-04-10,12.42,12.49,11.58,11.66,816970,993285029,0
2020-04-17,11.52,12.46,11.52,12.0,811327,966038200,0
2020-04-24,11.88,11.95,11.3,11.35,738837,864097856,0
2020-05-01,11.39,11.49,11.0,11.3,484729,544492183,0
2020-05-08,11.09,11.9,11.05,11.71,533042,617271170,0
2020-05-15,11.75,11.85,11.45,11.58,520986,606234471,0
2020-05-22,11.63,12.33,11.13,11.13,839054,981737633,0
2020-05-29,11.15,11.45,11.06,11.16,424026,475858691,0
2020-06-05,11.46,12.09,11.37,11.59,831216,968213298,0
2020-06-12,11.59,12.26,11.45,11.94,968765,1146151748,0
2020-06-19,12.09,12.29,11.72,12.12,784243,937521924,0
2020-06-26,12.1,12.68,12.01,12.26,745890,917857576,0
2020-07-03,12.09,14.0,11.63,13.82,1602337,2048284429,0
2020-07-10,14.18,16.34,13.85,15.85,3088614,4585886288,0
2020-07-17,15.54,16.09,13.86,14.03,1781797,2683236848,0
2020-07-24,14.31,14.78,13.09,13.24,1149587,1631680709,0
2020-07-31,13.3,13.76,12.94,13.49,765634,1023511736,0
2020-08-07,13.67,14.62,13.62,13.81,1117230,1565517644,0
2020-08-14,13.75,14.64,13.12,14.64,1202100,1677750824,0
2020-08-21,14.9,16.1,13.52,13.96,2921381,4314002000,0
2020-08-28,13.95,13.95,13.2,13.73,909438,1235276729,0
2020-09-04,13.75,14.29,13.45,13.94,981285,1362208670,0
2020-09-11,13.98,14.63,12.5,12.77,2299173,3178324496,0
2020-09-18,12.77,13.05,12.31,12.95,787433,1000670594,0
2020-09-25,13.23,13.39,12.55,12.79,907233,1172685509,0
2020-10-02,12.76,13.12,12.39,12.47,362777,463317537,0
2020-10-09,12.64,12.77,12.61,12.72,111505,141716908,0
2020-10-16,12.77,13.24,12.71,12.81,626336,812272162,0
2020-10-23,12.79,12.97,12.46,12.52,428365,541760809,0
2020-10-30,12.42,12.47,11.71,11.75,491032,591914578,0
2020-11-06,11.75,12.13,11.74,11.82,510081,606950565,0
2020-11-13,11.86,12.35,11.7,11.77,550245,660275675,0
2020-11-20,11.85,12.18,11.77,12.11,387727,465143308,0
2020-11-27,12.08,12.48,11.86,12.24,542916,659668305,0
2020-12-04,12.29,14.94,12.16,14.94,5032194,7007907424,0
2020-12-11,15.0,15.2,12.61,12.83,3639907,5028541600,0
2020-12-18,12.78,12.94,12.04,12.58,2062261,2584513744,0
2020-12-25,12.4,12.86,11.92,12.4,2039162,2525888288,0
2021-01-01,12.28,13.21,11.97,13.19,1773320,2223868224,0
2021-01-08,13.29,13.29,12.0,12.45,2020063,2554378096,0
2021-01-15,12.45,12.53,11.7,11.9,1523556,1832874852,0
2021-01-22,11.89,12.18,11.33,11.33,1076306,1277867441,0
2021-01-29,11.4,11.42,10.61,10.78,1038739,1134844199,0
2021-02-05,10.92,11.62,10.9,11.18,1274154,1444832922,0
2021-02-12,11.18,11.84,11.18,11.34,544181,624499034,0
2021-02-19,11.48,11.76,11.34,11.74,287432,332181318,0
2021-02-26,11.75,11.97,11.31,11.53,704217,818734610,0
2021-03-05,11.53,11.56,10.74,10.94,857414,952093557,0
2021-03-12,10.93,10.97,10.25,10.57,825901,873263217,0
2021-03-19,10.48,10.52,10.02,10.06,482952,495790257,0
2021-03-26,10.09,10.62,10.09,10.37,589200,609871117,0
2021-04-02,10.37,10.67,10.02,10.25,628211,646771111,0
2021-04-09,10.28,10.49,10.18,10.25,410805,422934235,0
2021-04-16,10.17,10.38,9.96,10.13,467512,474212097,0
2021-04-23,10.11,10.42,10.06,10.09,428510,440114684,0
2021-04-30,10.04,10.04,9.16,9.27,744775,706226839,0
2021-05-07,9.38,9.44,9.01,9.06,206134,189586274,0
2021-05-14,8.9,10.73,8.55,10.73,1617332,1595984946,0
2021-05-21,10.48,12.5,10.38,11.16,4093095,4684551280,0
2021-05-28,11.29,12.22,11.03,11.38,3249185,3781161008,0
2021-06-04,11.31,11.55,10.68,10.88,1679105,1872189920,0
2021-06-11,10.78,11.01,10.11,10.11,1231623,1300066804,0
2021-06-18,10.11,10.43,10.04,10.3,779018,797899825,0
2021-06-25,10.27,10.58,9.84,10.44,1136323,1163187082,0
2021-07-02,10.43,10.95,9.91,9.91,1550878,1622183151,0
2021-07-09,9.9,10.02,9.66,9.77,579835,567097399,0
2021-07-16,9.88,10.3,9.69,10.06,930205,928114428,0
2021-07-23,10.0,10.53,9.78,10.26,880515,887475493,0
2021-07-30,10.11,10.35,9.34,9.36,1072552,1052695069,0
2021-08-06,9.31,9.83,9.25,9.5,644688,616015430,0
2021-08-13,9.49,10.33,9.45,9.81,815101,803972625,0
2021-08-20,9.82,10.44,9.79,10.27,1256843,1273495830,0
2021-08-27,10.28,10.4,9.94,9.97,745368,756714472,0
2021-09-03,10.0,11.29,9.96,10.54,1666406,1748889895,0
2021-09-10,10.54,10.9,10.45,10.65,1292931,1379339392,0
2021-09-17,10.61,10.74,10.02,10.17,796479,824208097,0
2021-09-24,10.11,10.32,10.01,10.08,289688,295172184,0
2021-10-01,10.07,10.17,9.58,9.64,399843,393462579,0
