datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,19.98,20.93,19.55,19.77,175687,361142240,0
2020-01-03,19.83,19.83,19.16,19.48,105032,211220574,0
2020-01-06,19.3,19.59,18.98,19.37,106488,212788516,0
2020-01-07,19.4,20.04,19.39,19.92,102237,208518106,0
2020-01-08,19.78,19.82,18.84,19.3,115777,231469627,0
2020-01-09,19.4,19.88,19.4,19.72,82677,168340229,0
2020-01-10,19.86,19.9,19.35,19.44,63965,129069552,0
2020-01-13,19.48,20.12,19.09,20.04,105338,214340013,0
2020-01-14,20.21,20.22,19.69,19.77,62011,127207769,0
2020-01-15,19.71,19.9,19.35,19.64,60877,123378321,0
2020-01-16,19.71,20.05,19.37,19.37,65267,133128814,0
2020-01-17,19.42,19.72,19.31,19.51,48420,97529896,0
2020-01-20,18.82,18.82,17.49,17.67,307953,566190336,0
2020-01-21,17.33,17.58,16.41,16.71,337682,595756288,0
2020-01-22,16.56,17.58,16.3,17.29,342685,606412096,0
2020-01-23,16.68,17.04,16.07,16.52,190535,328862368,0
2020-02-03,14.8,15.02,14.8,14.8,190779,295454768,0
2020-02-04,14.83,15.32,14.74,15.14,252254,395348928,0
2020-02-05,15.02,15.77,14.72,14.92,319882,507711008,0
2020-02-06,14.85,15.31,14.51,15.17,331098,518996176,0
2020-02-07,15.14,16.24,15.07,16.12,361940,595429376,0
2020-02-10,15.97,16.38,15.65,16.01,209539,348460656,0
2020-02-11,16.32,16.71,16.16,16.21,215495,367431424,0
2020-02-12,16.17,16.58,16.04,16.57,171013,291031664,0
2020-02-13,16.32,16.73,16.13,16.14,120397,204998103,0
2020-02-14,16.13,16.57,16.05,16.37,127264,215742663,0
2020-02-17,16.36,16.53,16.23,16.49,190311,324799696,0
2020-02-18,16.54,17.06,16.21,16.87,202975,350863040,0
2020-02-19,16.72,17.49,16.6,17.12,157508,279457936,0
2020-02-20,17.2,18.25,17.2,17.86,239877,443215024,0
2020-02-21,17.64,17.81,17.14,17.2,212657,383487216,0
2020-02-24,16.57,16.92,16.32,16.56,230052,395359696,0
2020-02-25,16.1,16.6,16.02,16.5,169259,286883552,0
2020-02-26,16.02,16.72,16.02,16.39,141965,242233990,0
2020-02-27,16.43,17.05,16.39,16.5,174259,302592240,0
2020-02-28,16.08,16.15,15.46,15.59,164956,272091232,0
2020-03-02,15.6,16.72,15.6,16.22,225113,380784560,0
2020-03-03,16.37,16.61,16.19,16.26,130266,222482499,0
2020-03-04,16.27,16.39,15.98,16.36,104426,175695799,0
2020-03-05,16.49,17.17,16.29,16.88,196295,341007072,0
2020-03-06,16.63,16.79,16.39,16.47,104097,179612076,0
2020-03-09,16.1,16.25,15.56,15.61,147773,243780338,0
2020-03-10,15.58,16.98,15.58,16.68,253110,429255936,0
2020-03-11,16.67,17.25,16.31,16.82,166269,289040400,0
2020-03-12,16.48,17.06,16.31,16.47,200129,347752560,0
2020-03-13,15.67,16.36,15.52,16.3,159440,264538872,0
2020-03-16,16.31,16.33,15.22,15.47,221115,361605504,0
2020-03-17,15.47,15.62,14.44,14.68,188842,292921136,0
2020-03-18,14.77,15.08,14.1,14.14,179533,274506208,0
2020-03-19,13.94,14.36,13.46,13.74,181251,262119221,0
2020-03-20,13.9,14.37,13.57,14.18,139635,204212830,0
2020-03-23,13.47,13.69,13.12,13.26,171523,240725826,0
2020-03-24,13.44,13.82,13.18,13.45,188576,266568684,0
2020-03-25,13.77,14.09,13.55,14.01,184521,268127622,0
2020-03-26,13.88,14.05,13.77,13.88,87329,127323309,0
2020-03-27,14.01,14.04,13.78,13.78,89046,129828795,0
2020-03-30,13.46,13.46,12.82,13.02,170085,233236869,0
2020-03-31,13.14,13.19,12.56,12.77,204858,277127872,0
2020-04-01,12.72,12.97,12.52,12.54,161734,216920027,0
2020-04-02,12.41,12.76,12.25,12.76,161801,212784479,0
2020-04-03,12.72,13.04,12.64,12.75,143173,193689726,0
2020-04-07,13.0,13.55,12.95,13.37,180784,252403513,0
2020-04-08,13.27,13.86,13.25,13.63,157200,224372286,0
2020-04-09,13.7,13.8,13.5,13.69,99021,141966763,0
2020-04-10,13.69,13.99,13.47,13.68,112879,162799486,0
2020-04-13,13.54,13.54,13.12,13.27,106038,147868446,0
2020-04-14,13.4,13.62,13.25,13.49,112918,159010451,0
2020-04-15,13.43,13.55,13.33,13.39,64193,90518062,0
2020-04-16,13.34,13.36,13.14,13.28,69880,97253579,0
