datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,15.58,15.82,15.5,15.53,33355,52156162,0
2025-11-26 11:30:00,15.55,15.6,15.41,15.42,23363,36172501,0
2025-11-26 14:00:00,15.42,15.47,15.4,15.45,21618,33362391,0
2025-11-26 15:00:00,15.46,15.58,15.39,15.5,34433,53287419,0
2025-11-27 10:30:00,15.49,15.54,15.16,15.31,67736,103503072,0
2025-11-27 11:30:00,15.31,15.32,15.23,15.26,13561,20720773,0
2025-11-27 14:00:00,15.26,15.43,15.23,15.41,21840,33445848,0
2025-11-27 15:00:00,15.4,15.41,15.29,15.35,22956,35233569,0
2025-11-28 10:30:00,15.31,15.39,15.1,15.22,37828,57630501,0
2025-11-28 11:30:00,15.2,15.32,15.19,15.28,14004,21355919,0
2025-11-28 14:00:00,15.27,15.33,15.17,15.29,13289,20259245,0
2025-11-28 15:00:00,15.3,15.33,15.25,15.28,19142,29259231,0
2025-12-01 10:30:00,15.3,15.5,15.29,15.41,44214,68076824,0
2025-12-01 11:30:00,15.41,15.47,15.34,15.43,18802,28997267,0
2025-12-01 14:00:00,15.43,15.58,15.36,15.48,47582,73772157,0
2025-12-01 15:00:00,15.49,15.62,15.45,15.62,51961,80785611,0
2025-12-02 10:30:00,15.51,15.95,15.48,15.68,76897,120836450,0
2025-12-02 11:30:00,15.69,15.75,15.64,15.66,21708,34079439,0
2025-12-02 14:00:00,15.66,15.74,15.58,15.62,25766,40315604,0
2025-12-02 15:00:00,15.62,15.71,15.59,15.66,26048,40733911,0
2025-12-03 10:30:00,15.6,16.4,15.56,16.18,170374,274400660,0
2025-12-03 11:30:00,16.18,16.24,16.04,16.13,37592,60725113,0
2025-12-03 14:00:00,16.14,16.19,15.99,16.0,36700,58902389,0
2025-12-03 15:00:00,16.0,16.01,15.91,15.99,42478,67772906,0
2025-12-04 10:30:00,15.9,16.15,15.67,15.94,68908,108973003,0
2025-12-04 11:30:00,15.94,16.21,15.89,16.2,44852,72128905,0
2025-12-04 14:00:00,16.19,16.2,16.04,16.09,37030,59617398,0
2025-12-04 15:00:00,16.1,16.17,16.05,16.06,46984,75643624,0
