datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,19.98,20.93,16.07,16.52,2272631,4315354745,0
2020-02-29,14.8,18.25,14.51,15.59,4183480,7021588388,0
2020-03-31,15.6,17.25,12.56,12.77,3693232,5812253988,0
2020-04-30,12.72,15.68,12.25,15.68,2997714,4346266848,0
2020-05-31,15.27,16.06,14.04,15.9,2438612,3823238800,0
2020-06-30,15.92,17.13,14.14,14.69,3344251,5466872356,0
2020-07-31,14.87,20.74,14.67,17.06,5357123,9889087006,0
2020-08-31,17.31,19.97,17.07,18.66,3302493,6265219746,0
2020-09-30,18.55,19.69,16.75,17.14,2922847,5506640130,0
2020-10-31,17.39,17.47,14.88,16.71,2118538,3514721190,0
2020-11-30,16.78,24.47,16.77,22.66,3887284,8500713557,0
2020-12-31,22.95,25.49,19.24,20.61,2962574,6734623207,0
2021-01-31,20.69,21.49,18.16,21.13,3326714,6858110109,0
2021-02-28,21.32,26.04,20.69,23.09,2801645,6786724034,0
2021-03-31,23.35,27.84,21.74,26.64,4045243,10489500368,0
2021-04-30,26.71,29.3,23.72,24.98,3805061,10093892961,0
2021-05-31,24.91,28.27,21.8,26.53,2993081,7528094636,0
2021-06-30,26.39,27.26,22.24,23.25,2754543,6901957497,0
2021-07-31,23.36,24.66,17.59,17.99,3248502,7291549753,0
2021-08-31,17.06,23.16,17.04,22.42,2760694,5802438014,0
2021-09-30,22.32,26.08,20.39,21.19,2920775,6966332352,0
2021-10-31,21.6,25.25,21.6,23.89,2302501,5531541124,0
2021-11-30,23.38,26.67,21.74,22.59,2960670,7396245263,0
2021-12-31,22.62,25.59,22.42,25.52,1718905,4217113926,0
2022-01-31,25.39,27.86,24.46,24.99,1855684,4925712537,0
2022-02-28,25.29,28.28,23.75,24.69,2073692,5534533471,0
2022-03-31,24.68,27.38,20.36,22.31,2694130,6458891142,0
2022-04-30,21.97,24.65,20.87,22.92,2441546,5719882616,0
2022-05-31,22.33,22.95,18.69,21.6,2215316,4737247114,0
2022-06-30,21.55,25.89,20.1,24.22,2491737,5684411096,0
2022-07-31,23.53,24.41,20.13,20.33,3057877,6874750369,0
2022-08-31,20.36,21.2,18.63,20.88,2760347,5630512763,0
2022-09-30,20.69,22.54,19.27,20.81,2639168,5646603918,0
2022-10-31,20.68,22.38,19.47,21.15,1690179,3646946821,0
2022-11-30,21.11,24.65,20.68,23.72,3303525,7626121177,0
2022-12-31,24.09,26.1,22.32,24.22,2849530,7005850751,0
2023-01-31,24.21,24.45,22.62,22.72,1548612,3735074024,0
2023-02-28,22.85,25.52,22.23,23.98,2409891,5907674277,0
2023-03-31,23.84,24.77,21.6,22.76,2623841,6169742717,0
2023-04-30,22.75,25.3,19.87,21.08,3513665,8229551111,0
2023-05-31,20.72,20.78,18.23,19.23,2345928,4669741364,0
2023-06-30,19.17,20.77,18.29,18.37,2299161,4626148528,0
2023-07-31,18.4,21.0,18.38,20.44,3007394,6090413593,0
2023-08-31,20.52,20.61,16.32,16.79,2668418,5133430959,0
2023-09-30,16.83,18.01,16.44,16.65,2010620,3590709295,0
2023-10-31,16.61,16.61,14.76,16.13,1858368,2995570722,0
2023-11-30,16.13,16.79,15.4,16.71,1875788,3094248395,0
2023-12-31,16.68,16.89,14.22,15.04,1724061,2798561007,0
2024-01-31,15.07,15.4,13.32,13.4,2383484,3593263411,0
2024-02-29,13.35,15.38,12.63,14.7,2137347,3174841493,0
2024-03-31,14.72,14.89,13.4,13.68,3032622,4476242210,0
2024-04-30,13.62,15.27,13.6,14.76,5509370,8275916119,0
2024-05-31,14.85,14.88,13.55,13.8,3405447,5064445458,0
2024-06-30,13.82,13.92,11.89,11.99,1853124,2518122562,0
2024-07-31,11.9,12.47,11.32,12.05,2062951,2551152768,0
2024-08-31,11.94,12.52,10.68,11.41,2120719,2567069501,0
2024-09-30,11.64,14.5,10.54,14.44,2427126,3067851950,0
2024-10-31,15.64,15.84,12.19,13.53,3924525,5437383417,0
2024-11-30,13.59,15.12,13.38,14.04,2987754,4360875290,0
2024-12-31,14.03,16.07,13.85,14.31,3734058,5727071503,0
2025-01-31,14.3,14.72,12.38,12.99,1718533,2328406515,0
2025-02-28,13.09,13.09,12.2,12.83,2888031,3747122427,0
2025-03-31,12.91,13.87,12.49,12.95,3410201,4637832097,0
2025-04-30,13.02,16.63,12.96,13.96,6071985,9140500038,0
2025-05-31,14.03,15.24,14.01,14.28,2058645,3095767257,0
2025-06-30,14.28,14.74,13.24,14.13,2624446,3725871055,0
2025-07-31,14.13,14.69,13.56,13.93,3398139,4773899395,0
2025-08-31,13.93,15.42,13.74,15.25,4406213,6375956000,0
2025-09-30,15.32,15.66,14.57,14.68,4652666,7051042657,0
2025-10-31,14.56,14.84,13.89,14.53,1797690,2582938780,0
2025-11-30,14.52,16.82,14.35,15.28,4134114,6489979606,0
2025-12-31,15.3,17.19,15.07,16.75,4284735,6923667739,0
2026-01-31,16.73,17.47,16.11,17.02,1085701,1823154226,0
