datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,19.98,20.93,19.16,19.48,280719,572362814,0
2020-01-10,19.3,20.04,18.84,19.44,471144,950186030,0
2020-01-17,19.48,20.22,19.09,19.51,341913,695584813,0
2020-01-24,18.82,18.82,16.07,16.52,1178855,2097221088,0
2020-02-07,14.8,16.24,14.51,16.12,1455953,2312940256,0
2020-02-14,15.97,16.73,15.65,16.37,843708,1427664510,0
2020-02-21,16.36,18.25,16.21,17.2,1003328,1781822912,0
2020-02-28,16.57,17.05,15.46,15.59,880491,1499160710,0
2020-03-06,15.6,17.17,15.6,16.47,760197,1299582006,0
2020-03-13,16.1,17.25,15.52,16.3,926721,1574368106,0
2020-03-20,16.31,16.33,13.46,14.18,910376,1395364899,0
2020-03-27,13.47,14.09,13.12,13.78,720995,1032574236,0
2020-04-03,13.46,13.46,12.25,12.75,841651,1133758973,0
2020-04-10,13.0,13.99,12.95,13.68,549884,781542048,0
2020-04-17,13.54,14.47,13.12,14.01,612145,876423338,0
2020-04-24,14.0,14.65,13.47,14.26,567073,833448095,0
2020-05-01,14.24,15.68,13.47,15.68,801904,1231459135,0
2020-05-08,15.27,15.72,14.71,15.06,538524,848546775,0
2020-05-15,15.28,15.4,14.3,14.45,562985,871201800,0
2020-05-22,14.34,15.69,14.19,14.67,651048,1017560976,0
2020-05-29,14.7,16.06,14.04,15.9,686055,1085929249,0
2020-06-05,15.92,17.13,15.32,15.6,898047,1490202113,0
2020-06-12,15.67,17.07,15.43,16.57,1019156,1739408990,0
2020-06-19,15.78,16.03,14.52,15.07,958377,1513181495,0
2020-06-26,15.07,15.26,14.83,14.95,238827,375570546,0
2020-07-03,14.87,16.11,14.14,15.93,708924,1117100069,0
2020-07-10,16.2,17.99,15.86,17.48,1175858,2072194448,0
2020-07-17,17.5,19.31,16.89,17.5,1224568,2278507117,0
2020-07-24,17.83,20.74,17.51,18.02,1607248,3200658672,0
2020-07-31,17.64,18.27,16.69,17.06,870369,1569135912,0
