datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,3.1,3.23,3.1,3.22,276233,109360578,0
2020-01-03,3.31,3.5,3.27,3.35,477944,199053657,0
2020-01-06,3.31,3.33,3.25,3.26,321765,131155531,0
2020-01-07,3.29,3.34,3.27,3.3,140679,57540568,0
2020-01-08,3.28,3.29,3.17,3.2,207354,83246798,0
2020-01-09,3.22,3.27,3.21,3.24,129847,52261671,0
2020-01-10,3.24,3.33,3.24,3.27,168091,68458533,0
2020-01-13,3.27,3.3,3.21,3.3,150468,60766304,0
2020-01-14,3.3,3.31,3.24,3.25,122538,49860514,0
2020-01-15,3.26,3.26,3.17,3.19,137757,54999574,0
2020-01-16,3.21,3.26,3.19,3.23,146013,58666609,0
2020-01-17,3.23,3.31,3.22,3.26,172416,70208014,0
2020-01-20,3.26,3.28,3.21,3.26,101911,41230475,0
2020-01-21,3.28,3.28,3.21,3.21,141673,56908033,0
2020-01-22,3.19,3.27,3.14,3.23,134881,53831358,0
2020-01-23,3.22,3.22,3.04,3.12,201598,78955446,0
2020-02-03,2.73,2.73,2.73,2.73,64260,22619520,0
2020-02-04,2.38,2.68,2.38,2.56,372682,124890360,0
2020-02-05,2.57,2.66,2.54,2.6,206995,70525114,0
2020-02-06,2.62,2.64,2.56,2.63,204343,69238933,0
2020-02-07,2.61,2.61,2.57,2.6,138123,46716433,0
2020-02-10,2.61,2.76,2.59,2.7,214388,74716776,0
2020-02-11,2.73,2.73,2.66,2.69,149089,51880175,0
2020-02-12,2.7,2.72,2.66,2.71,118866,41334703,0
2020-02-13,2.69,2.7,2.64,2.66,123916,42869566,0
2020-02-14,2.66,2.68,2.64,2.67,89555,30878496,0
2020-02-17,2.67,2.83,2.67,2.82,225192,80334338,0
2020-02-18,2.84,2.85,2.79,2.82,179029,64560705,0
2020-02-19,2.84,2.85,2.8,2.8,113974,41155165,0
2020-02-20,2.82,2.94,2.79,2.91,193640,70482742,0
2020-02-21,2.89,2.96,2.88,2.92,163275,60529311,0
2020-02-24,2.9,2.91,2.82,2.84,194104,70558151,0
2020-02-25,2.8,2.8,2.71,2.78,219092,77692881,0
2020-02-26,2.73,2.92,2.69,2.89,328110,118431194,0
2020-02-27,2.89,2.9,2.82,2.82,201255,73307388,0
2020-02-28,2.77,2.77,2.65,2.66,279709,97514626,0
2020-03-02,2.69,2.78,2.69,2.75,153343,54278549,0
2020-03-03,2.78,2.82,2.74,2.76,165362,58941131,0
2020-03-04,2.73,2.8,2.71,2.8,152297,54165002,0
2020-03-05,2.81,2.86,2.8,2.86,209105,75811970,0
2020-03-06,2.82,2.86,2.78,2.83,172316,62226496,0
2020-03-09,2.79,2.82,2.71,2.73,190468,67386830,0
2020-03-10,2.67,2.79,2.67,2.78,184902,65372980,0
2020-03-11,2.79,2.8,2.73,2.73,156633,55567311,0
2020-03-12,2.69,2.72,2.67,2.68,138942,48361997,0
2020-03-13,2.61,2.74,2.54,2.7,239453,81698330,0
2020-03-16,2.81,2.85,2.65,2.69,237471,84109651,0
2020-03-17,2.69,2.76,2.65,2.69,192093,66923249,0
2020-03-18,2.71,2.72,2.57,2.58,198922,68516487,0
2020-03-19,2.56,2.68,2.56,2.61,205599,69906651,0
2020-03-20,2.62,2.64,2.55,2.62,134771,45580131,0
2020-03-23,2.57,2.57,2.51,2.52,134712,44920267,0
2020-03-24,2.53,2.6,2.53,2.57,121161,40728413,0
2020-03-25,2.62,2.64,2.57,2.59,113575,38482859,0
2020-03-26,2.6,2.6,2.53,2.54,104499,35005861,0
2020-03-27,2.59,2.63,2.56,2.59,134443,45484370,0
2020-03-30,2.55,2.57,2.51,2.54,126979,42208727,0
2020-03-31,2.57,2.58,2.52,2.52,83711,27906938,0
2020-04-01,2.54,2.58,2.51,2.54,103679,34597762,0
2020-04-02,2.53,2.58,2.52,2.58,98862,33065979,0
2020-04-03,2.59,2.59,2.52,2.53,97132,32355763,0
2020-04-07,2.56,2.59,2.56,2.57,111582,37537262,0
2020-04-08,2.68,2.73,2.61,2.64,226615,78178249,0
2020-04-09,2.61,2.65,2.61,2.62,138392,47310631,0
2020-04-10,2.6,2.62,2.55,2.57,109407,36828869,0
2020-04-13,2.55,2.55,2.51,2.54,102979,34204159,0
2020-04-14,2.54,2.56,2.53,2.55,91819,30631550,0
2020-04-15,2.55,2.57,2.53,2.55,92799,30979308,0
2020-04-16,2.53,2.57,2.53,2.56,74089,24706837,0
2020-04-17,2.56,2.58,2.53,2.54,93184,31147310,0
2020-04-20,2.54,2.58,2.53,2.56,117538,39358947,0
2020-04-21,2.55,2.56,2.51,2.53,94025,31212499,0
2020-04-22,2.52,2.55,2.5,2.54,81663,27073252,0
2020-04-23,2.56,2.56,2.52,2.53,74788,24869129,0
2020-04-24,2.53,2.53,2.49,2.5,82246,27120614,0
2020-04-27,2.49,2.52,2.48,2.48,82585,27202863,0
2020-04-28,2.49,2.5,2.38,2.41,117782,37820647,0
2020-04-29,2.4,2.44,2.38,2.42,73419,23544862,0
2020-04-30,2.47,2.51,2.44,2.5,100724,32997546,0
2020-05-06,2.48,2.57,2.47,2.57,152208,50664984,0
2020-05-07,2.57,2.59,2.52,2.54,85066,28391908,0
2020-05-08,2.55,2.56,2.52,2.54,71719,23878691,0
2020-05-11,2.53,2.56,2.5,2.5,117942,39026739,0
2020-05-12,2.51,2.53,2.5,2.5,80291,26514679,0
2020-05-13,2.49,2.51,2.46,2.5,80742,26430701,0
2020-05-14,2.5,2.51,2.47,2.48,75835,24863026,0
2020-05-15,2.5,2.51,2.48,2.49,62559,20561897,0
2020-05-18,2.49,2.56,2.47,2.54,118432,39239678,0
2020-05-19,2.58,2.58,2.53,2.54,97735,32591148,0
2020-05-20,2.55,2.55,2.48,2.51,117274,38707160,0
2020-05-21,2.52,2.52,2.47,2.48,71801,23571926,0
2020-05-22,2.47,2.49,2.46,2.47,98261,32046634,0
2020-05-25,2.49,2.53,2.46,2.5,95353,31394261,0
2020-05-26,2.52,2.54,2.5,2.53,93037,30823349,0
2020-05-27,2.53,2.53,2.49,2.51,85605,28243724,0
2020-05-28,2.52,2.56,2.51,2.55,161374,53762589,0
2020-05-29,2.55,2.69,2.53,2.66,279008,95557162,0
2020-06-01,2.79,3.01,2.71,3.01,532686,193831392,0
2020-06-02,3.39,3.39,3.39,3.39,139746,58413974,0
2020-06-03,3.81,3.81,3.81,3.81,146706,67484843,0
2020-06-04,4.27,4.27,4.27,4.27,117122,59263843,0
2020-06-05,4.78,4.78,4.78,4.78,188704,105108061,0
2020-06-08,4.81,5.16,4.66,4.9,5514876,3125350672,0
2020-06-09,4.53,4.7,4.33,4.42,4258483,2239351312,0
2020-06-10,4.27,4.37,4.01,4.28,3348474,1673153120,0
2020-06-11,4.19,4.57,4.14,4.38,3471573,1788659520,0
