datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,16.01,16.19,16.0,16.18,94900,152674568,0
2025-11-26 11:30:00,16.19,16.23,16.12,16.14,57758,93408927,0
2025-11-26 14:00:00,16.15,16.15,16.08,16.12,39972,64402207,0
2025-11-26 15:00:00,16.11,16.15,16.08,16.14,65487,105568086,0
2025-11-27 10:30:00,16.22,16.3,16.03,16.04,129679,209170939,0
2025-11-27 11:30:00,16.04,16.12,16.02,16.03,39785,63862614,0
2025-11-27 14:00:00,16.03,16.08,15.97,16.0,56669,90785463,0
2025-11-27 15:00:00,15.99,16.02,15.9,15.91,76571,122083320,0
2025-11-28 10:30:00,15.87,16.3,15.86,16.26,162614,261909734,0
2025-11-28 11:30:00,16.26,16.49,16.19,16.4,145309,237499095,0
2025-11-28 14:00:00,16.39,16.41,16.28,16.39,65724,107445187,0
2025-11-28 15:00:00,16.4,16.48,16.35,16.46,144758,237900540,0
2025-12-01 10:30:00,16.41,16.41,16.07,16.12,208153,336754870,0
2025-12-01 11:30:00,16.1,16.23,16.07,16.16,68149,110038900,0
2025-12-01 14:00:00,16.17,16.2,16.1,16.19,59508,96042600,0
2025-12-01 15:00:00,16.2,16.25,16.12,16.2,97291,157411566,0
2025-12-02 10:30:00,16.15,16.38,16.11,16.33,131070,213348058,0
2025-12-02 11:30:00,16.34,16.35,16.24,16.24,39214,63894844,0
2025-12-02 14:00:00,16.24,16.29,16.21,16.26,51035,82913166,0
2025-12-02 15:00:00,16.26,16.3,16.22,16.26,57751,93901540,0
2025-12-03 10:30:00,16.2,16.31,16.08,16.17,93806,151619468,0
2025-12-03 11:30:00,16.18,16.31,16.13,16.27,52285,84854431,0
2025-12-03 14:00:00,16.27,16.28,16.13,16.14,42997,69600705,0
2025-12-03 15:00:00,16.14,16.16,16.08,16.14,57450,92593887,0
2025-12-04 10:30:00,16.22,16.25,15.95,16.06,85614,137438310,0
2025-12-04 11:30:00,16.06,16.27,16.05,16.17,51223,82849983,0
2025-12-04 14:00:00,16.17,16.2,16.11,16.14,30309,48954394,0
2025-12-04 15:00:00,16.14,16.17,16.11,16.15,47372,76468424,0
2025-12-05 10:30:00,16.19,16.34,16.1,16.18,87346,141791542,0
2025-12-05 11:30:00,16.17,16.19,16.09,16.11,43550,70256163,0
2025-12-05 14:00:00,16.11,16.39,16.06,16.36,120417,195605981,0
2025-12-05 15:00:00,16.36,16.39,16.33,16.36,84138,137651542,0
2025-12-08 10:30:00,16.42,16.68,16.42,16.6,155056,257067827,0
2025-12-08 11:30:00,16.6,16.61,16.48,16.5,45798,75685729,0
2025-12-08 14:00:00,16.48,16.5,16.4,16.43,56451,92849400,0
2025-12-08 15:00:00,16.42,16.44,16.36,16.39,56455,92557423,0
2025-12-09 10:30:00,16.41,16.43,16.17,16.35,140737,228957206,0
2025-12-09 11:30:00,16.35,16.45,16.31,16.33,61263,100259637,0
2025-12-09 14:00:00,16.33,16.35,16.22,16.29,38369,62436840,0
2025-12-09 15:00:00,16.29,16.29,16.21,16.26,56199,91256228,0
2025-12-10 10:30:00,16.21,16.37,16.16,16.31,129251,210420381,0
2025-12-10 11:30:00,16.31,16.33,16.24,16.27,39822,64826887,0
2025-12-10 14:00:00,16.29,16.43,16.27,16.39,84998,138989145,0
2025-12-10 15:00:00,16.39,16.48,16.38,16.43,87653,144082601,0
2025-12-11 10:30:00,16.42,16.42,16.18,16.35,129662,210806839,0
2025-12-11 11:30:00,16.35,16.5,16.32,16.34,59954,98355959,0
2025-12-11 14:00:00,16.33,16.38,16.27,16.27,42705,69618764,0
2025-12-11 15:00:00,16.27,16.34,16.22,16.24,72087,117341199,0
2025-12-12 10:30:00,16.25,16.26,15.94,16.05,144321,231278200,0
2025-12-12 11:30:00,16.03,16.15,16.03,16.11,69002,111012673,0
2025-12-12 14:00:00,16.11,16.28,16.08,16.24,92805,150148974,0
2025-12-12 15:00:00,16.25,16.29,16.19,16.25,102415,166340981,0
2025-12-15 10:30:00,16.2,16.52,16.14,16.26,196616,321427675,0
2025-12-15 11:30:00,16.26,16.3,16.24,16.26,39428,64146664,0
2025-12-15 14:00:00,16.26,16.36,16.25,16.34,49424,80607369,0
2025-12-15 15:00:00,16.34,16.36,16.15,16.17,75340,122328714,0
2025-12-16 10:30:00,16.16,16.37,15.97,16.2,178712,288446864,0
2025-12-16 11:30:00,16.2,16.22,16.04,16.1,61191,98584858,0
2025-12-16 14:00:00,16.08,16.26,16.05,16.1,78201,126249474,0
2025-12-16 15:00:00,16.1,16.16,16.07,16.11,75852,122228281,0
2025-12-17 10:30:00,16.16,16.34,16.05,16.18,152142,246407903,0
2025-12-17 11:30:00,16.17,16.19,16.05,16.06,50531,81461407,0
2025-12-17 14:00:00,16.06,16.33,15.95,16.33,155898,251885993,0
2025-12-17 15:00:00,16.33,16.48,16.32,16.36,154859,253866078,0
2025-12-18 10:30:00,16.28,16.4,16.12,16.34,153527,249216184,0
2025-12-18 11:30:00,16.34,16.47,16.3,16.31,73618,120567883,0
2025-12-18 14:00:00,16.3,16.43,16.28,16.36,55729,91240584,0
2025-12-18 15:00:00,16.35,16.36,16.26,16.26,67629,110181091,0
2025-12-19 10:30:00,16.24,16.54,16.04,16.48,268590,437712635,0
2025-12-19 11:30:00,16.48,16.76,16.44,16.71,178480,296864463,0
2025-12-19 14:00:00,16.71,16.76,16.58,16.58,114398,190878757,0
2025-12-19 15:00:00,16.57,16.69,16.55,16.64,129089,214686477,0
2025-12-22 10:30:00,16.65,16.69,16.25,16.38,290143,475593290,0
2025-12-22 11:30:00,16.39,16.46,16.37,16.45,88894,145922921,0
2025-12-22 14:00:00,16.44,16.64,16.43,16.64,122591,202669501,0
2025-12-22 15:00:00,16.64,16.66,16.55,16.58,136308,226194894,0
2025-12-23 10:30:00,16.6,16.64,16.31,16.32,187928,308900846,0
2025-12-23 11:30:00,16.29,16.44,16.26,16.43,98297,160639191,0
