datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,3.1,3.5,3.04,3.12,3031168,1226503663,0
2020-02-29,2.73,2.96,2.38,2.66,3779597,1330236577,0
2020-03-31,2.69,2.86,2.51,2.52,3550757,1233584200,0
2020-04-30,2.54,2.73,2.38,2.5,2165309,722744038,0
2020-05-31,2.48,2.69,2.46,2.66,1944242,646270256,0
2020-06-30,2.79,5.31,2.71,4.08,47056580,25008044833,0
2020-07-31,4.07,7.7,4.0,6.67,50605608,35404616400,0
2020-08-31,6.93,7.0,5.08,5.29,14468442,9623558807,0
2020-09-30,5.28,5.87,4.84,4.88,9906969,6090936674,0
2020-10-31,4.98,5.35,4.56,4.59,6412013,3666923288,0
2020-11-30,4.54,4.9,4.49,4.75,5708760,3072966956,0
2020-12-31,4.73,5.23,3.68,4.79,10685959,5680028187,0
2021-01-31,4.63,5.72,4.24,4.42,19265366,10977356077,0
2021-02-28,4.46,4.96,4.05,4.36,7618602,3939668590,0
2021-03-31,4.36,4.53,4.18,4.29,6726841,3407462007,0
2021-04-30,4.28,4.42,4.1,4.17,3952417,1960997157,0
2021-05-31,4.14,4.57,3.97,4.39,7298981,3728822466,0
2021-06-30,4.38,5.28,4.33,4.48,12711651,7018191287,0
2021-07-31,4.48,4.53,3.74,3.74,5878771,2829164882,0
2021-08-31,3.74,4.23,3.69,3.84,5031908,2321045242,0
2021-09-30,3.84,4.52,3.81,4.03,6895626,3327989217,0
2021-10-31,4.06,4.26,3.74,4.21,4335281,2013550106,0
2021-11-30,4.19,4.52,3.86,3.93,7368317,3574242353,0
2021-12-31,3.91,4.21,3.89,4.18,5031738,2372897588,0
2022-01-31,4.23,4.38,3.75,3.82,5491350,2625881222,0
2022-02-28,3.83,4.34,3.82,3.98,4475462,2128896556,0
2022-03-31,3.95,4.56,3.67,4.36,11105180,5420320300,0
2022-04-30,4.46,5.07,3.86,4.44,14054521,7417442638,0
2022-05-31,4.39,4.82,4.21,4.74,7562185,3917134689,0
2022-06-30,4.72,5.21,4.52,4.98,12073721,6575142965,0
2022-07-31,5.01,5.4,4.64,4.7,9681062,5390785709,0
2022-08-31,4.66,4.71,4.16,4.3,6858393,3415611319,0
2022-09-30,4.29,4.34,3.83,3.87,4610045,2171546124,0
2022-10-31,3.86,4.0,3.54,3.6,3760199,1649175177,0
2022-11-30,3.59,3.94,3.58,3.84,6128123,2703414220,0
2022-12-31,3.89,5.57,3.88,4.65,38386393,20861236461,0
2023-01-31,4.57,4.71,4.31,4.51,8883884,4524945596,0
2023-02-28,4.51,4.94,4.29,4.71,13495014,7020765023,0
2023-03-31,4.71,5.36,4.39,5.19,16306296,8821194805,0
2023-04-30,5.19,9.09,5.13,9.09,52504418,40388654702,0
2023-05-31,9.51,10.29,7.14,7.7,55140479,51500616764,0
2023-06-30,7.64,10.14,7.58,8.0,44859797,41683952715,0
2023-07-31,7.92,8.73,7.43,7.98,22240073,18821551717,0
2023-08-31,8.02,8.42,7.44,7.69,18751661,15835122172,0
2023-09-30,7.87,9.56,7.83,8.51,28604166,26288646770,0
2023-10-31,8.56,8.71,7.09,7.25,11207939,9290315602,0
2023-11-30,7.27,7.79,6.9,7.42,11059706,8705620603,0
2023-12-31,7.43,7.64,6.32,6.79,8089356,6155681440,0
2024-01-31,6.8,7.31,6.25,6.91,8041685,5847032805,0
2024-02-29,6.82,7.93,6.35,7.69,10236935,8080674752,0
2024-03-31,7.67,8.85,7.65,8.1,11555051,10185035475,0
2024-04-30,8.14,8.36,7.51,8.22,8030183,6864685803,0
2024-05-31,8.35,8.4,7.25,7.35,6201395,5154826886,0
2024-06-30,7.48,8.16,7.04,7.09,7501162,6075365211,0
2024-07-31,7.08,7.48,6.84,7.39,5433126,4082296342,0
2024-08-31,7.4,7.95,6.94,7.94,5056604,3946032322,0
2024-09-30,7.86,9.39,7.84,9.32,7747047,6810887703,0
2024-10-31,10.29,11.88,9.02,10.33,32311977,35390518630,0
2024-11-30,10.27,14.16,9.94,13.9,22775991,27790402440,0
2024-12-31,13.9,15.55,13.0,13.08,17632928,25042640107,0
2025-01-31,13.09,13.4,11.97,12.54,7462818,9625253331,0
2025-02-28,12.59,13.27,11.86,12.46,8346172,10824746759,0
2025-03-31,12.55,15.07,12.22,14.9,9923679,13591801908,0
2025-04-30,14.87,16.62,11.38,15.0,15557887,22537232490,0
2025-05-31,15.12,17.72,14.76,17.29,7272640,12013365578,0
2025-06-30,17.3,22.08,17.27,20.68,14878997,29158898450,0
2025-07-31,20.45,22.3,18.25,21.3,15070596,30020673773,0
2025-08-31,21.45,23.4,18.6,22.5,16681254,34209466885,0
2025-09-30,22.7,23.19,18.0,18.55,13105104,25785422115,0
2025-10-31,18.0,20.31,17.3,18.43,11333953,21388570914,0
2025-11-30,18.43,18.45,15.58,16.46,8866635,14736417018,0
2025-12-31,16.41,16.83,15.78,15.95,10400191,16919115038,0
2026-01-31,15.95,16.76,15.79,16.48,3248108,5305203113,0
