datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,3.1,3.5,3.1,3.35,754177,308414235,0
2020-01-10,3.31,3.34,3.17,3.27,967736,392663101,0
2020-01-17,3.27,3.31,3.17,3.26,729192,294501015,0
2020-01-24,3.26,3.28,3.04,3.12,580063,230925312,0
2020-02-07,2.73,2.73,2.38,2.6,986403,333990360,0
2020-02-14,2.61,2.76,2.59,2.67,695814,241679716,0
2020-02-21,2.67,2.96,2.67,2.92,875110,317062261,0
2020-02-28,2.9,2.92,2.65,2.66,1222270,437504240,0
2020-03-06,2.69,2.86,2.69,2.83,852423,305423148,0
2020-03-13,2.79,2.82,2.54,2.7,910398,318387448,0
2020-03-20,2.81,2.85,2.55,2.62,968856,335036169,0
2020-03-27,2.57,2.64,2.51,2.59,608390,204621770,0
2020-04-03,2.55,2.59,2.51,2.53,510363,170135169,0
2020-04-10,2.56,2.73,2.55,2.57,585996,199855011,0
2020-04-17,2.55,2.58,2.51,2.54,454870,151669164,0
2020-04-24,2.54,2.58,2.49,2.5,450260,149634441,0
2020-05-01,2.49,2.52,2.38,2.5,374510,121565918,0
2020-05-08,2.48,2.59,2.47,2.54,308993,102935583,0
2020-05-15,2.53,2.56,2.46,2.49,417369,137397042,0
2020-05-22,2.49,2.58,2.46,2.47,503503,166156546,0
2020-05-29,2.49,2.69,2.46,2.66,714377,239781085,0
2020-06-05,2.79,4.78,2.71,4.78,1124964,484102113,0
2020-06-12,4.81,5.16,4.01,4.67,20315755,10825269536,0
2020-06-19,4.6,5.02,4.28,4.79,14880670,8008617056,0
2020-06-26,5.31,5.31,4.23,4.26,7881124,4311119648,0
2020-07-03,4.23,4.36,3.94,4.22,7602102,3753919392,0
2020-07-10,4.23,7.27,4.17,6.62,16037341,10572036704,0
2020-07-17,6.62,7.7,6.22,6.87,13493828,10379341536,0
2020-07-24,6.93,7.51,6.13,6.17,10522595,8021105104,0
2020-07-31,6.04,6.68,5.77,6.67,5803809,4057150144,0
2020-08-07,6.93,7.0,5.99,6.02,5436199,3855844512,0
2020-08-14,5.95,6.22,5.43,5.66,3205026,2083825840,0
2020-08-21,5.73,6.11,5.51,5.56,3098202,2025050876,0
2020-08-28,5.63,5.74,5.08,5.31,2279125,1386460939,0
2020-09-04,5.31,5.87,5.21,5.53,3557501,2233616861,0
2020-09-11,5.6,5.8,4.98,5.22,2380523,1461656679,0
2020-09-18,5.21,5.78,5.13,5.5,2096928,1281628774,0
2020-09-25,5.57,5.71,5.1,5.18,1614973,984029055,0
2020-10-02,5.13,5.19,4.84,4.88,706934,402381945,0
2020-10-09,4.98,5.04,4.93,5.0,197829,113280169,0
2020-10-16,5.05,5.18,4.67,4.8,1509062,852318398,0
2020-10-23,4.8,5.35,4.59,5.01,3248826,1892803505,0
2020-10-30,5.12,5.18,4.56,4.59,1456296,808521216,0
2020-11-06,4.54,4.9,4.49,4.72,1511673,815421338,0
2020-11-13,4.76,4.83,4.49,4.54,1520297,816200353,0
2020-11-20,4.63,4.8,4.56,4.62,1289759,696120598,0
2020-11-27,4.6,4.78,4.55,4.6,904854,484181206,0
2020-12-04,4.6,4.84,4.57,4.8,1521614,828607486,0
2020-12-11,4.83,4.92,4.38,4.39,917479,491835390,0
2020-12-18,4.4,4.52,4.16,4.26,1020227,514209634,0
2020-12-25,4.26,4.31,3.74,3.83,1390704,658053554,0
2021-01-01,3.81,5.23,3.68,4.79,6318112,3448365584,0
2021-01-08,4.63,5.72,4.58,5.29,8512746,5031813856,0
2021-01-15,5.19,5.48,4.7,4.78,4330888,2499583200,0
2021-01-22,4.78,5.12,4.45,4.46,4094074,2255362128,0
2021-01-29,4.36,4.56,4.24,4.42,2327658,1190596893,0
2021-02-05,4.46,4.64,4.05,4.25,2619544,1335750563,0
2021-02-12,4.25,4.35,4.15,4.24,842066,418504177,0
2021-02-19,4.26,4.52,4.2,4.52,1250058,632151639,0
2021-02-26,4.51,4.96,4.33,4.36,2906934,1553262211,0
2021-03-05,4.36,4.44,4.26,4.42,2107208,1067208693,0
2021-03-12,4.44,4.53,4.18,4.24,1522169,767365163,0
2021-03-19,4.24,4.49,4.19,4.43,1489176,755266804,0
2021-03-26,4.38,4.5,4.32,4.37,1078947,551881988,0
2021-04-02,4.37,4.37,4.22,4.27,887205,443549838,0
2021-04-09,4.26,4.32,4.21,4.26,605530,301442150,0
2021-04-16,4.36,4.42,4.12,4.3,1291690,644540151,0
2021-04-23,4.35,4.35,4.15,4.19,851226,422146138,0
2021-04-30,4.19,4.26,4.1,4.17,846107,415058239,0
2021-05-07,4.14,4.16,3.98,4.07,505658,241750873,0
2021-05-14,4.06,4.57,3.97,4.35,2350056,1180903503,0
2021-05-21,4.38,4.56,4.31,4.47,2342578,1217712504,0
2021-05-28,4.44,4.56,4.33,4.48,1762030,914627218,0
2021-06-04,4.46,4.9,4.33,4.79,3123947,1684547371,0
2021-06-11,4.76,5.08,4.66,4.71,2535363,1411083041,0
2021-06-18,4.68,5.28,4.52,4.8,4080244,2309578979,0
2021-06-25,4.73,4.92,4.61,4.62,2517991,1373137681,0
2021-07-02,4.6,4.65,4.36,4.41,1286646,666319738,0
2021-07-09,4.43,4.44,4.14,4.19,1598776,791326733,0
2021-07-16,4.26,4.28,4.05,4.17,1423206,689340222,0
2021-07-23,4.17,4.19,3.98,4.02,1081403,515749149,0
2021-07-30,4.01,4.02,3.74,3.74,1281505,580101623,0
2021-08-06,3.74,3.99,3.69,3.87,1275438,583014612,0
2021-08-13,3.91,4.23,3.89,3.96,1464706,694200144,0
2021-08-20,3.96,4.06,3.83,3.89,827008,381301571,0
2021-08-27,3.89,3.97,3.8,3.84,1069549,485486904,0
2021-09-03,3.83,3.98,3.78,3.94,1124775,511305103,0
2021-09-10,3.94,4.25,3.93,4.19,1954159,935335848,0
2021-09-17,4.22,4.52,4.08,4.16,2359402,1168862605,0
2021-09-24,4.1,4.3,4.05,4.16,940570,456230111,0
2021-10-01,4.16,4.2,3.99,4.03,911927,433297561,0
2021-10-08,4.06,4.16,4.05,4.14,209461,100373909,0
2021-10-15,4.14,4.21,3.95,3.97,815963,385466527,0
2021-10-22,3.98,4.12,3.8,3.99,1404331,645593218,0
2021-10-29,3.91,4.26,3.74,4.21,1905526,882116452,0
2021-11-05,4.19,4.52,4.15,4.25,2969146,1503322116,0
2021-11-12,4.26,4.29,4.01,4.05,1356204,650777087,0
2021-11-19,4.02,4.13,3.93,3.97,1458379,682061304,0
2021-11-26,4.08,4.09,3.95,3.97,1204288,563041553,0
2021-12-03,3.91,4.05,3.86,4.04,980410,455105832,0
2021-12-10,4.08,4.13,3.96,4.05,1204320,568272335,0
2021-12-17,4.05,4.09,3.96,3.99,917518,430622373,0
2021-12-24,3.93,4.1,3.93,4.08,1207081,567672033,0
2021-12-31,4.07,4.21,4.0,4.18,1102709,526265308,0
2022-01-07,4.23,4.38,4.11,4.13,1537454,755712573,0
2022-01-14,4.13,4.28,4.03,4.04,1463606,705044478,0
2022-01-21,4.04,4.23,4.03,4.2,1140800,548418451,0
2022-01-28,4.2,4.2,3.75,3.82,1349490,616705720,0
2022-02-11,3.83,4.33,3.82,4.11,1421635,671976662,0
2022-02-18,4.07,4.34,3.99,4.12,1546590,741010622,0
2022-02-25,4.17,4.27,3.93,3.99,1338769,637946268,0
2022-03-04,4.02,4.56,3.92,4.37,2428664,1195748695,0
2022-03-11,4.33,4.4,3.67,4.21,2630931,1242929030,0
2022-03-18,4.15,4.35,3.96,4.27,2272256,1104276459,0
2022-03-25,4.33,4.46,4.13,4.18,2118000,1049950783,0
2022-04-01,4.13,4.63,4.08,4.53,3020397,1527151793,0
2022-04-08,4.47,4.87,4.45,4.63,3056159,1632279136,0
2022-04-15,4.66,5.07,4.49,4.87,4473149,2448335200,0
2022-04-22,4.74,4.97,4.36,4.53,2609272,1400687646,0
2022-04-29,4.43,4.46,3.86,4.44,2719341,1314367200,0
2022-05-06,4.39,4.47,4.21,4.29,810905,407354902,0
2022-05-13,4.28,4.72,4.23,4.62,2283860,1180049588,0
