datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,45.42,47.87,45.15,45.92,411236,2306726976,0
2020-01-03,46.12,46.22,44.56,44.8,288642,1585798288,0
2020-01-06,44.13,44.66,43.17,43.44,343561,1845565952,0
2020-01-07,43.24,44.25,43.24,43.6,234783,1256641152,0
2020-01-08,43.12,43.5,42.72,42.81,232325,1228341856,0
2020-01-09,43.52,43.62,42.78,43.26,227889,1208570912,0
2020-01-10,43.23,43.7,42.42,43.56,250685,1328424832,0
2020-01-13,43.12,43.12,41.82,42.84,329826,1722995504,0
2020-01-14,42.82,43.62,42.6,43.03,231021,1223233552,0
2020-01-15,43.22,43.33,42.27,42.61,173969,912152624,0
2020-01-16,42.39,42.72,41.72,41.85,247126,1283835424,0
2020-01-17,42.32,42.77,41.94,42.25,169280,882380336,0
2020-01-20,42.25,43.32,42.22,42.78,262802,1384609040,0
2020-01-21,42.12,42.14,40.2,40.25,407513,2066063344,0
2020-01-22,39.74,40.59,39.43,40.16,398542,1988464816,0
2020-01-23,40.02,40.12,37.67,38.12,435078,2111835152,0
2020-02-03,33.33,35.42,33.33,34.95,759402,3373913952,0
2020-02-04,35.4,38.42,35.4,37.54,485622,2288611856,0
2020-02-05,37.52,38.27,37.02,37.3,389190,1849371280,0
2020-02-06,37.64,38.46,36.93,38.08,287557,1370720048,0
2020-02-07,37.81,38.57,37.56,38.43,240380,1154989408,0
2020-02-10,37.92,41.62,37.67,41.39,467882,2359751760,0
2020-02-11,41.0,42.22,40.73,41.72,402006,2064345808,0
2020-02-12,40.92,41.95,40.72,41.93,291408,1497011424,0
2020-02-13,42.12,43.09,41.65,42.67,375031,1964520144,0
2020-02-14,42.12,43.12,42.12,42.94,245350,1290120208,0
2020-02-17,42.94,43.65,42.5,43.54,299016,1584662080,0
2020-02-18,43.13,43.39,41.49,41.92,444421,2313604128,0
2020-02-19,41.63,43.09,41.14,42.34,263622,1379670704,0
2020-02-20,42.6,42.78,41.63,42.57,261780,1363353856,0
2020-02-21,42.13,42.97,41.8,42.38,285899,1491198544,0
2020-02-24,42.34,44.67,42.05,43.14,449581,2398648448,0
2020-02-25,41.97,42.76,41.17,42.07,347298,1799700704,0
2020-02-26,41.11,44.37,40.88,43.41,646775,3440689152,0
2020-02-27,43.47,46.57,43.47,45.79,641172,3545417856,0
2020-02-28,44.35,47.0,44.12,44.98,579806,3203703632,0
2020-03-02,45.4,50.47,45.4,50.43,1038584,6154161920,0
2020-03-03,52.25,52.25,48.34,49.12,904551,5365265920,0
2020-03-04,48.3,50.3,48.12,49.36,475635,2804225728,0
2020-03-05,49.55,49.93,48.69,49.18,381523,2251912656,0
2020-03-06,48.59,48.72,47.27,47.32,424615,2447990672,0
2020-03-09,46.22,46.75,45.27,45.82,434523,2426676960,0
2020-03-10,45.82,48.34,45.41,47.69,428333,2436240576,0
2020-03-11,47.65,47.67,46.17,46.26,250892,1420197632,0
2020-03-12,45.17,45.82,44.01,45.31,344925,1889428384,0
2020-03-13,42.62,45.51,41.99,44.24,383387,2050985216,0
2020-03-16,44.65,45.25,41.53,41.82,373127,1974871120,0
2020-03-17,42.61,43.27,39.32,41.12,460405,2342788624,0
2020-03-18,41.77,43.7,41.46,41.52,479709,2525133184,0
2020-03-19,41.27,42.38,37.8,40.21,577585,2872678912,0
2020-03-20,40.98,43.2,39.97,42.99,513268,2651651760,0
2020-03-23,40.62,43.12,40.6,41.85,449885,2342375792,0
2020-03-24,43.25,44.77,42.69,44.77,459185,2472263744,0
2020-03-25,46.62,47.31,44.84,45.48,435034,2433195456,0
2020-03-26,44.43,46.35,44.36,44.45,239764,1315713824,0
2020-03-27,45.12,46.62,44.4,45.94,363292,2022404704,0
2020-03-30,45.09,46.8,44.65,45.96,350202,1956511600,0
2020-03-31,46.5,46.62,45.03,45.22,240438,1337183632,0
2020-04-01,44.92,46.19,44.74,44.92,218995,1208351440,0
2020-04-02,44.21,44.91,43.59,44.84,228367,1235887536,0
2020-04-03,44.32,45.53,44.32,44.74,175899,960707408,0
2020-04-07,46.0,48.68,45.98,47.92,619427,3546774288,0
2020-04-08,47.13,48.43,46.88,47.72,259898,1493972128,0
2020-04-09,47.99,48.71,47.42,48.07,225524,1307058688,0
2020-04-10,48.52,49.02,47.32,48.0,225326,1308609072,0
2020-04-13,47.82,50.14,47.43,49.42,276193,1637800752,0
2020-04-14,49.02,49.8,48.78,49.78,232274,1375547920,0
2020-04-15,49.48,49.48,47.74,47.92,290854,1697716416,0
2020-04-16,47.33,47.86,47.0,47.4,182844,1046725216,0
2020-04-17,47.87,49.5,47.48,48.33,304111,1772385328,0
2020-04-20,49.09,50.33,49.07,49.68,302184,1801968560,0
2020-04-21,49.12,49.96,48.17,49.27,210539,1239552928,0
2020-04-22,48.82,49.71,48.47,49.65,168429,997272336,0
2020-04-23,49.78,49.97,48.04,48.04,238006,1396160352,0
2020-04-24,48.04,48.42,47.42,48.16,182484,1055405504,0
2020-04-27,48.72,49.48,48.37,48.53,194675,1146367296,0
2020-04-28,49.1,49.14,47.74,48.86,195413,1146192624,0
2020-04-29,48.87,50.92,48.86,50.12,254411,1524051184,0
2020-04-30,50.37,50.47,49.52,50.08,208353,1244152224,0
2020-05-06,49.42,50.04,48.8,49.71,365271,2157298560,0
2020-05-07,49.82,51.06,49.82,51.02,295346,1784073328,0
2020-05-08,51.13,51.45,50.46,50.97,214376,1302818880,0
