datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,22.91,23.14,22.9,23.06,57503,132569764,0
2025-11-26 11:30:00,23.06,23.1,22.95,22.97,37001,85089947,0
2025-11-26 14:00:00,22.97,22.98,22.83,22.88,60864,139232643,0
2025-11-26 15:00:00,22.87,22.89,22.8,22.83,62828,143590683,0
2025-11-27 10:30:00,22.8,22.88,22.6,22.61,134821,305659947,0
2025-11-27 11:30:00,22.61,22.64,22.5,22.62,120417,271703191,0
2025-11-27 14:00:00,22.62,22.69,22.56,22.67,45393,102729354,0
2025-11-27 15:00:00,22.66,22.71,22.61,22.62,36742,83195200,0
2025-11-28 10:30:00,22.59,22.66,22.47,22.66,58793,132660773,0
2025-11-28 11:30:00,22.65,22.8,22.6,22.75,44921,102005215,0
2025-11-28 14:00:00,22.76,22.8,22.7,22.79,27741,63116252,0
2025-11-28 15:00:00,22.79,22.86,22.77,22.85,51388,117317911,0
2025-12-01 10:30:00,22.75,23.02,22.75,22.93,94652,216948811,0
2025-12-01 11:30:00,22.93,22.94,22.81,22.81,72341,165304403,0
2025-12-01 14:00:00,22.83,22.83,22.66,22.68,91048,206902119,0
2025-12-01 15:00:00,22.68,22.75,22.65,22.75,98294,222952209,0
2025-12-02 10:30:00,22.67,22.78,22.66,22.68,63140,143378953,0
2025-12-02 11:30:00,22.68,22.71,22.63,22.65,31669,71837043,0
2025-12-02 14:00:00,22.65,22.66,22.58,22.61,45602,103113078,0
2025-12-02 15:00:00,22.6,22.75,22.59,22.74,51869,117593704,0
2025-12-03 10:30:00,22.75,22.9,22.7,22.85,85852,195985536,0
2025-12-03 11:30:00,22.84,22.87,22.77,22.8,33455,76316169,0
2025-12-03 14:00:00,22.79,22.86,22.77,22.77,28998,66166602,0
2025-12-03 15:00:00,22.77,22.8,22.71,22.78,31469,71615258,0
2025-12-04 10:30:00,22.73,22.78,22.66,22.7,55236,125440010,0
2025-12-04 11:30:00,22.71,22.84,22.7,22.75,24314,55345415,0
2025-12-04 14:00:00,22.74,22.77,22.62,22.63,29519,66943581,0
2025-12-04 15:00:00,22.62,22.75,22.62,22.7,29855,67716593,0
2025-12-05 10:30:00,22.7,22.73,22.6,22.61,44951,101821892,0
2025-12-05 11:30:00,22.61,22.64,22.56,22.6,40221,90906450,0
2025-12-05 14:00:00,22.61,22.79,22.58,22.76,34657,78573288,0
2025-12-05 15:00:00,22.75,22.83,22.75,22.79,54105,123330186,0
2025-12-08 10:30:00,22.8,22.88,22.74,22.8,65007,148328769,0
2025-12-08 11:30:00,22.8,22.87,22.79,22.84,35367,80746130,0
2025-12-08 14:00:00,22.85,22.9,22.77,22.77,46979,107282573,0
2025-12-08 15:00:00,22.79,22.79,22.61,22.67,84172,191050308,0
2025-12-09 10:30:00,22.67,22.67,22.22,22.23,177694,397671415,0
2025-12-09 11:30:00,22.22,22.24,22.08,22.11,76401,169421683,0
2025-12-09 14:00:00,22.12,22.14,22.06,22.1,66507,146961246,0
2025-12-09 15:00:00,22.1,22.12,22.01,22.06,103807,228938570,0
2025-12-10 10:30:00,22.02,22.14,21.87,22.13,82710,182059382,0
2025-12-10 11:30:00,22.13,22.15,22.08,22.1,27445,60697615,0
2025-12-10 14:00:00,22.1,22.46,22.07,22.27,69884,155624563,0
2025-12-10 15:00:00,22.28,22.35,22.26,22.31,38969,86944119,0
2025-12-11 10:30:00,22.26,22.37,22.15,22.21,57480,127782811,0
2025-12-11 11:30:00,22.22,22.22,22.1,22.18,40825,90450645,0
2025-12-11 14:00:00,22.19,22.23,22.13,22.15,33730,74800287,0
2025-12-11 15:00:00,22.16,22.19,22.13,22.16,38398,85117867,0
2025-12-12 10:30:00,22.22,22.33,22.06,22.16,102079,226068871,0
2025-12-12 11:30:00,22.15,22.19,22.11,22.14,56747,125661118,0
2025-12-12 14:00:00,22.14,22.18,22.08,22.11,69700,154160882,0
2025-12-12 15:00:00,22.1,22.16,22.08,22.16,83051,183614537,0
2025-12-15 10:30:00,22.1,22.37,22.02,22.3,93948,209054036,0
2025-12-15 11:30:00,22.29,22.44,22.29,22.4,77594,173610848,0
2025-12-15 14:00:00,22.39,22.41,22.28,22.34,52363,116887869,0
2025-12-15 15:00:00,22.34,22.37,22.26,22.28,52252,116668529,0
2025-12-16 10:30:00,22.25,22.35,22.0,22.1,78497,173675442,0
2025-12-16 11:30:00,22.08,22.09,21.94,21.99,53224,117045170,0
2025-12-16 14:00:00,22.01,22.03,21.92,21.95,35775,78613550,0
2025-12-16 15:00:00,21.95,21.96,21.88,21.92,65712,143958385,0
