datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,45.42,47.87,37.67,38.12,4644278,24335639760,0
2020-02-29,33.33,47.0,33.33,44.98,8163198,41734004992,0
2020-03-31,45.4,52.25,37.8,45.22,10008862,55493858016,0
2020-04-30,44.92,50.92,43.59,50.08,5194206,30142659200,0
2020-05-31,49.42,52.99,46.0,46.92,4271032,25255750448,0
2020-06-30,47.55,48.6,44.64,45.03,5776626,32107936816,0
2020-07-31,45.3,55.68,45.03,53.54,12191528,71914353216,0
2020-08-31,54.68,55.62,50.13,53.03,5339037,32625435408,0
2020-09-30,52.82,52.91,46.82,47.38,4052478,23690836560,0
2020-10-31,48.21,49.11,42.82,42.96,4057297,21870998256,0
2020-11-30,42.95,50.79,42.73,48.62,6874240,38076150000,0
2020-12-31,48.15,48.61,42.14,43.74,4942900,26072939712,0
2021-01-31,43.82,51.0,42.12,42.56,9714471,52604145040,0
2021-02-28,42.62,48.32,40.21,45.46,6946954,36266356416,0
2021-03-31,45.46,47.01,42.02,43.34,7452810,39153409008,0
2021-04-30,43.52,43.77,40.92,41.15,3610774,18154338992,0
2021-05-31,41.17,43.05,40.92,41.15,3503627,17357864192,0
2021-06-30,41.14,41.35,35.04,35.29,4609784,20784478480,0
2021-07-31,35.24,36.18,28.89,29.64,4924141,18941682592,0
2021-08-31,29.64,37.08,28.86,34.2,7935303,31921457168,0
2021-09-30,34.54,44.04,34.25,35.04,10088368,45757929056,0
2021-10-31,35.67,37.4,31.8,32.32,3986219,16024443904,0
2021-11-30,32.24,33.36,30.24,30.46,4649442,17413345056,0
2021-12-31,30.32,36.84,30.27,34.54,6493728,25903084608,0
2022-01-31,34.7,38.74,32.96,33.45,5623199,23479506704,0
2022-02-28,34.08,38.69,34.02,34.54,3926770,16606634256,0
2022-03-31,34.67,35.58,28.04,33.73,5393021,20524272048,0
2022-04-30,33.34,36.07,31.14,34.2,4565943,18111750304,0
2022-05-31,34.22,34.8,30.92,31.07,3449088,13079943472,0
2022-06-30,31.07,32.13,28.94,31.9,6471060,22957740592,0
2022-07-31,32.04,32.97,29.06,29.12,4160047,14420555289,0
2022-08-31,29.05,29.84,27.29,28.54,4082462,12998618531,0
2022-09-30,28.12,29.07,24.62,25.43,4960211,15063233012,0
2022-10-31,25.35,25.72,20.82,20.9,2870158,7818155329,0
2022-11-30,20.97,26.05,20.7,25.21,5463850,14881165085,0
2022-12-31,25.61,27.1,23.87,24.0,4541109,13161110140,0
2023-01-31,24.01,26.71,23.7,26.04,2696182,7766276736,0
2023-02-28,26.07,28.92,25.08,27.3,4979983,15080527697,0
2023-03-31,27.57,28.55,24.42,24.87,4468815,13223479120,0
2023-04-30,24.89,25.81,23.04,23.5,3356860,9430440429,0
2023-05-31,23.46,24.76,21.68,21.68,3102027,8268734317,0
2023-06-30,21.65,23.45,21.53,21.84,3891666,9907811307,0
2023-07-31,21.95,25.3,21.33,25.24,4068360,10109886608,0
2023-08-31,25.1,25.59,22.86,23.78,4680103,12243640935,0
2023-09-30,23.9,25.48,23.65,24.13,3135900,8272987271,0
2023-10-31,24.09,24.09,21.36,22.29,2621201,6436393363,0
2023-11-30,22.32,22.38,21.01,21.1,3176784,7509279891,0
2023-12-31,21.08,21.15,19.4,20.66,2609209,5747978402,0
2024-01-31,20.65,21.44,19.52,21.21,3198774,7202991923,0
2024-02-29,21.14,23.18,20.53,22.04,3139608,7482198306,0
2024-03-31,22.01,22.56,20.1,20.38,3943262,9130611151,0
2024-04-30,20.41,21.57,19.77,21.08,4202391,9527996309,0
2024-05-31,21.38,24.05,20.91,22.11,4409097,10815063838,0
2024-06-30,22.1,23.05,21.22,22.64,2653640,6336856165,0
2024-07-31,22.54,24.42,22.37,23.22,3485266,8497180397,0
2024-08-31,23.22,23.22,19.4,19.97,3143599,6995490010,0
2024-09-30,19.92,25.52,18.58,25.19,3919088,8661288500,0
2024-10-31,27.8,27.8,22.82,25.8,6095146,15686474686,0
2024-11-30,25.69,26.93,24.03,24.71,3771050,9966564993,0
2024-12-31,24.84,25.52,22.67,22.83,3859223,9686311167,0
2025-01-31,22.82,24.1,22.3,23.95,2264381,5453256911,0
2025-02-28,23.96,24.03,21.49,22.31,3038762,7107043721,0
2025-03-31,22.34,24.41,22.05,23.34,3592519,8737972282,0
2025-04-30,23.32,25.03,21.96,23.13,4067453,10059985672,0
2025-05-31,23.16,23.44,22.08,22.28,2876042,6808210415,0
2025-06-30,22.26,22.35,20.54,21.23,3770017,8408002335,0
2025-07-31,21.23,27.76,21.12,23.31,15473978,37903797162,0
2025-08-31,23.26,25.36,22.93,24.11,8262362,20022307809,0
2025-09-30,24.25,24.4,22.44,23.22,6667192,15785502051,0
2025-10-31,23.22,24.67,23.15,23.19,5186772,12326935069,0
2025-11-30,23.3,24.05,22.47,22.85,4720703,10968569713,0
2025-12-31,22.75,23.02,21.73,21.86,5162247,11514088853,0
2026-01-31,22.0,23.07,21.93,22.76,1835012,4135938220,0
