datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,45.42,47.87,44.56,44.8,699878,3892525264,0
2020-01-10,44.13,44.66,42.42,43.56,1289243,6867544704,0
2020-01-17,43.12,43.62,41.72,42.25,1151222,6024597440,0
2020-01-24,42.25,43.32,37.67,38.12,1503935,7550972352,0
2020-02-07,33.33,38.57,33.33,38.43,2162151,10037606544,0
2020-02-14,37.92,43.12,37.67,42.94,1781677,9175749344,0
2020-02-21,42.94,43.65,41.14,42.38,1554738,8132489312,0
2020-02-28,42.34,47.0,40.88,44.98,2664632,14388159792,0
2020-03-06,45.4,52.25,45.4,47.32,3224908,19023556896,0
2020-03-13,46.22,48.34,41.99,44.24,1842060,10223528768,0
2020-03-20,44.65,45.25,37.8,42.99,2404094,12367123600,0
2020-03-27,40.62,47.31,40.6,45.94,1947160,10585953520,0
2020-04-03,45.09,46.8,43.59,44.74,1213901,6698641616,0
2020-04-10,46.0,49.02,45.98,48.0,1330175,7656414176,0
2020-04-17,47.82,50.14,47.0,48.33,1286276,7530175632,0
2020-04-24,49.09,50.33,47.42,48.16,1101642,6490359680,0
2020-05-01,48.72,50.92,47.74,50.08,852852,5060763328,0
2020-05-08,49.42,51.45,48.8,50.97,874993,5244190768,0
2020-05-15,51.33,52.99,48.29,48.97,1322483,8017129168,0
2020-05-22,49.67,50.6,46.97,47.11,1100002,6447312656,0
2020-05-29,47.02,48.12,46.0,46.92,973554,5547117856,0
2020-06-05,47.55,48.6,45.3,46.26,1372039,7829646848,0
2020-06-12,46.43,48.1,45.64,46.12,1496842,8486604448,0
2020-06-19,45.91,46.95,45.32,46.72,1423689,7858108896,0
2020-06-26,46.87,46.87,45.31,46.22,838904,4520594256,0
2020-07-03,45.56,49.96,44.64,48.89,2208320,12138701008,0
2020-07-10,49.35,52.72,49.12,49.3,2696245,15661231936,0
2020-07-17,49.12,52.0,47.58,49.11,2513323,14528693216,0
2020-07-24,50.12,55.11,50.12,50.97,3545787,21554926800,0
2020-07-31,51.74,55.68,51.17,53.54,1873005,11443782624,0
2020-08-07,54.68,55.62,52.43,53.62,1482678,9193731376,0
2020-08-14,54.82,55.61,50.13,51.57,1196165,7186845344,0
2020-08-21,51.58,54.01,51.12,51.48,1007958,6088317840,0
2020-08-28,52.91,54.71,52.14,54.22,1353137,8304733728,0
2020-09-04,54.99,55.3,50.8,51.57,1235801,7447088016,0
2020-09-11,51.52,52.01,49.31,50.12,928700,5409654496,0
2020-09-18,50.37,52.27,50.3,52.15,886547,5237281552,0
2020-09-25,52.6,52.91,48.64,48.82,731386,4261862608,0
2020-10-02,49.02,49.55,46.82,47.38,569143,3186757008,0
2020-10-09,48.21,48.24,46.9,47.74,324520,1796400016,0
2020-10-16,47.7,49.11,46.97,47.19,1270755,7095964224,0
2020-10-23,47.31,47.7,45.12,45.32,1022641,5517993936,0
2020-10-30,45.32,45.32,42.82,42.96,1439381,7460640080,0
2020-11-06,42.95,47.62,42.73,46.86,1882591,10056081504,0
2020-11-13,47.27,48.58,45.87,47.1,1821478,10061027808,0
2020-11-20,47.52,50.79,47.32,48.32,1663104,9481088640,0
