datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,8.47,9.29,8.42,9.16,484531,475350848,0
2020-01-03,9.46,9.66,8.92,9.1,452887,456417376,0
2020-01-06,9.05,9.92,8.93,9.48,436973,443866608,0
2020-01-07,9.7,10.08,9.49,9.82,411009,435480992,0
2020-01-08,9.71,9.71,9.14,9.27,356138,361468912,0
2020-01-09,9.38,9.54,9.19,9.39,198444,200923231,0
2020-01-10,9.47,9.5,9.15,9.23,150703,151975058,0
2020-01-13,9.22,9.23,8.95,9.2,202819,199597322,0
2020-01-14,9.16,9.29,9.01,9.04,160885,159292532,0
2020-01-15,8.98,9.06,8.86,9.02,111420,108599400,0
2020-01-16,9.02,9.25,8.95,9.01,141795,139799982,0
2020-01-17,8.97,9.13,8.9,8.98,99251,97057346,0
2020-01-20,9.01,9.07,8.59,8.73,203106,192829652,0
2020-01-21,8.68,8.71,8.52,8.55,104672,98161986,0
2020-01-22,8.51,8.74,8.37,8.7,106270,99480725,0
2020-01-23,8.65,8.8,8.28,8.42,126607,117688025,0
2020-02-03,7.5,7.75,7.5,7.5,171023,142269578,0
2020-02-04,7.43,7.89,7.43,7.81,171479,146382804,0
2020-02-05,7.85,8.15,7.84,8.0,169340,148886250,0
2020-02-06,8.0,8.88,7.91,8.88,415341,390330368,0
2020-02-07,9.02,9.57,8.96,9.36,433783,436852160,0
2020-02-10,9.44,9.77,9.25,9.56,418311,429576128,0
2020-02-11,9.55,9.56,9.04,9.14,252659,252394914,0
2020-02-12,9.21,9.42,9.05,9.32,212858,213409881,0
2020-02-13,9.44,9.48,9.06,9.13,155071,154538004,0
2020-02-14,9.03,9.2,8.92,9.09,158527,155852730,0
2020-02-17,9.05,9.47,9.05,9.44,258650,261560366,0
2020-02-18,9.43,9.59,9.28,9.58,270262,276283424,0
2020-02-19,9.49,9.54,9.18,9.18,192818,195192749,0
2020-02-20,8.97,9.05,8.51,8.86,361954,346472896,0
2020-02-21,8.81,9.13,8.8,9.12,241745,236801469,0
2020-02-24,9.1,9.6,8.94,9.59,317244,320004080,0
2020-02-25,9.33,9.49,9.09,9.47,283757,286926736,0
2020-02-26,9.31,9.41,9.07,9.08,239192,238949019,0
2020-02-27,9.02,9.72,8.97,9.62,397113,405788976,0
2020-02-28,9.3,9.85,9.16,9.25,404377,412620752,0
2020-03-02,9.28,9.76,9.06,9.65,395979,406611344,0
2020-03-03,9.85,10.11,9.54,9.67,430667,457848592,0
2020-03-04,9.59,9.97,9.49,9.82,278068,291962944,0
2020-03-05,10.42,10.47,9.64,9.65,331682,353862160,0
