datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,8.47,10.08,8.28,8.42,3747510,3737989995,0
2020-02-29,7.5,9.85,7.43,9.25,5525504,5451093284,0
2020-03-31,9.28,10.47,7.77,9.51,4845836,4807883786,0
2020-04-30,9.33,9.36,7.88,8.79,3772503,3528576400,0
2020-05-31,8.67,9.25,8.27,8.49,2266243,2182802036,0
2020-06-30,8.54,9.54,8.52,9.08,3973136,3881836743,0
2020-07-31,9.09,10.95,8.9,9.88,6645984,7110686540,0
2020-08-31,10.28,12.1,10.18,10.47,7170736,8462459302,0
2020-09-30,10.41,10.66,9.1,9.12,2056238,2169439393,0
2020-10-31,9.25,9.69,8.46,8.49,1175452,1167322104,0
2020-11-30,8.47,8.6,8.19,8.41,1388480,1260477001,0
2020-12-31,8.42,8.63,7.13,7.44,1580091,1365050258,0
2021-01-31,7.45,7.59,6.66,6.72,1482752,1165884530,0
2021-02-28,6.75,7.05,6.14,6.82,984736,719694300,0
2021-03-31,6.84,7.35,6.52,6.9,1457566,1111086878,0
2021-04-30,6.9,7.02,6.37,6.43,870703,648779910,0
2021-05-31,6.44,6.88,6.4,6.7,1112321,817948320,0
2021-06-30,6.78,7.6,6.53,6.56,1860166,1408906095,0
2021-07-31,6.56,6.65,6.07,6.09,1038657,731506827,0
2021-08-31,6.09,6.48,5.93,6.09,1221456,824528498,0
2021-09-30,6.09,6.73,6.08,6.26,1438200,1015879371,0
2021-10-31,6.3,6.87,6.25,6.83,1149602,823934403,0
2021-11-30,6.95,7.54,6.64,7.41,4057585,3088629345,0
2021-12-31,7.51,8.77,7.38,8.19,7484353,6422956371,0
2022-01-31,8.19,12.22,7.91,8.02,17790402,19449279300,0
2022-02-28,8.16,10.49,7.72,8.83,12692978,12397622672,0
2022-03-31,8.78,8.91,7.19,7.51,7422990,6482244523,0
2022-04-30,7.44,8.13,4.81,5.33,4607133,3311417570,0
2022-05-31,5.33,6.63,5.1,6.26,5040166,3323335926,0
2022-06-30,6.31,7.31,6.08,6.34,5939979,4226028108,0
2022-07-31,6.34,6.37,5.69,5.9,2178313,1435487206,0
2022-08-31,5.9,7.09,5.46,6.53,5862433,4124485819,0
2022-09-30,6.55,6.7,5.54,5.59,2495349,1687205989,0
2022-10-31,5.59,6.21,5.41,5.88,2182675,1400895827,0
2022-11-30,5.9,8.17,5.83,7.84,11736420,9166851594,0
2022-12-31,7.77,9.96,7.29,7.65,14067250,12369997198,0
2023-01-31,7.74,8.94,7.66,8.57,8492882,7504929610,0
2023-02-28,8.57,9.84,8.39,9.13,8993666,8593112255,0
2023-03-31,9.11,12.53,9.09,11.98,12028477,13234786167,0
2023-04-30,11.66,15.68,11.65,13.31,13101242,18864784237,0
2023-05-31,13.18,14.89,10.9,12.49,9275026,12262411190,0
2023-06-30,12.47,17.8,12.37,15.75,12628652,19643123789,0
2023-07-31,15.87,17.24,13.04,13.82,9395329,14819512214,0
2023-08-31,13.82,18.13,13.23,16.55,14162218,22484267674,0
2023-09-30,16.64,17.89,12.42,13.1,10538291,16248065492,0
2023-10-31,13.07,13.29,10.88,11.2,4669789,5740496822,0
2023-11-30,11.1,14.39,11.04,12.04,11223677,14600888003,0
2023-12-31,12.04,13.38,9.9,10.6,7919206,9911859222,0
2024-01-31,10.7,10.83,8.79,8.8,5060640,5251040397,0
2024-02-29,8.79,11.24,7.79,10.61,6456132,6651643811,0
2024-03-31,10.61,12.02,10.24,10.5,9620203,11084020686,0
2024-04-30,10.5,11.64,9.04,9.73,4695915,4969783279,0
2024-05-31,9.87,10.07,8.96,9.11,2550545,2533686278,0
2024-06-30,9.12,9.16,8.13,8.48,1590685,1445967692,0
2024-07-31,8.49,8.65,7.65,8.42,1673802,1419498710,0
2024-08-31,8.43,8.54,7.54,8.02,1845397,1546530293,0
2024-09-30,8.04,10.28,7.53,10.18,1963740,1729654120,0
2024-10-31,11.21,11.41,9.35,10.7,6355906,6836377500,0
2024-11-30,10.67,11.64,9.98,10.72,5347848,5910292756,0
2024-12-31,10.73,11.61,10.13,10.22,5679794,6343868506,0
2025-01-31,10.18,10.31,8.59,9.97,2805537,2727988136,0
2025-02-28,10.58,19.56,10.42,13.98,29002945,50088780408,0
2025-03-31,14.02,15.86,12.66,13.2,12820414,18646184875,0
2025-04-30,13.22,14.5,10.37,13.83,9274785,12140671202,0
2025-05-31,14.01,14.34,12.44,12.65,5710231,7748051210,0
2025-06-30,12.98,13.89,12.36,13.76,8099101,10880016935,0
2025-07-31,13.72,14.5,13.23,13.78,8418335,11713630252,0
2025-08-31,13.78,16.47,13.44,15.04,11944618,17930307958,0
2025-09-30,15.27,15.9,13.66,14.49,8296347,12185237175,0
2025-10-31,14.48,14.58,13.22,13.59,2915597,4015086534,0
2025-11-30,13.7,13.98,12.66,13.18,3260264,4376915611,0
2025-12-31,13.11,13.24,12.23,12.86,2276211,2917499236,0
2026-01-31,12.9,13.95,12.8,13.94,1210228,1624039621,0
