datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,8.47,9.66,8.42,9.1,937418,931768224,0
2020-01-10,9.05,10.08,8.93,9.23,1553267,1593714801,0
2020-01-17,9.22,9.29,8.86,8.98,716170,704346582,0
2020-01-24,9.01,9.07,8.28,8.42,540655,508160388,0
2020-02-07,7.5,9.57,7.43,9.36,1360966,1264721160,0
2020-02-14,9.44,9.77,8.92,9.09,1197426,1205771657,0
2020-02-21,9.05,9.59,8.51,9.12,1325429,1316310904,0
2020-02-28,9.1,9.85,8.94,9.25,1641683,1664289563,0
2020-03-06,9.28,10.47,9.06,9.34,1639750,1716782144,0
2020-03-13,9.12,9.16,7.82,8.3,819259,775824668,0
2020-03-20,8.42,8.51,7.77,8.38,666331,597091651,0
2020-03-27,8.22,9.77,8.04,9.62,1022602,1003237019,0
2020-04-03,9.78,9.89,7.88,8.29,1663946,1611026266,0
2020-04-10,8.4,8.61,8.19,8.24,612986,564364905,0
2020-04-17,8.22,8.81,8.06,8.43,609698,560635470,0
2020-04-24,8.37,9.18,8.29,8.72,971155,931246932,0
2020-05-01,8.72,9.04,8.21,8.79,612612,576251131,0
2020-05-08,8.67,9.2,8.65,8.98,515054,503525664,0
2020-05-15,9.04,9.25,8.72,9.03,843333,825108633,0
2020-05-22,9.02,9.07,8.35,8.35,558008,530848364,0
2020-05-29,8.36,8.63,8.27,8.49,349848,323319375,0
2020-06-05,8.54,8.87,8.53,8.72,689150,651961270,0
2020-06-12,8.78,9.11,8.52,8.95,858724,825697480,0
2020-06-19,8.95,9.37,8.8,9.0,1229371,1212276082,0
2020-06-26,9.02,9.54,8.93,9.17,842452,845595002,0
2020-07-03,9.12,9.53,8.9,9.4,1162226,1152196028,0
2020-07-10,9.45,10.8,9.39,10.35,2178920,2344046816,0
2020-07-17,10.25,10.95,9.56,9.81,1631404,1795067928,0
2020-07-24,9.87,10.63,9.54,9.56,1253435,1354081343,0
2020-07-31,9.67,10.08,9.43,9.88,773438,811601334,0
2020-08-07,10.28,12.1,10.27,11.47,3045744,3686101968,0
2020-08-14,11.3,11.73,10.39,10.83,1584116,1849661571,0
2020-08-21,10.96,11.18,10.5,10.86,1177553,1363485533,0
2020-08-28,10.83,11.34,10.18,10.59,1190036,1367613454,0
2020-09-04,10.67,10.73,10.15,10.35,698968,778759614,0
2020-09-11,10.33,10.42,9.46,9.61,605117,644896165,0
2020-09-18,9.63,9.82,9.49,9.78,376780,389768867,0
2020-09-25,9.82,9.87,9.1,9.16,395884,400367465,0
2020-10-02,9.18,9.32,9.1,9.12,152776,151244058,0
2020-10-09,9.25,9.58,9.25,9.53,100365,101965404,0
2020-10-16,9.62,9.69,9.23,9.33,435149,442452286,0
2020-10-23,9.31,9.45,9.07,9.09,299688,298904695,0
2020-10-30,9.05,9.05,8.46,8.49,340250,323999719,0
2020-11-06,8.47,8.57,8.19,8.36,401425,363198690,0
2020-11-13,8.39,8.6,8.21,8.33,350340,319610069,0
2020-11-20,8.35,8.44,8.23,8.35,244272,220463316,0
2020-11-27,8.35,8.49,8.29,8.46,318699,289679036,0
2020-12-04,8.49,8.63,8.39,8.49,347373,320274079,0
2020-12-11,8.48,8.54,7.66,7.79,350728,309974513,0
2020-12-18,7.74,8.44,7.68,7.86,377545,329291264,0
2020-12-25,7.83,8.0,7.23,7.37,315276,261928298,0
2021-01-01,7.37,7.5,7.13,7.44,262913,211107994,0
2021-01-08,7.45,7.48,6.91,7.29,439939,348988563,0
2021-01-15,7.45,7.59,7.01,7.23,355719,284159154,0
2021-01-22,7.24,7.36,7.03,7.05,311665,245978645,0
2021-01-29,7.05,7.16,6.66,6.72,375429,286758168,0
2021-02-05,6.75,6.92,6.15,6.17,326888,233434859,0
2021-02-12,6.17,6.41,6.14,6.37,142818,100105002,0
2021-02-19,6.48,6.82,6.47,6.81,163867,119966855,0
2021-02-26,6.83,7.05,6.72,6.82,351163,266187584,0
2021-03-05,6.84,7.14,6.79,7.07,325951,250250504,0
2021-03-12,7.07,7.11,6.53,6.58,308853,231248496,0
2021-03-19,6.59,6.9,6.52,6.84,189810,141402477,0
2021-03-26,6.88,7.35,6.79,7.04,466630,361811818,0
2021-04-02,7.0,7.03,6.72,6.78,241329,182565368,0
2021-04-09,6.8,6.85,6.68,6.71,137921,103025795,0
2021-04-16,6.71,6.96,6.57,6.95,221035,164915123,0
2021-04-23,6.95,7.02,6.69,6.77,240832,182582219,0
2021-04-30,6.73,6.79,6.37,6.43,195908,142064988,0
2021-05-07,6.44,6.57,6.4,6.52,81031,58270206,0
2021-05-14,6.52,6.83,6.42,6.72,346702,253225212,0
2021-05-21,6.69,6.77,6.47,6.64,240711,176137651,0
2021-05-28,6.61,6.88,6.61,6.71,394306,293717017,0
2021-06-04,6.71,6.82,6.63,6.71,277154,205737001,0
2021-06-11,6.68,7.6,6.67,7.24,713277,553113082,0
2021-06-18,7.13,7.23,6.79,6.9,435314,330585365,0
2021-06-25,6.87,6.89,6.72,6.84,270798,201272679,0
2021-07-02,6.82,6.82,6.51,6.55,301086,217950735,0
2021-07-09,6.52,6.58,6.42,6.48,209082,149098140,0
2021-07-16,6.52,6.65,6.48,6.54,234792,168576568,0
2021-07-23,6.57,6.58,6.3,6.32,222088,157165005,0
2021-07-30,6.29,6.37,6.07,6.09,284803,193512581,0
2021-08-06,6.09,6.45,5.93,6.04,309875,209532169,0
2021-08-13,6.03,6.28,6.01,6.1,203642,137836154,0
2021-08-20,6.1,6.17,5.97,5.99,227987,152225516,0
2021-08-27,5.99,6.35,5.96,6.32,266282,178803408,0
2021-09-03,6.41,6.48,6.02,6.24,401441,274329994,0
2021-09-10,6.22,6.73,6.19,6.56,601638,429437274,0
2021-09-17,6.53,6.66,6.34,6.4,350461,250588822,0
