datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,12.9,12.98,12.84,12.9,72261,93384072,0
2025-11-26 11:30:00,12.9,12.96,12.86,12.93,57607,74320686,0
2025-11-26 14:00:00,12.95,13.01,12.86,12.97,87395,113132223,0
2025-11-26 15:00:00,12.97,12.98,12.94,12.94,65828,85277872,0
2025-11-27 10:30:00,12.92,13.18,12.88,13.08,157128,205558263,0
2025-11-27 11:30:00,13.08,13.26,13.08,13.1,110144,145069942,0
2025-11-27 14:00:00,13.09,13.11,13.02,13.04,43359,56694550,0
2025-11-27 15:00:00,13.05,13.05,12.95,12.99,84439,109637160,0
2025-11-28 10:30:00,13.05,13.14,12.96,13.12,122190,159538562,0
2025-11-28 11:30:00,13.11,13.12,13.06,13.11,38480,50403292,0
2025-11-28 14:00:00,13.11,13.13,13.08,13.11,45600,59759749,0
2025-11-28 15:00:00,13.12,13.2,13.11,13.2,115174,151595418,0
2025-12-01 10:30:00,13.21,13.28,13.1,13.27,147476,194491058,0
2025-12-01 11:30:00,13.27,13.34,13.24,13.31,114184,151893497,0
2025-12-01 14:00:00,13.32,13.33,13.24,13.27,62101,82436776,0
2025-12-01 15:00:00,13.27,13.34,13.26,13.29,87182,115896920,0
2025-12-02 10:30:00,13.35,13.35,13.13,13.14,119976,158235833,0
2025-12-02 11:30:00,13.13,13.18,13.1,13.12,44366,58266535,0
2025-12-02 14:00:00,13.12,13.17,13.1,13.14,47807,62722863,0
2025-12-02 15:00:00,13.14,13.16,13.12,13.14,62679,82334351,0
2025-12-03 10:30:00,13.18,13.18,12.96,13.0,129450,169003193,0
2025-12-03 11:30:00,13.0,13.13,12.98,13.09,55116,71938030,0
2025-12-03 14:00:00,13.09,13.17,13.06,13.06,43010,56413904,0
2025-12-03 15:00:00,13.07,13.1,13.03,13.08,50401,65867186,0
2025-12-04 10:30:00,13.08,13.34,13.03,13.11,181881,239439618,0
2025-12-04 11:30:00,13.12,13.33,13.1,13.25,135030,178863495,0
2025-12-04 14:00:00,13.24,13.28,13.16,13.25,55704,73637462,0
2025-12-04 15:00:00,13.26,13.26,13.21,13.23,62131,82199154,0
2025-12-05 10:30:00,13.23,13.45,13.13,13.34,278800,371362742,0
2025-12-05 11:30:00,13.34,13.37,13.26,13.32,88373,117563182,0
2025-12-05 14:00:00,13.31,13.33,13.24,13.29,82714,109912743,0
2025-12-05 15:00:00,13.29,13.35,13.27,13.32,125929,167578335,0
2025-12-08 10:30:00,13.36,13.39,13.26,13.34,198836,265286952,0
2025-12-08 11:30:00,13.35,13.38,13.34,13.36,73817,98623613,0
2025-12-08 14:00:00,13.35,13.37,13.3,13.3,112014,149330613,0
2025-12-08 15:00:00,13.3,13.3,13.26,13.29,106870,141909225,0
2025-12-09 10:30:00,13.41,13.88,13.41,13.67,718519,984445205,0
2025-12-09 11:30:00,13.67,13.94,13.67,13.88,291067,402638291,0
2025-12-09 14:00:00,13.88,14.38,13.78,13.98,604035,848583719,0
2025-12-09 15:00:00,13.98,14.06,13.95,14.02,292599,409683428,0
2025-12-10 10:30:00,13.84,13.98,13.73,13.96,410669,568296302,0
2025-12-10 11:30:00,13.96,13.96,13.79,13.83,136136,189043263,0
2025-12-10 14:00:00,13.82,13.86,13.78,13.85,95823,132425484,0
2025-12-10 15:00:00,13.84,13.92,13.83,13.9,162404,225418323,0
2025-12-11 10:30:00,13.97,14.05,13.79,13.93,286347,398338487,0
2025-12-11 11:30:00,13.93,13.94,13.81,13.81,72657,100742853,0
2025-12-11 14:00:00,13.82,13.82,13.72,13.76,114619,157783832,0
