datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,18.06,23.33,17.87,22.11,19535198,39735014608,0
2020-02-29,19.85,31.18,18.85,24.2,29275325,74360121296,0
2020-03-31,24.94,26.49,18.61,18.7,29006447,67410792080,0
2020-04-30,18.72,22.21,18.62,21.51,18186029,38225942832,0
2020-05-31,21.3,26.75,21.23,22.81,20464593,50032129488,0
2020-06-30,23.15,26.08,21.91,24.65,17950373,43696284304,0
2020-07-31,24.82,29.94,23.65,26.59,27657431,74128373504,0
2020-08-31,26.83,29.62,25.26,26.79,18909354,52034842736,0
2020-09-30,26.44,29.14,23.68,24.08,13917294,36971601392,0
2020-10-31,24.57,25.93,21.09,21.88,8173209,19450008288,0
2020-11-30,21.97,28.4,21.74,26.5,18919944,49218286272,0
2020-12-31,26.44,29.96,24.89,26.66,16582872,45609538768,0
2021-01-31,26.92,36.09,26.45,29.22,25270196,81803248592,0
2021-02-28,29.3,30.81,26.42,29.59,11914351,34557004528,0
2021-03-31,29.81,32.03,22.41,22.93,15533851,41601750240,0
2021-04-30,23.14,26.02,22.59,24.75,13330521,32760884176,0
2021-05-31,24.55,27.73,22.8,27.32,11486168,29031852032,0
2021-06-30,27.15,32.98,26.45,31.7,24016963,72072566016,0
2021-07-31,31.7,43.36,29.53,42.38,32289735,117450707168,0
2021-08-31,42.21,44.72,34.25,36.11,25018105,99644907216,0
2021-09-30,33.83,35.68,30.88,31.49,14293217,47856894304,0
2021-10-31,32.0,34.46,30.11,33.4,11092865,36142054752,0
2021-11-30,33.4,38.08,32.76,34.83,17027048,60792509568,0
2021-12-31,34.74,38.1,32.4,37.36,19764372,71190096272,0
2022-01-31,37.41,38.16,27.58,27.81,9755182,32127945104,0
2022-02-28,28.12,29.22,26.07,28.27,7139048,19851555968,0
2022-03-31,28.39,28.83,23.4,23.58,13220433,34033579600,0
2022-04-30,23.3,24.15,16.37,18.1,10205852,20788792816,0
2022-05-31,18.05,21.17,17.46,20.36,12502812,25117942176,0
2022-06-30,20.45,25.05,19.6,24.38,18201035,40874258352,0
2022-07-31,24.58,25.17,21.37,22.05,12717049,29226260098,0
2022-08-31,21.74,27.5,21.2,23.44,22097977,54556898757,0
2022-09-30,23.4,25.65,17.3,17.38,12362821,25908579473,0
2022-10-31,17.38,18.98,16.0,17.17,8210924,14739858050,0
2022-11-30,17.17,21.32,17.16,17.94,14200228,27543665711,0
2022-12-31,18.17,18.6,16.93,17.06,7845444,14139386216,0
2023-01-31,17.06,19.39,17.0,18.74,6110255,11171501213,0
2023-02-28,18.8,20.85,18.74,19.13,9869818,19628442970,0
2023-03-31,19.13,21.56,18.4,21.02,13715652,27057775665,0
2023-04-30,20.96,23.51,17.3,17.68,18544905,38792784433,0
2023-05-31,17.69,19.65,17.12,19.65,7426385,13544348183,0
2023-06-30,19.35,20.21,16.19,17.14,14225819,25612692959,0
2023-07-31,17.16,18.19,16.28,16.92,7755136,13295426006,0
2023-08-31,16.93,17.05,14.75,15.66,7001372,11411858830,0
2023-09-30,15.73,16.01,15.05,15.37,4266953,6666670468,0
2023-10-31,15.3,16.33,13.95,14.83,5808660,8807786176,0
2023-11-30,14.82,15.38,13.5,13.83,6711286,9839146831,0
2023-12-31,13.77,13.91,12.99,13.8,5420094,7340780738,0
2024-01-31,13.8,13.82,10.95,10.96,5134624,6529919989,0
2024-02-29,10.93,12.7,10.4,12.39,6176769,7295931399,0
2024-03-31,12.6,14.05,11.88,12.09,10848723,14336073817,0
2024-04-30,12.11,12.67,11.06,12.48,5650309,6680668480,0
2024-05-31,12.65,12.87,12.1,12.48,4922187,6183086953,0
2024-06-30,12.41,12.74,11.28,11.7,5584417,6843285076,0
2024-07-31,11.73,12.21,11.1,11.89,5868641,6866772614,0
2024-08-31,11.9,12.08,10.07,10.43,5258640,5831526985,0
2024-09-30,10.39,12.44,9.43,12.44,6321854,6729430389,0
2024-10-31,13.69,14.42,12.09,13.73,20422250,27148191238,0
2024-11-30,13.74,15.32,12.5,12.91,17320239,24090101781,0
2024-12-31,12.88,13.26,12.15,12.15,9814467,12530479937,0
2025-01-31,12.15,12.15,10.87,11.44,5798735,6681931873,0
2025-02-28,11.58,12.92,11.57,12.23,9619974,11891466390,0
2025-03-31,12.3,13.08,11.73,11.87,9766272,12253736624,0
2025-04-30,11.87,12.33,10.21,12.27,6963378,8089217241,0
2025-05-31,12.34,13.06,12.28,12.41,6118726,7722387644,0
2025-06-30,12.28,12.4,11.75,12.4,4196989,5086321957,0
2025-07-31,12.4,12.96,12.09,12.5,7498444,9392417622,0
2025-08-31,12.46,16.14,12.46,15.13,28716325,41359985415,0
2025-09-30,15.32,16.13,13.51,15.58,31359615,47457592962,0
2025-10-31,15.71,16.49,13.81,13.87,16727043,24928035814,0
2025-11-30,13.86,13.99,12.65,13.2,7915959,10634241133,0
2025-12-31,13.21,14.62,12.91,14.13,14794558,20235367137,0
2026-01-31,14.15,15.91,14.15,15.39,6443641,9644765214,0
