datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,18.06,19.05,17.88,18.79,2137761,4076423888,0
2020-01-10,18.49,19.58,17.87,19.39,5729547,10933929584,0
2020-01-17,19.0,21.34,18.84,20.59,7004931,14309126784,0
2020-01-24,20.55,23.33,20.45,22.11,4662959,10415534352,0
2020-02-07,19.85,22.35,18.85,22.27,5654123,12061171312,0
2020-02-14,21.97,24.75,21.72,23.8,5823462,13618238736,0
2020-02-21,24.85,28.1,23.96,27.5,8116805,21444037680,0
2020-02-28,27.35,31.18,23.56,24.2,9680935,27236673568,0
2020-03-06,24.94,26.49,23.35,23.94,7292921,18322141456,0
2020-03-13,23.03,24.15,21.51,23.84,7752644,18021060064,0
2020-03-20,24.05,24.15,21.25,23.32,6151683,14450181280,0
2020-03-27,22.15,22.93,19.96,20.45,5849430,12782228544,0
2020-04-03,19.93,21.42,18.61,21.06,6011773,12199951296,0
2020-04-10,21.8,22.21,20.2,20.39,3688748,8092390416,0
2020-04-17,19.94,21.7,19.44,21.07,3843363,8132399280,0
2020-04-24,21.0,21.11,19.15,19.33,3346676,6865562576,0
2020-05-01,19.34,21.75,18.82,21.51,3255238,6770820000,0
2020-05-08,21.3,23.94,21.23,23.6,3716089,8713645968,0
2020-05-15,24.35,24.96,22.81,24.34,4808325,11659994416,0
2020-05-22,24.75,26.75,22.72,23.8,8212016,20788378208,0
2020-05-29,23.55,24.05,22.45,22.81,3728163,8870110896,0
2020-06-05,23.15,25.88,23.15,24.91,4833851,12189034064,0
2020-06-12,25.31,26.08,22.88,23.43,4025815,9980052496,0
2020-06-19,22.35,24.09,21.91,23.75,4681428,10797133920,0
2020-06-26,24.26,24.73,23.69,23.85,2454747,5989361136,0
2020-07-03,23.86,25.15,23.04,24.93,5500807,13593509568,0
2020-07-10,25.24,28.64,25.17,27.93,8100065,22504276720,0
2020-07-17,27.93,29.94,24.15,24.76,7227023,19986641568,0
2020-07-24,25.13,26.91,23.65,23.94,4617964,12005106384,0
2020-07-31,24.07,26.86,23.65,26.59,4166104,10779541952,0
2020-08-07,26.83,27.37,25.57,26.29,5288459,14247951440,0
