datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,20.5,20.52,20.26,20.48,108590,221593474,0
2025-11-26 11:30:00,20.48,20.74,20.46,20.64,85812,176774372,0
2025-11-26 14:00:00,20.64,20.69,20.52,20.53,48391,99590047,0
2025-11-26 15:00:00,20.53,20.57,20.47,20.51,62916,129062853,0
2025-11-27 10:30:00,20.46,20.87,20.4,20.62,136364,282119160,0
2025-11-27 11:30:00,20.61,20.69,20.53,20.54,65120,134208621,0
2025-11-27 14:00:00,20.54,20.58,20.42,20.51,59628,122275963,0
2025-11-27 15:00:00,20.51,20.51,20.28,20.33,75478,153868571,0
2025-11-28 10:30:00,20.33,21.3,20.29,21.2,351363,733108718,0
2025-11-28 11:30:00,21.2,21.54,21.17,21.47,198792,424203570,0
2025-11-28 14:00:00,21.45,21.58,21.3,21.34,95056,203705058,0
2025-11-28 15:00:00,21.36,21.53,21.32,21.46,113737,244030281,0
2025-12-01 10:30:00,21.48,21.57,21.21,21.25,165324,353490531,0
2025-12-01 11:30:00,21.25,21.33,21.21,21.27,45201,96172914,0
2025-12-01 14:00:00,21.27,21.28,21.19,21.24,72003,152858243,0
2025-12-01 15:00:00,21.24,21.35,21.2,21.35,84568,179929467,0
2025-12-02 10:30:00,21.28,21.34,20.82,21.24,158500,333247165,0
2025-12-02 11:30:00,21.23,21.31,21.14,21.15,35853,76052761,0
2025-12-02 14:00:00,21.14,21.24,21.1,21.2,29950,63373451,0
2025-12-02 15:00:00,21.2,21.28,21.15,21.23,50749,107662231,0
2025-12-03 10:30:00,21.19,21.37,21.1,21.16,80385,170729967,0
2025-12-03 11:30:00,21.16,21.36,21.05,21.33,62512,132602788,0
2025-12-03 14:00:00,21.33,21.36,21.17,21.18,48435,103091229,0
2025-12-03 15:00:00,21.17,21.21,21.08,21.19,70781,149756310,0
2025-12-04 10:30:00,21.15,21.3,20.92,21.04,97323,205596797,0
2025-12-04 11:30:00,21.04,21.12,20.97,20.99,41797,87896156,0
2025-12-04 14:00:00,20.99,20.99,20.83,20.88,51321,107320421,0
2025-12-04 15:00:00,20.89,20.98,20.87,20.91,53960,112844447,0
2025-12-05 10:30:00,21.0,21.33,20.92,21.29,149985,317353359,0
2025-12-05 11:30:00,21.3,21.55,21.24,21.54,109887,235161617,0
2025-12-05 14:00:00,21.53,21.73,21.48,21.59,98750,213358516,0
2025-12-05 15:00:00,21.59,21.65,21.52,21.58,72705,156922026,0
2025-12-08 10:30:00,21.86,21.89,21.44,21.45,177853,384838575,0
2025-12-08 11:30:00,21.45,21.6,21.45,21.52,51822,111502124,0
2025-12-08 14:00:00,21.53,21.61,21.46,21.46,44908,96766383,0
2025-12-08 15:00:00,21.46,21.5,21.36,21.43,72604,155510925,0
2025-12-09 10:30:00,21.38,21.43,21.15,21.25,94447,201142041,0
2025-12-09 11:30:00,21.26,21.31,21.17,21.26,40066,85044753,0
2025-12-09 14:00:00,21.25,21.34,21.18,21.34,45977,97740208,0
2025-12-09 15:00:00,21.33,21.35,21.26,21.31,52359,111563194,0
2025-12-10 10:30:00,21.32,21.48,20.86,20.96,128199,269988685,0
2025-12-10 11:30:00,20.97,21.1,20.96,20.99,44316,93125099,0
2025-12-10 14:00:00,20.99,21.12,20.92,21.05,32050,67353125,0
2025-12-10 15:00:00,21.05,21.23,21.02,21.21,58211,123246913,0
2025-12-11 10:30:00,21.78,22.7,21.78,22.3,511819,1140670941,0
2025-12-11 11:30:00,22.28,22.3,22.02,22.04,76914,170659271,0
2025-12-11 14:00:00,22.05,22.13,21.9,21.94,90043,197978526,0
2025-12-11 15:00:00,21.95,22.19,21.86,21.86,107336,235875881,0
2025-12-12 10:30:00,22.3,23.1,22.3,22.58,448393,1020164497,0
2025-12-12 11:30:00,22.61,23.08,22.58,23.06,164205,375906233,0
2025-12-12 14:00:00,23.09,24.05,23.09,24.05,692751,1650236131,0
2025-12-12 15:00:00,24.05,24.05,24.05,24.05,75838,182390991,0
2025-12-15 10:30:00,24.4,24.45,23.76,23.87,762121,1838777545,0
2025-12-15 11:30:00,23.84,24.02,23.8,23.83,156772,374535444,0
2025-12-15 14:00:00,23.83,24.09,23.75,23.94,158063,377701298,0
2025-12-15 15:00:00,23.93,23.97,23.79,23.81,154212,367881356,0
2025-12-16 10:30:00,23.61,23.75,22.82,23.0,330603,764323017,0
2025-12-16 11:30:00,23.0,23.0,22.8,22.81,109136,249457080,0
