datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,7.42,7.67,7.41,7.67,309971,289932852,0
2020-01-10,7.62,7.84,7.41,7.49,842686,795989528,0
2020-01-17,7.48,7.73,7.41,7.45,445082,418073140,0
2020-01-24,7.44,7.7,6.98,7.05,491122,453396956,0
2020-02-07,6.16,6.21,5.37,6.2,775262,606033050,0
2020-02-14,6.17,7.19,6.12,7.19,1089767,926249837,0
2020-02-21,7.23,8.93,7.17,8.38,2670067,2654356128,0
2020-02-28,8.35,8.63,7.25,7.42,1962070,1936404107,0
2020-03-06,7.5,8.51,7.32,8.08,1389454,1378264187,0
2020-03-13,7.89,8.04,6.87,7.48,1004648,953000522,0
2020-03-20,7.52,7.56,6.62,7.17,863665,769362679,0
2020-03-27,7.02,7.25,6.72,6.93,564909,498945736,0
2020-04-03,6.85,6.85,6.35,6.65,391884,331048859,0
2020-04-10,6.83,6.96,6.69,6.71,293465,253927678,0
2020-04-17,6.59,7.39,6.59,7.09,633582,563322907,0
2020-04-24,7.1,7.39,6.8,6.91,600647,536442905,0
2020-05-01,6.83,6.99,6.11,6.78,693005,580511510,0
2020-05-08,6.7,7.62,6.63,7.54,742729,679923647,0
2020-05-15,7.57,7.64,7.29,7.32,619908,576162280,0
2020-05-22,7.4,7.7,7.13,7.17,616494,572401061,0
2020-05-29,7.13,7.32,6.92,6.93,380010,338837904,0
2020-06-05,6.95,7.66,6.95,7.48,656146,601308028,0
2020-06-12,7.54,7.54,7.02,7.44,860993,782881433,0
2020-06-19,7.36,7.49,7.22,7.33,743037,680878784,0
2020-06-26,7.37,7.4,7.11,7.14,371347,337399252,0
2020-07-03,7.14,7.52,6.94,7.46,806692,728263569,0
2020-07-10,7.56,8.63,7.55,8.16,1877482,1860902304,0
2020-07-17,8.13,8.59,7.6,7.7,1445745,1450129121,0
2020-07-24,7.76,8.45,7.76,7.81,1284960,1280673454,0
2020-07-31,7.81,8.62,7.6,8.53,1255523,1247332798,0
2020-08-07,8.66,9.0,8.2,8.39,1574164,1639286965,0
2020-08-14,8.31,8.69,7.81,8.23,1443812,1458418682,0
2020-08-21,8.23,8.97,8.15,8.34,1402052,1449618759,0
2020-08-28,8.42,8.5,8.01,8.49,829974,819583903,0
2020-09-04,8.54,9.01,8.28,8.69,1327404,1361092542,0
2020-09-11,8.8,9.0,8.12,8.32,1443442,1480936165,0
2020-09-18,8.42,9.73,8.38,9.48,2717492,2948020937,0
2020-09-25,9.51,9.93,8.94,9.02,1894629,2085659136,0
2020-10-02,9.14,9.35,8.38,8.54,1000724,1059874613,0
2020-10-09,9.08,9.56,9.03,9.56,426137,470539328,0
2020-10-16,9.78,10.43,9.58,9.81,2356222,2736881168,0
2020-10-23,9.9,10.2,9.09,9.13,1405834,1566452553,0
2020-10-30,9.09,9.71,8.78,8.98,1562036,1691648900,0
2020-11-06,8.91,9.18,8.62,8.86,1297622,1363330932,0
2020-11-13,8.96,9.28,8.56,8.62,1073331,1137491967,0
2020-11-20,8.63,8.88,8.48,8.7,748250,772414398,0
2020-11-27,8.72,9.67,8.68,9.27,1504378,1625739291,0
2020-12-04,9.4,9.51,8.88,8.96,1279087,1382343247,0
2020-12-11,8.96,9.19,8.18,8.28,1100093,1137412256,0
2020-12-18,8.28,8.53,8.07,8.41,583533,581656115,0
2020-12-25,8.48,9.03,8.43,8.94,1173611,1223332616,0
2021-01-01,8.97,9.01,8.24,8.35,933132,943091761,0
