datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,13.65,13.79,13.58,13.66,191285,353770320,0
2020-01-03,13.69,13.84,13.64,13.76,154384,286562112,0
2020-01-06,13.73,13.8,13.24,13.39,415506,757921840,0
2020-01-07,13.41,13.45,13.29,13.38,232107,421457440,0
2020-01-08,13.27,13.36,13.18,13.24,264410,476879600,0
2020-01-09,13.31,13.32,13.16,13.28,227833,410739696,0
2020-01-10,13.26,13.31,13.17,13.19,217895,392420928,0
2020-01-13,13.23,13.33,13.18,13.26,226000,407709424,0
2020-01-14,13.3,13.4,13.25,13.37,244288,443161696,0
2020-01-15,13.33,13.41,13.17,13.2,210773,380964672,0
2020-01-16,13.21,13.27,13.14,13.21,148243,266911505,0
2020-01-17,13.09,13.2,12.88,12.93,387583,688835472,0
2020-01-20,12.98,13.13,12.82,13.06,248090,441190176,0
2020-01-21,12.95,13.05,12.9,12.98,163789,291027072,0
2020-01-22,12.97,12.97,12.7,12.79,238085,419236240,0
2020-01-23,12.68,12.76,12.28,12.34,352368,611103968,0
2020-02-03,11.59,12.36,11.2,12.32,718606,1204779056,0
2020-02-04,12.18,12.99,12.07,12.5,315441,546552864,0
2020-02-05,12.45,12.64,12.34,12.5,231231,399598992,0
2020-02-06,12.64,12.64,12.42,12.63,192890,334597536,0
2020-02-07,12.39,13.14,12.39,13.08,237028,417417120,0
2020-02-10,12.87,13.02,12.78,12.82,157748,278841680,0
2020-02-11,12.85,13.02,12.76,12.79,130790,231213180,0
2020-02-12,12.77,12.78,12.58,12.77,156716,273942272,0
2020-02-13,12.7,12.83,12.64,12.79,123500,216722523,0
2020-02-14,12.71,12.83,12.65,12.81,98576,173155130,0
2020-02-17,12.79,12.9,12.74,12.88,144948,255799598,0
2020-02-18,12.81,12.86,12.7,12.71,125987,221489390,0
2020-02-19,12.7,12.78,12.65,12.71,138943,243225363,0
2020-02-20,12.69,12.85,12.64,12.81,145176,254753101,0
2020-02-21,12.75,12.8,12.64,12.72,182043,318976992,0
2020-02-24,12.68,12.72,12.57,12.6,171735,299429216,0
2020-02-25,12.53,12.65,12.37,12.37,192106,331920848,0
2020-02-26,12.24,12.33,12.18,12.19,320403,546935808,0
2020-02-27,12.2,12.44,12.14,12.42,185452,318034816,0
2020-02-28,12.27,12.43,12.09,12.22,274023,467105952,0
2020-03-02,12.24,12.6,12.24,12.45,290427,502793088,0
2020-03-03,12.51,12.87,12.51,12.76,234100,410037184,0
2020-03-04,12.84,12.94,12.73,12.78,240471,424131216,0
2020-03-05,12.83,12.94,12.77,12.91,267930,473604144,0
2020-03-06,12.79,12.91,12.62,12.67,203781,357191712,0
2020-03-09,12.39,12.81,12.21,12.64,368810,638503904,0
2020-03-10,12.46,12.95,12.46,12.83,421789,743701856,0
2020-03-11,12.95,12.97,12.71,12.78,176642,311176864,0
2020-03-12,12.7,12.78,12.5,12.64,243778,425631024,0
2020-03-13,12.25,12.49,12.15,12.19,463505,790908992,0
2020-03-16,12.26,12.33,12.07,12.11,323066,549543360,0
2020-03-17,12.05,12.44,12.05,12.12,356550,608143552,0
2020-03-18,12.07,12.18,11.89,11.91,399579,673846064,0
2020-03-19,11.84,11.97,11.38,11.55,375048,614925408,0
2020-03-20,11.71,11.9,11.49,11.68,257140,423399264,0
2020-03-23,11.36,11.84,11.25,11.71,231491,381578656,0
2020-03-24,11.83,12.18,11.79,12.1,397935,672333072,0
2020-03-25,12.29,12.33,12.03,12.22,255141,433878656,0
2020-03-26,12.08,12.2,11.92,12.02,228714,384597104,0
2020-03-27,12.09,12.16,11.97,12.1,192585,324981136,0
2020-03-30,12.05,12.3,11.98,12.29,211551,359224816,0
2020-03-31,12.29,12.56,12.26,12.48,149254,257923557,0
2020-04-01,12.48,12.54,12.15,12.22,157780,269929008,0
2020-04-02,12.15,12.55,12.15,12.45,108265,186250121,0
2020-04-03,12.45,12.52,12.31,12.41,90939,156552736,0
2020-04-07,12.63,12.63,12.4,12.44,126466,218913553,0
2020-04-08,12.44,12.46,12.21,12.4,138341,237241639,0
2020-04-09,12.4,12.4,12.21,12.25,71434,122088484,0
2020-04-10,12.25,12.31,12.19,12.24,124509,212410655,0
2020-04-13,12.2,12.32,12.2,12.3,75545,128883315,0
2020-04-14,12.36,12.46,12.28,12.42,158334,271919520,0
2020-04-15,12.37,12.51,12.23,12.26,106672,182894055,0
2020-04-16,12.21,12.42,12.21,12.34,105975,181431738,0
2020-04-17,12.34,12.37,12.24,12.31,158442,270879920,0
2020-04-20,12.3,12.33,12.19,12.19,157900,269024912,0
2020-04-21,12.16,12.29,12.15,12.28,112379,191375853,0
2020-04-22,12.27,12.41,12.21,12.41,122138,209633271,0
2020-04-23,12.48,12.57,12.36,12.49,151299,261579065,0
2020-04-24,12.49,12.74,12.46,12.72,139598,243745234,0
2020-04-27,12.76,13.13,12.75,12.8,174534,309629072,0
2020-04-28,12.78,13.05,12.65,12.94,143542,253825987,0
2020-04-29,12.97,12.98,12.58,12.8,109221,191651259,0
2020-04-30,12.69,12.84,12.57,12.64,164043,286979488,0
2020-05-06,12.5,12.69,12.35,12.43,253052,436425776,0
2020-05-07,12.37,12.37,12.19,12.22,318594,542687568,0
2020-05-08,12.29,12.36,12.25,12.28,162725,278424592,0
2020-05-11,12.31,12.42,12.24,12.35,194859,334358064,0
2020-05-12,12.42,12.54,12.35,12.41,164084,282727248,0
2020-05-13,12.4,12.43,12.28,12.37,147840,254033784,0
2020-05-14,12.45,12.45,12.26,12.34,136641,234065427,0
2020-05-15,12.34,12.37,12.27,12.35,148994,255213495,0
2020-05-18,12.3,12.32,12.18,12.23,170832,291436464,0
2020-05-19,12.32,12.32,12.21,12.21,169112,288305200,0
2020-05-20,12.22,12.25,12.18,12.23,154990,263716360,0
2020-05-21,12.26,12.27,12.15,12.21,174084,296217840,0
2020-05-22,12.17,12.19,11.96,11.96,203041,342636192,0
2020-05-25,12.12,12.28,11.89,12.26,164683,279434560,0
2020-05-26,12.36,12.37,12.17,12.25,163661,278841232,0
2020-05-27,12.19,12.25,12.15,12.17,133448,226861653,0
2020-05-28,12.29,12.64,12.27,12.64,332645,575707328,0
2020-05-29,12.64,12.64,12.41,12.58,276174,478044944,0
2020-06-01,12.62,13.11,12.59,12.99,356360,631372192,0
2020-06-02,12.89,13.19,12.83,13.19,268022,477731440,0
2020-06-03,13.25,13.47,13.14,13.35,231159,419732592,0
2020-06-04,13.35,13.41,12.99,12.99,214461,384633408,0
2020-06-05,13.08,13.14,12.85,12.94,146097,259506531,0
2020-06-08,12.99,13.24,12.73,13.08,242528,430814864,0
2020-06-09,13.04,13.26,12.96,13.21,143411,257627180,0
2020-06-10,13.23,13.23,12.96,13.06,154711,276804784,0
2020-06-11,13.07,13.12,12.79,12.79,169387,300095616,0
2020-06-12,12.43,12.77,12.39,12.72,289648,504748256,0
2020-06-15,12.54,12.63,12.41,12.42,187749,325104800,0
2020-06-16,12.57,12.9,12.55,12.83,157806,277195216,0
2020-06-17,12.78,13.3,12.71,13.11,246284,440551376,0
2020-06-18,13.13,13.49,13.13,13.38,227146,413255600,0
2020-06-19,13.45,13.59,13.27,13.36,266599,485691328,0
2020-06-22,13.43,13.55,13.19,13.4,176084,320894928,0
2020-06-23,13.26,14.09,13.08,13.94,359297,666761744,0
2020-06-24,14.09,14.64,14.09,14.28,315147,605084496,0
2020-06-29,14.27,14.47,14.13,14.17,231724,441421888,0
2020-06-30,14.28,14.5,14.08,14.13,209434,399355760,0
2020-07-01,14.24,14.64,14.1,14.64,232634,445764240,0
2020-07-02,14.61,14.68,14.25,14.34,374491,719134672,0
2020-07-03,14.34,14.5,14.1,14.28,303545,578963248,0
2020-07-06,14.34,14.76,14.32,14.5,454613,882185712,0
2020-07-07,14.64,14.87,14.51,14.51,488964,952891312,0
2020-07-08,14.53,14.69,14.34,14.37,344537,664800512,0
2020-07-09,14.39,14.47,14.1,14.22,377190,717971664,0
2020-07-10,14.22,14.52,14.07,14.08,356624,680407520,0
2020-07-13,14.19,14.57,14.19,14.35,389835,747944784,0
2020-07-14,14.29,14.84,14.29,14.6,502221,971444480,0
2020-07-15,14.69,15.18,14.62,15.15,498649,988302448,0
2020-07-16,15.18,15.19,14.31,14.32,541798,1051765088,0
2020-07-17,14.38,14.62,14.29,14.48,308125,572105280,0
2020-07-20,14.47,14.67,14.29,14.51,371640,691938576,0
2020-07-21,14.57,14.83,14.47,14.54,319207,596831280,0
2020-07-22,14.48,14.75,14.29,14.54,317401,592736272,0
2020-07-23,14.4,14.62,14.35,14.53,228950,425938352,0
2020-07-24,14.46,14.53,13.89,14.07,352873,646851760,0
2020-07-27,14.18,14.45,14.09,14.4,226441,416736496,0
2020-07-28,14.47,14.71,14.37,14.53,187516,350020336,0
2020-07-29,14.43,14.51,14.12,14.44,175788,325074352,0
2020-07-30,14.44,14.61,14.12,14.2,233983,430679280,0
2020-07-31,14.32,14.51,14.1,14.24,225913,416914960,0
2020-08-03,14.2,14.44,14.12,14.2,244533,448836800,0
2020-08-04,14.28,14.29,14.14,14.22,229321,420886368,0
2020-08-05,14.22,14.31,13.98,14.04,161042,293173680,0
2020-08-06,14.07,14.1,13.92,13.94,173985,314831968,0
2020-08-07,14.01,14.03,13.87,13.95,167626,302787760,0
2020-08-10,13.97,14.1,13.86,13.93,186846,338262176,0
2020-08-11,14.01,14.03,13.86,13.94,230221,415690480,0
2020-08-12,13.88,13.94,13.68,13.89,234100,420262528,0
2020-08-13,13.9,14.03,13.8,13.89,200072,360904960,0
2020-08-14,13.97,14.09,13.89,14.08,228040,413543936,0
2020-08-17,14.18,14.29,14.15,14.24,251136,461278768,0
2020-08-18,14.25,14.29,14.08,14.11,157588,288878624,0
2020-08-19,14.16,14.63,14.01,14.4,334661,619323792,0
2020-08-20,14.38,14.85,14.2,14.85,518292,972890400,0
2020-08-21,14.97,15.09,14.67,14.86,342796,652690144,0
2020-08-24,14.86,15.02,14.57,14.78,231611,436548496,0
2020-08-25,14.72,14.79,14.39,14.42,231620,432180800,0
2020-08-26,14.56,14.68,14.43,14.59,225006,420845200,0
2020-08-27,14.68,14.68,14.42,14.54,139968,261271295,0
2020-08-28,14.57,14.9,14.45,14.86,225265,425637968,0
2020-08-31,14.82,15.43,14.78,15.17,336876,652342032,0
2020-09-01,15.17,15.42,15.03,15.4,219785,426370512,0
2020-09-02,15.47,15.63,15.17,15.52,272133,533390896,0
2020-09-03,15.62,16.23,15.58,15.89,378173,760179232,0
2020-09-04,15.77,16.14,15.68,15.88,227734,455929408,0
2020-09-07,15.86,16.37,15.79,15.95,353910,716012976,0
2020-09-08,16.08,16.32,15.87,15.87,282691,570167392,0
2020-09-09,15.77,16.06,15.58,15.86,228931,457725088,0
2020-09-10,15.84,16.06,15.62,15.94,243551,487020784,0
2020-09-11,15.87,16.32,15.83,16.23,296482,600596384,0
2020-09-14,16.27,16.85,16.1,16.77,331402,686414640,0
2020-09-15,16.87,16.87,16.38,16.46,269663,556931728,0
2020-09-16,16.57,16.63,16.25,16.48,202507,416788144,0
2020-09-17,16.48,16.62,16.2,16.29,157247,321494080,0
2020-09-18,16.49,16.69,16.32,16.58,258853,534018608,0
2020-09-21,16.48,16.57,16.18,16.19,208304,425514720,0
2020-09-22,16.19,16.4,15.9,15.92,260622,528692848,0
2020-09-23,16.08,16.13,15.86,15.88,269535,541688368,0
2020-09-24,15.71,15.71,15.2,15.27,549870,1075237680,0
2020-09-25,15.37,15.37,14.49,14.73,768874,1450554880,0
2020-09-28,14.77,15.15,14.69,14.92,564408,1074571232,0
2020-09-29,15.06,15.1,14.79,14.91,377405,719566384,0
2020-09-30,14.98,15.05,14.77,15.0,270137,514379008,0
2020-10-09,15.02,15.1,14.77,14.83,322845,614777008,0
2020-10-12,14.7,15.27,14.69,15.12,444379,851015984,0
2020-10-13,15.12,15.3,14.85,15.2,170998,328263744,0
2020-10-14,15.22,15.27,14.95,14.99,290415,557534576,0
2020-10-15,14.93,15.03,14.67,14.9,332014,629756528,0
2020-10-16,14.9,15.01,14.78,14.78,243933,463339296,0
2020-10-19,14.85,14.98,14.67,14.69,267372,505899632,0
2020-10-20,14.67,14.76,14.63,14.71,186288,350820672,0
2020-10-21,14.69,14.92,14.57,14.87,248952,470301792,0
2020-10-22,14.87,14.94,14.7,14.87,214831,407163728,0
2020-10-23,14.87,14.87,14.6,14.6,166039,312408992,0
2020-10-26,14.58,14.9,14.57,14.86,155536,293856704,0
2020-10-27,14.78,15.07,14.73,14.96,237534,452210208,0
2020-10-28,14.96,15.15,14.93,15.0,246085,471658496,0
2020-10-29,14.85,14.96,14.71,14.77,202438,383600592,0
2020-10-30,14.77,15.03,14.77,14.83,238556,454238112,0
2020-11-02,14.91,15.72,14.91,15.66,566063,1108540976,0
2020-11-03,15.76,16.04,15.59,15.87,351078,701900832,0
2020-11-04,15.77,15.92,15.59,15.82,224943,447328304,0
2020-11-05,15.87,16.36,15.8,16.22,286309,581040224,0
2020-11-06,16.16,16.29,15.93,16.23,201495,407971536,0
2020-11-09,16.09,16.42,16.0,16.23,262748,533947488,0
2020-11-10,16.12,16.53,15.92,16.09,324496,656780720,0
2020-11-11,16.09,16.6,15.91,16.41,329621,676117888,0
2020-11-12,16.56,16.7,16.29,16.48,302576,623226016,0
2020-11-13,16.49,16.49,16.03,16.23,267496,543991360,0
2020-11-16,16.33,16.36,15.75,15.85,343467,689469696,0
2020-11-17,15.87,15.87,15.35,15.42,395507,777909456,0
2020-11-18,15.42,15.81,15.37,15.64,339511,671184928,0
2020-11-19,15.72,15.83,15.52,15.71,248020,492611536,0
2020-11-20,15.75,15.76,15.48,15.68,262495,518618064,0
2020-11-23,15.75,15.82,15.48,15.77,269890,535187360,0
2020-11-24,15.68,15.79,15.56,15.58,205740,406720496,0
2020-11-25,15.61,15.65,15.32,15.33,251651,493225600,0
2020-11-26,15.38,16.12,15.34,16.1,488352,971436912,0
2020-11-27,16.02,16.18,15.74,16.18,280956,565072800,0
2020-11-30,16.08,16.57,15.94,15.98,443329,900066352,0
2020-12-01,16.01,16.26,15.89,16.17,288020,581562112,0
2020-12-02,16.34,16.34,16.02,16.07,222634,451344080,0
2020-12-03,16.07,16.15,15.93,16.11,161414,325280048,0
2020-12-04,16.11,16.15,15.85,15.99,239192,480614336,0
2020-12-07,15.93,15.98,15.66,15.67,206642,410200512,0
2020-12-08,15.76,15.77,15.58,15.7,156289,309984928,0
2020-12-09,15.71,16.02,15.69,15.96,216218,433248880,0
2020-12-10,15.85,15.97,15.76,15.82,193352,386019840,0
2020-12-11,15.87,16.17,15.55,15.88,368045,735592992,0
2020-12-14,15.84,15.9,15.64,15.64,254624,505354304,0
2020-12-15,15.57,15.67,15.38,15.4,273718,536312208,0
2020-12-16,15.47,15.72,15.42,15.63,236680,466567264,0
2020-12-17,15.67,15.97,15.5,15.69,395962,786764512,0
2020-12-18,15.78,15.89,15.54,15.62,330529,655356416,0
2020-12-21,15.64,15.71,15.39,15.45,384937,755509632,0
2020-12-22,15.47,15.48,15.0,15.02,390919,756197776,0
2020-12-23,15.06,15.09,14.77,14.92,347743,661512016,0
2020-12-24,14.96,15.02,14.78,14.85,197924,375708928,0
2020-12-25,14.79,15.34,14.79,15.19,260978,503631328,0
2020-12-28,15.28,15.35,14.91,15.0,322325,619374928,0
2020-12-29,15.07,15.11,14.79,14.85,254881,485212992,0
2020-12-30,14.86,15.05,14.78,14.9,358891,683185200,0
2020-12-31,14.95,15.07,14.79,15.03,326051,622071248,0
2021-01-04,14.98,15.0,14.68,14.77,557806,1055731664,0
2021-01-05,14.72,14.77,14.58,14.76,487577,914606880,0
2021-01-06,14.65,15.08,14.6,15.08,522941,993820928,0
2021-01-07,15.18,15.44,14.9,15.1,620975,1194728672,0
2021-01-08,15.17,15.32,14.97,15.21,574763,1106810224,0
2021-01-11,15.22,15.29,14.92,14.97,567350,1090970656,0
2021-01-12,14.97,15.03,14.7,15.03,488183,926016752,0
2021-01-13,15.03,15.32,14.82,15.29,565154,1089220880,0
2021-01-14,15.22,15.48,15.02,15.05,443848,858276880,0
2021-01-15,14.97,15.19,14.9,15.07,350741,672641248,0
2021-01-18,15.07,15.12,14.85,14.97,398756,761753616,0
2021-01-19,15.02,15.35,14.99,15.27,497345,960033776,0
2021-01-20,15.25,15.25,14.92,14.97,366506,701133984,0
2021-01-21,14.92,15.06,14.88,15.0,375611,716129856,0
2021-01-22,14.92,14.96,14.77,14.78,283489,536911776,0
2021-01-25,14.76,14.89,14.37,14.77,469841,879646784,0
2021-01-26,14.64,14.92,14.55,14.86,340665,643811568,0
2021-01-27,14.88,15.11,14.85,15.03,395829,758079600,0
2021-01-28,15.42,16.13,15.23,15.87,1090973,2164578640,0
2021-01-29,15.67,16.02,15.27,15.55,707728,1399077904,0
2021-02-01,15.67,15.67,15.19,15.3,1320647,2579449456,0
2021-02-02,15.55,15.64,15.18,15.38,1346334,2629777856,0
2021-02-03,15.47,15.59,15.2,15.35,928920,1810742304,0
2021-02-04,15.22,15.45,15.17,15.39,962142,1873001392,0
2021-02-05,15.4,15.53,15.21,15.3,542690,1056400608,0
2021-02-08,15.33,15.9,15.3,15.37,764771,1499130384,0
2021-02-09,15.4,15.49,14.9,15.15,686257,1321462128,0
2021-02-10,15.16,15.66,15.1,15.56,728873,1428002528,0
2021-02-18,15.7,15.82,15.39,15.5,700009,1376318416,0
2021-02-19,15.52,15.97,15.45,15.85,907885,1802875280,0
2021-02-22,15.83,15.83,15.37,15.43,844349,1658999344,0
2021-02-23,15.47,15.78,15.43,15.6,681307,1347067312,0
2021-02-24,15.73,15.74,15.37,15.48,605476,1190786928,0
2021-02-25,15.53,15.79,15.47,15.67,653498,1292211904,0
2021-02-26,15.52,15.86,15.48,15.62,688626,1365331968,0
2021-03-01,15.67,15.7,15.42,15.54,478552,941857568,0
2021-03-02,15.57,15.95,15.49,15.62,576782,1142046336,0
2021-03-03,15.6,15.92,15.56,15.9,562498,1119455968,0
2021-03-04,15.79,16.45,15.79,16.14,920436,1858368672,0
2021-03-05,16.02,16.19,15.61,16.07,641375,1287399216,0
2021-03-08,16.0,16.39,15.9,16.07,781755,1581226496,0
2021-03-09,16.16,16.95,15.97,16.12,1266228,2593858912,0
2021-03-10,15.88,16.14,15.68,15.77,898496,1798799280,0
2021-03-11,15.82,16.22,15.78,16.07,785445,1585833264,0
2021-03-12,16.13,17.84,16.08,17.19,2075046,4388789504,0
2021-03-15,17.19,17.59,16.62,16.81,1227062,2601761552,0
2021-03-16,16.81,16.97,16.53,16.78,763410,1591292080,0
2021-03-17,16.84,16.87,16.22,16.29,801671,1646898544,0
2021-03-18,16.28,16.5,16.1,16.3,709283,1448606336,0
2021-03-19,16.14,16.55,16.03,16.34,674779,1380768944,0
2021-03-22,16.33,17.21,16.32,17.08,1019533,2144527184,0
2021-03-23,17.02,17.31,16.66,16.84,887931,1873830704,0
2021-03-24,16.82,16.9,16.45,16.65,654499,1359899584,0
2021-03-25,16.67,16.94,16.51,16.93,505230,1057457888,0
2021-03-26,16.77,17.03,16.63,16.7,619995,1298506384,0
2021-03-29,16.62,17.22,16.57,17.13,708326,1499457968,0
2021-03-30,17.1,17.34,16.94,17.31,496546,1058424544,0
2021-03-31,17.31,17.37,17.12,17.31,358278,766359216,0
2021-04-01,17.28,17.6,17.2,17.5,303777,654937008,0
2021-04-02,17.47,17.47,16.93,16.99,545920,1157306784,0
2021-04-06,16.99,17.08,16.71,16.82,418594,877026048,0
2021-04-07,16.98,17.06,16.82,17.0,387015,816513648,0
2021-04-08,16.88,16.97,16.61,16.73,347680,725466064,0
2021-04-09,16.73,16.86,16.62,16.72,235211,491286416,0
2021-04-12,16.67,17.22,16.66,17.06,656456,1390041472,0
2021-04-13,16.98,17.11,16.72,16.89,374922,786451472,0
2021-04-14,16.92,16.95,16.58,16.63,532018,1107905888,0
2021-04-15,16.63,16.7,16.15,16.19,576003,1176856416,0
2021-04-16,16.27,16.48,16.19,16.34,249515,510404032,0
2021-04-19,16.28,16.51,16.27,16.38,322164,660703744,0
2021-04-20,16.31,16.5,16.28,16.48,231266,475301792,0
2021-04-21,16.42,16.52,16.34,16.47,238638,490001632,0
2021-04-22,16.47,16.52,16.19,16.27,377110,770042880,0
2021-04-23,16.26,16.27,15.89,16.25,498110,1007769328,0
2021-04-26,16.23,16.32,16.03,16.03,318798,646011936,0
2021-04-27,15.98,16.13,15.94,15.99,226832,456809088,0
2021-04-28,16.02,16.07,15.84,15.99,285067,573097984,0
2021-04-29,15.96,16.06,15.84,16.0,345057,693006080,0
2021-04-30,16.0,16.02,15.67,15.84,481616,961349744,0
2021-05-06,15.77,15.94,15.74,15.76,516965,1030697488,0
2021-05-07,15.77,15.84,15.56,15.63,433865,858407472,0
2021-05-10,15.62,15.71,15.43,15.54,387220,761289488,0
2021-05-11,15.51,15.82,15.39,15.76,343328,679428896,0
2021-05-12,15.72,15.84,15.57,15.64,248642,492445888,0
2021-05-13,15.57,15.75,15.5,15.63,299639,591903728,0
2021-05-14,15.62,15.64,15.42,15.52,424373,832625104,0
2021-05-17,15.53,15.77,15.49,15.63,629569,1242243120,0
2021-05-18,15.62,15.66,15.53,15.66,271279,535115712,0
2021-05-19,15.66,15.67,15.46,15.48,284536,559034640,0
2021-05-20,15.45,15.49,15.18,15.3,600532,1167625536,0
2021-05-21,15.33,15.51,15.29,15.47,337743,660609120,0
2021-05-24,15.48,15.52,15.21,15.25,352968,685356080,0
2021-05-25,15.21,15.71,15.05,15.68,625913,1224321664,0
2021-05-26,15.62,15.63,15.28,15.29,795057,1549587792,0
2021-05-27,15.31,15.39,15.26,15.31,559298,1086850624,0
2021-05-28,15.32,15.56,15.25,15.54,500763,978866832,0
2021-05-31,15.61,15.73,15.42,15.73,479572,945549632,0
2021-06-01,15.73,15.94,15.59,15.8,442199,880173696,0
2021-06-02,15.85,15.92,15.58,15.69,379838,752333968,0
2021-06-03,15.69,15.9,15.6,15.77,354007,703988304,0
2021-06-04,15.77,15.89,15.64,15.74,316699,629828240,0
2021-06-07,15.74,15.74,15.53,15.61,349703,690822240,0
2021-06-08,15.64,15.77,15.58,15.69,373697,739978704,0
2021-06-09,15.74,16.2,15.7,16.19,714811,1441167856,0
2021-06-10,16.2,16.47,16.13,16.19,575581,1173651152,0
