datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,28.03,28.12,27.98,28.0,230522,646324114,0
2025-11-26 11:30:00,27.99,28.07,27.93,27.94,155207,434437856,0
2025-11-26 14:00:00,27.95,27.96,27.91,27.95,126326,352810369,0
2025-11-26 15:00:00,27.95,27.98,27.9,27.94,150679,421095801,0
2025-11-27 10:30:00,27.93,28.02,27.78,28.02,289512,807864391,0
2025-11-27 11:30:00,28.02,28.08,27.97,28.07,178714,500913021,0
2025-11-27 14:00:00,28.07,28.14,28.03,28.04,156253,438996357,0
2025-11-27 15:00:00,28.05,28.09,28.0,28.09,144213,404339892,0
2025-11-28 10:30:00,28.01,28.07,27.97,28.01,135129,378429523,0
2025-11-28 11:30:00,28.01,28.03,27.97,27.99,84542,236671074,0
2025-11-28 14:00:00,27.99,28.03,27.96,27.97,133933,374734547,0
2025-11-28 15:00:00,27.97,28.02,27.95,27.98,236578,661930579,0
2025-12-01 10:30:00,28.05,28.15,28.01,28.09,258164,725204730,0
2025-12-01 11:30:00,28.09,28.11,28.02,28.02,104609,293399766,0
2025-12-01 14:00:00,28.04,28.04,27.99,28.02,93789,262657471,0
2025-12-01 15:00:00,28.03,28.07,28.02,28.07,125962,353262042,0
2025-12-02 10:30:00,28.03,28.27,28.02,28.18,417189,1175765822,0
2025-12-02 11:30:00,28.17,28.19,28.12,28.15,74981,211110772,0
2025-12-02 14:00:00,28.16,28.22,28.13,28.21,83756,235996770,0
2025-12-02 15:00:00,28.22,28.27,28.21,28.26,172854,488258489,0
2025-12-03 10:30:00,28.25,28.36,28.22,28.32,182121,515608141,0
2025-12-03 11:30:00,28.32,28.33,28.27,28.29,87190,246777149,0
2025-12-03 14:00:00,28.29,28.31,28.22,28.23,80621,227862811,0
2025-12-03 15:00:00,28.24,28.28,28.21,28.27,95668,270194478,0
2025-12-04 10:30:00,28.3,28.32,28.21,28.25,108333,306083595,0
2025-12-04 11:30:00,28.25,28.29,28.23,28.26,69652,196867054,0
2025-12-04 14:00:00,28.26,28.29,28.2,28.21,60746,171536416,0
2025-12-04 15:00:00,28.2,28.27,28.17,28.24,141235,398501514,0
2025-12-05 10:30:00,28.24,28.24,28.07,28.09,171252,481689495,0
2025-12-05 11:30:00,28.09,28.13,28.06,28.08,84181,236427437,0
2025-12-05 14:00:00,28.07,28.12,28.02,28.08,137111,384812666,0
2025-12-05 15:00:00,28.08,28.13,28.05,28.07,152431,428136687,0
2025-12-08 10:30:00,28.07,28.1,27.98,28.0,246380,690283141,0
2025-12-08 11:30:00,27.99,28.02,27.97,27.98,109342,306004521,0
2025-12-08 14:00:00,27.98,28.0,27.95,27.98,116479,325770328,0
2025-12-08 15:00:00,27.97,27.98,27.86,27.87,282064,787097103,0
2025-12-09 10:30:00,27.93,28.04,27.9,27.98,227314,636018589,0
2025-12-09 11:30:00,27.99,27.99,27.9,27.91,98785,275999031,0
2025-12-09 14:00:00,27.92,27.95,27.91,27.93,74106,206985025,0
2025-12-09 15:00:00,27.93,27.98,27.92,27.97,112097,313279293,0
2025-12-10 10:30:00,27.93,28.07,27.87,27.96,250607,701256147,0
2025-12-10 11:30:00,27.95,27.97,27.86,27.87,139919,390338393,0
2025-12-10 14:00:00,27.87,27.93,27.85,27.88,91775,255832359,0
2025-12-10 15:00:00,27.88,27.9,27.86,27.89,103089,287488048,0
2025-12-11 10:30:00,27.92,27.94,27.87,27.89,169196,472165545,0
2025-12-11 11:30:00,27.89,27.9,27.81,27.82,143170,398688786,0
2025-12-11 14:00:00,27.82,27.83,27.75,27.77,197620,549097424,0
2025-12-11 15:00:00,27.77,27.86,27.76,27.86,185650,516105749,0
2025-12-12 10:30:00,27.85,27.92,27.81,27.89,220656,615132803,0
2025-12-12 11:30:00,27.87,27.9,27.84,27.84,135064,376365888,0
2025-12-12 14:00:00,27.84,27.95,27.84,27.93,195885,546618083,0
2025-12-12 15:00:00,27.93,28.05,27.92,28.04,347104,971790306,0
2025-12-15 10:30:00,27.99,28.15,27.96,28.06,193701,543806327,0
2025-12-15 11:30:00,28.06,28.13,28.06,28.08,118528,333051881,0
2025-12-15 14:00:00,28.08,28.13,28.06,28.08,100572,282544649,0
