datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,13.65,13.84,12.28,12.34,3922639,7049892161,0
2020-02-29,11.59,13.14,11.2,12.22,4243342,7334491437,0
2020-03-31,12.24,12.97,11.25,12.48,6289287,10762054629,0
2020-04-30,12.48,13.13,12.15,12.64,2697356,4656838885,0
2020-05-31,12.5,12.69,11.89,12.58,3469459,5939137727,0
2020-06-30,12.62,14.64,12.39,14.13,4593054,8318383999,0
2020-07-31,14.24,15.19,13.89,14.24,7812938,14867402624,0
2020-08-31,14.2,15.43,13.68,15.17,5050605,9353068175,0
2020-09-30,15.17,16.87,14.49,15.0,6992217,13853244992,0
2020-10-31,15.02,15.3,14.57,14.83,3968215,7546846064,0
2020-11-30,14.91,16.7,14.91,15.98,6645743,13302348544,0
2020-12-31,16.01,16.34,14.77,15.03,6387968,12526606480,0
2021-01-31,14.98,16.13,14.37,15.55,10106081,19423982288,0
2021-02-28,15.67,15.97,14.9,15.62,12361784,24231557808,0
2021-03-31,15.67,17.84,15.42,17.31,18413156,38025426144,0
2021-04-30,17.28,17.6,15.67,15.84,7951769,16428289456,0
2021-05-31,15.77,15.94,15.05,15.73,8091262,15881958816,0
2021-06-30,15.73,17.32,15.53,16.51,9332059,18933849152,0
2021-07-31,16.52,16.82,14.76,15.57,8975471,17481154528,0
2021-08-31,15.54,16.85,15.15,15.91,7496300,14565517216,0
2021-09-30,15.97,18.85,15.91,18.57,12600974,26319825104,0
2021-10-31,19.07,19.08,17.07,17.82,7272235,15400620896,0
2021-11-30,17.68,18.0,16.06,16.1,7395541,15010668304,0
2021-12-31,18.04,19.6,16.92,19.27,9563603,20783571408,0
2022-01-31,19.36,20.09,18.46,18.49,7343012,16601603088,0
2022-02-28,18.67,20.51,18.56,19.75,4878599,11245721088,0
2022-03-31,19.77,20.72,17.48,18.57,10956828,24566268144,0
2022-04-30,18.51,20.3,18.39,19.29,8604420,19849083504,0
2022-05-31,19.42,20.61,18.68,20.59,8372870,19342010288,0
2022-06-30,20.59,20.9,19.5,19.69,11652238,27381292144,0
2022-07-31,20.57,21.85,20.44,21.26,10077808,24655351601,0
2022-08-31,21.26,21.68,20.5,21.36,7360776,17415249497,0
2022-09-30,21.11,21.55,19.57,20.12,7543439,17597363484,0
2022-10-31,20.37,20.87,17.39,17.64,8706303,19188361960,0
2022-11-30,17.63,19.22,17.13,18.6,13044457,26878424074,0
2022-12-31,18.7,19.03,17.61,18.38,8990884,18704008091,0
2023-01-31,18.33,18.54,17.77,18.17,9042383,18805704186,0
2023-02-28,18.23,18.87,17.99,18.54,8072488,16997159321,0
2023-03-31,18.53,18.88,17.4,18.63,17285017,36150720538,0
2023-04-30,18.58,19.34,18.36,19.26,9224107,19635629816,0
2023-05-31,19.26,20.71,19.1,19.89,11029889,25050771110,0
2023-06-30,19.82,20.3,19.27,19.44,8288185,18492543661,0
2023-07-31,19.47,20.09,19.24,19.7,9216461,20172096448,0
2023-08-31,19.74,20.79,19.69,20.3,9388508,20585914647,0
2023-09-30,20.25,21.04,19.82,20.48,8586270,19053709217,0
2023-10-31,20.49,21.42,20.06,20.81,9131309,20558404102,0
2023-11-30,20.82,21.21,20.41,21.07,11097022,25049485043,0
2023-12-31,21.12,22.03,20.59,21.58,12497173,28746448458,0
2024-01-31,21.58,22.74,21.12,22.64,16766205,39587663612,0
2024-02-29,22.54,23.98,22.39,23.29,13277182,33095933539,0
2024-03-31,23.29,24.54,22.75,23.17,17732800,44567226602,0
2024-04-30,23.19,24.43,22.5,24.03,16860031,42872169194,0
2024-05-31,24.03,25.26,23.4,24.85,14335560,37160028552,0
2024-06-30,25.13,27.27,24.99,27.16,17221314,48514067524,0
2024-07-31,27.16,30.34,27.09,28.92,19299081,58117302410,0
2024-08-31,28.71,29.4,27.77,28.44,12935793,38415700816,0
2024-09-30,28.09,29.56,26.69,29.11,18466322,53280465334,0
2024-10-31,31.07,31.34,26.22,26.64,28198322,81025560445,0
2024-11-30,26.57,27.06,25.84,26.38,23260909,63898262094,0
2024-12-31,26.45,28.99,26.36,28.61,22321356,64417336857,0
2025-01-31,28.57,28.79,27.34,28.17,14784543,42673009410,0
2025-02-28,28.13,28.16,26.47,26.65,17402561,48584650540,0
2025-03-31,26.65,27.38,26.25,27.08,17661440,48449829185,0
2025-04-30,27.12,29.19,26.93,28.77,22032135,63775737518,0
2025-05-31,28.92,30.33,28.33,29.47,12274298,36913978877,0
2025-06-30,29.55,30.46,28.92,29.41,14217553,43192864513,0
2025-07-31,29.47,30.06,27.7,27.84,21154495,62322356333,0
2025-08-31,27.79,28.55,27.46,28.09,22903548,63926393575,0
2025-09-30,28.1,28.4,27.02,27.25,20857996,57849074085,0
2025-10-31,27.21,28.56,27.15,28.1,16064591,45041524737,0
2025-11-30,28.11,28.88,27.78,27.98,14299170,40463674457,0
2025-12-31,28.05,28.36,27.17,27.19,14936355,41557515243,0
2026-01-31,27.2,27.45,27.1,27.29,3325438,9070611993,0
