datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,13.65,13.84,13.58,13.76,345669,640332432,0
2020-01-10,13.73,13.8,13.16,13.19,1357751,2459419504,0
2020-01-17,13.23,13.41,12.88,12.93,1216887,2187582769,0
2020-01-24,12.98,13.13,12.28,12.34,1002332,1762557456,0
2020-02-07,11.59,13.14,11.2,13.08,1695196,2902945568,0
2020-02-14,12.87,13.02,12.58,12.81,667330,1173874785,0
2020-02-21,12.79,12.9,12.64,12.72,737097,1294244444,0
2020-02-28,12.68,12.72,12.09,12.22,1143719,1963426640,0
2020-03-06,12.24,12.94,12.24,12.67,1236709,2167757344,0
2020-03-13,12.39,12.97,12.15,12.19,1674524,2909922640,0
2020-03-20,12.26,12.44,11.38,11.68,1711383,2869857648,0
2020-03-27,11.36,12.33,11.25,12.1,1305866,2197368624,0
2020-04-03,12.05,12.56,11.98,12.41,717789,1229880238,0
2020-04-10,12.63,12.63,12.19,12.24,460750,790654331,0
2020-04-17,12.2,12.51,12.2,12.31,604968,1036008548,0
2020-04-24,12.3,12.74,12.15,12.72,683314,1175358335,0
2020-05-01,12.76,13.13,12.57,12.64,591340,1042085806,0
2020-05-08,12.5,12.69,12.19,12.28,734371,1257537936,0
2020-05-15,12.31,12.54,12.24,12.35,792418,1360398018,0
2020-05-22,12.3,12.32,11.96,11.96,872059,1482312056,0
2020-05-29,12.12,12.64,11.89,12.58,1070611,1838889717,0
2020-06-05,12.62,13.47,12.59,12.94,1216099,2172976163,0
2020-06-12,12.99,13.26,12.39,12.72,999685,1770090700,0
2020-06-19,12.54,13.59,12.41,13.36,1085584,1941798320,0
2020-06-26,13.43,14.64,13.08,14.28,850528,1592741168,0
2020-07-03,14.27,14.68,14.08,14.28,1351828,2584639808,0
2020-07-10,14.34,14.87,14.07,14.08,2021928,3898256720,0
2020-07-17,14.19,15.19,14.19,14.48,2240628,4331562080,0
2020-07-24,14.47,14.83,13.89,14.07,1590071,2954296240,0
2020-07-31,14.18,14.71,14.09,14.24,1049641,1939425424,0
2020-08-07,14.2,14.44,13.87,13.95,976507,1780516576,0
2020-08-14,13.97,14.1,13.68,14.08,1079279,1948664080,0
2020-08-21,14.18,15.09,14.01,14.86,1604473,2995061728,0
2020-08-28,14.86,15.02,14.39,14.86,1053470,1976483759,0
2020-09-04,14.82,16.23,14.78,15.88,1434701,2828212080,0
2020-09-11,15.86,16.37,15.58,16.23,1405565,2831522624,0
2020-09-18,16.27,16.87,16.1,16.58,1219672,2515647200,0
2020-09-25,16.48,16.57,14.49,14.73,2057205,4021688496,0
2020-10-02,14.77,15.15,14.69,15.0,1211950,2308516624,0
2020-10-09,15.02,15.1,14.77,14.83,322845,614777008,0
2020-10-16,14.7,15.3,14.67,14.78,1481739,2829910128,0
2020-10-23,14.85,14.98,14.57,14.6,1083482,2046594816,0
2020-10-30,14.58,15.15,14.57,14.83,1080149,2055564112,0
2020-11-06,14.91,16.36,14.91,16.23,1629888,3246781872,0
2020-11-13,16.09,16.7,15.91,16.23,1486937,3034063472,0
2020-11-20,16.33,16.36,15.35,15.68,1589000,3149793680,0
2020-11-27,15.75,16.18,15.32,16.18,1496589,2971643168,0
2020-12-04,16.08,16.57,15.85,15.99,1354589,2738866928,0
2020-12-11,15.93,16.17,15.55,15.88,1140546,2275047152,0
2020-12-18,15.84,15.97,15.38,15.62,1491513,2950354704,0
2020-12-25,15.64,15.71,14.77,15.19,1582501,3052559680,0
2021-01-01,15.28,15.35,14.78,15.03,1262148,2409844368,0
2021-01-08,14.98,15.44,14.58,15.21,2764062,5265698368,0
2021-01-15,15.22,15.48,14.7,15.07,2415276,4637126416,0
2021-01-22,15.07,15.35,14.77,14.78,1921707,3675963008,0
2021-01-29,14.76,16.13,14.37,15.55,3005036,5845194496,0
2021-02-05,15.67,15.67,15.17,15.3,5100733,9949371616,0
2021-02-12,15.33,15.9,14.9,15.56,2179901,4248595040,0
2021-02-19,15.7,15.97,15.39,15.85,1607894,3179193696,0
2021-02-26,15.83,15.86,15.37,15.62,3473256,6854397456,0
2021-03-05,15.67,16.45,15.42,16.07,3179643,6349127760,0
2021-03-12,16.0,17.84,15.68,17.19,5806970,11948507456,0
2021-03-19,17.19,17.59,16.03,16.34,4176205,8669327456,0
2021-03-26,16.33,17.31,16.32,16.7,3687188,7734221744,0
2021-04-02,16.62,17.6,16.57,16.99,2412847,5136485520,0
2021-04-09,16.99,17.08,16.61,16.72,1388500,2910292176,0
2021-04-16,16.67,17.22,16.15,16.34,2388914,4971659280,0
2021-04-23,16.28,16.52,15.89,16.25,1667288,3403819376,0
2021-04-30,16.23,16.32,15.67,15.84,1657370,3330274832,0
2021-05-07,15.77,15.94,15.56,15.63,950830,1889104960,0
2021-05-14,15.62,15.84,15.39,15.52,1703202,3357693104,0
2021-05-21,15.53,15.77,15.18,15.47,2123659,4164628128,0
2021-05-28,15.48,15.71,15.05,15.54,2833999,5524982992,0
2021-06-04,15.61,15.94,15.42,15.74,1972315,3911873840,0
2021-06-11,15.74,16.7,15.53,16.56,2727751,5522694160,0
2021-06-18,16.56,16.62,15.93,15.95,1775445,3623087120,0
2021-06-25,15.99,16.59,15.67,16.51,2017624,4078936608,0
2021-07-02,16.69,17.32,16.12,16.17,2015602,4171294096,0
2021-07-09,16.17,16.59,15.82,16.18,1698634,3437323184,0
2021-07-16,16.25,16.29,15.69,15.86,2144024,4267457888,0
2021-07-23,15.84,16.01,15.2,15.36,2061162,3921065136,0
2021-07-30,15.26,15.57,14.76,15.57,2374545,4426821280,0
2021-08-06,15.54,15.84,15.15,15.62,2033807,3851182336,0
2021-08-13,15.59,16.43,15.57,16.17,1576768,3075011696,0
2021-08-20,16.21,16.64,16.01,16.42,1580065,3117311920,0
2021-08-27,16.44,16.85,15.99,16.1,1542760,3060615984,0
2021-09-03,15.99,16.72,15.47,16.63,2103023,4122448000,0
2021-09-10,16.64,17.1,16.45,16.97,2258335,4567549840,0
2021-09-17,16.94,17.22,16.2,16.88,2079139,4183328672,0
2021-09-24,16.84,18.5,16.82,17.66,2888999,6152618176,0
2021-10-01,18.03,18.85,17.68,18.57,4034378,8755275696,0
2021-10-08,19.07,19.08,18.26,18.52,795368,1743026208,0
2021-10-15,18.67,18.74,17.07,17.42,2342823,4949442960,0
2021-10-22,17.42,17.97,17.31,17.57,2153993,4528866144,0
2021-10-29,17.51,17.92,17.43,17.82,1980051,4179285584,0
2021-11-05,17.68,18.0,17.22,17.23,2014075,4236804576,0
2021-11-12,17.3,17.31,16.37,16.54,1929218,3890566592,0
2021-11-19,16.64,16.84,16.49,16.78,1624643,3260928496,0
2021-11-26,16.79,16.85,16.06,16.1,1827605,3622368640,0
2021-12-17,18.04,18.75,16.92,18.48,5895951,12624176640,0
2021-12-24,18.31,19.6,18.06,18.94,1988857,4396016672,0
2021-12-31,18.92,19.39,18.63,19.27,1678795,3763378096,0
2022-01-07,19.36,19.5,18.46,18.73,1899034,4269826496,0
2022-01-14,18.69,19.56,18.59,19.02,1880653,4218573904,0
2022-01-21,19.02,20.09,19.01,19.55,2093973,4806217440,0
2022-01-28,19.55,19.75,18.47,18.49,1469352,3306985248,0
2022-02-11,18.67,20.51,18.56,20.31,1713651,3966231184,0
2022-02-18,20.31,20.31,19.57,19.8,1281917,2979340992,0
2022-02-25,19.67,19.77,19.11,19.32,1484820,3384270416,0
2022-03-04,19.38,20.62,19.28,20.52,1798631,4226176960,0
2022-03-11,20.44,20.72,18.67,19.17,2888865,6698452912,0
2022-03-18,18.99,19.47,17.6,18.35,3580102,7849315200,0
2022-03-25,18.57,18.8,17.86,17.88,1644297,3573838208,0
2022-04-01,17.77,18.86,17.48,18.79,1739558,3788624576,0
2022-04-08,18.59,19.81,18.59,19.77,1134528,2569089472,0
2022-04-15,19.85,20.13,19.36,19.97,1620193,3748053680,0
2022-04-22,19.8,20.26,19.42,20.26,2638955,6168293536,0
2022-04-29,20.06,20.3,19.03,19.29,2914330,6709385600,0
2022-05-06,19.42,19.82,19.17,19.29,798338,1828922544,0
2022-05-13,19.3,19.8,18.68,19.8,2269721,5135010896,0
2022-05-20,19.83,20.36,19.18,19.87,2108786,4873417328,0
2022-05-27,20.07,20.59,19.29,20.29,2348465,5480032384,0
2022-06-03,20.45,20.9,20.13,20.49,1724750,4131797152,0
2022-06-10,20.58,20.82,20.12,20.59,2794118,6653964816,0
2022-06-17,20.31,20.65,19.74,20.17,3326299,7839939824,0
2022-06-24,20.07,20.09,19.57,19.94,2605504,6035341776,0
2022-07-01,19.92,21.09,19.5,20.89,3346220,7892110128,0
2022-07-08,20.92,21.14,20.46,20.77,2391444,5790796096,0
2022-07-15,21.05,21.75,20.87,20.87,2868351,7116878970,0
2022-07-22,20.94,21.85,20.94,21.51,2103717,5193292417,0
2022-07-29,21.55,21.63,21.18,21.26,1417203,3407149702,0
2022-08-05,21.26,21.48,20.79,21.46,1638737,3886686999,0
2022-08-12,21.45,21.68,21.15,21.61,1047238,2520128742,0
2022-08-19,21.5,21.68,20.51,20.97,1844667,4368295143,0
2022-08-26,20.84,21.17,20.53,20.77,1522898,3560738490,0
2022-09-02,20.63,21.55,20.5,21.2,1976639,4678392229,0
2022-09-09,21.09,21.44,20.8,21.29,1692661,4015797328,0
2022-09-16,21.23,21.36,20.84,20.84,1296751,3077799238,0
2022-09-23,20.91,21.01,20.64,20.71,1275484,2988841246,0
2022-09-30,20.66,20.8,19.57,20.12,2609140,5915933566,0
2022-10-14,20.37,20.87,19.94,20.34,2394565,5541954429,0
2022-10-21,20.42,20.42,19.59,19.79,2024195,4557338695,0
2022-10-28,19.77,19.97,17.97,18.06,3304153,7088244047,0
2022-11-04,17.67,18.08,17.13,17.52,4302024,8693662468,0
2022-11-11,17.43,17.93,17.27,17.83,3366596,6784698325,0
2022-11-18,17.92,18.76,17.44,18.43,3118542,6476506366,0
2022-11-25,18.36,19.22,18.09,19.19,1637488,3501188698,0
2022-12-02,18.93,19.08,18.54,18.75,2472787,5273788216,0
2022-12-09,18.8,19.03,18.08,18.3,2369951,5008531199,0
2022-12-16,18.24,18.38,17.82,18.24,1805820,3725488044,0
2022-12-23,18.14,18.28,17.61,17.79,1767792,3616885236,0
2022-12-30,17.8,18.45,17.71,18.38,2177731,4502508402,0
2023-01-06,18.33,18.45,17.95,18.27,1569865,3271327849,0
2023-01-13,18.32,18.5,17.98,18.31,2397840,4987996582,0
2023-01-20,18.3,18.48,17.77,18.41,3744384,7768779147,0
2023-02-03,18.5,18.54,17.94,18.3,2885659,6014292993,0
2023-02-10,18.2,18.87,18.12,18.59,2058353,4368592697,0
2023-02-17,18.52,18.6,18.11,18.14,1884530,3963682487,0
2023-02-24,18.11,18.71,18.11,18.4,1897598,4005034021,0
2023-03-03,18.35,18.83,18.28,18.71,2570480,5449636918,0
2023-03-10,18.76,18.85,18.09,18.13,2964945,6238671251,0
2023-03-17,18.13,18.88,18.09,18.58,3286390,6939429114,0
2023-03-24,18.56,18.74,18.11,18.16,2526893,5294393431,0
2023-03-31,18.17,18.72,17.4,18.63,6612951,13651747555,0
2023-04-07,18.58,18.68,18.39,18.46,1475617,3122347224,0
2023-04-14,18.56,18.87,18.47,18.59,2000039,4252576152,0
2023-04-21,18.58,18.81,18.36,18.44,2733963,5793625061,0
2023-04-28,18.53,19.34,18.36,19.26,3014488,6467081379,0
2023-05-05,19.26,19.94,19.1,19.48,1470117,3267984528,0
2023-05-12,19.48,20.59,19.39,20.29,3570552,8106056534,0
2023-05-19,20.18,20.65,20.09,20.2,2375204,5453216449,0
2023-05-26,20.32,20.71,19.9,19.94,2035566,4663501845,0
2023-06-02,20.0,20.32,19.52,19.71,2358566,5308235952,0
2023-06-09,19.77,20.3,19.65,20.24,1589731,3584487107,0
2023-06-16,20.22,20.26,19.42,19.58,2299013,5132679008,0
2023-06-23,19.5,19.78,19.27,19.48,1194812,2647390721,0
2023-06-30,19.48,19.88,19.28,19.44,2424513,5379762627,0
2023-07-07,19.47,19.61,19.32,19.38,1878599,4143091870,0
2023-07-14,19.43,19.93,19.24,19.85,2362023,5241101192,0
2023-07-21,19.86,20.09,19.7,19.84,1780903,3958119677,0
2023-07-28,19.74,19.92,19.38,19.58,2526606,5393313460,0
2023-08-04,19.57,20.06,19.57,19.78,2225451,4799832462,0
2023-08-11,19.79,20.4,19.76,19.99,1908840,4189419580,0
2023-08-18,19.94,20.51,19.79,20.3,1918302,4206989582,0
2023-08-25,20.3,20.44,19.96,20.4,1913480,4207815802,0
2023-09-01,20.74,20.79,19.99,20.05,2621181,5777411742,0
2023-09-08,20.14,20.19,19.82,20.08,2307669,5026734423,0
2023-09-15,20.07,21.04,20.07,20.76,2620867,5855021477,0
2023-09-22,20.7,20.88,20.54,20.72,1787220,4014082309,0
2023-09-29,20.83,20.9,20.42,20.48,1340098,2998786736,0
2023-10-13,20.49,21.13,20.49,20.98,1967271,4454447801,0
2023-10-20,21.02,21.42,20.59,20.59,2506483,5705180587,0
2023-10-27,20.59,20.91,20.06,20.48,3291672,7328509933,0
2023-11-03,20.5,21.21,20.48,20.95,2938174,6644212219,0
2023-11-10,20.98,21.01,20.41,20.81,2641336,5914523742,0
2023-11-17,20.75,21.01,20.58,20.86,2401474,5416103961,0
2023-11-24,20.9,21.09,20.71,20.92,2111369,4788178244,0
2023-12-01,20.92,21.13,20.64,20.97,2947233,6666980647,0
2023-12-08,20.97,21.06,20.63,20.86,2747704,6209096872,0
2023-12-15,20.76,21.39,20.59,21.02,3043133,6954408875,0
2023-12-22,21.02,21.72,21.02,21.42,2973441,6886917744,0
2023-12-29,21.42,22.03,21.35,21.58,3156214,7385776978,0
2024-01-05,21.58,22.22,21.56,21.98,2615382,6206269487,0
