datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,9.72,10.05,9.68,9.8,460583,454986050,0
2025-11-26 11:30:00,9.81,9.9,9.78,9.82,160479,157534805,0
2025-11-26 14:00:00,9.82,9.86,9.77,9.78,109017,106946704,0
2025-11-26 15:00:00,9.78,10.0,9.74,9.99,393475,390072826,0
2025-11-27 10:30:00,9.94,9.97,9.75,9.79,295765,290880179,0
2025-11-27 11:30:00,9.78,9.84,9.75,9.81,119912,117351581,0
2025-11-27 14:00:00,9.82,9.87,9.78,9.83,96361,94607308,0
2025-11-27 15:00:00,9.83,9.85,9.74,9.76,236081,231149125,0
2025-11-28 10:30:00,9.74,9.8,9.49,9.55,242568,233339953,0
2025-11-28 11:30:00,9.55,9.56,9.48,9.55,84858,80756277,0
2025-11-28 14:00:00,9.55,9.57,9.5,9.55,73469,69987343,0
2025-11-28 15:00:00,9.55,9.63,9.5,9.61,188223,180037695,0
2025-12-01 10:30:00,9.56,9.76,9.39,9.73,274815,264350699,0
2025-12-01 11:30:00,9.73,9.77,9.57,9.6,88012,85019820,0
2025-12-01 14:00:00,9.61,9.76,9.57,9.75,160108,155122714,0
2025-12-01 15:00:00,9.75,9.85,9.71,9.83,241547,236595954,0
2025-12-02 10:30:00,9.84,9.86,9.63,9.72,168465,163784209,0
2025-12-02 11:30:00,9.71,9.77,9.7,9.72,56719,55188434,0
2025-12-02 14:00:00,9.72,9.72,9.67,9.68,65927,63907417,0
2025-12-02 15:00:00,9.67,9.73,9.63,9.7,115499,111860684,0
2025-12-03 10:30:00,9.72,9.72,9.19,9.19,315016,295992592,0
2025-12-03 11:30:00,9.19,9.24,9.16,9.21,90143,82982683,0
2025-12-03 14:00:00,9.2,9.25,9.08,9.09,119985,109944070,0
2025-12-03 15:00:00,9.09,9.11,8.9,8.92,298405,268264199,0
2025-12-04 10:30:00,8.9,8.97,8.5,8.53,342091,297965855,0
2025-12-04 11:30:00,8.55,8.68,8.34,8.65,254943,216606729,0
2025-12-04 14:00:00,8.65,8.75,8.62,8.67,106423,92506446,0
