datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,4.99,5.95,4.41,4.41,15865043,8575900844,0
2020-02-29,3.96,4.68,3.56,3.89,15298862,6401871989,0
2020-03-31,3.9,4.5,3.47,3.51,10035244,4115207033,0
2020-04-30,3.51,4.48,3.48,3.85,12268222,4999813213,0
2020-05-31,3.8,4.7,3.76,4.4,13450858,5783556963,0
2020-06-30,4.55,5.64,4.49,4.78,26020788,13109930563,0
2020-07-31,4.8,6.21,4.61,5.71,23303745,12859719670,0
2020-08-31,5.74,6.04,4.97,5.08,11219624,6196799811,0
2020-09-30,5.06,5.96,4.68,5.0,9646829,5063074251,0
2020-10-31,5.07,5.32,4.81,4.93,4154020,2110435859,0
2020-11-30,4.97,5.27,4.63,4.71,4285735,2152380060,0
2020-12-31,4.73,4.82,3.98,4.24,3403523,1508724776,0
2021-01-31,4.25,4.64,3.89,3.9,4460053,1937911597,0
2021-02-28,3.95,4.16,3.59,3.94,1969883,776130648,0
2021-03-31,3.95,4.29,3.76,4.07,3485432,1413111896,0
2021-04-30,4.13,4.9,4.06,4.41,5622192,2515667742,0
2021-05-31,4.43,4.77,4.32,4.4,4381100,2018180779,0
2021-06-30,4.4,4.49,4.11,4.15,2989176,1307560058,0
2021-07-31,4.16,4.21,3.73,3.86,2324806,950554149,0
2021-08-31,3.86,4.26,3.84,4.24,2825400,1162068863,0
2021-09-30,4.25,4.76,4.2,4.22,4651732,2096253310,0
2021-10-31,4.27,4.69,4.02,4.18,3620271,1612414006,0
2021-11-30,4.23,4.97,4.14,4.47,6596911,3100643417,0
2021-12-31,4.47,8.38,4.42,8.38,25679778,15615089234,0
2022-01-31,9.0,9.78,5.93,5.94,43350602,35868557248,0
2022-02-28,5.96,6.86,5.51,5.77,16771581,10451966992,0
2022-03-31,5.76,6.63,5.16,6.39,17822266,10655191253,0
2022-04-30,6.3,7.35,4.22,4.96,14174983,8595996118,0
2022-05-31,4.95,5.3,4.68,5.06,8436586,4217977901,0
2022-06-30,5.05,6.83,4.95,6.11,18925249,11648730892,0
2022-07-31,6.11,6.16,5.48,5.71,6496653,3813194175,0
2022-08-31,5.73,6.33,5.18,5.43,7667256,4402023226,0
2022-09-30,5.43,5.58,4.41,4.49,4304274,2181906322,0
2022-10-31,4.51,5.01,4.31,4.58,4309139,2055581820,0
2022-11-30,4.62,5.71,4.56,5.08,9515496,4951447338,0
2022-12-31,5.1,5.4,4.66,4.94,5005361,2545401835,0
2023-01-31,4.94,5.44,4.92,5.33,4395319,2285361737,0
2023-02-28,5.32,5.94,5.26,5.42,9863895,5574806202,0
2023-03-31,5.42,6.96,5.41,6.6,15163800,9563928317,0
2023-04-30,6.64,7.39,6.03,7.15,16989583,11574775580,0
2023-05-31,6.96,8.19,5.88,6.69,18011680,13088084112,0
2023-06-30,6.65,7.4,5.95,6.35,10898835,7557477794,0
2023-07-31,6.38,6.44,5.8,6.03,6954595,4254169341,0
2023-08-31,6.03,6.16,5.48,5.9,5765365,3419749974,0
2023-09-30,5.9,6.16,5.3,5.41,5075476,2934378960,0
2023-10-31,5.41,5.59,4.69,5.51,4037741,2114928656,0
2023-11-30,5.5,7.26,5.44,6.64,17699666,11656869738,0
2023-12-31,6.64,7.1,5.35,5.41,9902127,6383422527,0
2024-01-31,5.44,5.55,4.36,4.39,7773692,3861560577,0
2024-02-29,4.39,5.17,3.42,4.92,10141235,4631285401,0
2024-03-31,4.92,6.35,4.73,5.14,16368994,8815929764,0
2024-04-30,5.12,5.88,4.43,4.95,14744193,7523237985,0
2024-05-31,5.03,5.26,4.33,4.44,6229881,3018877707,0
2024-06-30,4.44,4.47,3.95,4.15,3709727,1585433423,0
2024-07-31,4.15,4.23,3.72,4.17,3822972,1539157815,0
2024-08-31,4.18,4.21,3.76,4.04,3347022,1364812187,0
2024-09-30,4.07,5.07,3.9,5.07,3965544,1743135600,0
2024-10-31,5.58,5.68,4.47,5.53,10027021,5119911203,0
2024-11-30,5.48,6.5,5.16,6.04,17458658,10335412918,0
2024-12-31,6.42,8.41,5.98,5.98,31346695,21996163204,0
2025-01-31,5.96,6.76,5.17,6.56,11724337,6865492238,0
2025-02-28,7.14,11.44,6.6,8.5,51315213,47046501170,0
2025-03-31,8.58,10.49,8.16,8.92,33971515,32334302320,0
2025-04-30,8.88,8.94,6.33,8.02,13964062,10542126741,0
2025-05-31,8.33,9.13,8.04,8.57,18312379,15594024469,0
2025-06-30,8.44,8.8,7.51,8.17,10047192,8298303681,0
2025-07-31,8.19,8.98,7.94,8.57,15405128,13055553377,0
2025-08-31,8.6,10.62,8.5,9.6,18759971,17827513776,0
2025-09-30,9.61,9.65,8.07,8.24,12452189,10736584531,0
2025-10-31,8.0,9.03,7.47,8.72,8427559,7033044523,0
2025-11-30,8.76,10.38,8.71,9.61,13709361,12854895326,0
2025-12-31,9.56,9.86,7.05,7.82,11742500,9633619460,0
2026-01-31,7.8,9.76,7.75,9.76,6291864,5588765877,0
