datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,4.99,5.6,4.96,5.29,2834532,1507464432,0
2020-01-10,5.34,5.95,5.24,5.42,6730941,3737301152,0
2020-01-17,5.21,5.62,5.14,5.16,4506596,2438030368,0
2020-01-24,5.13,5.16,4.41,4.41,1792974,893104892,0
2020-02-07,3.96,4.1,3.56,4.08,4207620,1611308481,0
2020-02-14,4.05,4.38,3.96,4.05,3098079,1291065492,0
2020-02-21,4.08,4.6,4.05,4.48,3658146,1600545104,0
2020-02-28,4.43,4.68,3.85,3.89,4335017,1898952912,0
2020-03-06,3.9,4.5,3.89,4.35,4234311,1845838832,0
2020-03-13,4.25,4.28,3.74,3.93,2617086,1076233535,0
2020-03-20,3.97,4.0,3.56,3.72,1691516,641601236,0
2020-03-27,3.6,3.78,3.57,3.64,1133647,423347372,0
2020-04-03,3.6,3.68,3.47,3.59,876351,316267657,0
2020-04-10,3.71,3.87,3.67,3.68,1585837,609682260,0
2020-04-17,3.66,4.44,3.61,4.14,3618675,1491943082,0
2020-04-24,4.0,4.48,3.9,3.92,5088472,2147204229,0
2020-05-01,3.88,4.02,3.58,3.85,1457571,562902043,0
2020-05-08,3.8,4.17,3.76,4.04,1212393,486082091,0
2020-05-15,4.02,4.55,3.9,4.34,4368473,1901758051,0
2020-05-22,4.32,4.36,3.9,3.92,2881473,1200440538,0
2020-05-29,3.89,4.7,3.87,4.4,4988519,2195276283,0
2020-06-05,4.55,5.28,4.49,4.75,9109535,4553896576,0
2020-06-12,4.72,5.32,4.55,4.7,6255419,3116622096,0
2020-06-19,4.68,5.64,4.67,5.0,7656474,3977474512,0
2020-06-26,5.03,5.05,4.71,4.71,2222565,1088732608,0
2020-07-03,4.7,4.89,4.61,4.7,2645801,1267736755,0
2020-07-10,4.68,6.12,4.66,5.76,8407233,4694617664,0
2020-07-17,5.83,6.21,5.11,5.2,5769771,3326702032,0
2020-07-24,5.28,5.62,4.97,4.98,3429201,1849739968,0
2020-07-31,5.03,5.75,4.96,5.71,3828534,2094128022,0
2020-08-07,5.74,6.04,5.42,5.55,4965100,2858717712,0
