datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,42.26,42.36,41.53,42.13,43043,189730555,0
2020-01-03,42.21,42.61,41.26,41.33,39776,174597087,0
2020-01-06,40.26,41.14,40.22,40.53,57207,244760676,0
2020-01-07,40.61,41.61,40.48,41.51,37471,161862443,0
2020-01-08,40.86,41.11,40.66,40.91,47048,202389885,0
2020-01-09,41.71,42.59,41.39,42.18,49521,218920969,0
2020-01-10,42.49,42.65,41.74,41.86,34713,153093590,0
2020-01-13,41.95,42.09,41.4,41.75,37543,164619826,0
2020-01-14,42.2,42.62,41.73,41.94,46420,205684696,0
2020-01-15,41.95,41.95,41.46,41.52,32353,141652170,0
2020-01-16,41.52,42.41,40.78,41.06,49118,214595432,0
2020-01-17,40.96,41.51,40.56,40.87,39185,168852862,0
2020-01-20,39.84,39.84,38.21,39.39,124800,513770288,0
2020-01-21,38.71,39.19,37.97,37.97,101496,412820992,0
2020-01-22,37.81,38.34,37.44,38.16,94411,379099440,0
2020-01-23,37.36,38.1,36.69,37.03,84237,333387840,0
2020-02-03,33.11,33.7,33.11,33.11,102125,360373296,0
2020-02-04,32.96,34.79,32.81,33.86,107235,384719904,0
2020-02-05,33.91,35.51,33.27,34.89,124691,459630928,0
2020-02-06,35.36,36.26,34.76,36.0,95246,357379280,0
2020-02-07,35.55,35.96,35.06,35.61,75318,282885360,0
2020-02-10,35.19,35.6,34.97,35.23,75624,282837344,0
2020-02-11,35.48,36.64,35.48,35.98,58622,224256407,0
2020-02-12,35.98,35.98,35.32,35.49,56971,214426270,0
2020-02-13,35.36,36.61,35.21,35.86,68160,260274593,0
2020-02-14,35.66,37.25,35.37,37.12,69565,270070112,0
2020-02-17,36.57,37.06,36.56,36.78,90384,351123088,0
2020-02-18,36.75,36.76,35.89,36.11,69509,266940078,0
2020-02-19,36.22,38.11,36.02,37.21,97314,381249264,0
2020-02-20,37.39,38.52,37.39,37.85,103584,415896064,0
2020-02-21,37.76,38.12,37.07,37.84,74865,297357024,0
2020-02-24,36.86,36.86,35.56,35.84,144610,551458512,0
2020-02-25,35.06,35.35,34.23,35.04,107030,395680336,0
2020-02-26,34.36,35.01,34.17,34.32,101056,371069744,0
2020-02-27,34.46,34.62,34.21,34.26,71750,262112454,0
2020-02-28,33.47,33.88,32.85,33.46,127114,450824016,0
2020-03-02,33.18,34.55,33.18,34.05,104069,374911568,0
2020-03-03,34.46,34.65,33.8,33.92,76753,278305920,0
2020-03-04,34.06,34.75,33.68,34.6,66014,239289468,0
2020-03-05,34.97,35.5,34.44,35.42,85083,316401952,0
2020-03-06,34.66,35.25,34.43,34.81,73376,270402992,0
2020-03-09,35.27,36.36,34.76,35.84,152357,572240704,0
2020-03-10,35.53,35.93,34.74,35.66,95622,359048496,0
2020-03-11,35.73,36.77,35.31,35.96,105025,402881376,0
2020-03-12,35.32,35.33,34.33,34.54,89710,330165200,0
2020-03-13,32.76,34.35,32.16,33.82,93592,329447728,0
2020-03-16,33.74,33.74,32.31,32.36,76101,266234534,0
2020-03-17,31.92,32.75,29.84,30.56,105518,348622960,0
2020-03-18,30.06,30.84,29.36,29.36,93376,303131696,0
2020-03-19,28.41,28.86,26.74,28.18,169732,509119552,0
2020-03-20,28.66,31.21,28.66,30.91,156912,511316944,0
2020-03-23,29.36,30.76,29.09,29.58,96546,310249568,0
2020-03-24,30.68,30.73,28.95,29.75,78715,250953174,0
2020-03-25,30.97,31.29,30.4,30.96,84741,279878992,0
2020-03-26,30.76,31.46,30.48,31.26,73344,244461584,0
2020-03-27,31.34,31.61,30.86,30.88,54696,182108219,0
2020-03-30,30.31,30.46,29.36,29.82,66978,214707677,0
2020-03-31,30.29,30.5,29.68,30.14,54141,174292540,0
2020-04-01,30.59,31.06,29.92,30.54,49372,162059803,0
2020-04-02,30.36,31.04,30.06,31.04,40675,133475801,0
2020-04-03,30.99,31.28,30.76,31.17,26541,88038338,0
2020-04-07,31.14,31.86,30.77,31.27,71027,236653397,0
2020-04-08,31.06,31.81,30.55,31.54,92398,308253728,0
2020-04-09,31.74,31.81,31.46,31.46,46830,158036581,0
2020-04-10,31.56,31.56,30.57,30.88,32690,108382244,0
2020-04-13,30.89,30.89,29.7,29.74,43261,139049635,0
2020-04-14,29.8,31.16,29.8,31.06,62598,204751509,0
2020-04-15,31.41,32.52,30.94,32.24,80178,273595888,0
2020-04-16,31.87,32.38,31.35,31.51,57567,195446834,0
2020-04-17,32.46,33.71,31.97,33.02,121206,425111616,0
2020-04-20,32.79,33.21,32.03,32.1,68667,237148690,0
2020-04-21,32.4,32.4,30.92,31.13,67675,226848223,0
2020-04-22,30.86,31.85,30.68,31.85,51259,171373002,0
2020-04-23,31.81,32.04,31.46,31.6,35308,119487345,0
2020-04-24,31.52,31.59,31.0,31.36,32872,109767489,0
2020-04-27,31.37,31.56,30.98,31.12,39038,130290475,0
2020-04-28,31.06,32.05,30.98,31.72,53933,182019657,0
2020-04-29,31.85,32.76,31.83,32.4,61722,212299344,0
2020-04-30,34.66,35.67,33.86,35.01,161501,600007904,0
2020-05-06,33.65,34.31,33.29,33.65,146293,524134480,0
2020-05-07,33.45,33.61,32.79,33.06,81197,286592688,0
2020-05-08,33.25,33.46,32.81,32.99,70830,249635714,0
2020-05-11,33.36,33.96,33.02,33.3,68930,244880629,0
2020-05-12,33.18,33.41,32.63,32.98,56776,199141415,0
2020-05-13,32.93,33.29,32.62,33.29,50944,178862317,0
2020-05-14,32.89,32.99,32.04,32.23,58014,200838151,0
2020-05-15,32.21,32.36,31.2,31.36,77165,259781463,0
2020-05-18,31.23,31.67,30.67,31.64,47882,159882616,0
2020-05-19,32.86,33.14,32.27,32.48,96811,336990752,0
2020-05-20,32.06,33.15,31.81,31.94,62711,217157069,0
2020-05-21,32.14,32.24,31.36,31.41,47462,159913144,0
2020-05-22,31.38,31.64,30.96,31.16,28182,94148652,0
2020-05-25,31.15,31.48,30.74,30.86,45283,150345721,0
2020-05-26,30.87,31.78,30.8,31.65,38621,128768638,0
2020-05-27,32.03,33.62,32.01,32.54,95835,335739904,0
2020-05-28,32.67,32.67,31.74,32.28,44193,151511048,0
2020-05-29,32.4,33.76,32.14,33.71,79885,282764816,0
2020-06-01,33.76,34.34,33.41,34.16,74907,269984496,0
2020-06-02,34.36,34.66,33.9,34.34,51326,186713195,0
2020-06-03,34.4,35.65,34.4,35.13,88535,330590032,0
2020-06-04,35.66,36.09,35.15,35.62,75787,286894608,0
2020-06-05,36.16,37.54,36.16,36.99,116541,454721328,0
2020-06-08,37.56,37.76,36.37,37.14,84160,330256112,0
2020-06-09,37.25,37.34,36.22,36.55,65250,252882869,0
2020-06-10,36.07,37.07,35.77,36.73,45902,177099022,0
2020-06-11,36.65,37.05,35.97,36.19,41844,161476370,0
2020-06-12,34.86,36.41,34.41,35.95,64364,244229230,0
2020-06-15,35.86,36.03,34.56,34.7,90205,336138048,0
2020-06-16,35.06,35.34,34.71,34.91,43064,160071477,0
2020-06-17,34.7,35.06,34.35,34.76,46550,171278528,0
2020-06-18,34.74,34.84,34.29,34.66,44648,163526194,0
2020-06-19,34.8,35.24,34.5,35.05,60633,225003400,0
2020-06-22,35.08,35.09,33.91,34.16,54198,197328023,0
2020-06-23,34.15,34.34,33.65,34.03,39720,143212992,0
2020-06-24,34.03,34.41,33.81,34.06,33777,122504330,0
2020-06-29,33.75,33.75,32.34,32.49,106057,370906240,0
2020-06-30,32.87,33.81,32.87,33.1,51346,181926607,0
2020-07-01,33.29,34.49,33.01,34.4,62861,225852911,0
2020-07-02,35.15,35.41,33.87,34.86,134838,495995072,0
2020-07-03,34.36,35.36,34.23,35.22,106482,394451280,0
2020-07-06,35.32,37.12,35.32,36.74,133179,512103120,0
2020-07-07,36.9,37.51,36.11,36.37,142335,551831616,0
2020-07-08,36.26,37.36,36.12,36.86,125901,490186096,0
2020-07-09,36.77,37.54,36.61,37.23,74829,292285328,0
2020-07-10,36.85,38.85,36.66,37.4,100399,397978464,0
2020-07-13,37.39,37.92,36.56,37.65,98531,386202880,0
2020-07-14,37.55,37.8,36.7,37.33,82125,321418352,0
2020-07-15,38.84,40.43,37.36,37.68,198439,810866720,0
2020-07-16,38.31,39.21,36.66,36.71,143700,574671712,0
2020-07-17,36.72,37.36,35.95,36.47,74666,286709360,0
2020-07-20,36.68,39.04,36.68,38.81,103632,414980992,0
2020-07-21,38.81,39.31,38.25,39.03,70273,286501856,0
2020-07-22,38.94,39.66,38.37,38.46,80716,330268416,0
2020-07-23,38.03,39.56,37.86,39.37,91460,372938080,0
2020-07-24,39.09,39.23,36.86,36.89,74799,297749328,0
2020-07-27,36.89,37.76,36.26,37.26,50939,198104320,0
2020-07-28,37.39,37.81,36.75,37.02,41648,163166779,0
2020-07-29,36.88,37.68,36.49,37.62,32233,126450655,0
2020-07-30,37.63,37.93,37.05,37.24,37575,148108309,0
2020-07-31,37.26,38.77,37.06,37.69,53054,211497381,0
2020-08-03,37.57,38.15,37.36,37.91,47610,188713778,0
2020-08-04,37.9,38.61,37.81,38.18,46030,184683166,0
2020-08-05,38.17,38.26,37.37,37.73,35390,140350163,0
2020-08-06,37.96,38.56,37.56,37.92,44977,179792036,0
2020-08-07,37.92,39.24,37.26,38.71,71547,288084608,0
2020-08-10,38.36,41.16,38.26,40.6,91458,385502448,0
2020-08-11,40.79,41.5,40.25,40.32,74537,319993088,0
2020-08-12,41.06,42.0,40.06,41.04,89854,385770272,0
2020-08-13,40.47,42.14,40.47,41.78,83175,362311072,0
2020-08-14,41.62,43.34,41.06,42.52,76583,337691504,0
2020-08-17,42.5,43.56,42.18,42.48,80956,363354512,0
2020-08-18,42.52,42.98,42.12,42.6,44248,196530176,0
2020-08-19,42.6,43.56,42.39,42.76,63042,283374208,0
2020-08-20,42.76,42.76,41.31,41.8,71094,312260928,0
2020-08-21,41.83,42.72,41.26,42.09,47001,206243890,0
2020-08-24,42.53,43.26,41.45,41.47,56883,250358439,0
2020-08-25,41.95,42.47,41.12,41.36,52579,229078168,0
