datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,54.59,55.07,54.31,54.46,16582,90510610,0
2025-11-26 11:30:00,54.49,54.49,54.06,54.09,6003,32539948,0
2025-11-26 14:00:00,54.09,54.48,53.99,54.43,8475,45976622,0
2025-11-26 15:00:00,54.43,54.89,54.26,54.89,16093,87841631,0
2025-11-27 10:30:00,54.6,54.99,54.03,54.95,13898,75634203,0
2025-11-27 11:30:00,54.95,55.33,54.81,55.19,10974,60433121,0
2025-11-27 14:00:00,55.18,55.22,54.89,55.14,8481,46671766,0
2025-11-27 15:00:00,55.1,55.22,54.9,54.9,7804,42993624,0
2025-11-28 10:30:00,54.98,55.49,54.66,54.71,10849,59631014,0
2025-11-28 11:30:00,54.72,54.99,54.62,54.9,4607,25254956,0
2025-11-28 14:00:00,54.91,54.95,54.76,54.9,4859,26659128,0
2025-11-28 15:00:00,54.9,55.13,54.84,54.96,7952,43713881,0
2025-12-01 10:30:00,54.96,55.1,54.26,54.92,17008,92853577,0
2025-12-01 11:30:00,54.88,55.1,54.72,54.93,6214,34134177,0
2025-12-01 14:00:00,54.94,55.24,54.8,55.09,5360,29478638,0
2025-12-01 15:00:00,55.11,55.75,55.11,55.56,11921,66147805,0
2025-12-02 10:30:00,55.32,55.87,54.92,55.18,11198,61838432,0
2025-12-02 11:30:00,55.18,55.39,54.9,55.3,8799,48460836,0
2025-12-02 14:00:00,55.23,55.28,54.82,54.83,7060,38812160,0
2025-12-02 15:00:00,54.83,54.99,54.65,54.9,10447,57307125,0
2025-12-03 10:30:00,54.99,55.69,54.66,55.6,15129,83587856,0
2025-12-03 11:30:00,55.6,56.18,55.5,56.03,17486,97826456,0
2025-12-03 14:00:00,56.03,56.09,55.5,55.69,10730,59800351,0
2025-12-03 15:00:00,55.69,55.81,55.43,55.71,13256,73684021,0
2025-12-04 10:30:00,55.68,55.74,54.71,54.96,14667,80757016,0
2025-12-04 11:30:00,54.97,55.16,54.82,54.99,4094,22503140,0
2025-12-04 14:00:00,54.99,55.09,54.76,54.95,4147,22777138,0
2025-12-04 15:00:00,54.94,55.14,54.93,55.07,6312,34739313,0
2025-12-05 10:30:00,54.93,55.22,54.8,54.85,7064,38829672,0
2025-12-05 11:30:00,54.83,55.13,54.77,54.96,3874,21290906,0
2025-12-05 14:00:00,54.96,55.28,54.95,55.22,6210,34258694,0
2025-12-05 15:00:00,55.2,55.34,55.12,55.2,9165,50617577,0
2025-12-08 10:30:00,55.39,55.46,53.76,54.27,24039,130279909,0
2025-12-08 11:30:00,54.26,54.48,54.06,54.28,10329,56067138,0
2025-12-08 14:00:00,54.24,54.38,54.11,54.2,12707,68914539,0
2025-12-08 15:00:00,54.21,54.51,54.1,54.42,15520,84214172,0
