datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,42.26,42.61,41.26,41.33,82819,364327642,0
2020-01-10,40.26,42.65,40.22,41.86,225960,981027563,0
2020-01-17,41.95,42.62,40.56,40.87,204619,895404986,0
2020-01-24,39.84,39.84,36.69,37.03,404944,1639078560,0
2020-02-07,33.11,36.26,32.81,35.61,504615,1844988768,0
2020-02-14,35.19,37.25,34.97,37.12,328942,1251864726,0
2020-02-21,36.57,38.52,35.89,37.84,435656,1712565518,0
2020-02-28,36.86,36.86,32.85,33.46,551560,2031145062,0
2020-03-06,33.18,35.5,33.18,34.81,405295,1479311900,0
2020-03-13,35.27,36.77,32.16,33.82,536306,1993783504,0
2020-03-20,33.74,33.74,26.74,30.91,601639,1938425686,0
2020-03-27,29.36,31.61,28.95,30.88,388042,1267651537,0
2020-04-03,30.31,31.28,29.36,31.17,237707,772574159,0
2020-04-10,31.14,31.86,30.55,30.88,242945,811325950,0
2020-04-17,30.89,33.71,29.7,33.02,364810,1237955482,0
2020-04-24,32.79,33.21,30.68,31.36,255781,864624749,0
2020-05-01,31.37,35.67,30.98,35.01,316194,1124617380,0
2020-05-08,33.65,34.31,32.79,32.99,298320,1060362882,0
2020-05-15,33.36,33.96,31.2,31.36,311829,1083503975,0
2020-05-22,31.23,33.15,30.67,31.16,283048,968092233,0
2020-05-29,31.15,33.76,30.74,33.71,303817,1049130127,0
2020-06-05,33.76,37.54,33.41,36.99,407096,1528903659,0
2020-06-12,37.56,37.76,34.41,35.95,301520,1165943603,0
2020-06-19,35.86,36.03,34.29,35.05,285100,1056017647,0
2020-06-26,35.08,35.09,33.65,34.06,127695,463045345,0
2020-07-03,33.75,35.41,32.34,35.22,461584,1669132110,0
2020-07-10,35.32,38.85,35.32,37.4,576643,2244384624,0
2020-07-17,37.39,40.43,35.95,36.47,597461,2379869024,0
2020-07-24,36.68,39.66,36.68,36.89,420880,1702438672,0
2020-07-31,36.89,38.77,36.26,37.69,215449,847327444,0
2020-08-07,37.57,39.24,37.26,38.71,245554,981623751,0
2020-08-14,38.36,43.34,38.26,42.52,415607,1791268384,0
2020-08-21,42.5,43.56,41.26,42.09,306341,1361763714,0
2020-08-28,42.53,43.26,39.76,42.45,280518,1211796020,0
2020-09-04,42.44,46.85,41.83,46.05,349512,1606194198,0
2020-09-11,46.05,47.32,44.04,45.83,370430,1776603600,0
2020-09-18,45.84,48.06,44.95,46.98,272794,1333951580,0
2020-09-25,47.06,47.06,42.24,42.91,329976,1523897045,0
2020-10-02,43.46,44.11,42.62,43.06,133990,605139999,0
2020-10-09,43.52,43.79,42.26,42.41,58527,261256245,0
2020-10-16,42.15,43.94,41.72,42.75,276937,1235282297,0
2020-10-23,42.76,43.53,39.96,40.18,246512,1081695446,0
2020-10-30,39.59,42.29,38.94,40.68,196876,837960687,0
2020-11-06,40.71,42.02,39.59,41.06,234589,1008692670,0
2020-11-13,41.29,47.02,41.29,45.21,443074,2069215563,0
2020-11-20,46.01,51.17,45.37,50.3,456734,2320598176,0
