datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,4.77,5.07,4.69,4.93,652958,1212361328,0
2020-01-03,4.88,5.03,4.82,4.9,376963,700669808,0
2020-01-06,4.91,5.33,4.91,5.12,527211,991890496,0
2020-01-07,5.04,5.41,5.04,5.16,412110,779821408,0
2020-01-08,5.17,5.2,4.69,4.69,507150,940871712,0
2020-01-09,4.84,4.88,4.6,4.74,300696,552413312,0
2020-01-10,4.74,4.79,4.43,4.5,343671,625213952,0
2020-01-13,4.5,4.55,4.34,4.53,360267,651784432,0
2020-01-14,4.53,4.67,4.47,4.49,281697,513547200,0
2020-01-15,4.42,4.49,4.15,4.17,375846,672149616,0
2020-01-16,4.17,4.23,4.02,4.14,329411,585244768,0
2020-01-17,4.14,4.29,4.13,4.24,220276,393522688,0
2020-01-20,4.16,4.19,3.91,4.04,369796,654000048,0
2020-01-21,3.92,3.94,3.76,3.86,277632,486100784,0
2020-01-22,3.76,4.15,3.64,4.04,341531,598814240,0
2020-01-23,3.89,3.89,3.47,3.62,419885,726763552,0
2020-02-03,1.9,2.41,1.9,2.32,776904,1228063952,0
2020-02-04,2.23,2.62,2.12,2.59,573493,917855856,0
2020-02-05,2.52,2.74,2.37,2.58,370267,601389712,0
2020-02-06,2.62,2.68,2.49,2.61,348994,566803568,0
2020-02-07,2.54,2.57,2.42,2.52,273543,441758784,0
2020-02-10,2.41,2.7,2.39,2.69,382578,620270512,0
2020-02-11,2.75,3.13,2.65,2.99,376989,627473632,0
2020-02-12,2.95,3.02,2.87,2.99,184869,307144704,0
2020-02-13,2.94,3.17,2.89,2.92,177274,295460752,0
2020-02-14,2.87,3.07,2.86,3.06,177667,295904624,0
2020-02-17,3.07,3.24,2.96,3.23,303041,508498832,0
2020-02-18,3.29,3.29,3.02,3.07,306019,512516688,0
2020-02-19,3.0,3.05,2.93,2.94,241875,402455184,0
2020-02-20,3.0,3.14,2.9,3.1,269592,449940896,0
2020-02-21,3.1,3.14,3.01,3.08,299677,501310848,0
2020-02-24,3.11,3.12,2.85,2.87,337393,559664000,0
2020-02-25,2.64,2.73,2.5,2.58,331631,539702944,0
2020-02-26,2.45,2.96,2.41,2.79,376670,619394128,0
2020-02-27,2.75,2.95,2.69,2.75,280094,460602752,0
2020-02-28,2.52,2.62,2.31,2.34,386903,622981232,0
2020-03-02,2.47,2.98,2.47,2.95,455178,748986048,0
2020-03-03,3.14,3.15,2.92,3.11,447497,747712512,0
2020-03-04,3.01,3.18,2.91,3.06,262939,438830144,0
2020-03-05,3.1,3.46,3.03,3.39,519465,880177584,0
2020-03-06,3.24,3.31,3.09,3.11,277658,467448992,0
2020-03-09,2.74,2.76,2.54,2.62,377089,614699296,0
2020-03-10,2.53,2.99,2.53,2.89,270857,445116208,0
2020-03-11,2.86,2.99,2.76,2.76,183570,303224976,0
2020-03-12,2.68,2.7,2.51,2.6,177864,289215792,0
2020-03-13,2.21,2.58,2.06,2.37,286970,456652000,0
2020-03-16,2.47,2.7,2.23,2.27,333651,538017152,0
2020-03-17,2.32,2.61,1.94,2.04,335327,529392720,0
2020-03-18,2.13,2.18,1.86,1.86,315338,495344144,0
2020-03-19,1.84,1.84,0.7,1.12,546853,810917200,0
2020-03-20,1.24,1.4,1.05,1.23,296885,441684512,0
2020-03-23,0.82,1.35,0.76,1.12,245462,361705904,0
2020-03-24,1.37,2.03,1.31,1.92,425468,650667728,0
2020-03-25,2.13,2.2,1.94,2.02,231010,362994816,0
2020-03-26,1.95,2.38,1.91,2.28,270916,429933808,0
2020-03-27,2.42,2.65,2.27,2.61,255541,413260224,0
2020-03-30,2.43,3.19,2.31,2.92,632181,1048076304,0
2020-03-31,3.0,3.01,2.56,2.58,243158,398616848,0
2020-04-01,2.55,2.72,2.3,2.34,219114,353596128,0
2020-04-02,2.24,2.62,2.21,2.59,169660,273497184,0
2020-04-03,2.42,2.64,2.42,2.46,123480,199683229,0
2020-04-07,2.7,2.7,2.47,2.48,240227,388921360,0
2020-04-08,2.44,2.51,2.36,2.48,130991,210625828,0
2020-04-09,2.52,2.52,2.34,2.34,123237,197921024,0
2020-04-10,2.42,2.42,2.21,2.23,136988,218081633,0
2020-04-13,2.18,2.3,2.15,2.19,103744,164559223,0
2020-04-14,2.16,2.54,2.16,2.51,203728,327660480,0
2020-04-15,2.58,2.58,2.22,2.27,166599,266735394,0
2020-04-16,2.23,2.42,2.2,2.34,106675,170354789,0
