datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,41.21,41.49,41.07,41.28,51289,211792088,0
2025-11-26 11:30:00,41.27,41.3,41.1,41.11,32690,134597474,0
2025-11-26 14:00:00,41.08,41.18,40.99,41.06,33808,138853331,0
2025-11-26 15:00:00,41.05,41.13,40.99,41.0,48262,198083576,0
2025-11-27 10:30:00,41.01,41.27,40.79,41.2,60806,250008266,0
2025-11-27 11:30:00,41.21,41.34,41.18,41.25,24973,103017766,0
2025-11-27 14:00:00,41.26,41.45,41.25,41.41,25687,106261268,0
2025-11-27 15:00:00,41.4,41.45,41.25,41.45,29095,120379883,0
2025-11-28 10:30:00,41.28,41.39,41.11,41.28,45667,188380792,0
2025-11-28 11:30:00,41.28,41.37,41.18,41.2,26427,109075169,0
2025-11-28 14:00:00,41.18,41.22,41.1,41.17,26684,109825761,0
2025-11-28 15:00:00,41.18,41.2,41.11,41.14,43156,177607185,0
2025-12-01 10:30:00,41.14,41.24,40.9,41.1,75976,312371411,0
2025-12-01 11:30:00,41.1,41.11,41.0,41.05,32417,133075367,0
2025-12-01 14:00:00,41.05,41.33,41.0,41.3,28665,117918912,0
2025-12-01 15:00:00,41.3,41.37,41.2,41.34,38594,159383471,0
2025-12-02 10:30:00,41.4,41.71,41.04,41.67,86471,357707187,0
2025-12-02 11:30:00,41.66,41.75,41.49,41.52,41929,174631624,0
2025-12-02 14:00:00,41.52,41.57,41.4,41.5,34174,141809687,0
2025-12-02 15:00:00,41.5,41.65,41.49,41.6,31763,132035350,0
2025-12-03 10:30:00,41.48,41.79,41.3,41.75,59020,245505818,0
2025-12-03 11:30:00,41.74,41.92,41.64,41.81,42892,179223370,0
2025-12-03 14:00:00,41.81,41.92,41.57,41.65,29392,122691710,0
2025-12-03 15:00:00,41.64,41.7,41.5,41.64,36176,150504323,0
2025-12-04 10:30:00,41.6,42.22,41.51,41.78,84737,355484747,0
2025-12-04 11:30:00,41.78,41.93,41.68,41.72,24759,103514952,0
2025-12-04 14:00:00,41.73,41.73,41.58,41.58,23023,95850788,0
2025-12-04 15:00:00,41.58,41.76,41.56,41.75,34524,143950889,0
2025-12-05 10:30:00,41.6,41.75,41.47,41.49,44725,186024067,0
2025-12-05 11:30:00,41.48,41.5,41.31,41.39,30798,127482413,0
2025-12-05 14:00:00,41.39,41.65,41.31,41.58,26355,109373523,0
2025-12-05 15:00:00,41.6,41.68,41.51,41.53,37219,154768198,0
2025-12-08 10:30:00,41.49,41.49,40.58,40.85,133766,546910190,0
2025-12-08 11:30:00,40.85,40.98,40.8,40.84,41178,168327492,0
2025-12-08 14:00:00,40.84,40.97,40.75,40.93,31429,128370115,0
2025-12-08 15:00:00,40.94,41.0,40.83,40.9,31024,126883635,0
2025-12-09 10:30:00,41.0,41.13,40.67,40.74,56899,232426584,0
2025-12-09 11:30:00,40.74,40.87,40.67,40.7,24899,101473236,0
2025-12-09 14:00:00,40.72,40.77,40.6,40.61,25507,103773646,0
2025-12-09 15:00:00,40.6,40.61,40.4,40.48,55081,223102298,0
2025-12-10 10:30:00,40.47,40.47,40.14,40.25,52906,213108785,0
2025-12-10 11:30:00,40.24,40.28,40.02,40.17,43962,176464208,0
2025-12-10 14:00:00,40.18,40.45,40.16,40.16,40742,164218644,0
2025-12-10 15:00:00,40.18,40.27,40.16,40.18,30851,124065140,0
2025-12-11 10:30:00,40.47,40.67,40.31,40.33,61983,250722535,0
2025-12-11 11:30:00,40.34,40.41,40.16,40.19,26705,107542832,0
2025-12-11 14:00:00,40.19,40.2,40.04,40.12,29525,118427475,0
2025-12-11 15:00:00,40.11,40.31,40.05,40.31,55131,221324778,0
2025-12-12 10:30:00,40.17,40.29,39.87,39.97,90771,363120827,0
2025-12-12 11:30:00,39.96,40.06,39.83,39.93,45990,183600051,0
2025-12-12 14:00:00,39.9,40.08,39.86,39.95,49471,197628116,0
2025-12-12 15:00:00,39.94,40.09,39.9,40.0,76527,306161165,0
2025-12-15 10:30:00,40.0,40.26,39.95,40.08,66095,265137691,0
2025-12-15 11:30:00,40.07,40.25,40.07,40.13,32556,130743150,0
2025-12-15 14:00:00,40.11,40.21,39.99,40.0,33044,132470556,0
2025-12-15 15:00:00,40.0,40.02,39.89,39.91,39284,156966403,0
2025-12-16 10:30:00,39.9,39.9,39.52,39.75,72129,286218990,0
2025-12-16 11:30:00,39.72,40.05,39.69,39.99,43591,173856345,0
2025-12-16 14:00:00,39.99,40.17,39.9,40.0,57684,231039201,0
2025-12-16 15:00:00,39.98,40.21,39.94,40.17,56709,227400049,0
2025-12-17 10:30:00,40.16,40.2,39.94,40.12,57837,231735692,0
2025-12-17 11:30:00,40.1,40.21,40.04,40.13,35085,140823515,0
2025-12-17 14:00:00,40.14,40.25,40.04,40.17,42926,172334154,0
2025-12-17 15:00:00,40.16,40.25,40.0,40.0,67281,269903817,0
2025-12-18 10:30:00,40.2,40.47,40.0,40.3,75673,304348277,0
2025-12-18 11:30:00,40.3,40.43,40.23,40.3,23093,93101831,0
2025-12-18 14:00:00,40.3,40.62,40.22,40.56,47776,193406609,0
2025-12-18 15:00:00,40.56,40.93,40.54,40.83,56974,232366339,0
2025-12-19 10:30:00,40.68,40.86,40.43,40.79,63996,260518747,0
2025-12-19 11:30:00,40.8,40.83,40.62,40.71,25611,104261789,0
2025-12-19 14:00:00,40.7,40.71,40.56,40.63,31355,127423367,0
2025-12-19 15:00:00,40.63,40.68,40.58,40.59,41023,166627096,0
2025-12-22 10:30:00,41.18,41.25,40.03,40.13,178967,725235561,0
2025-12-22 11:30:00,40.12,40.43,40.1,40.33,59024,237664675,0
2025-12-22 14:00:00,40.33,41.08,40.32,40.93,94630,386787946,0
2025-12-22 15:00:00,40.93,41.06,40.83,40.88,69386,284136711,0
2025-12-23 10:30:00,40.87,41.46,40.84,41.38,112763,463924730,0
2025-12-23 11:30:00,41.38,41.4,41.12,41.16,38184,157531340,0
2025-12-23 14:00:00,41.18,41.3,41.06,41.17,32255,132840158,0
2025-12-23 15:00:00,41.17,41.21,41.03,41.15,45488,187031583,0
2025-12-24 10:30:00,41.1,41.13,40.12,40.2,120507,487304269,0
2025-12-24 11:30:00,40.2,40.35,40.16,40.25,39882,160390557,0
2025-12-24 14:00:00,40.26,40.48,40.2,40.33,38663,155999335,0
2025-12-24 15:00:00,40.33,40.4,40.25,40.25,60766,244873706,0
2025-12-25 10:30:00,40.25,40.34,40.01,40.28,48132,193468097,0
2025-12-25 11:30:00,40.28,40.35,40.24,40.25,21481,86542708,0
2025-12-25 14:00:00,40.25,40.31,40.15,40.15,22046,88647749,0
2025-12-25 15:00:00,40.14,40.2,40.09,40.13,40429,162223334,0
2025-12-26 10:30:00,40.05,40.13,40.01,40.11,55893,223926027,0
2025-12-26 11:30:00,40.11,40.25,40.08,40.13,44608,179273701,0
2025-12-26 14:00:00,40.13,40.19,40.06,40.1,24363,97734627,0
2025-12-26 15:00:00,40.1,40.12,40.05,40.07,41105,164688031,0
2025-12-29 10:30:00,40.07,40.56,40.01,40.55,112223,451791862,0
2025-12-29 11:30:00,40.55,40.65,40.36,40.42,49983,202364068,0
2025-12-29 14:00:00,40.41,40.49,40.21,40.22,31714,127994996,0
2025-12-29 15:00:00,40.23,40.27,40.14,40.2,46819,188265724,0
2025-12-30 10:30:00,40.21,40.4,40.01,40.23,79446,318894895,0
2025-12-30 11:30:00,40.23,40.24,40.01,40.02,47009,188503842,0
2025-12-30 14:00:00,40.02,40.18,40.0,40.12,32709,131151929,0
2025-12-30 15:00:00,40.13,40.49,40.09,40.45,78303,316050493,0
2025-12-31 10:30:00,40.35,40.54,40.16,40.37,80527,325261247,0
2025-12-31 11:30:00,40.37,40.55,40.33,40.34,27551,111456494,0
2025-12-31 14:00:00,40.33,40.45,40.16,40.34,30695,123703163,0
2025-12-31 15:00:00,40.33,40.55,40.3,40.5,55758,225705917,0
2026-01-05 10:30:00,40.51,40.75,40.32,40.43,101238,410197476,0
2026-01-05 11:30:00,40.43,40.47,40.3,40.35,50329,203065334,0
2026-01-05 14:00:00,40.35,40.47,40.3,40.39,53304,215226930,0
2026-01-05 15:00:00,40.39,40.42,40.22,40.26,78965,318315351,0
