datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,4.77,5.41,3.47,3.62,6097100,11085169344,0
2020-02-29,1.9,3.29,1.9,2.34,6775473,11079193600,0
2020-03-31,2.47,3.46,0.7,2.58,7390877,11872674912,0
2020-04-30,2.55,2.72,1.41,2.27,3694014,5833875797,0
2020-05-31,2.01,2.93,1.87,2.72,3383537,5437157367,0
2020-06-30,2.69,3.34,1.91,1.96,4978070,7788628720,0
2020-07-31,1.99,5.3,1.97,2.93,11823811,19098961232,0
2020-08-31,3.0,3.95,2.8,3.76,7370099,11589106384,0
2020-09-30,3.71,4.37,3.44,4.07,7309477,11906575504,0
2020-10-31,4.25,4.82,3.8,4.25,4933726,8258792224,0
2020-11-30,4.25,7.77,4.08,7.22,10059392,18199068768,0
2020-12-31,7.3,7.7,4.85,5.61,10327993,19067213392,0
2021-01-31,5.52,7.08,4.91,5.0,9164491,16844236704,0
2021-02-28,4.63,7.07,3.82,5.35,6159727,10860239280,0
2021-03-31,5.43,8.25,5.21,7.7,10905122,20529207552,0
2021-04-30,7.71,7.76,6.35,6.81,6173912,12073007104,0
2021-05-31,6.95,8.7,6.82,7.58,6511125,13094267456,0
2021-06-30,7.61,8.34,6.92,7.12,6055099,12158823773,0
2021-07-31,7.14,7.76,6.11,6.41,5590968,10205851459,0
2021-08-31,6.27,9.52,6.11,9.41,8656650,15616913184,0
2021-09-30,9.56,13.86,8.67,12.07,17700350,39378613648,0
2021-10-31,12.52,13.48,8.67,9.3,11625015,25439125216,0
2021-11-30,9.16,9.86,7.98,8.95,6666898,13034252544,0
2021-12-31,8.91,12.77,8.84,11.93,9053998,19898571680,0
2022-01-31,12.41,13.98,11.59,11.95,6062824,13996799232,0
2022-02-28,12.5,16.29,12.14,14.65,7383523,18612867856,0
2022-03-31,14.77,19.65,12.74,19.18,11991902,32033374032,0
2022-04-30,18.71,22.39,17.13,20.19,8532888,25825100016,0
2022-05-31,20.51,24.1,17.42,23.37,6925428,21700220304,0
2022-06-30,22.92,24.94,19.72,22.71,7959534,26154828336,0
2022-07-31,22.42,23.81,19.9,20.05,6237393,19153514281,0
2022-08-31,20.06,24.33,18.62,22.29,6577678,19513483584,0
2022-09-30,22.17,25.3,21.55,23.59,5360577,17017088303,0
2022-10-31,23.94,24.37,19.9,19.98,4014191,12201453524,0
2022-11-30,20.16,22.94,19.52,22.5,6606761,19321542347,0
2022-12-31,22.82,22.92,19.16,19.57,4778672,13713872390,0
2023-01-31,19.57,21.36,19.21,20.34,4358661,12320926932,0
2023-02-28,20.36,20.49,18.71,19.95,5116102,14223750863,0
2023-03-31,19.95,21.72,19.13,20.12,8364231,23754095498,0
2023-04-30,20.25,21.56,19.28,21.03,4763180,13597182168,0
2023-05-31,20.8,24.51,19.93,20.18,6988109,21324630422,0
2023-06-30,20.05,22.9,19.85,22.7,4370495,12937684466,0
2023-07-31,22.55,23.5,21.8,22.88,3654733,10524485835,0
2023-08-31,22.85,23.51,21.5,22.67,3540890,9902606090,0
2023-09-30,22.81,26.25,22.7,25.7,4903318,14935597939,0
2023-10-31,25.5,26.55,24.15,24.82,2847718,8779160032,0
2023-11-30,24.71,26.0,23.8,25.99,3667615,11222750712,0
2023-12-31,25.99,27.02,24.57,25.85,5326438,16584873711,0
2024-01-31,25.89,31.69,25.87,31.62,7440068,25278144293,0
2024-02-29,31.35,35.5,30.4,33.1,6013521,23126276354,0
2024-03-31,32.85,34.88,30.72,33.59,7819629,29862665876,0
2024-04-30,33.6,37.07,32.5,34.33,5653225,22654406476,0
2024-05-31,34.19,38.36,33.3,36.83,4767624,19630576216,0
2024-06-30,37.2,39.62,36.7,38.87,4659323,20392108995,0
2024-07-31,38.91,40.52,36.17,36.51,5458155,23058281686,0
2024-08-31,36.75,38.94,34.65,37.31,3456903,13745104101,0
2024-09-30,37.27,41.73,32.71,40.36,4905882,19582550442,0
2024-10-31,43.86,44.26,36.26,36.8,6894137,28938290042,0
2024-11-30,36.79,38.4,35.43,36.72,6311997,25462756573,0
2024-12-31,36.56,40.96,35.86,40.24,6621152,27955317299,0
2025-01-31,40.1,40.75,34.67,36.76,5124721,20417010088,0
2025-02-28,36.76,36.76,31.54,32.21,7229391,26591225740,0
2025-03-31,32.34,35.13,31.77,35.11,7106434,26155967763,0
2025-04-30,35.05,36.43,33.56,35.06,6870286,26413288389,0
2025-05-31,35.26,37.31,34.67,36.32,4095073,16122316857,0
2025-06-30,36.0,37.47,35.47,37.3,4741638,18748038078,0
2025-07-31,37.31,39.2,35.82,37.18,7155791,27537590918,0
2025-08-31,37.19,40.34,36.48,36.49,5111882,19778287494,0
2025-09-30,36.62,38.18,36.26,37.52,7244695,27744025664,0
2025-10-31,37.3,42.83,37.29,41.53,6098070,25239312884,0
2025-11-30,41.82,43.49,40.79,41.14,4243931,18059378951,0
2025-12-31,41.14,42.22,39.52,40.5,4678985,18993012652,0
2026-01-31,40.51,42.55,40.07,42.45,1778232,7307915407,0
