datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,4.77,5.07,4.69,4.9,1029921,1913031136,0
2020-01-10,4.91,5.41,4.43,4.5,2090838,3890210880,0
2020-01-17,4.5,4.67,4.02,4.24,1567497,2816248704,0
2020-01-24,4.16,4.19,3.47,3.62,1408844,2465678624,0
2020-02-07,1.9,2.74,1.9,2.52,2343201,3755871872,0
2020-02-14,2.41,3.17,2.39,3.06,1299377,2146254224,0
2020-02-21,3.07,3.29,2.9,3.08,1420204,2374722448,0
2020-02-28,3.11,3.12,2.31,2.34,1712691,2802345056,0
2020-03-06,2.47,3.46,2.47,3.11,1962737,3283155280,0
2020-03-13,2.74,2.99,2.06,2.37,1296350,2108908272,0
2020-03-20,2.47,2.7,0.7,1.23,1828054,2815355728,0
2020-03-27,0.82,2.65,0.76,2.61,1428397,2218562480,0
2020-04-03,2.43,3.19,2.21,2.46,1387593,2273469693,0
2020-04-10,2.7,2.7,2.21,2.23,631443,1015549845,0
2020-04-17,2.18,2.58,2.15,2.37,741376,1186988588,0
2020-04-24,2.35,2.37,1.47,1.5,1047472,1619036430,0
2020-05-01,1.59,2.31,1.41,2.27,761469,1185524393,0
2020-05-08,2.01,2.26,1.87,2.2,692256,1086648064,0
2020-05-15,2.19,2.5,2.1,2.37,903074,1438802252,0
2020-05-22,2.46,2.89,2.25,2.25,996314,1621302787,0
2020-05-29,2.44,2.93,2.27,2.72,791893,1290404264,0
2020-06-05,2.69,3.12,2.59,2.72,1006373,1662179369,0
2020-06-12,2.83,3.34,2.44,2.62,1578398,2605480464,0
2020-06-19,2.54,2.74,2.16,2.56,1323432,1960600320,0
2020-06-26,2.55,2.61,2.2,2.28,548887,810103063,0
2020-07-03,2.26,3.62,1.91,3.48,2063257,3105505072,0
2020-07-10,3.48,5.3,3.48,4.06,3973521,6693885424,0
2020-07-17,4.0,4.53,3.05,3.18,2381075,3868371568,0
2020-07-24,3.23,4.01,3.02,3.08,2044704,3258204224,0
2020-07-31,3.2,3.48,2.91,2.93,1882234,2923260448,0
2020-08-07,3.0,3.42,2.9,2.96,2001684,3107630512,0
2020-08-14,2.96,3.34,2.8,3.23,1593290,2467539040,0
2020-08-21,3.28,3.79,3.17,3.42,1774426,2830523472,0
2020-08-28,3.49,3.74,3.06,3.45,1375219,2169032080,0
2020-09-04,3.55,4.05,3.44,3.77,2060812,3326823136,0
2020-09-11,3.84,4.17,3.48,3.59,2313976,3761556608,0
2020-09-18,3.6,4.28,3.48,4.26,1567944,2550529552,0
2020-09-25,4.32,4.37,3.65,3.93,1216768,1997330560,0
2020-10-02,4.07,4.29,3.98,4.07,775457,1284716928,0
2020-10-09,4.25,4.41,4.1,4.18,334766,556795328,0
2020-10-16,4.2,4.7,4.11,4.62,1749372,2936781872,0
2020-10-23,4.63,4.82,4.25,4.28,1398697,2351994976,0
2020-10-30,4.32,4.49,3.8,4.25,1450891,2413220048,0
2020-11-06,4.25,5.48,4.08,5.43,2324631,3992537216,0
2020-11-13,5.49,5.86,4.94,5.08,2190751,3905713504,0
2020-11-20,5.23,5.66,5.02,5.33,1515796,2689961904,0
2020-11-27,5.4,6.92,5.4,6.9,3084859,5743158768,0
2020-12-04,6.94,7.77,6.27,6.49,2979987,5828877120,0
2020-12-11,6.58,6.68,5.92,6.23,1947748,3629799120,0
2020-12-18,5.6,6.72,4.85,6.67,2708966,4864347248,0
2020-12-25,6.74,6.74,5.2,6.07,2130590,3885492912,0
2021-01-01,6.22,6.37,5.39,5.61,1504057,2726394368,0
2021-01-08,5.52,6.23,4.96,6.23,2434926,4388372512,0
2021-01-15,6.22,6.72,5.4,6.33,2744595,5072781248,0
