datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,3.85,3.87,3.78,3.78,1915507,732466816,0
2020-01-03,3.79,3.82,3.75,3.77,1348972,509860352,0
2020-01-06,3.71,3.81,3.69,3.74,1577851,591407776,0
2020-01-07,3.74,3.78,3.7,3.76,1376274,514618256,0
2020-01-08,3.72,3.73,3.6,3.65,1539802,566148544,0
2020-01-09,3.69,3.72,3.65,3.69,1153825,425287776,0
2020-01-10,3.72,3.74,3.65,3.67,895122,330647040,0
2020-01-13,3.66,3.73,3.59,3.73,1107453,404120688,0
2020-01-14,3.72,3.74,3.68,3.69,849475,315217920,0
2020-01-15,3.68,3.7,3.64,3.65,593918,217775527,0
2020-01-16,3.65,3.67,3.62,3.62,484457,176366695,0
2020-01-17,3.64,3.69,3.6,3.62,769978,280401744,0
2020-01-20,3.6,3.66,3.59,3.66,705164,256058261,0
2020-01-21,3.66,3.74,3.63,3.65,1183135,435723168,0
2020-01-22,3.62,3.7,3.56,3.67,1033798,375986000,0
2020-01-23,3.63,3.66,3.47,3.52,1231580,439398448,0
2020-02-03,3.17,3.17,3.17,3.17,284816,90286672,0
2020-02-04,2.88,3.16,2.88,3.11,1871658,576528096,0
2020-02-05,3.13,3.26,3.1,3.17,1328032,421753872,0
2020-02-06,3.17,3.27,3.13,3.24,1398280,448141664,0
2020-02-07,3.22,3.29,3.2,3.26,1233681,400724160,0
2020-02-10,3.23,3.31,3.21,3.3,1027670,336754912,0
2020-02-11,3.31,3.38,3.28,3.29,893850,296843056,0
2020-02-12,3.28,3.37,3.26,3.35,1018009,337905904,0
2020-02-13,3.33,3.37,3.28,3.29,806610,267284166,0
2020-02-14,3.28,3.37,3.27,3.34,1282846,426504944,0
2020-02-17,3.38,3.51,3.36,3.49,2020928,690850192,0
2020-02-18,3.46,3.53,3.45,3.47,1307179,454713920,0
2020-02-19,3.45,3.55,3.44,3.46,1378464,482531280,0
2020-02-20,3.46,3.72,3.45,3.66,2919981,1045995264,0
2020-02-21,3.65,3.75,3.59,3.63,2884671,1055641632,0
2020-02-24,3.63,3.68,3.59,3.63,1867143,679649808,0
2020-02-25,3.55,3.99,3.52,3.99,8712857,3400842096,0
2020-02-26,4.03,4.18,3.92,3.94,8986768,3652931312,0
2020-02-27,4.0,4.06,3.82,3.88,4874437,1918042128,0
2020-02-28,3.72,3.82,3.57,3.59,4157849,1533002432,0
2020-03-02,3.64,3.85,3.6,3.79,3418137,1277636400,0
2020-03-03,3.85,3.92,3.77,3.82,4089329,1571314576,0
2020-03-04,3.77,3.94,3.76,3.94,3534429,1359346768,0
2020-03-05,3.99,4.12,3.87,4.02,5431225,2169414304,0
