datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,6.64,6.66,6.39,6.41,2360154,1743901472,0
2020-01-03,6.37,6.44,6.28,6.33,1369481,986227616,0
2020-01-06,6.23,6.4,6.21,6.28,1182717,843610288,0
2020-01-07,6.31,6.38,6.24,6.34,1128719,806198016,0
2020-01-08,6.28,6.29,6.11,6.11,1209765,846977424,0
2020-01-09,6.21,6.26,6.14,6.17,748847,523280144,0
2020-01-10,6.27,6.27,6.12,6.15,728426,509347104,0
2020-01-13,6.11,6.2,5.98,6.19,835335,571248832,0
2020-01-14,6.21,6.23,6.11,6.12,679307,473465312,0
2020-01-15,6.14,6.15,6.04,6.11,501131,344669088,0
2020-01-16,6.11,6.16,6.08,6.11,504725,347669568,0
2020-01-17,6.16,6.29,6.12,6.24,1302398,915728624,0
2020-01-20,6.2,6.24,6.08,6.12,1405184,970896192,0
2020-01-21,6.08,6.09,5.79,5.81,1528455,1016730192,0
2020-01-22,5.76,5.93,5.68,5.88,826905,539117776,0
2020-01-23,5.81,5.91,5.68,5.74,779781,504994656,0
2020-02-03,5.24,5.24,5.24,5.24,81672,47043072,0
2020-02-04,4.8,5.24,4.8,5.16,1497510,823610080,0
2020-02-05,5.15,5.38,5.09,5.2,1191724,684553312,0
2020-02-06,5.16,5.38,5.12,5.31,1426873,824705648,0
2020-02-07,5.28,5.57,5.26,5.51,1670141,1010513664,0
2020-02-10,5.44,5.57,5.43,5.51,1167630,710870992,0
2020-02-11,5.56,5.59,5.39,5.41,1303473,789693232,0
2020-02-12,5.36,5.52,5.35,5.48,1197138,718422912,0
2020-02-13,5.5,5.69,5.44,5.55,1854932,1149276160,0
2020-02-14,5.49,5.65,5.44,5.57,1514260,933972928,0
2020-02-17,5.65,5.78,5.59,5.75,2121195,1340937776,0
2020-02-18,5.72,5.79,5.64,5.7,1453849,924052288,0
2020-02-19,5.67,5.81,5.62,5.62,1812771,1154605824,0
2020-02-20,5.61,6.11,5.57,6.11,3797218,2480849184,0
2020-02-21,6.04,6.43,5.97,6.18,4185339,2910501040,0
2020-02-24,6.1,6.3,6.04,6.21,2726604,1903990416,0
2020-02-25,6.05,6.41,5.96,6.34,3406827,2384103184,0
2020-02-26,6.24,6.78,6.21,6.47,4329876,3202937856,0
2020-02-27,6.6,6.65,6.25,6.34,2941445,2144733776,0
2020-02-28,6.06,6.18,5.78,5.85,2443776,1647106080,0
2020-03-02,5.94,6.23,5.85,6.13,2316108,1575703344,0
2020-03-03,6.24,6.38,6.13,6.21,2556051,1802928416,0
2020-03-04,6.14,6.39,6.14,6.39,2513860,1785183088,0
