datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,4.83,4.85,4.82,4.83,274422,132700231,0
2025-11-26 11:30:00,4.84,4.85,4.82,4.84,187305,90523559,0
2025-11-26 14:00:00,4.83,4.84,4.82,4.83,146277,70659548,0
2025-11-26 15:00:00,4.82,4.83,4.81,4.81,214126,103123228,0
2025-11-27 10:30:00,4.81,4.85,4.8,4.84,314293,151758578,0
2025-11-27 11:30:00,4.83,4.84,4.82,4.82,104741,50547932,0
2025-11-27 14:00:00,4.82,4.84,4.82,4.83,201215,97214440,0
2025-11-27 15:00:00,4.82,4.83,4.8,4.81,222929,107316357,0
2025-11-28 10:30:00,4.81,4.82,4.78,4.81,289791,139055210,0
2025-11-28 11:30:00,4.8,4.82,4.8,4.81,116788,56139642,0
2025-11-28 14:00:00,4.8,4.84,4.8,4.84,229120,110373458,0
2025-11-28 15:00:00,4.83,4.84,4.82,4.83,348645,168494584,0
2025-12-01 10:30:00,4.4,4.56,4.4,4.5,3957842,1768740343,0
2025-12-01 11:30:00,4.5,4.51,4.49,4.51,460415,207408395,0
2025-12-01 14:00:00,4.51,4.51,4.41,4.43,1075546,479631476,0
2025-12-01 15:00:00,4.44,4.46,4.43,4.46,1078531,478889951,0
2025-12-02 10:30:00,4.4,4.44,4.39,4.42,1196147,527737332,0
2025-12-02 11:30:00,4.41,4.42,4.37,4.37,720595,316487826,0
2025-12-02 14:00:00,4.38,4.4,4.36,4.38,507390,222287579,0
2025-12-02 15:00:00,4.39,4.4,4.38,4.38,394396,172972931,0
2025-12-03 10:30:00,4.4,4.41,4.24,4.24,1797301,775164344,0
2025-12-03 11:30:00,4.24,4.27,4.24,4.27,458691,195226542,0
2025-12-03 14:00:00,4.27,4.27,4.24,4.24,294481,125350507,0
2025-12-03 15:00:00,4.24,4.26,4.23,4.24,660663,280324717,0
2025-12-04 10:30:00,4.23,4.3,4.16,4.26,1604386,677983596,0
2025-12-04 11:30:00,4.26,4.27,4.24,4.24,321627,136856985,0
2025-12-04 14:00:00,4.25,4.25,4.23,4.24,193937,82211100,0
2025-12-04 15:00:00,4.25,4.27,4.24,4.25,385206,163866712,0
2025-12-05 10:30:00,4.23,4.26,4.21,4.22,561076,237222046,0
2025-12-05 11:30:00,4.23,4.25,4.22,4.24,225091,95262502,0
2025-12-05 14:00:00,4.24,4.38,4.23,4.37,1355892,584441212,0
2025-12-05 15:00:00,4.37,4.38,4.32,4.32,844705,366436978,0
2025-12-08 10:30:00,4.38,4.45,4.35,4.4,2131434,940114637,0
2025-12-08 11:30:00,4.4,4.42,4.4,4.4,322584,142297888,0
2025-12-08 14:00:00,4.41,4.43,4.4,4.4,486578,214975861,0
2025-12-08 15:00:00,4.4,4.42,4.38,4.38,482922,212337461,0
2025-12-09 10:30:00,4.35,4.36,4.31,4.32,774644,335515265,0
2025-12-09 11:30:00,4.32,4.33,4.31,4.32,235264,101548850,0
2025-12-09 14:00:00,4.32,4.33,4.29,4.29,304852,131242880,0
2025-12-09 15:00:00,4.29,4.31,4.29,4.29,328774,141245775,0
2025-12-10 10:30:00,4.28,4.28,4.25,4.27,549270,234278491,0
2025-12-10 11:30:00,4.26,4.29,4.25,4.27,289744,123800936,0
2025-12-10 14:00:00,4.26,4.33,4.26,4.3,411271,176946453,0
2025-12-10 15:00:00,4.31,4.33,4.31,4.31,313660,135546378,0
2025-12-11 10:30:00,4.32,4.33,4.25,4.28,453873,194099177,0
2025-12-11 11:30:00,4.27,4.28,4.26,4.27,140935,60150457,0
2025-12-11 14:00:00,4.27,4.27,4.24,4.25,341904,145333979,0
2025-12-11 15:00:00,4.25,4.27,4.22,4.22,349435,148189692,0
2025-12-12 10:30:00,4.22,4.25,4.21,4.22,354089,149571314,0
2025-12-12 11:30:00,4.23,4.25,4.22,4.23,229951,97360246,0
2025-12-12 14:00:00,4.22,4.25,4.22,4.24,302213,128060945,0
2025-12-12 15:00:00,4.24,4.25,4.22,4.23,326077,137986507,0
2025-12-15 10:30:00,4.2,4.22,4.15,4.22,553647,231868098,0
2025-12-15 11:30:00,4.22,4.24,4.2,4.21,254239,107253971,0
2025-12-15 14:00:00,4.21,4.22,4.18,4.19,203077,85198592,0
2025-12-15 15:00:00,4.2,4.2,4.16,4.17,350843,146450450,0
2025-12-16 10:30:00,4.16,4.18,4.09,4.14,732374,302086978,0
2025-12-16 11:30:00,4.13,4.14,4.1,4.12,234798,96680948,0
2025-12-16 14:00:00,4.12,4.15,4.11,4.13,282075,116408258,0
2025-12-16 15:00:00,4.13,4.14,4.11,4.12,245797,101227682,0
2025-12-17 10:30:00,4.11,4.14,4.07,4.08,433312,177540322,0
2025-12-17 11:30:00,4.08,4.1,4.07,4.08,159886,65275307,0
2025-12-17 14:00:00,4.08,4.15,4.05,4.14,573804,235200307,0
2025-12-17 15:00:00,4.15,4.19,4.13,4.15,681690,283195720,0
2025-12-18 10:30:00,4.15,4.18,4.13,4.15,562102,233381638,0
2025-12-18 11:30:00,4.14,4.16,4.13,4.14,190862,79138193,0
2025-12-18 14:00:00,4.15,4.16,4.13,4.14,214364,88844818,0
2025-12-18 15:00:00,4.14,4.14,4.11,4.11,321752,132701017,0
2025-12-19 10:30:00,4.12,4.29,4.11,4.25,1547907,651169299,0
2025-12-19 11:30:00,4.25,4.25,4.21,4.23,395119,166911214,0
2025-12-19 14:00:00,4.24,4.24,4.2,4.21,239341,100953958,0
2025-12-19 15:00:00,4.2,4.21,4.19,4.21,404613,170035905,0
2025-12-22 10:30:00,4.18,4.24,4.18,4.21,700611,295058375,0
2025-12-22 11:30:00,4.21,4.23,4.21,4.22,207344,87470561,0
2025-12-22 14:00:00,4.21,4.22,4.2,4.2,171197,72097182,0
2025-12-22 15:00:00,4.21,4.22,4.19,4.21,309949,130361408,0
2025-12-23 10:30:00,4.2,4.21,4.17,4.19,482571,202031424,0
