datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,6.64,6.66,5.68,5.74,17091330,11944062304,0
2020-02-29,5.24,6.78,4.8,5.85,42124253,27786479424,0
2020-03-31,5.94,6.72,5.08,5.1,30898860,20400745600,0
2020-04-30,5.09,5.88,4.98,5.47,37488999,20591330256,0
2020-05-31,5.32,6.2,5.29,5.45,41538559,24165109216,0
2020-06-30,5.68,6.72,5.55,6.05,57146322,34908310368,0
2020-07-31,6.04,8.54,5.97,7.17,77105706,57546905424,0
2020-08-31,7.31,7.54,6.7,6.9,26738032,19093249184,0
2020-09-30,6.86,6.98,6.19,6.46,18470781,12203992613,0
2020-10-31,6.56,6.84,5.83,5.85,11085330,7085565396,0
2020-11-30,5.85,6.25,5.77,6.05,15771606,9551302134,0
2020-12-31,6.0,6.84,5.56,6.09,33407402,20507680400,0
2021-01-31,6.13,6.29,5.22,5.29,22326816,13034797523,0
2021-02-28,5.31,5.41,4.9,5.18,9338117,4838272382,0
2021-03-31,5.22,5.39,5.0,5.03,12377745,6418552325,0
2021-04-30,5.04,5.17,4.7,4.7,12465904,6174154812,0
2021-05-31,4.78,5.39,4.64,5.09,18904652,9377993676,0
2021-06-30,5.07,5.1,4.79,4.85,14209801,6980781879,0
2021-07-31,4.87,4.91,4.26,4.27,10227270,4713251003,0
2021-08-31,4.25,4.65,4.17,4.32,16202837,7153955478,0
2021-09-30,4.3,5.09,4.28,4.35,30875644,14491723741,0
2021-10-31,4.38,4.41,3.85,3.93,8409678,3519717067,0
2021-11-30,4.02,4.05,3.76,3.85,16764162,6576230448,0
2021-12-31,3.84,4.24,3.83,4.04,29296494,11815978894,0
2022-01-31,4.03,4.1,3.69,3.72,18151938,7180323128,0
2022-02-28,3.75,3.92,3.49,3.51,12356247,4642343507,0
2022-03-31,3.5,3.71,3.28,3.46,26039230,9174543070,0
2022-04-30,3.43,3.65,2.82,2.99,21128852,7036315794,0
2022-05-31,2.92,3.07,2.85,3.03,14424744,4285173925,0
2022-06-30,3.02,3.63,3.0,3.18,30797906,10030776217,0
2022-07-31,3.18,3.2,2.94,3.01,11207556,3421043392,0
2022-08-31,3.01,3.15,2.85,3.04,16307204,4947910668,0
2022-09-30,3.04,3.07,2.72,2.73,12479455,3653519345,0
2022-10-31,2.75,3.12,2.7,2.76,16460040,4748096598,0
2022-11-30,2.76,3.14,2.76,3.07,21965659,6555792282,0
2022-12-31,3.11,3.15,2.8,2.87,16043350,4763598984,0
2023-01-31,2.85,3.19,2.81,3.03,18760560,5678901998,0
2023-02-28,3.04,3.2,2.94,3.01,20484513,6230561771,0
2023-03-31,3.0,3.06,2.88,2.91,13561396,4026651391,0
2023-04-30,2.91,3.21,2.87,3.14,18894957,5670178351,0
2023-05-31,3.13,3.43,2.97,3.0,32578755,10390164288,0
2023-06-30,3.0,3.05,2.9,2.98,13218299,3953225729,0
2023-07-31,2.98,3.94,2.96,3.77,42750037,14299803893,0
2023-08-31,3.69,4.28,3.47,3.5,174865732,66992049305,0
2023-09-30,3.53,3.57,3.29,3.32,34034692,11618597399,0
2023-10-31,3.29,3.34,3.09,3.2,30769490,9927293172,0
2023-11-30,3.23,3.45,3.15,3.19,36311705,12029718964,0
2023-12-31,3.18,3.25,2.96,3.09,20444769,6386507612,0
2024-01-31,3.08,3.14,2.86,2.96,26649707,8026537652,0
2024-02-29,2.93,3.2,2.7,3.12,28690079,8657466194,0
2024-03-31,3.12,3.15,2.85,2.89,28174797,8528739140,0
2024-04-30,2.98,3.08,2.81,2.92,25479011,7457937151,0
2024-05-31,2.95,2.99,2.79,2.81,19044511,5518753366,0
2024-06-30,2.8,2.81,2.17,2.18,34781023,8228552585,0
2024-07-31,2.18,2.53,2.1,2.53,33446481,7495834858,0
2024-08-31,2.53,2.76,2.28,2.4,65218084,16335544246,0
2024-09-30,2.41,4.39,2.33,4.39,111428447,32425725826,0
2024-10-31,4.83,6.4,3.96,6.4,339090126,176515384664,0
2024-11-30,6.39,6.5,4.62,4.81,181323219,101201083644,0
2024-12-31,4.77,5.36,4.48,4.48,86121204,42915137447,0
2025-01-31,4.46,4.53,3.96,4.09,59813378,25220685838,0
2025-02-28,4.12,5.25,4.08,4.53,102263272,48091430208,0
2025-03-31,4.55,4.66,4.21,4.22,48916523,21818987345,0
2025-04-30,4.23,4.25,3.57,3.91,41945933,16513219299,0
2025-05-31,3.95,4.29,3.88,3.9,33411455,13519503852,0
2025-06-30,3.88,5.16,3.88,4.93,101968166,46709319754,0
2025-07-31,4.91,5.47,4.61,5.32,181746819,90104886250,0
2025-08-31,5.3,6.12,4.86,5.84,172708997,95175368680,0
2025-09-30,5.85,5.89,5.14,5.31,86716699,47866540583,0
2025-10-31,5.32,5.6,5.07,5.24,49131560,25943718850,0
2025-11-30,5.23,5.24,4.76,4.83,25766686,13010432480,0
2025-12-31,4.4,4.56,4.05,4.16,46374661,19878191345,0
2026-01-31,4.16,4.43,4.15,4.29,13203978,5690837961,0
