datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,6.64,6.66,6.28,6.33,3729635,2730129088,0
2020-01-10,6.23,6.4,6.11,6.15,4998474,3529412976,0
2020-01-17,6.11,6.29,5.98,6.24,3822896,2652781424,0
2020-01-24,6.2,6.24,5.68,5.74,4540325,3031738816,0
2020-02-07,5.24,5.57,4.8,5.51,5867920,3390425776,0
2020-02-14,5.44,5.69,5.35,5.57,7037433,4302236224,0
2020-02-21,5.65,6.43,5.57,6.18,13370372,8810946112,0
2020-02-28,6.1,6.78,5.78,5.85,15848528,11282871312,0
2020-03-06,5.94,6.72,5.85,6.24,14462938,10334266080,0
2020-03-13,6.16,6.41,5.95,6.31,6088591,4281884672,0
2020-03-20,5.68,5.97,5.56,5.84,3494895,2025209680,0
2020-03-27,5.67,5.76,5.26,5.45,4986105,2776197232,0
2020-04-03,5.34,5.38,4.98,5.01,5536258,2856367088,0
2020-04-10,5.11,5.88,5.06,5.48,11775001,6546122800,0
2020-04-17,5.43,5.76,5.4,5.58,10188340,5727807600,0
2020-04-24,5.58,5.63,5.25,5.28,6796421,3726855936,0
2020-05-01,5.3,5.58,5.1,5.47,5059310,2717364768,0
2020-05-08,5.32,6.05,5.29,6.05,6823829,3876362960,0
2020-05-15,6.13,6.2,5.85,5.91,12885035,7762051904,0
2020-05-22,5.85,6.13,5.76,5.8,12541482,7438991504,0
2020-05-29,5.73,5.76,5.31,5.45,9288213,5087702848,0
2020-06-05,5.68,6.2,5.55,6.13,16665156,9937059248,0
2020-06-12,6.08,6.11,5.75,6.03,12594874,7566561072,0
2020-06-19,6.03,6.48,5.93,6.35,14400950,8903993344,0
2020-06-26,6.32,6.72,6.19,6.23,9292534,5967964848,0
2020-07-03,6.08,7.3,5.94,7.14,18090673,11793815408,0
2020-07-10,7.41,8.54,7.28,8.05,28162479,21927765792,0
2020-07-17,8.05,8.42,6.97,7.15,15892530,12506865888,0
2020-07-24,7.29,7.62,6.92,7.0,11846360,8701190960,0
2020-07-31,7.04,7.33,6.74,7.17,7306472,5149999232,0
2020-08-07,7.31,7.54,7.07,7.17,8869350,6501001344,0
2020-08-14,7.11,7.3,6.76,6.98,6299167,4434890576,0
2020-08-21,7.09,7.39,6.93,7.05,6500180,4648740656,0
2020-08-28,7.07,7.08,6.7,6.89,3830064,2641580064,0
2020-09-04,6.95,7.07,6.72,6.78,4515214,3116695904,0
2020-09-11,6.77,6.8,6.19,6.28,3802663,2481626832,0
2020-09-18,6.31,6.65,6.2,6.55,3238559,2061643525,0
2020-09-25,6.7,6.77,6.42,6.54,4384428,2889777504,0
2020-10-02,6.56,6.92,6.41,6.46,3769188,2521285392,0
2020-10-09,6.56,6.62,6.5,6.62,666098,437957584,0
2020-10-16,6.67,6.84,6.5,6.53,4531190,3017299456,0
2020-10-23,6.45,6.45,6.1,6.12,3528993,2202031856,0
2020-10-30,6.09,6.15,5.83,5.85,2359049,1428276500,0
2020-11-06,5.85,6.09,5.77,6.03,3045703,1826042414,0
2020-11-13,6.05,6.25,5.89,5.92,4040215,2460063783,0
2020-11-20,5.96,6.07,5.9,6.04,2632314,1577087839,0
2020-11-27,6.01,6.24,5.91,6.04,3806151,2308340754,0
2020-12-04,6.08,6.84,5.96,6.37,14860666,9484329312,0
2020-12-11,6.32,6.37,5.89,5.98,5781575,3572393136,0
2020-12-18,5.97,6.08,5.82,5.98,3427137,2051082608,0
2020-12-25,5.97,6.09,5.61,5.75,4142831,2427116064,0
2021-01-01,5.72,6.14,5.56,6.09,7442416,4352526624,0
2021-01-08,6.13,6.29,5.77,5.9,8878038,5373362224,0
2021-01-15,5.94,5.99,5.66,5.73,5634701,3277047232,0
2021-01-22,5.71,5.86,5.59,5.61,4315758,2479497264,0
2021-01-29,5.6,5.66,5.22,5.29,3498319,1904890803,0
2021-02-05,5.31,5.33,4.99,5.01,2926980,1510416411,0
2021-02-12,5.0,5.09,4.9,5.05,1657494,831826891,0
2021-02-19,5.11,5.32,5.1,5.3,1507783,784344880,0
2021-02-26,5.31,5.41,5.16,5.18,3245860,1711684200,0
2021-03-05,5.22,5.39,5.12,5.32,3116075,1635795170,0
2021-03-12,5.35,5.39,5.04,5.13,2944686,1527463436,0
2021-03-19,5.08,5.17,5.05,5.07,1937960,990714869,0
2021-03-26,5.09,5.36,5.07,5.16,3159690,1642454284,0
2021-04-02,5.17,5.18,5.0,5.03,1803470,916827566,0
2021-04-09,5.06,5.17,5.02,5.06,1879988,956851533,0
2021-04-16,5.05,5.05,4.89,4.98,2641919,1316072287,0
2021-04-23,4.97,5.08,4.79,4.89,4694998,2326818981,0
2021-04-30,4.88,4.91,4.7,4.7,2664863,1279709011,0
2021-05-07,4.78,4.88,4.71,4.73,1095678,524947614,0
