datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,3.86,3.91,3.86,3.87,1143387,656795024,0
2020-01-03,3.89,3.9,3.86,3.88,466318,267675158,0
2020-01-06,3.85,3.89,3.82,3.84,625216,357607360,0
2020-01-07,3.85,3.89,3.84,3.88,411573,235638737,0
2020-01-08,3.84,3.86,3.76,3.78,768647,435350480,0
2020-01-09,3.81,3.83,3.78,3.81,467039,264398577,0
2020-01-10,3.81,3.82,3.77,3.79,445575,251589694,0
2020-01-13,3.79,3.81,3.76,3.8,363091,204934214,0
2020-01-14,3.81,3.84,3.8,3.82,549591,312296320,0
2020-01-15,3.82,3.83,3.76,3.79,371112,209507838,0
2020-01-16,3.79,3.8,3.74,3.75,364684,205258457,0
2020-01-17,3.76,3.79,3.74,3.76,339334,190686581,0
2020-01-20,3.76,3.78,3.74,3.77,345330,194167346,0
2020-01-21,3.76,3.76,3.69,3.7,522980,291629552,0
2020-01-22,3.69,3.71,3.65,3.69,525513,290796288,0
2020-01-23,3.67,3.68,3.54,3.56,931826,508404912,0
2020-02-03,3.14,3.26,3.11,3.25,1371911,692811456,0
2020-02-04,3.23,3.35,3.22,3.33,773031,399048688,0
2020-02-05,3.35,3.38,3.29,3.34,492871,256145180,0
2020-02-06,3.35,3.38,3.31,3.37,519536,270185600,0
2020-02-07,3.35,3.42,3.32,3.39,420624,218950574,0
2020-02-10,3.36,3.39,3.35,3.38,358616,187495068,0
2020-02-11,3.39,3.43,3.37,3.39,440053,231478361,0
2020-02-12,3.38,3.41,3.37,3.4,353800,185582438,0
2020-02-13,3.38,3.4,3.35,3.36,366429,191775737,0
2020-02-14,3.36,3.39,3.35,3.39,272546,142601530,0
2020-02-17,3.38,3.47,3.37,3.47,497277,262731448,0
2020-02-18,3.45,3.47,3.42,3.43,381505,202144031,0
2020-02-19,3.43,3.45,3.4,3.41,415464,219608420,0
2020-02-20,3.41,3.47,3.37,3.46,598739,316057968,0
2020-02-21,3.45,3.47,3.42,3.43,529654,280600192,0
2020-02-24,3.42,3.43,3.39,3.4,570882,300577248,0
2020-02-25,3.35,3.37,3.32,3.33,663023,345029648,0
2020-02-26,3.31,3.4,3.3,3.35,666106,346973584,0
2020-02-27,3.35,3.37,3.32,3.35,509325,264908375,0
2020-02-28,3.31,3.35,3.25,3.25,787117,405515136,0
2020-03-02,3.27,3.36,3.26,3.35,538736,279121712,0
2020-03-03,3.38,3.4,3.35,3.38,585414,306750272,0
2020-03-04,3.37,3.4,3.36,3.39,326320,170940470,0
2020-03-05,3.4,3.48,3.39,3.48,894564,475203904,0
2020-03-06,3.43,3.45,3.4,3.41,520440,274794832,0
2020-03-09,3.36,3.37,3.31,3.32,649082,336833264,0
2020-03-10,3.27,3.38,3.27,3.34,727759,378155904,0
2020-03-11,3.34,3.35,3.29,3.29,530136,274744288,0
2020-03-12,3.29,3.3,3.25,3.28,513135,263325012,0
2020-03-13,3.19,3.25,3.15,3.23,932071,470381008,0
