datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,5.78,5.8,5.74,5.75,744220,429114158,0
2025-11-26 11:30:00,5.74,5.76,5.71,5.72,454346,260386676,0
2025-11-26 14:00:00,5.73,5.75,5.72,5.74,269268,154327782,0
2025-11-26 15:00:00,5.73,5.74,5.72,5.73,272011,155854783,0
2025-11-27 10:30:00,5.73,5.73,5.7,5.73,618781,353344688,0
2025-11-27 11:30:00,5.73,5.75,5.71,5.74,328631,188284237,0
2025-11-27 14:00:00,5.74,5.76,5.73,5.73,268279,154083050,0
2025-11-27 15:00:00,5.74,5.74,5.72,5.73,232354,133174995,0
2025-11-28 10:30:00,5.73,5.73,5.69,5.69,647375,369479500,0
2025-11-28 11:30:00,5.7,5.71,5.69,5.69,258996,147573785,0
2025-11-28 14:00:00,5.7,5.7,5.69,5.7,158624,90324329,0
2025-11-28 15:00:00,5.7,5.7,5.67,5.68,690190,392315286,0
2025-12-01 10:30:00,5.68,5.75,5.67,5.74,1097067,626489860,0
2025-12-01 11:30:00,5.74,5.75,5.72,5.72,325944,186893922,0
2025-12-01 14:00:00,5.73,5.73,5.7,5.72,306029,174834221,0
2025-12-01 15:00:00,5.72,5.75,5.72,5.74,489346,280648189,0
2025-12-02 10:30:00,5.73,5.76,5.72,5.73,570887,327592640,0
2025-12-02 11:30:00,5.72,5.73,5.7,5.71,265243,151552482,0
2025-12-02 14:00:00,5.71,5.72,5.7,5.71,213441,121867752,0
2025-12-02 15:00:00,5.71,5.73,5.71,5.73,198210,113285748,0
2025-12-03 10:30:00,5.72,5.75,5.71,5.75,615670,352898284,0
2025-12-03 11:30:00,5.75,5.75,5.72,5.73,256503,147174293,0
2025-12-03 14:00:00,5.73,5.74,5.71,5.72,245643,140576605,0
2025-12-03 15:00:00,5.72,5.72,5.68,5.69,740398,421808836,0
2025-12-04 10:30:00,5.7,5.7,5.64,5.65,1042922,590826496,0
2025-12-04 11:30:00,5.65,5.67,5.64,5.65,392823,221990805,0
2025-12-04 14:00:00,5.66,5.66,5.63,5.63,233453,131711367,0
2025-12-04 15:00:00,5.64,5.65,5.63,5.64,403156,227214575,0
