datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,3.86,3.91,3.54,3.56,8641216,4876736538,0
2020-02-29,3.14,3.47,3.11,3.25,10988509,5720220682,0
2020-03-31,3.27,3.48,2.84,2.97,13842869,6950627127,0
2020-04-30,2.97,3.18,2.83,3.12,9589805,4620809920,0
2020-05-31,3.07,3.16,2.94,3.02,6703139,3288560224,0
2020-06-30,3.03,3.13,2.99,3.04,7792768,3822618980,0
2020-07-31,3.04,3.88,3.03,3.28,28945292,15176268211,0
2020-08-31,3.29,3.52,3.27,3.32,12565484,6167082008,0
2020-09-30,3.31,3.32,3.12,3.13,8681928,4156774222,0
2020-10-31,3.15,3.37,3.11,3.12,7540795,3604801339,0
2020-11-30,3.13,3.53,3.12,3.33,12054047,5810747411,0
2020-12-31,3.32,3.54,3.18,3.29,14625784,7189975641,0
2021-01-31,3.29,3.43,3.17,3.18,12894062,6234931945,0
2021-02-28,3.17,3.33,3.14,3.22,16164718,7758889829,0
2021-03-31,3.23,3.39,3.16,3.25,25764789,12402544720,0
2021-04-30,3.25,3.25,3.16,3.21,10766430,5115780222,0
2021-05-31,3.22,3.41,3.21,3.36,16135496,7893307144,0
2021-06-30,3.35,3.44,3.29,3.32,12665823,6215840907,0
2021-07-31,3.33,3.36,3.0,3.04,12926335,6001044220,0
2021-08-31,3.03,3.17,3.01,3.09,11971103,5183796928,0
2021-09-30,3.09,3.35,3.08,3.11,18192876,8095083726,0
2021-10-31,3.13,3.28,3.13,3.18,9318906,4141816868,0
2021-11-30,3.18,3.24,3.12,3.13,8729992,3859327274,0
2021-12-31,3.14,3.23,3.13,3.19,9631131,4274521439,0
2022-01-31,3.19,3.38,3.18,3.24,12739661,5782178795,0
2022-02-28,3.28,3.46,3.24,3.26,10393660,4787496651,0
2022-03-31,3.27,3.35,3.01,3.33,15442057,6856984505,0
2022-04-30,3.31,3.52,3.19,3.32,14578832,6733482893,0
2022-05-31,3.31,3.31,3.15,3.17,9072895,4038983201,0
2022-06-30,3.17,3.33,3.16,3.29,11487007,5161222462,0
2022-07-31,3.29,3.33,3.17,3.22,8861360,3877738781,0
2022-08-31,3.21,3.23,3.14,3.18,7297875,3010157851,0
2022-09-30,3.18,3.27,3.14,3.16,7864083,3268606402,0
2022-10-31,3.16,3.2,3.08,3.09,5726208,2344636234,0
2022-11-30,3.09,3.38,3.08,3.34,10348747,4320399211,0
2022-12-31,3.37,3.45,3.28,3.36,9230719,3992359565,0
2023-01-31,3.37,3.39,3.27,3.3,7828915,3338192987,0
2023-02-28,3.3,3.4,3.27,3.38,8167535,3489008635,0
2023-03-31,3.39,3.5,3.36,3.45,11630388,5102008777,0
2023-04-30,3.46,3.83,3.45,3.79,14091317,6509482088,0
2023-05-31,3.76,4.19,3.69,3.78,22114203,10768063461,0
2023-06-30,3.78,3.98,3.56,3.68,9906229,4674453440,0
2023-07-31,3.69,4.07,3.66,4.03,11903265,5430811110,0
2023-08-31,4.02,4.07,3.78,3.83,12237933,5565810699,0
2023-09-30,3.84,4.04,3.83,3.99,10104895,4653862384,0
2023-10-31,3.98,4.06,3.84,3.92,10768051,4934852951,0
2023-11-30,3.93,3.94,3.8,3.89,10318779,4654628244,0
2023-12-31,3.9,3.95,3.73,3.89,12260036,5506170525,0
2024-01-31,3.89,4.49,3.88,4.46,20122953,9673750107,0
2024-02-29,4.45,4.74,4.22,4.54,17490963,8925231652,0
2024-03-31,4.55,5.1,4.52,5.02,15176720,8261610542,0
2024-04-30,5.05,5.24,4.78,4.94,13726462,7777413885,0
2024-05-31,4.98,5.29,4.86,5.18,12892815,7400079929,0
2024-06-30,5.2,5.21,4.84,5.2,10472033,5944172685,0
2024-07-31,5.2,5.49,4.93,5.01,19389576,10866839488,0
2024-08-31,5.0,5.34,4.89,4.93,17626159,9590618833,0
2024-09-30,4.92,5.6,4.52,5.52,20008110,10601300693,0
2024-10-31,5.93,6.02,5.24,5.33,22687608,13254559513,0
2024-11-30,5.33,5.54,5.19,5.4,25569086,14506238305,0
2024-12-31,5.4,5.97,5.3,5.83,25811702,15286048721,0
2025-01-31,5.84,5.89,5.47,5.79,16775528,10005893603,0
2025-02-28,5.79,5.86,5.59,5.64,14118813,8352625579,0
2025-03-31,5.65,5.9,5.58,5.84,15620808,9287890024,0
2025-04-30,5.84,6.12,5.59,5.8,20413037,12437800093,0
2025-05-31,5.82,6.18,5.74,6.1,15331641,9522803095,0
2025-06-30,6.1,6.89,6.09,6.63,19293168,12875733947,0
2025-07-31,6.64,7.24,6.38,6.45,24838044,17064439042,0
2025-08-31,6.47,6.59,5.99,6.0,27583756,17374098937,0
2025-09-30,6.09,6.27,5.48,5.51,50016444,29277010377,0
2025-10-31,5.49,5.86,5.42,5.59,46875580,26528179359,0
2025-11-30,5.59,5.9,5.58,5.68,42084310,24111306317,0
2025-12-31,5.68,5.76,5.47,5.48,30340028,16920239462,0
2026-01-31,5.49,5.6,5.48,5.51,6133971,3396332469,0
