datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,3.86,3.91,3.86,3.88,1609705,924470182,0
2020-01-10,3.85,3.89,3.76,3.79,2718050,1544584848,0
2020-01-17,3.79,3.84,3.74,3.76,1987812,1122683410,0
2020-01-24,3.76,3.78,3.54,3.56,2325649,1284998098,0
2020-02-07,3.14,3.42,3.11,3.39,3577973,1837141498,0
2020-02-14,3.36,3.43,3.35,3.39,1791444,938933134,0
2020-02-21,3.38,3.47,3.37,3.43,2422639,1281142059,0
2020-02-28,3.42,3.43,3.25,3.25,3196453,1663003991,0
2020-03-06,3.27,3.48,3.26,3.41,2865474,1506811190,0
2020-03-13,3.36,3.38,3.15,3.23,3352183,1723439476,0
2020-03-20,3.24,3.25,2.91,2.97,4009180,1978144656,0
2020-03-27,2.93,3.09,2.84,3.02,2859697,1374848059,0
2020-04-03,2.97,3.05,2.93,2.98,1626921,788309361,0
2020-04-10,3.02,3.04,2.94,2.96,1440332,699141368,0
2020-04-17,2.95,2.96,2.9,2.92,2043259,977744299,0
2020-04-24,2.92,2.93,2.83,2.87,2216392,1048835551,0
2020-05-01,2.87,3.18,2.86,3.12,3019236,1474163087,0
2020-05-08,3.07,3.13,3.06,3.12,1481408,733230274,0
2020-05-15,3.12,3.16,3.01,3.02,1863827,917442645,0
2020-05-22,3.03,3.07,2.97,2.97,1701424,831957453,0
2020-05-29,2.97,3.07,2.94,3.02,1656480,805929852,0
2020-06-05,3.03,3.13,3.02,3.06,2055532,1012346707,0
2020-06-12,3.07,3.1,3.0,3.05,1943472,955955297,0
2020-06-19,3.03,3.06,2.99,3.04,2040055,995325335,0
2020-06-26,3.03,3.07,3.01,3.04,1112951,545200079,0
2020-07-03,3.06,3.31,3.02,3.28,4039441,2027639562,0
2020-07-10,3.32,3.88,3.32,3.54,13680437,7498835920,0
2020-07-17,3.52,3.62,3.31,3.32,5672958,2943056704,0
2020-07-24,3.33,3.45,3.23,3.24,3988308,1957035408,0
2020-07-31,3.25,3.34,3.2,3.28,2204906,1063492179,0
2020-08-07,3.29,3.4,3.27,3.29,3055740,1489876613,0
2020-08-14,3.28,3.38,3.27,3.35,2848253,1388272078,0
2020-08-21,3.37,3.52,3.34,3.35,3712982,1848564511,0
2020-08-28,3.36,3.38,3.27,3.33,2153565,1050753542,0
2020-09-04,3.34,3.39,3.24,3.26,2429180,1178633114,0
2020-09-11,3.26,3.29,3.19,3.21,2281690,1093340331,0
2020-09-18,3.21,3.3,3.2,3.3,2122182,1017985133,0
2020-09-25,3.3,3.32,3.14,3.16,1865790,890005871,0
2020-10-02,3.16,3.19,3.12,3.13,778030,366425037,0
2020-10-09,3.15,3.16,3.13,3.15,348215,163590917,0
2020-10-16,3.15,3.29,3.15,3.25,2284229,1089943013,0
2020-10-23,3.27,3.37,3.22,3.29,2866615,1385299993,0
2020-10-30,3.29,3.3,3.11,3.12,2041736,965967416,0
2020-11-06,3.13,3.22,3.12,3.21,2038569,963641201,0
2020-11-13,3.22,3.3,3.16,3.17,2259765,1081761986,0
2020-11-20,3.17,3.28,3.17,3.24,2732737,1304625879,0
2020-11-27,3.24,3.37,3.23,3.37,3179777,1542967305,0
2020-12-04,3.41,3.54,3.3,3.47,6626916,3311929216,0
2020-12-11,3.45,3.5,3.24,3.24,4105939,2039263984,0
2020-12-18,3.31,3.4,3.24,3.27,2358393,1141923717,0
